question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,dataset,reranker
What was the final score of Super Bowl 50? ,24–10," I cannot find this information in the provided context. The context only mentions that the Broncos won Super Bowl 50, but it does not specify the final score.",hcpc_v1,0.6982,False,0.562,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What was the final score of Super Bowl 50? ,24–10," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",hcpc_v2,0.8695,False,0.584,True,0.5147,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",baseline,0.945,False,0.625,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 1, 2016.",hcpc_v1,0.9364,False,0.6258,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",hcpc_v2,0.945,False,0.625,True,0.5722,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What year was Super Bowl 50?,2015, The Super Bowl 50 was played in the year 2016.,baseline,0.7056,False,0.6133,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What year was Super Bowl 50?,2015," The provided context does not specify the exact year of Super Bowl 50, but since we know it was held in 2015, we can infer that Super Bowl 50 took place in the year 2015.",hcpc_v1,0.9387,False,0.6094,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What year was Super Bowl 50?,2015, The Super Bowl 50 was played in the year 2016.,hcpc_v2,0.7056,False,0.6133,False,0.5294,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,baseline,0.6101,False,0.5751,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What team was the AFC champion?,Denver Broncos, The American Football Conference (AFC) champion was the Denver Broncos.,hcpc_v1,0.773,False,0.6233,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,hcpc_v2,0.6101,False,0.5751,False,0.5132,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,baseline,0.806,False,0.6039,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What team was the NFC champion?,Carolina Panthers," The NFC champion, as stated in the provided context, is the Carolina Panthers.",hcpc_v1,0.9481,False,0.6636,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,hcpc_v2,0.806,False,0.6039,False,0.552,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6268,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Who won Super Bowl 50?,Denver Broncos," The context does not specify who won Super Bowl 50, but it implies that the team that took an early lead and never trailed (the Broncos) might have been the winner since they had a significant advantage over the Panthers. However, without explicit confirmation of the final score or outcome, I cannot definitively say who won Super Bowl 50 based on the provided context alone.",hcpc_v1,0.7203,False,0.5921,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6246,True,0.5701,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,baseline,0.6757,False,0.6236,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,hcpc_v1,0.6757,False,0.6186,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,hcpc_v2,0.6757,False,0.6236,True,0.4842,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6228,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Which team won Super Bowl 50.,Denver Broncos, The Broncos won Super Bowl 50.,hcpc_v1,0.8937,False,0.6155,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6228,False,0.5701,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Where was Super Bowl 50 held?,"Santa Clara, California."," Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",baseline,0.9411,False,0.6592,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Where was Super Bowl 50 held?,"Santa Clara, California."," The provided context does not specify the exact location where Super Bowl 50 was held, but it states that it was the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985. However, it also mentions renovations to a stadium in Miami, which could imply that Super Bowl 50 might not have been held in the San Francisco Bay Area. Without further context or clarification, it's impossible to definitively say where Super Bowl 50 was held based on the provided information alone.",hcpc_v1,0.5232,False,0.6366,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9471,False,0.6592,False,0.6083,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
The name of the NFL championship game is?,Super Bowl, Super Bowl 50,baseline,0.6293,False,0.5081,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
The name of the NFL championship game is?,Super Bowl," I cannot find the name of the NFL championship game in the provided context. However, it is typically referred to as the Super Bowl.",hcpc_v1,0.6756,False,0.5113,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
The name of the NFL championship game is?,Super Bowl, Super Bowl 50,hcpc_v2,0.6293,False,0.5081,True,0.5192,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos,baseline,0.6985,False,0.5456,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What 2015 NFL team one the AFC playoff?,Denver Broncos," The provided context does not specify which 2015 NFL team won the AFC Championship Game and advanced to Super Bowl 50. However, it is implied that the team in question is the Denver Broncos, as they defeated the New England Patriots in the AFC Championship Game and went on to play in Super Bowl 50.",hcpc_v1,0.8516,False,0.5624,False,-1.0,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos,hcpc_v2,0.6985,False,0.5456,False,0.5132,squad,cross-encoder/ms-marco-MiniLM-L-6-v2
