condition,question,ground_truth,answer,faithfulness_score,is_hallucination,mean_retrieval_similarity,latency_s,dataset
hcpc_v1,What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,0.6716,0.69,squad
hcpc_v2,What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,0.6707,0.96,squad
crag,What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016. However, it's important to note that the provided context does not specify the day of the Super Bowl Opening Night, only that it was held on February 1, 2016.",0.7332,False,0.6821,2.17,squad
selfrag,What day was the Super Bowl played on?,"February 7, 2016",The Su per B ow l 5 0 was an Am r ican fo ott ball game  </s>,0.5657,False,0.6707,4.94,squad
baseline,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,0.6567,1.0,squad
hcpc_v1,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,0.6005,0.52,squad
hcpc_v2,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,0.6567,0.92,squad
crag,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,0.6466,0.75,squad
selfrag,Who won Super Bowl 50?,Denver Broncos,New ton fin ished with 1 8  </s>,0.6391,False,0.6567,2.94,squad
baseline,What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6918,False,0.6649,1.15,squad
hcpc_v1,What venue did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 was held in the San Francisco Bay Area and California, but it does not specify the exact venue.",0.7717,False,0.6201,1.65,squad
hcpc_v2,What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6918,False,0.6649,1.07,squad
crag,What venue did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,0.5799,False,0.6809,0.38,squad
selfrag,What venue did Super Bowl 50 take place in?,Levi's Stadium,"The N FL ann ounced on M arch 1 7 , 2 0 1 6 , that Le vi ' s St ad ium w ould host the 5 0 th Su per B ow l .   </s>",0.4352,True,0.6649,9.5,squad
baseline,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,0.6626,1.35,squad
hcpc_v1,What city did Super Bowl 50 take place in?,Santa Clara," The provided context does not specify the exact city where Super Bowl 50 took place, but it was held in the San Francisco Bay Area.",0.6882,False,0.616,1.15,squad
hcpc_v2,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,0.6626,1.29,squad
crag,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,0.6925,1.23,squad
selfrag,What city did Super Bowl 50 take place in?,Santa Clara,"The 5 0 th Su per B ow l w ould be h eld in 2 0 1 6 , but was c ance led .  </s>",0.3588,True,0.6626,3.75,squad
baseline,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used.,0.5143,False,0.6161,1.38,squad
hcpc_v1,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Based on the provided context, if Roman numerals had been used for Super Bowl 50, it would have been called ""Super Bowl L"" (which is actually Roman numeral 50). However, the text mentions that Arabic numerals were used instead to prominently feature the number 50 in the logo.",0.5957,False,0.7866,2.55,squad
hcpc_v2,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals were used.,0.5328,False,0.6161,1.34,squad
crag,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl L,0.4909,True,0.6264,0.48,squad
baseline,Super Bowl 50 decided the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was decided in Super Bowl 50.,0.6932,False,0.6711,1.55,squad
hcpc_v1,Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,False,0.6643,0.83,squad
hcpc_v2,Super Bowl 50 decided the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was determined in Super Bowl 50.,0.713,False,0.6708,1.55,squad
crag,Super Bowl 50 decided the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was decided in Super Bowl 50.,0.6932,False,0.7032,1.27,squad
baseline,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find the exact year of the Super Bowl that the Denver Broncos won in the provided context. However, it is known that they won Super Bowl 50, which was held in 2016.",0.6808,False,0.6876,1.87,squad
hcpc_v1,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Broncos won in Super Bowl 50, but it does not specify the year. To determine the year, one would need additional context or knowledge that the Super Bowl 50 was held in 2016.",0.6226,False,0.6841,2.35,squad
hcpc_v2,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find the exact year of the Super Bowl title won by the Denver Broncos in the provided context. However, it is known that they won Super Bowl 50, which was held on February 7, 2016.",0.6631,False,0.6876,1.9,squad
crag,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The provided context does not specify the exact year of Super Bowl 50, but it is known that Super Bowl 50 was held in 2016. Therefore, the Denver Broncos secured a Super Bowl title for the third time in 2016.",0.6249,False,0.6656,2.16,squad
selfrag,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,"The Br ons cos w ent on to ▁los ethe ir third Su per B ow l in four year s , win ning in 2 0 1 5 and 2 0 1 7 .  </s>",0.5505,False,0.6876,6.89,squad
baseline,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,0.6626,1.34,squad
hcpc_v1,What city did Super Bowl 50 take place in?,Santa Clara," The provided context does not specify the exact city where Super Bowl 50 took place, but it was held in the San Francisco Bay Area.",0.6882,False,0.616,1.12,squad
hcpc_v2,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,0.6626,1.27,squad
crag,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,0.6925,1.21,squad
selfrag,What city did Super Bowl 50 take place in?,Santa Clara,"The 5 0 th Su per B ow l w ould be h eld in 2 0 1 6 , but was c ance led .  </s>",0.3588,True,0.6626,6.64,squad
baseline,What stadium did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6918,False,0.6708,1.15,squad
hcpc_v1,What stadium did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 was held in the San Francisco Bay Area, but it does not specify the exact stadium.",0.6872,False,0.6031,1.49,squad
hcpc_v2,What stadium did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6918,False,0.6708,1.09,squad
crag,What stadium did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,0.5799,False,0.7002,0.62,squad
selfrag,What stadium did Super Bowl 50 take place in?,Levi's Stadium,The 5 0 th Su per B ow l w ould have be en an Am ér ican fo ott ball game  </s>,0.4471,True,0.6708,6.18,squad
baseline,What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10 (Denver Broncos won).,0.7597,False,0.6058,1.36,squad
hcpc_v1,What was the final score of Super Bowl 50? ,24–10," I cannot find this information in the provided context. The context only mentions that the Broncos took an early lead and never trailed, but it does not provide the final score.",0.5969,False,0.5661,1.4,squad
hcpc_v2,What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10 (Denver Broncos won).,0.7597,False,0.6058,1.32,squad
crag,What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10.,0.7851,False,0.576,1.0,squad
selfrag,What was the final score of Super Bowl 50? ,24–10,New ton fin ished with 1 8  </s>,0.6391,False,0.6058,2.95,squad
baseline,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",0.945,False,0.6365,1.19,squad
hcpc_v1,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 1, 2016. However, the exact date within February is not specified in the provided context.",0.7629,False,0.6067,1.4,squad
hcpc_v2,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",0.945,False,0.6365,1.21,squad
crag,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",0.945,False,0.6714,1.16,squad
selfrag,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016",The 5 0 th s Su per B ow l w ould have be en play ed  the 5 1 st Su per B ow l to be h eld in 2 0 1 6 .  </s>,0.5011,False,0.6365,9.43,squad
baseline,What year was Super Bowl 50?,2015," The Super Bowl 50 was played in the year 2016, as stated in the context.",0.9186,False,0.6426,1.42,squad
hcpc_v1,What year was Super Bowl 50?,2015," The provided context does not specify the year of Super Bowl 50, but it is stated that it was for the 2015 NFL season. Therefore, Super Bowl 50 took place in the year 2015.",0.7394,False,0.6272,1.91,squad
hcpc_v2,What year was Super Bowl 50?,2015," The Super Bowl 50 was played in the year 2016, as stated in the context that it was played on February 7, 2016.",0.7868,False,0.6426,1.86,squad
crag,What year was Super Bowl 50?,2015, The year Super Bowl 50 was played was 2016.,0.7565,False,0.7144,0.94,squad
selfrag,What year was Super Bowl 50?,2015,"The Su per B ow l X VI in 1 9 8 7 , and the first in Cal if or ni as ince Su per B ow l X V II to ok place in 2 0 0 2 .  </s>",0.3339,True,0.6426,6.16,squad
baseline,What team was the AFC champion?,Denver Broncos," The Broncos were the AFC champion, as stated in the first sentence of the provided context.",0.902,False,0.5884,1.1,squad
hcpc_v1,What team was the AFC champion?,Denver Broncos," The AFC champion, according to the provided context, is the Denver Broncos.",0.8606,False,0.5921,0.7,squad
hcpc_v2,What team was the AFC champion?,Denver Broncos," The Broncos were the AFC champion, as stated in the first sentence of the provided context.",0.902,False,0.5884,0.94,squad
crag,What team was the AFC champion?,Denver Broncos," The context does not specify which team was the AFC champion, but it is implied that the team that defeated the New England Patriots 20–18 in the AFC Championship Game was the AFC champion. However, the context does not provide the name of the team.",0.7743,False,0.5835,2.29,squad
selfrag,What team was the AFC champion?,Denver Broncos,"Th ete am has also ear ned the N FL ' s M ost Val ua able Pl ay era ward tw ice , in 2 0 1 3 and 2 0 1 5 .   </s>",0.2633,True,0.5884,6.54,squad
baseline,What team was the NFC champion?,Carolina Panthers, The Panthers were the NFC champion.,0.665,False,0.6256,0.85,squad
hcpc_v1,What team was the NFC champion?,Carolina Panthers," The provided context does not specify the name of the team that was the NFC champion. However, it is implied that the team who defeated the Arizona Cardinals in the NFC Championship Game advanced to be the NFC champion.",0.9788,False,0.6854,1.82,squad
hcpc_v2,What team was the NFC champion?,Carolina Panthers, The Panthers were the NFC champion.,0.665,False,0.6256,0.79,squad
crag,What team was the NFC champion?,Carolina Panthers," Based on the provided context, it is not specified which team won the NFC championship in the second scenario. However, in the first context, it is stated that ""They"" (the Broncos) defeated the Arizona Cardinals 49–15 in the NFC Championship Game.",0.7379,False,0.5831,2.52,squad
selfrag,What team was the NFC champion?,Carolina Panthers,The Pa ont he ers fin ished the  </s>,0.4047,True,0.6256,1.82,squad
baseline,Who won Super Bowl 50?,Denver Broncos, The American Football Conference (AFC) champion Denver Broncos won Super Bowl 50.,0.7141,False,0.6567,1.25,squad
hcpc_v1,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,0.6005,0.53,squad
hcpc_v2,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,0.6567,0.92,squad
crag,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,0.6466,0.79,squad
selfrag,Who won Super Bowl 50?,Denver Broncos,New ton fin ished with 1 8  </s>,0.6391,False,0.6567,1.83,squad
baseline,Super Bowl 50 determined the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was determined at Super Bowl 50.,0.7297,False,0.6675,1.5,squad
hcpc_v1,Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,0.6757,False,0.6667,0.81,squad
hcpc_v2,Super Bowl 50 determined the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was determined at Super Bowl 50.,0.7297,False,0.6669,1.5,squad
crag,Super Bowl 50 determined the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was determined in Super Bowl 50.,0.713,False,0.6948,1.25,squad
baseline,Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,0.6749,0.93,squad
hcpc_v1,Which team won Super Bowl 50.,Denver Broncos," I cannot find this information in the provided context. The context only states that Super Bowl 50 was a game to determine the champion of the NFL for the 2015 season, but it does not specify which team won.",0.6693,False,0.657,1.8,squad
hcpc_v2,Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,0.6722,0.96,squad
crag,Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,0.6699,0.85,squad
baseline,Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9393,False,0.6831,1.38,squad
hcpc_v1,Where was Super Bowl 50 held?,"Santa Clara, California."," The provided context does not specify the exact location within the San Francisco Bay Area where Super Bowl 50 was held, but it states that it is the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985.",0.4656,True,0.618,1.96,squad
hcpc_v2,Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9393,False,0.6831,1.46,squad
crag,Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9393,False,0.7059,1.37,squad
selfrag,Where was Super Bowl 50 held?,"Santa Clara, California.","The Su per B ow l X VI in 1 9 8 7 , and the first in Cal if or ni as ince Su per B ow l X V II to ok place in 2 0 0 3 .  </s>",0.3621,True,0.6831,10.22,squad
baseline,The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game, as mentioned in the provided context, is not explicitly stated. However, it is referred to as Super Bowl 50.",0.5575,False,0.52,1.67,squad
hcpc_v1,The name of the NFL championship game is?,Super Bowl, I cannot find the name of the NFL championship game in the provided context.,0.7049,False,0.537,0.68,squad
hcpc_v2,The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game mentioned in the provided context is not explicitly stated. However, it can be inferred that the game referred to is Super Bowl 50.",0.7033,False,0.52,1.72,squad
crag,The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game, according to the provided context, is not explicitly stated. However, it can be inferred that the game in question is Super Bowl 50.",0.638,False,0.514,1.59,squad
selfrag,The name of the NFL championship game is?,Super Bowl,The N FL Ch amp ion ship G ame  </s>,0.5557,False,0.52,3.37,squad
baseline,What 2015 NFL team one the AFC playoff?,Denver Broncos, The Broncos,0.7276,False,0.5456,0.64,squad
hcpc_v1,What 2015 NFL team one the AFC playoff?,Denver Broncos," The provided context mentions that the Broncos won the AFC Championship Game in 2015, which means they advanced to the Super Bowl that year. However, the context does not provide information about their performance in the Super Bowl or any other championships they may have won after the AFC playoffs. Therefore, based on the provided context, we can only confirm that the Broncos won the AFC playoff in 2015.",0.5837,False,0.532,3.39,squad
hcpc_v2,What 2015 NFL team one the AFC playoff?,Denver Broncos, The Broncos,0.7276,False,0.5456,0.58,squad
crag,What 2015 NFL team one the AFC playoff?,Denver Broncos, The Broncos,0.7276,False,0.5456,0.13,squad
selfrag,What 2015 NFL team one the AFC playoff?,Denver Broncos,"The Pa ht he g ins fin ished the ir season with a 1 5 – 1 ▁record , and qu arter back ▁Cam ▁Newton ▁was ▁named ▁the ▁NFL ▁Most ▁Val u able ▁Player ▁( M VP ). They de fe ated the Ar iz ona ▁Card inals ▁ 4 9 – 1 5 ▁in ▁the ▁N FC ▁Championship ▁Game and ▁advanced to ▁their ▁second ▁Su pe </paragraph>  The ▁Bron cos ▁joined ▁the ▁Patri ots , ▁Dallas ▁Cow bo ys , ▁and ▁Pitts burgh ▁Ste el ers ▁as ▁one ▁of ▁four ▁teams ▁that ▁have ▁made ▁eight ▁appearances ▁in ▁the ▁Super ▁Bowl .   </s>",0.4426,True,0.5456,23.9,squad
baseline,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,"Results depicted mitochondrial dynamics in vivo as PCD progresses within the lace plant, and highlight the correlation of this organelle with other organelles during developmental PCD. To the best of our knowledge, this is the first report of mitochondria and chloroplasts moving on transvacuolar strands to form a ring structure surrounding the nucleus during developmental PCD. Also, for the first time, we have shown the feasibility for the use of CsA in a whole plant system. Overall, our findings implicate the mitochondria as playing a critical and early role in developmentally regulated PCD in the lace plant."," Yes, according to the provided context, mitochondria do play a role in remodeling lace plant leaves during programmed cell death (PCD). The text states that the role of mitochondria during PCD has been elucidated in the lace plant and that mitochondrial dynamics were delineated into four categories based on characteristics including distribution, motility, and membrane potential. Additionally, the possible importance of mitochondrial permeability transition pore (PTP) formation during PCD was indirectly examined, suggesting a role for mitochondria in this process.",0.7247,False,0.4707,5.28,pubmedqa
hcpc_v1,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,"Results depicted mitochondrial dynamics in vivo as PCD progresses within the lace plant, and highlight the correlation of this organelle with other organelles during developmental PCD. To the best of our knowledge, this is the first report of mitochondria and chloroplasts moving on transvacuolar strands to form a ring structure surrounding the nucleus during developmental PCD. Also, for the first time, we have shown the feasibility for the use of CsA in a whole plant system. Overall, our findings implicate the mitochondria as playing a critical and early role in developmentally regulated PCD in the lace plant."," Yes, according to the provided context, the role of mitochondria during PCD (Programmed Cell Death) in the lace plant has been recognized. The text states that ""The following paper elucidates the role of mitochondrial dynamics during developmentally regulated PCD in vivo in A. madagascariensis."" However, the context does not provide specific details about mitochondria remodeling the leaves during PCD.",0.6089,False,0.5723,3.57,pubmedqa
