question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,quant,model_tag
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used.,baseline,0.5143,False,0.6161,False,-1.0,4.06,squad,q4_0,mistral:latest
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Based on the provided context, if Roman numerals had been used for Super Bowl 50, it would have been called ""Super Bowl L"" (which is actually Roman numeral 50). However, the text mentions that Arabic numerals were used instead to prominently feature the number 50 in the logo.",hcpc_v1,0.5957,False,0.7866,False,-1.0,3.72,squad,q4_0,mistral:latest
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used.,hcpc_v2,0.5143,False,0.6161,False,0.5994,4.06,squad,q4_0,mistral:latest
Super Bowl 50 decided the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was decided in Super Bowl 50.,baseline,0.6932,False,0.6711,False,-1.0,4.18,squad,q4_0,mistral:latest
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,hcpc_v1,0.6644,False,0.6643,False,-1.0,1.52,squad,q4_0,mistral:latest
Super Bowl 50 decided the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was determined in Super Bowl 50.,hcpc_v2,0.713,False,0.6708,True,0.5818,4.08,squad,q4_0,mistral:latest
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find the specific year of the Super Bowl that the Denver Broncos won in the provided context. However, it is known that they won Super Bowl 50, which was held on February 7, 2016.",baseline,0.7069,False,0.6876,False,-1.0,3.37,squad,q4_0,mistral:latest
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Denver Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs, but it does not specify the year or state that they won the Super Bowl.",hcpc_v1,0.5245,False,0.6841,False,-1.0,3.05,squad,q4_0,mistral:latest
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find the specific year of the Super Bowl that the Denver Broncos won in the provided context. However, it is known that they won Super Bowl 50, which was held on February 7, 2016.",hcpc_v2,0.7069,False,0.6876,False,0.5462,2.69,squad,q4_0,mistral:latest
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",baseline,0.9421,False,0.6626,False,-1.0,3.78,squad,q4_0,mistral:latest
What city did Super Bowl 50 take place in?,Santa Clara," The provided context does not specify the exact city where Super Bowl 50 took place, but it was held in the San Francisco Bay Area.",hcpc_v1,0.6882,False,0.616,False,-1.0,1.96,squad,q4_0,mistral:latest
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",hcpc_v2,0.9421,False,0.6626,False,0.6125,3.5,squad,q4_0,mistral:latest
What stadium did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.6918,False,0.6708,False,-1.0,0.96,squad,q4_0,mistral:latest
What stadium did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 was held in the San Francisco Bay Area, but it does not specify the exact stadium.",hcpc_v1,0.6872,False,0.6031,False,-1.0,2.57,squad,q4_0,mistral:latest
What stadium did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.6918,False,0.6708,False,0.6125,3.49,squad,q4_0,mistral:latest
What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10.,baseline,0.7851,False,0.6058,False,-1.0,1.45,squad,q4_0,mistral:latest
What was the final score of Super Bowl 50? ,24–10," I cannot find this information in the provided context. The context only mentions that the Broncos took an early lead and never trailed, but it does not specify the final score.",hcpc_v1,0.6896,False,0.5661,False,-1.0,2.32,squad,q4_0,mistral:latest
What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10 (Denver Broncos won).,hcpc_v2,0.7597,False,0.6058,True,0.4918,3.66,squad,q4_0,mistral:latest
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",baseline,0.945,False,0.6365,False,-1.0,1.53,squad,q4_0,mistral:latest
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 1, 2016. However, the exact date within February is not specified in the provided context.",hcpc_v1,0.7629,False,0.6067,False,-1.0,2.34,squad,q4_0,mistral:latest
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",hcpc_v2,0.945,False,0.6365,False,0.4944,3.44,squad,q4_0,mistral:latest
What year was Super Bowl 50?,2015," The Super Bowl 50 was played on February 7, 2016.",baseline,0.9074,False,0.6426,False,-1.0,1.54,squad,q4_0,mistral:latest
What year was Super Bowl 50?,2015," The provided context does not specify the year of Super Bowl 50, but it is stated that it was for the 2015 NFL season. Therefore, Super Bowl 50 took place in the year 2015.",hcpc_v1,0.7394,False,0.6272,False,-1.0,2.89,squad,q4_0,mistral:latest
What year was Super Bowl 50?,2015," The Super Bowl 50 was played in the year 2016, as stated in the context that it was played on February 7, 2016.",hcpc_v2,0.7868,False,0.6426,True,0.6125,4.29,squad,q4_0,mistral:latest
What team was the AFC champion?,Denver Broncos, The Broncos were the AFC champion.,baseline,0.6102,False,0.5884,False,-1.0,1.96,squad,q4_0,mistral:latest
What team was the AFC champion?,Denver Broncos, The AFC champion was the Broncos.,hcpc_v1,0.7534,False,0.5921,False,-1.0,0.91,squad,q4_0,mistral:latest
What team was the AFC champion?,Denver Broncos, The Broncos were the AFC champion.,hcpc_v2,0.6102,False,0.5884,False,0.6012,1.43,squad,q4_0,mistral:latest
What team was the NFC champion?,Carolina Panthers, The Panthers were the NFC champion.,baseline,0.665,False,0.6256,False,-1.0,2.81,squad,q4_0,mistral:latest
What team was the NFC champion?,Carolina Panthers," The provided context does not specify the name of the NFC champion team directly. However, it is implied that the team which defeated the Arizona Cardinals in the NFC Championship Game is the NFC champion. So, based on the information given, the NFC champion team could be the one referred to as ""They"" in the context.",hcpc_v1,0.8249,False,0.6854,False,-1.0,3.9,squad,q4_0,mistral:latest
What team was the NFC champion?,Carolina Panthers, The Panthers were the NFC champion.,hcpc_v2,0.665,False,0.6256,False,0.6087,2.91,squad,q4_0,mistral:latest
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6567,False,-1.0,3.25,squad,q4_0,mistral:latest
Who won Super Bowl 50?,Denver Broncos, The Broncos won Super Bowl 50.,hcpc_v1,0.8937,False,0.6005,False,-1.0,1.12,squad,q4_0,mistral:latest
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6567,False,0.4918,3.07,squad,q4_0,mistral:latest
Super Bowl 50 determined the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was determined in Super Bowl 50.,baseline,0.713,False,0.6675,False,-1.0,2.21,squad,q4_0,mistral:latest
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,hcpc_v1,0.6757,False,0.6667,False,-1.0,1.53,squad,q4_0,mistral:latest
Super Bowl 50 determined the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was determined in Super Bowl 50.,hcpc_v2,0.713,False,0.6669,True,0.5818,4.25,squad,q4_0,mistral:latest
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6749,False,-1.0,1.36,squad,q4_0,mistral:latest
Which team won Super Bowl 50.,Denver Broncos," I cannot find this information in the provided context. The context only states that Super Bowl 50 was a game to determine the champion of the NFL for the 2015 season, but it does not specify which team won.",hcpc_v1,0.6693,False,0.657,False,-1.0,2.66,squad,q4_0,mistral:latest
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6722,True,0.5818,3.77,squad,q4_0,mistral:latest
Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.9393,False,0.6831,False,-1.0,1.86,squad,q4_0,mistral:latest
Where was Super Bowl 50 held?,"Santa Clara, California."," The provided context does not specify the exact location within the San Francisco Bay Area where Super Bowl 50 was held, but it states that it is the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985.",hcpc_v1,0.4656,True,0.618,False,-1.0,2.99,squad,q4_0,mistral:latest
Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.9393,False,0.6831,False,0.6125,4.17,squad,q4_0,mistral:latest
The name of the NFL championship game is?,Super Bowl," The provided context does not mention the name of the NFL championship game specifically. However, it is known that Super Bowl 50 was the NFL championship game for the 2015 season.",baseline,0.8021,False,0.52,False,-1.0,2.49,squad,q4_0,mistral:latest
The name of the NFL championship game is?,Super Bowl, I cannot find the name of the NFL championship game in the provided context.,hcpc_v1,0.7049,False,0.537,False,-1.0,1.58,squad,q4_0,mistral:latest
The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game, as mentioned in the provided context, is not explicitly stated. However, it can be inferred that the game referred to is Super Bowl 50.",hcpc_v2,0.5987,False,0.52,True,0.4658,4.86,squad,q4_0,mistral:latest
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Broncos,baseline,0.7276,False,0.5456,False,-1.0,2.55,squad,q4_0,mistral:latest
What 2015 NFL team one the AFC playoff?,Denver Broncos, The 2015 NFL team that won the AFC Championship Game and thus the AFC playoffs is the Denver Broncos.,hcpc_v1,0.7082,False,0.532,False,-1.0,2.31,squad,q4_0,mistral:latest
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Broncos,hcpc_v2,0.7276,False,0.5456,True,0.6012,2.59,squad,q4_0,mistral:latest
