question,ground_truth,answer,template,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,model
Which NFL team won Super Bowl 50?,Denver Broncos,"The context does not provide information about which team won Super Bowl 50. It only mentions that the team made eight appearances in the Super Bowl, but it doesn't specify whether they won Super Bowl 50 or not. To find out who won Super Bowl 50, you would need to look up additional information outside of this context.",cot,hcpc_v1,0.6729,False,0.662,False,-1.0,3.83,squad,mistral
Which NFL team won Super Bowl 50?,Denver Broncos,"The question asks which NFL team won Super Bowl 50. According to the context provided, the Denver Broncos were the winners of Super Bowl 50 as they defeated the Carolina Panthers with a score of 24–10.",cot,hcpc_v2,0.8728,False,0.6974,False,0.5818,5.7,squad,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The context states that the league emphasized the ""golden anniversary"" of Super Bowl 50 with various gold-themed initiatives. Therefore, gold was the color used to emphasize the 50th anniversary of the Super Bowl.",cot,baseline,0.6992,False,0.532,False,-1.0,3.42,squad,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The context states that the league emphasized the ""golden anniversary"" of the 50th Super Bowl with various gold-themed initiatives. Therefore, the color used to emphasize the 50th anniversary was gold.",cot,hcpc_v1,0.6997,False,0.6462,False,-1.0,3.64,squad,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The context mentions that the league emphasized the ""golden anniversary"" of Super Bowl 50 with various gold-themed initiatives. Therefore, the color used to emphasize the 50th anniversary was gold.",cot,hcpc_v2,0.6723,False,0.5273,True,0.593,5.82,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""","The context mentions that the league emphasized the ""golden anniversary"" for Super Bowl 50, which suggests that the theme of Super Bowl 50 was centered around its 50th anniversary.",cot,baseline,0.6556,False,0.5612,False,-1.0,2.66,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""",The context does not provide enough information to determine the exact theme of Super Bowl 50.,cot,hcpc_v1,0.7486,False,0.6172,False,-1.0,6.65,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""","The context mentions that the league emphasized the ""golden anniversary"" for Super Bowl 50, which suggests that the theme of Super Bowl 50 was centered around its 50th anniversary.",cot,hcpc_v2,0.6556,False,0.5612,False,0.5368,5.01,squad,mistral
What day was the game played on?,"February 7, 2016","The Super Bowl 50 was played on February 7, 2016.",cot,baseline,0.9074,False,0.4467,False,-1.0,3.8,squad,mistral
What day was the game played on?,"February 7, 2016","The game was played on February 7, 2016.",cot,hcpc_v1,0.8967,False,0.5486,False,-1.0,1.45,squad,mistral
What day was the game played on?,"February 7, 2016","The Super Bowl 50 was played on February 7, 2016.",cot,hcpc_v2,0.9074,False,0.4467,False,0.4944,3.24,squad,mistral
What is the AFC short for?,American Football Conference,The AFC in the context stands for American Football Conference.,cot,baseline,0.9968,False,0.4516,False,-1.0,2.67,squad,mistral
What is the AFC short for?,American Football Conference,The AFC stands for the American Football Conference.,cot,hcpc_v1,0.9831,False,0.4938,False,-1.0,0.89,squad,mistral
What is the AFC short for?,American Football Conference,The AFC in the given context stands for American Football Conference.,cot,hcpc_v2,0.9917,False,0.4532,True,0.4128,2.14,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""","The context mentions that the NFL emphasized the ""golden anniversary"" for Super Bowl 50, which suggests that the theme of Super Bowl 50 was centered around its 50th anniversary.",cot,baseline,0.6697,False,0.5612,False,-1.0,4.91,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 is not explicitly stated in the provided context, but it can be inferred to be related to celebrating the 50th anniversary of the Super Bowl.",cot,hcpc_v1,0.9504,False,0.6172,False,-1.0,7.13,squad,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""","The context mentions that the league emphasized the ""golden anniversary"" for Super Bowl 50. Therefore, the theme of Super Bowl 50 was the golden anniversary.",cot,hcpc_v2,0.7333,False,0.5612,False,0.5368,4.84,squad,mistral
What does AFC stand for?,American Football Conference,AFC stands for American Football Conference.,cot,baseline,0.982,False,0.4266,False,-1.0,2.71,squad,mistral
What does AFC stand for?,American Football Conference,AFC stands for the American Football Conference.,cot,hcpc_v1,0.9884,False,0.476,False,-1.0,0.75,squad,mistral
What does AFC stand for?,American Football Conference,"The context mentions the Denver Broncos being the AFC champion, so AFC stands for American Football Conference.",cot,hcpc_v2,0.9883,False,0.4281,True,0.4128,2.57,squad,mistral
What day was the Super Bowl played on?,"February 7, 2016","The Super Bowl was played on February 7, 2016.",cot,baseline,0.8567,False,0.6707,False,-1.0,3.58,squad,mistral
What day was the Super Bowl played on?,"February 7, 2016","The Super Bowl was played on February 7, 2016.",cot,hcpc_v1,0.8567,False,0.6716,False,-1.0,1.5,squad,mistral
What day was the Super Bowl played on?,"February 7, 2016","The Super Bowl was played on February 7, 2016.",cot,hcpc_v2,0.8567,False,0.6707,False,0.4944,3.22,squad,mistral
Who won Super Bowl 50?,Denver Broncos,"The question asks who won Super Bowl 50. According to the context provided, the American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. So, the answer is the Denver Broncos.",cot,baseline,0.8304,False,0.6567,False,-1.0,6.39,squad,mistral
Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,cot,hcpc_v1,0.9247,False,0.6005,False,-1.0,5.24,squad,mistral
Who won Super Bowl 50?,Denver Broncos,The American Football Conference (AFC) champion Denver Broncos won Super Bowl 50.,cot,hcpc_v2,0.7141,False,0.6567,False,0.4918,4.26,squad,mistral
What venue did Super Bowl 50 take place in?,Levi's Stadium,Super Bowl 50 took place in Levi's Stadium.,cot,baseline,0.8261,False,0.6649,False,-1.0,6.2,squad,mistral
What venue did Super Bowl 50 take place in?,Levi's Stadium,"(Based on the given context) Levi's Stadium in Santa Clara, California (likely), or Stanford Stadium in Palo Alto, California (possible, but less likely).
(Correct answer: Levi's Stadium in Santa Clara, California)",cot,hcpc_v1,0.6685,False,0.6201,False,-1.0,13.81,squad,mistral
What venue did Super Bowl 50 take place in?,Levi's Stadium,Super Bowl 50 took place at Levi's Stadium.,cot,hcpc_v2,0.8097,False,0.6649,False,0.6125,6.36,squad,mistral
What city did Super Bowl 50 take place in?,Santa Clara,"The context states that Super Bowl 50 was played at Levi's Stadium, which is located in the San Francisco Bay Area at Santa Clara, California. Therefore, Super Bowl 50 took place in Santa Clara, California.",cot,baseline,0.9821,False,0.6626,False,-1.0,5.79,squad,mistral
What city did Super Bowl 50 take place in?,Santa Clara,"The context states that Super Bowl 50 was held in the San Francisco Bay Area, which implies that the game took place in a city within this region. Therefore, the city where Super Bowl 50 took place is San Francisco.",cot,hcpc_v1,0.9238,False,0.616,False,-1.0,3.24,squad,mistral
What city did Super Bowl 50 take place in?,Santa Clara,The Super Bowl 50 took place in the San Francisco Bay Area (or California).,cot,hcpc_v2,0.943,False,0.6626,False,0.6125,9.3,squad,mistral
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,Super Bowl L,cot,baseline,0.4909,True,0.6161,False,-1.0,4.41,squad,mistral
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,"If Roman numerals were used, Super Bowl 50 would have been called ""Super Bowl L"".",cot,hcpc_v1,0.561,False,0.7866,False,-1.0,5.59,squad,mistral
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,"Since the context states that Super Bowl 50 was named using Arabic numerals instead of Roman numerals due to design difficulties with the letter ""L"", if Roman numerals had been used, Super Bowl 50 would have been called ""Super Bowl L"".",cot,hcpc_v2,0.9558,False,0.6161,False,0.5994,6.61,squad,mistral
Super Bowl 50 decided the NFL champion for what season?,2015,The NFL champion for the 2015 season was the Denver Broncos.,cot,baseline,0.7659,False,0.6711,False,-1.0,8.07,squad,mistral
Super Bowl 50 decided the NFL champion for what season?,2015,"The context states that Super Bowl 50 was played to determine the champion of the National Football League (NFL) for the 2015 season. Therefore, the answer is 2015.",cot,hcpc_v1,0.6378,False,0.6643,False,-1.0,3.01,squad,mistral
Super Bowl 50 decided the NFL champion for what season?,2015,2015 season,cot,hcpc_v2,0.5884,False,0.6708,True,0.5818,7.03,squad,mistral
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,"The context mentions that the event in question is Super Bowl 50. Super Bowls are annual events, so to find the year, we subtract 50 from the current year (2021) which gives us the year 2001. However, it's important to note that the Denver Broncos won Super Bowl 50 in 2016, not 2001. The given context might have been a mistake or referring to an earlier event.",cot,baseline,0.6348,False,0.6876,False,-1.0,6.78,squad,mistral
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,"The context mentions that the event in question is Super Bowl 50. Super Bowls are annual events, so to find the year, we just need to add 50 to the starting year of the National Football League (NFL), which was 1920. Therefore, Super Bowl 50 occurred in the year 2016.",cot,hcpc_v1,0.68,False,0.6841,False,-1.0,3.89,squad,mistral
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,2016,cot,hcpc_v2,1.0,False,0.6876,False,0.5462,3.59,squad,mistral
What city did Super Bowl 50 take place in?,Santa Clara,"The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area. This can be inferred from the context as the game was played at Levi's Stadium, which is located in Santa Clara and was awarded to host the event on May 21, 2013.",cot,baseline,0.9211,False,0.6626,False,-1.0,6.71,squad,mistral
What city did Super Bowl 50 take place in?,Santa Clara,"The context states that Super Bowl 50 was held in the San Francisco Bay Area, which implies that the city where it took place is San Francisco.",cot,hcpc_v1,0.9865,False,0.616,False,-1.0,2.45,squad,mistral
What city did Super Bowl 50 take place in?,Santa Clara,"The context states that Super Bowl 50 was played at Levi's Stadium, which is located in the San Francisco Bay Area at Santa Clara, California. Therefore, the city where Super Bowl 50 took place is Santa Clara. However, since the Super Bowl is often associated with the larger metropolitan area rather than a specific city, it can also be said that Super Bowl 50 took place in the San Francisco Bay Area.",cot,hcpc_v2,0.7638,False,0.6626,False,0.6125,7.69,squad,mistral
What stadium did Super Bowl 50 take place in?,Levi's Stadium,Super Bowl 50 took place in Levi's Stadium.,cot,baseline,0.8261,False,0.6708,False,-1.0,2.9,squad,mistral
What stadium did Super Bowl 50 take place in?,Levi's Stadium,"The context mentions that Super Bowl 50 was held in the San Francisco Bay Area, which was the first time since Super Bowl XIX in 1985. Therefore, it can be inferred that Super Bowl 50 took place in the same stadium as Super Bowl XIX, which is Levi's Stadium in Santa Clara, California (located within the San Francisco Bay Area).",cot,hcpc_v1,0.9542,False,0.6031,False,-1.0,5.04,squad,mistral
What stadium did Super Bowl 50 take place in?,Levi's Stadium,Super Bowl 50 took place in Levi's Stadium.,cot,hcpc_v2,0.8261,False,0.6708,False,0.6125,6.03,squad,mistral
What was the final score of Super Bowl 50? ,24–10,"The context states that the American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. So, the final score of Super Bowl 50 was 24-10 in favor of the Denver Broncos.",cot,baseline,0.8653,False,0.6058,False,-1.0,4.33,squad,mistral
What was the final score of Super Bowl 50? ,24–10,"The context does not provide the final score of Super Bowl 50. However, it implies that the Denver Broncos were leading throughout the game and never trailed. Therefore, to find the final score, we would need additional information about the points scored by both teams.",cot,hcpc_v1,0.8869,False,0.5661,False,-1.0,3.52,squad,mistral
What was the final score of Super Bowl 50? ,24–10,"The context states that the American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. Therefore, the final score of Super Bowl 50 was 24-10.",cot,hcpc_v2,0.9023,False,0.6058,True,0.4918,6.22,squad,mistral
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","The Super Bowl took place on February 7, 2016.",cot,baseline,0.9222,False,0.6365,False,-1.0,1.84,squad,mistral
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","The exact date for Super Bowl 50 is not provided in the context, but it took place in January or February of 2015.",cot,hcpc_v1,0.554,False,0.6067,False,-1.0,7.28,squad,mistral
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","The game took place on February 7, 2016.",cot,hcpc_v2,0.9136,False,0.6365,False,0.4944,4.06,squad,mistral
What year was Super Bowl 50?,2015,"The game was played on February 7, 2016. However, the awarding of the game to Levi's Stadium happened on May 21, 2013. So, Super Bowl 50 took place in the year 2016 but was awarded in the year 2013.",cot,baseline,0.6762,False,0.6426,False,-1.0,4.16,squad,mistral
What year was Super Bowl 50?,2015,2015,cot,hcpc_v1,1.0,False,0.6272,False,-1.0,3.02,squad,mistral
What year was Super Bowl 50?,2015,"The game of Super Bowl 50 was played on February 7, 2016. However, it was awarded to Levi's Stadium on May 21, 2013. Therefore, the year Super Bowl 50 took place in is 2016, not 2013.",cot,hcpc_v2,0.7531,False,0.6426,True,0.6125,6.64,squad,mistral
What team was the AFC champion?,Denver Broncos,The Broncos were the AFC champion.,cot,baseline,0.6102,False,0.5884,False,-1.0,2.69,squad,mistral
What team was the AFC champion?,Denver Broncos,"The AFC champion was the Denver Broncos. This is deduced from the context that states they finished the regular season with a 12–4 record, earned home-field advantage throughout the AFC playoffs, and defeated the New England Patriots in the AFC Championship Game.",cot,hcpc_v1,0.6829,False,0.5921,False,-1.0,3.27,squad,mistral
What team was the AFC champion?,Denver Broncos,"The AFC champion was the Denver Broncos. This is evident from the context because it is stated that they finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs, and later defeated the New England Patriots in the AFC Championship Game.",cot,hcpc_v2,0.6463,False,0.5884,False,0.6012,4.34,squad,mistral
What team was the NFC champion?,Carolina Panthers,The NFC champion was the Carolina Panthers.,cot,baseline,0.806,False,0.6256,False,-1.0,3.74,squad,mistral
What team was the NFC champion?,Carolina Panthers,"The team that was the NFC champion is the Panthers. This is deduced from the context as they defeated the Arizona Cardinals in the NFC Championship Game, which is a match played between two teams to determine the winner of the National Football Conference (NFC) in American football.",cot,hcpc_v1,0.8922,False,0.6854,False,-1.0,3.77,squad,mistral
What team was the NFC champion?,Carolina Panthers,The NFC champion was the Carolina Panthers.,cot,hcpc_v2,0.806,False,0.6256,False,0.6087,3.75,squad,mistral
Who won Super Bowl 50?,Denver Broncos,The American Football Conference (AFC) champion Denver Broncos won Super Bowl 50.,cot,baseline,0.7141,False,0.6567,False,-1.0,4.15,squad,mistral
Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,cot,hcpc_v1,0.9247,False,0.6005,False,-1.0,5.02,squad,mistral
Who won Super Bowl 50?,Denver Broncos,The American Football Conference (AFC) champion Denver Broncos won Super Bowl 50.,cot,hcpc_v2,0.7141,False,0.6567,False,0.4918,4.24,squad,mistral
Super Bowl 50 determined the NFL champion for what season?,2015,The 2015 season,cot,baseline,0.6329,False,0.6675,False,-1.0,4.9,squad,mistral
Super Bowl 50 determined the NFL champion for what season?,2015,"The context states that Super Bowl 50 was played to determine the champion of the National Football League (NFL) for the 2015 season. Therefore, the answer is 2015.",cot,hcpc_v1,0.6378,False,0.6667,False,-1.0,3.02,squad,mistral
Super Bowl 50 determined the NFL champion for what season?,2015,The 2015 season,cot,hcpc_v2,0.6329,False,0.6669,True,0.5818,7.38,squad,mistral
Which team won Super Bowl 50.,Denver Broncos,Denver Broncos,cot,baseline,0.5925,False,0.6749,False,-1.0,3.48,squad,mistral
Which team won Super Bowl 50.,Denver Broncos,"The context does not provide information about which team won Super Bowl 50. It only mentions that the team they are referring to joined a list of four teams that have made eight appearances in the Super Bowl, but it doesn't specify whether this is the team that won Super Bowl 50 or not. Therefore, based on the given context, we cannot determine which team won Super Bowl 50.",cot,hcpc_v1,0.5403,False,0.657,False,-1.0,4.76,squad,mistral
Which team won Super Bowl 50.,Denver Broncos,Denver Broncos,cot,hcpc_v2,0.5925,False,0.6722,True,0.5818,5.94,squad,mistral
Where was Super Bowl 50 held?,"Santa Clara, California.","The context states that Super Bowl 50 was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",cot,baseline,0.9942,False,0.6831,False,-1.0,2.4,squad,mistral
Where was Super Bowl 50 held?,"Santa Clara, California.","The context states that Super Bowl 50 was held in the San Francisco Bay Area, which is in California. Therefore, the answer to the question ""Where was Super Bowl 50 held?"" is California.",cot,hcpc_v1,0.7611,False,0.618,False,-1.0,2.88,squad,mistral
Where was Super Bowl 50 held?,"Santa Clara, California.","The context states that Super Bowl 50 was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",cot,hcpc_v2,0.9942,False,0.6831,False,0.6125,4.71,squad,mistral
The name of the NFL championship game is?,Super Bowl,"The question asks for the name of the NFL championship game, but the context provided does not explicitly state it. However, it mentions that Super Bowl 50 was the NFL championship game for the 2015 season. Therefore, we can infer that the NFL championship game in question is indeed called ""Super Bowl 50"".",cot,baseline,0.502,False,0.52,False,-1.0,4.2,squad,mistral
The name of the NFL championship game is?,Super Bowl,"The NFL championship game is referred to as the Super Bowl in this context. However, the specific number of the Super Bowl isn't explicitly mentioned in the provided text. It's only stated that the Denver Broncos won their third Super Bowl title by defeating the Carolina Panthers.",cot,hcpc_v1,0.7388,False,0.537,False,-1.0,4.0,squad,mistral
The name of the NFL championship game is?,Super Bowl,"Super Bowl 50 was the name of the NFL championship game for the 2015 season. The Roman numeral equivalent would have been Super Bowl L, but as stated in the context, the league temporarily suspended this tradition to emphasize the ""golden anniversary"" and prominently feature Arabic numerals 50 instead. So, the name of the NFL championship game is Super Bowl 50.",cot,hcpc_v2,0.6222,False,0.52,True,0.4658,7.72,squad,mistral
What 2015 NFL team one the AFC playoff?,Denver Broncos,"The context mentions that the Broncos defeated the New England Patriots in the AFC Championship Game, which means they advanced to the Super Bowl. Therefore, the team that won the AFC playoffs in 2015 was the Denver Broncos.",cot,baseline,0.8654,False,0.5456,False,-1.0,5.15,squad,mistral
What 2015 NFL team one the AFC playoff?,Denver Broncos,The Denver Broncos,cot,hcpc_v1,0.6985,False,0.532,False,-1.0,4.49,squad,mistral
What 2015 NFL team one the AFC playoff?,Denver Broncos,"The context mentions that the Broncos defeated the New England Patriots in the AFC Championship Game, which means they advanced to the Super Bowl from the AFC conference. Therefore, the 2015 NFL team that won the AFC playoffs is the Denver Broncos.",cot,hcpc_v2,0.8564,False,0.5456,True,0.6012,5.45,squad,mistral
