question,ground_truth,answer,template,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,model
What does AFC stand for?,American Football Conference,"The context does not provide the abbreviation for AFC. However, in American football, AFC stands for the American Football Conference.",strict,hcpc_v1,0.6588,False,0.4448,False,-1.0,2.03,squad,mistral
What does AFC stand for?,American Football Conference,AFC stands for American Football Conference.,strict,hcpc_v2,0.982,False,0.3787,True,0.4753,2.85,squad,mistral
What day was the Super Bowl played on?,"February 7, 2016","The Super Bowl was played on February 7, 2016.",strict,baseline,0.8567,False,0.6413,False,-1.0,3.38,squad,mistral
What day was the Super Bowl played on?,"February 7, 2016","The Super Bowl was played on February 7, 2016.",strict,hcpc_v1,0.8567,False,0.6329,False,-1.0,1.48,squad,mistral
What day was the Super Bowl played on?,"February 7, 2016","The Super Bowl was played on February 7, 2016.",strict,hcpc_v2,0.8567,False,0.6413,False,0.5722,3.18,squad,mistral
Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,strict,baseline,0.9247,False,0.6268,False,-1.0,3.66,squad,mistral
Who won Super Bowl 50?,Denver Broncos,"The context does not specify who won Super Bowl 50, but it implies that the team that took an early lead and never trailed (the Broncos) might have been the winning team. However, without further information, I cannot confirm this.",strict,hcpc_v1,0.7306,False,0.5921,False,-1.0,3.08,squad,mistral
Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,strict,hcpc_v2,0.9247,False,0.6246,True,0.5701,3.7,squad,mistral
What venue did Super Bowl 50 take place in?,Levi's Stadium,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",strict,baseline,0.6918,False,0.6489,False,-1.0,4.04,squad,mistral
What venue did Super Bowl 50 take place in?,Levi's Stadium,"I cannot find this information in the provided context. The context only mentions that the San Francisco Bay Area last hosted a Super Bowl in 1985 (Super Bowl XIX), but it does not specify where Super Bowl 50 took place.",strict,hcpc_v1,0.5995,False,0.6224,False,-1.0,3.6,squad,mistral
What venue did Super Bowl 50 take place in?,Levi's Stadium,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",strict,hcpc_v2,0.6918,False,0.653,True,0.6083,4.37,squad,mistral
What city did Super Bowl 50 take place in?,Santa Clara,"The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",strict,baseline,0.9421,False,0.6392,False,-1.0,4.38,squad,mistral
What city did Super Bowl 50 take place in?,Santa Clara,San Francisco Bay Area,strict,hcpc_v1,0.4784,True,0.6284,False,-1.0,1.26,squad,mistral
What city did Super Bowl 50 take place in?,Santa Clara,"The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",strict,hcpc_v2,0.9421,False,0.6431,True,0.6083,4.21,squad,mistral
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used.,strict,baseline,0.5143,False,0.5327,False,-1.0,4.15,squad,mistral
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,I cannot find this information in the provided context. The context does not mention or imply anything about what Super Bowl 50 would have been called if Roman numerals were used.,strict,hcpc_v1,0.6477,False,0.6741,False,-1.0,2.7,squad,mistral
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,Super Bowl 50 would have been called Super Bowl L if Roman numerals were used.,strict,hcpc_v2,0.5328,False,0.5327,True,0.5184,4.21,squad,mistral
Super Bowl 50 decided the NFL champion for what season?,2015,The Super Bowl 50 decided the NFL champion for the 2015 season.,strict,baseline,0.6644,False,0.6341,False,-1.0,3.9,squad,mistral
Super Bowl 50 decided the NFL champion for what season?,2015,The Super Bowl 50 decided the NFL champion for the 2015 season.,strict,hcpc_v1,0.6644,False,0.6279,False,-1.0,1.9,squad,mistral
Super Bowl 50 decided the NFL champion for what season?,2015,The Super Bowl 50 decided the NFL champion for the 2015 season.,strict,hcpc_v2,0.6644,False,0.6341,False,0.4842,3.76,squad,mistral
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,"The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time. However, it is implied that this event happened in Super Bowl 50, which was held in 2016.",strict,baseline,0.795,False,0.6795,False,-1.0,4.64,squad,mistral
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,"I cannot find this information in the provided context. The context only mentions that the Denver Broncos won the AFC Championship Game and secured home-field advantage throughout the AFC playoffs, but it does not specify the year they won Super Bowl 50 or if it was their third title.",strict,hcpc_v1,0.4847,True,0.6972,False,-1.0,3.68,squad,mistral
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,"The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it implies that the event happened after their AFC Championship Game victory in 2015 (Super Bowl 50) and before their second Super Bowl appearance in 1995. Therefore, to find the specific year, one would need additional context or information about when the first two Super Bowl titles were won by the Denver Broncos.",strict,hcpc_v2,0.7858,False,0.6795,False,0.6115,6.3,squad,mistral
What city did Super Bowl 50 take place in?,Santa Clara,"The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",strict,baseline,0.9421,False,0.6392,False,-1.0,4.56,squad,mistral
What city did Super Bowl 50 take place in?,Santa Clara,San Francisco Bay Area,strict,hcpc_v1,0.4784,True,0.6284,False,-1.0,1.23,squad,mistral
What city did Super Bowl 50 take place in?,Santa Clara,"The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",strict,hcpc_v2,0.9421,False,0.6431,True,0.6083,4.21,squad,mistral
What stadium did Super Bowl 50 take place in?,Levi's Stadium,Levi's Stadium,strict,baseline,0.5799,False,0.6693,False,-1.0,1.56,squad,mistral
What stadium did Super Bowl 50 take place in?,Levi's Stadium,"I cannot find this information in the provided context. The context does mention that the San Francisco Bay Area last hosted a Super Bowl (Super Bowl XIX) at Stanford Stadium, but it doesn't specify where Super Bowl 50 took place.",strict,hcpc_v1,0.5366,False,0.6331,False,-1.0,3.47,squad,mistral
What stadium did Super Bowl 50 take place in?,Levi's Stadium,Levi's Stadium,strict,hcpc_v2,0.5799,False,0.6693,False,0.6083,3.86,squad,mistral
What was the final score of Super Bowl 50? ,24–10,"The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",strict,baseline,0.8695,False,0.584,False,-1.0,3.62,squad,mistral
What was the final score of Super Bowl 50? ,24–10,"I cannot find this information in the provided context. The context only mentions that the Broncos won Super Bowl 50, but it does not specify the final score.",strict,hcpc_v1,0.6982,False,0.562,False,-1.0,2.59,squad,mistral
What was the final score of Super Bowl 50? ,24–10,"The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",strict,hcpc_v2,0.8695,False,0.584,True,0.5147,4.94,squad,mistral
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","The Super Bowl 50 took place on February 7, 2016.",strict,baseline,0.945,False,0.625,False,-1.0,2.63,squad,mistral
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","The Super Bowl 50 took place on February 1, 2016.",strict,hcpc_v1,0.9364,False,0.6258,False,-1.0,1.9,squad,mistral
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","The Super Bowl 50 took place on February 7, 2016.",strict,hcpc_v2,0.945,False,0.625,True,0.5722,3.5,squad,mistral
What year was Super Bowl 50?,2015,The Super Bowl 50 was played in the year 2016.,strict,baseline,0.7056,False,0.6133,False,-1.0,2.04,squad,mistral
What year was Super Bowl 50?,2015,"The provided context does not specify the year of Super Bowl 50, but since we know it was the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985 and the first in California since Super Bowl XXXVII took place in 2003, we can infer that Super Bowl 50 occurred after 1985 and before 2003. However, without additional context or information, it's impossible to determine the exact year based solely on the provided context.",strict,hcpc_v1,0.5174,False,0.6094,False,-1.0,6.39,squad,mistral
What year was Super Bowl 50?,2015,The Super Bowl 50 was played in the year 2016.,strict,hcpc_v2,0.7056,False,0.6133,False,0.5294,3.3,squad,mistral
What team was the AFC champion?,Denver Broncos,The Denver Broncos were the AFC champion.,strict,baseline,0.6101,False,0.5751,False,-1.0,3.25,squad,mistral
What team was the AFC champion?,Denver Broncos,The AFC champion was the Denver Broncos.,strict,hcpc_v1,0.7995,False,0.6233,False,-1.0,1.19,squad,mistral
What team was the AFC champion?,Denver Broncos,The Denver Broncos were the AFC champion.,strict,hcpc_v2,0.6101,False,0.5751,False,0.5132,3.07,squad,mistral
What team was the NFC champion?,Carolina Panthers,The NFC champion was the Carolina Panthers.,strict,baseline,0.806,False,0.6039,False,-1.0,3.56,squad,mistral
What team was the NFC champion?,Carolina Panthers,"The NFC champion, as mentioned in the provided context, is the Carolina Panthers.",strict,hcpc_v1,0.9576,False,0.6636,False,-1.0,1.79,squad,mistral
What team was the NFC champion?,Carolina Panthers,The NFC champion was the Carolina Panthers.,strict,hcpc_v2,0.806,False,0.6039,False,0.552,3.74,squad,mistral
Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,strict,baseline,0.9247,False,0.6268,False,-1.0,3.58,squad,mistral
Who won Super Bowl 50?,Denver Broncos,"The context does not specify who won Super Bowl 50, but it implies that the team that took an early lead and never trailed (the Broncos) might have been the winning team. However, without further information, I cannot confirm this.",strict,hcpc_v1,0.7306,False,0.5921,False,-1.0,3.08,squad,mistral
Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,strict,hcpc_v2,0.9247,False,0.6246,True,0.5701,3.7,squad,mistral
Super Bowl 50 determined the NFL champion for what season?,2015,The Super Bowl 50 determined the NFL champion for the 2015 season.,strict,baseline,0.6757,False,0.6236,False,-1.0,2.5,squad,mistral
Super Bowl 50 determined the NFL champion for what season?,2015,The Super Bowl 50 determined the NFL champion for the 2015 season.,strict,hcpc_v1,0.6757,False,0.6186,False,-1.0,1.91,squad,mistral
Super Bowl 50 determined the NFL champion for what season?,2015,The Super Bowl 50 determined the NFL champion for the 2015 season.,strict,hcpc_v2,0.6757,False,0.6236,True,0.4842,3.76,squad,mistral
Which team won Super Bowl 50.,Denver Broncos,The Denver Broncos won Super Bowl 50.,strict,baseline,0.9247,False,0.6228,False,-1.0,1.32,squad,mistral
Which team won Super Bowl 50.,Denver Broncos,The Broncos won Super Bowl 50.,strict,hcpc_v1,0.8937,False,0.6155,False,-1.0,1.32,squad,mistral
Which team won Super Bowl 50.,Denver Broncos,The Denver Broncos won Super Bowl 50.,strict,hcpc_v2,0.9247,False,0.6228,False,0.5701,3.53,squad,mistral
Where was Super Bowl 50 held?,"Santa Clara, California.","Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",strict,baseline,0.9411,False,0.6592,False,-1.0,2.98,squad,mistral
Where was Super Bowl 50 held?,"Santa Clara, California.","The provided context does not specify the exact location of Super Bowl 50, but it states that it was the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985. However, it also mentions that Super Bowl XIX was held at Stanford Stadium in Stanford, California, so it's reasonable to infer that Super Bowl 50 might have been held there as well, but the context does not confirm this directly.",strict,hcpc_v1,0.5334,False,0.6366,False,-1.0,5.57,squad,mistral
Where was Super Bowl 50 held?,"Santa Clara, California.","Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",strict,hcpc_v2,0.9411,False,0.6592,False,0.6083,4.24,squad,mistral
The name of the NFL championship game is?,Super Bowl,Super Bowl 50,strict,baseline,0.6293,False,0.5081,False,-1.0,2.0,squad,mistral
The name of the NFL championship game is?,Super Bowl,"I cannot find the name of the NFL championship game in the provided context. However, it is typically referred to as the Super Bowl.",strict,hcpc_v1,0.6756,False,0.5113,False,-1.0,2.4,squad,mistral
The name of the NFL championship game is?,Super Bowl,Super Bowl 50,strict,hcpc_v2,0.6293,False,0.5081,True,0.5192,3.33,squad,mistral
What 2015 NFL team one the AFC playoff?,Denver Broncos,The Denver Broncos,strict,baseline,0.6985,False,0.5456,False,-1.0,3.08,squad,mistral
What 2015 NFL team one the AFC playoff?,Denver Broncos,"The provided context does not specify which 2015 NFL team won the AFC Championship Game and advanced to Super Bowl 50. However, it is implied that the team in question is the Denver Broncos, as they defeated the New England Patriots to earn home-field advantage throughout the AFC playoffs and denied them a chance to defend their title from Super Bowl XLIX.",strict,hcpc_v1,0.8467,False,0.5624,False,-1.0,5.0,squad,mistral
What 2015 NFL team one the AFC playoff?,Denver Broncos,The Denver Broncos,strict,hcpc_v2,0.6985,False,0.5456,False,0.5132,3.38,squad,mistral
