condition,question,ground_truth,answer,faithfulness_score,is_hallucination,retrieval_latency_ms,generation_latency_ms,total_latency_ms,indexing_cost_note,dataset,model,base_index_s,raptor_index_s
crag,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence, The school in which the Wilmslow Show is held is designated as a Centre of Excellence.,0.66,False,38.409,1044.944,1083.353,,hotpotqa,mistral,7.967,134.013
raptor_2l,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence," The school in which the Wilmslow Show is held is designated as ""good"" by Ofsted.",0.7278,False,10.531,1527.616,1538.146,,hotpotqa,mistral,7.967,134.013
hcpc_v2,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan, I cannot find this information in the provided context. The context does not mention any upcoming British drama film directed by Dominic Cooke featuring Billy Howle.,0.6323,False,56.787,1782.145,1838.932,,hotpotqa,mistral,7.967,134.013
crag,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan," Saoirse Ronan (in the drama ""On Chesil Beach"")",0.7317,False,34.54,929.896,964.436,,hotpotqa,mistral,7.967,134.013
raptor_2l,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan, Saoirse Ronan,0.519,False,10.718,1004.389,1015.107,,hotpotqa,mistral,7.967,134.013
hcpc_v2,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax, I cannot find this information in the provided context. The context does not mention any animated movie featuring music written and produced by Kool Kojak.,0.6949,False,61.391,1906.636,1968.027,,hotpotqa,mistral,7.967,134.013
crag,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax, I cannot find this information in the provided context. The context does not mention any animated movie featuring music written and produced by Kool Kojak.,0.6949,False,22.545,1516.784,1539.329,,hotpotqa,mistral,7.967,134.013
raptor_2l,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax, I cannot find this information in the provided context. The context does not mention any animated movie that features music from Kool Kojak and stars Danny DeVito.,0.6156,False,10.281,1984.256,1994.537,,hotpotqa,mistral,7.967,134.013
hcpc_v2,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins," I cannot find this information in the provided context. The actors mentioned in the context are Jean-Claude Van Damme and Matt Battaglia, but none of them have been associated with the movies you've mentioned (Holby City, Doctor Strange, The Bourne Ultimatum, and Zero Dark Thirty).",0.4162,True,38.869,3361.23,3400.1,,hotpotqa,mistral,7.967,134.013
crag,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins," I cannot find this information in the provided context. The actors mentioned in the context only played roles in the Universal Soldier franchise, and no other films such as Holby City, Doctor Strange, the Bourne Ultimatum, or Zero Dark Thirty are mentioned.",0.7436,False,50.716,2816.504,2867.219,,hotpotqa,mistral,7.967,134.013
raptor_2l,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins," I cannot find this information in the provided context. The actors mentioned in the context are Jean-Claude Van Damme and Matt Battaglia, but none of them have been associated with the movies ""Holby City,"" ""Doctor Strange,"" ""The Bourne Ultimatum,"" or ""Zero Dark Thirty.""",0.4322,True,10.233,3594.029,3604.263,,hotpotqa,mistral,7.967,134.013
hcpc_v2,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace, I cannot find this information in the provided context. The context does not mention any connection between Tommy's Honour and a 2016 BBC miniseries.,0.5213,False,49.514,1855.762,1905.276,,hotpotqa,mistral,7.967,134.013
crag,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace, I cannot find this information in the provided context. The context does not mention any other works of the actors involved in Tommy's Honour.,0.5079,False,27.953,1366.169,1394.122,,hotpotqa,mistral,7.967,134.013
raptor_2l,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace, I cannot find this information in the provided context.,0.5531,False,11.13,1150.241,1161.371,,hotpotqa,mistral,7.967,134.013
hcpc_v2,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil, Midnight Oil chose its name by drawing it out of a hat.,0.6932,False,52.305,1097.239,1149.544,,hotpotqa,mistral,7.967,134.013
crag,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil, Midnight Oil chose its name by drawing it out of a hat.,0.6932,False,49.463,1043.772,1093.235,,hotpotqa,mistral,7.967,134.013
raptor_2l,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil, Midnight Oil chose its name by drawing it out of a hat.,0.6932,False,10.896,1579.904,1590.8,,hotpotqa,mistral,7.967,134.013
hcpc_v2,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967, I cannot find the birth year of the artist Daler Mehndi in the provided context.,0.5753,False,56.692,1413.007,1469.7,,hotpotqa,mistral,7.967,134.013
crag,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967, I cannot find the birth year of the artist Daler Mehndi in the provided context.,0.5753,False,41.637,1099.453,1141.09,,hotpotqa,mistral,7.967,134.013
raptor_2l,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967," I cannot find this information in the provided context. The context does not mention the birth year of Daler Mehndi, the artist who created ""Tunak Tunak Tun.""",0.6761,False,10.582,2623.046,2633.628,,hotpotqa,mistral,7.967,134.013
hcpc_v2,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill, Captain John Underhill launched the attack that led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population.,0.5854,False,63.037,2515.948,2578.985,,hotpotqa,mistral,7.967,134.013
crag,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill, Captain John Underhill launched the attack that led to more casualties than any other incident in the war.,0.7696,False,49.814,1156.221,1206.035,,hotpotqa,mistral,7.967,134.013
raptor_2l,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill," Captain John Underhill launched the attack that led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population. This battle was the Pound Ridge massacre, which took place during Kieft's War in March 1644 at a Wappinger Confederacy village in the present-day town of Pound Ridge, New York.",0.4801,True,10.876,4962.619,4973.495,,hotpotqa,mistral,7.967,134.013
hcpc_v2,In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders," The context does not provide information about which other film Emilio Estevez starred in the same year as ""Nightmares"". However, it is known that he acted in the 1983 hit movie ""The Outsiders"" along with ""Nightmares"", according to the provided context.",0.5729,False,57.324,3128.112,3185.436,,hotpotqa,mistral,7.967,134.013
crag,In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders," The context does not provide information about which other film Emilio Estevez starred in the same year as ""Nightmares"". However, it is known that he acted in the 1983 hit movie ""The Outsiders"" along with ""Nightmares"", according to the provided context.",0.5729,False,50.36,3011.962,3062.321,,hotpotqa,mistral,7.967,134.013
raptor_2l,In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders," The context does not provide information about any other film released in the same year as ""Nightmares"" that Emilio Estevez starred in. However, it is known that Emilio Estevez acted in the 1983 hit movie ""The Outsiders,"" which was released in the same year as ""Nightmares.""",0.3286,True,10.183,3749.03,3759.213,,hotpotqa,mistral,7.967,134.013
hcpc_v2,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region," I cannot find information in the provided context about what kind of business Eric S. Pistorius worked for after being an attorney. The context only mentions that he was an attorney at law and specialized in personal injury, litigation, criminal defense, and collections.",0.5663,False,56.93,2763.579,2820.509,,hotpotqa,mistral,7.967,134.013
crag,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region," The provided context does not specify the name or nature of the law firm where Eric S. Pistorius worked as an attorney, so I cannot determine the concept of the business he was working for after being an attorney.",0.276,True,26.741,1962.845,1989.586,,hotpotqa,mistral,7.967,134.013
raptor_2l,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region," The provided context does not mention what kind of business Eric S. Pistorius worked for after being an attorney. It only states that he used to be an attorney at law and specialized in various areas such as personal injury, litigation, criminal defense, and collections.",0.5172,False,10.983,3131.147,3142.129,,hotpotqa,mistral,7.967,134.013
hcpc_v2,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung, I cannot find this information in the provided context. The context does not specify any location approximately 25 km north of the Lingnan Fine Arts Museum.,0.6796,False,50.518,1549.787,1600.305,,hotpotqa,mistral,7.967,134.013
crag,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung, I cannot find this information in the provided context. The context does not specify the location of the museum in relation to any port city.,0.6286,False,27.085,1197.545,1224.63,,hotpotqa,mistral,7.967,134.013
raptor_2l,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung, I cannot find this information in the provided context. The context does not mention any port city located approximately 25 km north of the Lingnan Fine Arts Museum.,0.7128,False,10.165,1967.782,1977.946,,hotpotqa,mistral,7.967,134.013
hcpc_v2,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,yes," I cannot find information about Édouard Roger-Vasselin's number of won events in the provided context, so I am unable to compare it with Stefan Edberg's record.",0.5395,False,34.435,2111.508,2145.943,,hotpotqa,mistral,7.967,134.013
crag,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,yes," I cannot find information about Édouard Roger-Vasselin's career achievements in the provided context, so it is not possible to compare his event wins with those of Stefan Edberg.",0.4327,True,50.021,1968.348,2018.368,,hotpotqa,mistral,7.967,134.013
raptor_2l,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,yes," Yes, according to the provided context, Stefan Edberg has won more events than Édouard Roger-Vasselin. However, the context does not specify the type of events, but it mentions that Edberg has won six Grand Slam singles titles and four Masters Series titles, while there is no mention of Roger-Vasselin's title count.",0.5561,False,10.282,3965.806,3976.088,,hotpotqa,mistral,7.967,134.013
hcpc_v2," Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",an organ, I cannot find this information in the provided context. The context does not mention any specific instrument related to Jason Regler's idea for the flashing wristbands.,0.6114,False,63.014,1921.753,1984.767,,hotpotqa,mistral,7.967,134.013
crag," Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",an organ, I cannot find this information in the provided context. The context does not mention any specific instrument related to Jason Regler's idea for the flashing wristbands.,0.6114,False,23.348,1645.028,1668.376,,hotpotqa,mistral,7.967,134.013
raptor_2l," Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",an organ, I cannot find this information in the provided context. The context does not mention any specific instrument related to Jason Regler's idea for the flashing wristbands.,0.6114,False,10.261,2130.928,2141.189,,hotpotqa,mistral,7.967,134.013
hcpc_v2, The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,the George Washington Bridge," I cannot find this information in the provided context. The context does not specify the location where The Soul of Buddha was filmed beyond stating it was shot at the Fox Studio in Fort Lee, New Jersey. However, Fort Lee is a borough located in Bergen County, New Jersey, which is the western terminus of the Henry Hudson Parkway and the Palisades Interstate Parkway.",0.6879,False,47.512,3653.673,3701.185,,hotpotqa,mistral,7.967,134.013
crag, The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,the George Washington Bridge, I cannot find this information in the provided context. The context does not mention the western terminus of the borough where The Soul of Buddha was shot.,0.567,False,27.888,1439.743,1467.631,,hotpotqa,mistral,7.967,134.013
raptor_2l, The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,the George Washington Bridge," I cannot find this information in the provided context. The context does not specify the location where The Soul of Buddha was filmed beyond it being shot at the Fox Studio in Fort Lee, New Jersey. However, Fort Lee is a borough located in Bergen County, New Jersey, which is the western terminus of the George Washington Bridge, not the Hudson River.",0.6045,False,10.448,3757.741,3768.188,,hotpotqa,mistral,7.967,134.013
hcpc_v2,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",Vitor Belfort, I cannot find this information in the provided context as it does not mention any Blackzilians fighters currently competing in the Middleweight division of the Ultimate Fighting Championship.,0.4797,True,31.234,1801.735,1832.968,,hotpotqa,mistral,7.967,134.013
crag,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",Vitor Belfort," I cannot find this information in the provided context as neither Rashad Evans, Vitor Belfort, Eddie Alvarez, Kelvin Gastelum, nor Samuel Alvey are confirmed to have been part of the Blackzilians team during their tenure at the UFC's Middleweight division.",0.5213,False,44.732,3036.96,3081.692,,hotpotqa,mistral,7.967,134.013
raptor_2l,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",Vitor Belfort," Kelvin Gastelum, who is not a part of the defunct Blackzilians team but is a professional mixed martial artist signed to the Ultimate Fighting Championship (UFC), is currently competing in the Middleweight division of the UFC. However, he was not a member of the Blackzilians team as per the provided context.",0.3971,True,11.512,3758.294,3769.806,,hotpotqa,mistral,7.967,134.013
hcpc_v2,"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",tip of the Baja California," I cannot find this information in the provided context. The context only mentions the location of Villa Unión in the north-eastern Mexican state of Coahuila, but it does not provide the location of the state of Sinaloa.",0.6413,False,29.176,2303.336,2332.512,,hotpotqa,mistral,7.967,134.013
crag,"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",tip of the Baja California," I cannot find this information in the provided context. The context only mentions the location of Villa Unión in the north-eastern Mexican state of Coahuila, but it does not provide the location of the state of Sinaloa.",0.6413,False,39.781,2205.309,2245.09,,hotpotqa,mistral,7.967,134.013
raptor_2l,"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",tip of the Baja California, I cannot find this information in the provided context. The context does not mention the location of the Mexican state after which Villa Unión is named.,0.632,False,10.523,1804.573,1815.095,,hotpotqa,mistral,7.967,134.013
hcpc_v2,"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",The Tugurt language," The Berber language, specifically the Tugurt variety, is traditionally written with the ancient Libyco-Berber script (Tifinagh) and is closely related to the Tumzabt and Teggargrent languages.",0.78,False,32.438,2751.401,2783.839,,hotpotqa,mistral,7.967,134.013
crag,"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",The Tugurt language," The Berber language, specifically the Tugurt variety, is traditionally written with the ancient Libyco-Berber script (Tifinagh) and is closely related to the Tumzabt and Teggargrent languages.",0.78,False,54.03,2509.422,2563.452,,hotpotqa,mistral,7.967,134.013
raptor_2l,"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",The Tugurt language," The provided context does not specify any particular Berber language that is closely related to Tumzabt and Teggargrent. However, it mentions that the Libyco-Berber script was traditionally used to write Berber languages, which constitute a branch of the Afroasiatic family. Therefore, it can be inferred that any Berber language could potentially be closely related to Tumzabt and Teggargrent, assuming they are also Berber languages.",0.6315,False,11.594,5061.487,5073.081,,hotpotqa,mistral,7.967,134.013
hcpc_v2,Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,Q, I cannot find this information in the provided context. The context does not mention any fictional head of a British Secret Service division or a one-time missionary being an inspiration for such a character.,0.6872,False,52.622,2031.131,2083.753,,hotpotqa,mistral,7.967,134.013
crag,Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,Q," I cannot find this information in the provided context as it pertains to a fictional character or a one-time missionary. The context only discusses Sidney Reilly, a real historical figure associated with the British Secret Service Bureau.",0.7553,False,27.924,2093.737,2121.661,,hotpotqa,mistral,7.967,134.013
raptor_2l,Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,Q, I cannot find this information in the provided context. The context does not mention any fictional head of a British Secret Service division or a one-time missionary who inspired such a character.,0.7059,False,10.552,2552.937,2563.488,,hotpotqa,mistral,7.967,134.013
hcpc_v2,Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,2002, I cannot find the specific year when Philip Pullman's book set in a parallel universe featuring Lyra Belacqua was put into audio format in the provided context.,0.5569,False,48.509,1914.417,1962.926,,hotpotqa,mistral,7.967,134.013
crag,Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,2002, I cannot find the specific year when Philip Pullman's book set in a parallel universe featuring Lyra Belacqua was put into audio format in the provided context.,0.5569,False,55.794,1820.626,1876.42,,hotpotqa,mistral,7.967,134.013
raptor_2l,Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,2002," I cannot find this information in the provided context. The context does not mention any details about when Philip Pullman's ""Lyra's Oxford"" was put into audio format.",0.5788,False,10.403,2455.555,2465.958,,hotpotqa,mistral,7.967,134.013
hcpc_v2,Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,Oliver Parker," I cannot find this information in the provided context as it only mentions the directors for the first and original Johnny English film, not the second one.",0.5051,False,35.086,1710.385,1745.471,,hotpotqa,mistral,7.967,134.013
crag,Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,Oliver Parker," I cannot find information about the director for the second film in the Johnny English series, as the provided context only mentions the first film and does not specify any subsequent films.",0.6917,False,51.609,1787.233,1838.842,,hotpotqa,mistral,7.967,134.013
raptor_2l,Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,Oliver Parker, I cannot find this information in the provided context. The context does not mention any director for the second film in a British series of action comedy films parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character.,0.5826,False,10.474,2989.778,3000.252,,hotpotqa,mistral,7.967,134.013
hcpc_v2,George Gershwin is an American Composer and Judith Weir is a composer from which country?,a British composer, I cannot find information about Judith Weir in the provided context.,0.564,False,51.56,952.808,1004.369,,hotpotqa,mistral,7.967,134.013
crag,George Gershwin is an American Composer and Judith Weir is a composer from which country?,a British composer, I cannot find information about Judith Weir in the provided context.,0.564,False,28.101,740.842,768.943,,hotpotqa,mistral,7.967,134.013
raptor_2l,George Gershwin is an American Composer and Judith Weir is a composer from which country?,a British composer, I cannot find information about Judith Weir's nationality in the provided context.,0.5848,False,10.349,1443.018,1453.367,,hotpotqa,mistral,7.967,134.013
hcpc_v2,What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,Rafael Márquez, I cannot find the name of Juan Manuel Márquez's younger brother mentioned in the provided context.,0.7526,False,37.697,1513.807,1551.504,,hotpotqa,mistral,7.967,134.013
crag,What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,Rafael Márquez, I cannot find the name of Juan Manuel Márquez's younger brother mentioned in the provided context.,0.7526,False,52.016,1354.813,1406.829,,hotpotqa,mistral,7.967,134.013
raptor_2l,What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,Rafael Márquez, I cannot find this information in the provided context. The context does not mention any younger brother of Juan Manuel Márquez who held a WBO championship.,0.7223,False,14.503,2359.114,2373.616,,hotpotqa,mistral,7.967,134.013
hcpc_v2,The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,South Korea," South Korea, according to the provided context about the Running Man Brothers. However, it's important to note that there are two individuals named Kim Jong-kook in the context, one being a pop duo member and the other a baseball player. The context only mentions the pop duo member as being from South Korea.",0.6528,False,35.083,3142.408,3177.491,,hotpotqa,mistral,7.967,134.013
crag,The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,South Korea," South Korea, according to the provided context about the Running Man Brothers. However, there are two different individuals named Kim Jong-kook mentioned in the context, one being a member of the pop duo and the other a baseball player. Without additional information, it's not possible to determine which specific Kim Jong-kook is from Gwangju, South Korea, as both share the same nationality.",0.5196,False,48.555,3789.97,3838.525,,hotpotqa,mistral,7.967,134.013
raptor_2l,The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,South Korea, South Korea,0.5936,False,10.359,842.181,852.54,,hotpotqa,mistral,7.967,134.013
hcpc_v2,Ruddles Brewery is owned by a pub retailer and brewer based in what city?,Bury St Edmunds," Bury St Edmunds, Suffolk, England.",0.4787,True,30.32,824.821,855.141,,hotpotqa,mistral,7.967,134.013
crag,Ruddles Brewery is owned by a pub retailer and brewer based in what city?,Bury St Edmunds," Bury St Edmunds, Suffolk, England.",0.4787,True,49.006,788.999,838.005,,hotpotqa,mistral,7.967,134.013
raptor_2l,Ruddles Brewery is owned by a pub retailer and brewer based in what city?,Bury St Edmunds," I cannot find this information in the provided context. The context does not mention the location of Greene King, the company that owns Ruddles Brewery.",0.7435,False,11.286,2012.174,2023.46,,hotpotqa,mistral,7.967,134.013
hcpc_v2,The creator of the Lisa Simpson character was born in what year?,1954," I cannot find this information in the provided context. The context only mentions that Matt Groening created and designed Lisa Simpson, but it does not provide any details about his birth year.",0.4778,True,33.326,2121.718,2155.045,,hotpotqa,mistral,7.967,134.013
crag,The creator of the Lisa Simpson character was born in what year?,1954, I cannot find this information in the provided context. The context does not mention who created the Lisa Simpson character.,0.732,False,50.195,1266.486,1316.681,,hotpotqa,mistral,7.967,134.013
raptor_2l,The creator of the Lisa Simpson character was born in what year?,1954, Martha Maria Yeardley Smith was born in 1964.,0.6628,False,10.536,1377.961,1388.497,,hotpotqa,mistral,7.967,134.013
hcpc_v2,Where is the international airport which Eagle Aviation wet lease operations were based in located ,France.," I cannot find the location of the international airport where Eagle Aviation's wet lease operations were based in the provided context. The context only mentions that Eagle Aviation's wet lease operations were based in Paris at Charles de Gaulle Airport, but it does not specify the country or provide any other information about an international airport.",0.7355,False,60.501,3487.285,3547.785,,hotpotqa,mistral,7.967,134.013
crag,Where is the international airport which Eagle Aviation wet lease operations were based in located ,France.," The international airport where Eagle Aviation's wet lease operations were based is located in Paris, specifically at Charles de Gaulle Airport.",0.642,False,28.224,1334.721,1362.945,,hotpotqa,mistral,7.967,134.013
raptor_2l,Where is the international airport which Eagle Aviation wet lease operations were based in located ,France.," The international airport where Eagle Aviation's wet lease operations were based is Charles de Gaulle Airport, located in Paris, France.",0.7657,False,10.157,2103.562,2113.719,,hotpotqa,mistral,7.967,134.013
hcpc_v2,What occupation was shared by David Yates and Pietro Germi?,director," I cannot find that David Yates and Pietro Germi shared the same occupation based on the provided context. The context only mentions that Pietro Germi was an actor, screenwriter, and director, while David Yates is a filmmaker who has directed feature films, short films, and television productions.",0.6455,False,52.883,2902.697,2955.58,,hotpotqa,mistral,7.967,134.013
crag,What occupation was shared by David Yates and Pietro Germi?,director," I cannot find that David Yates and Pietro Germi shared the same occupation in the provided context. The context only mentions that Pietro Germi was an actor, screenwriter, and director, while David Yates is described as a filmmaker who has directed feature films, short films, and television productions.",0.5715,False,35.554,2836.708,2872.262,,hotpotqa,mistral,7.967,134.013
raptor_2l,What occupation was shared by David Yates and Pietro Germi?,director," I cannot find that David Yates and Pietro Germi share the same occupation in the provided context. Both are associated with filmmaking, but they have different roles - David Yates is a filmmaker (director) while Pietro Germi was an actor, screenwriter, and director.",0.4519,True,9.995,3091.522,3101.518,,hotpotqa,mistral,7.967,134.013
hcpc_v2,Who sang lead vocals on the Oasis hit single which had an acoustic debut in drummer Tony McCarroll's last concert ? ,Noel Gallagher," I cannot find this information in the provided context. The context does not specify which hit single was played during Tony McCarroll's last concert, nor does it mention who sang lead vocals for that specific song.",0.6126,False,39.191,2308.018,2347.209,,hotpotqa,mistral,7.967,134.013
crag,Who sang lead vocals on the Oasis hit single which had an acoustic debut in drummer Tony McCarroll's last concert ? ,Noel Gallagher," I cannot find this information in the provided context. The context does not specify any particular song or concert where Tony McCarroll played his last concert with Oasis, and it does not mention who sang lead vocals during that performance.",0.6828,False,52.452,2241.588,2294.04,,hotpotqa,mistral,7.967,134.013
