condition,question,ground_truth,answer,faithfulness_score,is_hallucination,retrieval_latency_ms,generation_latency_ms,total_latency_ms,indexing_cost_note,dataset,model,base_index_s,raptor_index_s
crag,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",0.5107,False,51.142,2020.31,2071.452,,squad,mistral,8.01,175.354
raptor_2l,What was the theme of Super Bowl 50?,"""golden anniversary"""," The theme of Super Bowl 50 was ""Golden Anniversary"".",0.8925,False,7.194,1434.377,1441.571,,squad,mistral,8.01,175.354
hcpc_v2,What day was the game played on?,"February 7, 2016"," The game was played on February 1, 2016.",0.884,False,63.503,1309.76,1373.263,,squad,mistral,8.01,175.354
crag,What day was the game played on?,"February 7, 2016"," I cannot find this information in the provided context. The context only mentions the date when Super Bowl Opening Night was held, but it does not specify the date of the actual game.",0.7623,False,31.013,1699.768,1730.781,,squad,mistral,8.01,175.354
raptor_2l,What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",0.8967,False,7.504,1438.737,1446.241,,squad,mistral,8.01,175.354
hcpc_v2,What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",0.697,False,58.287,1659.009,1717.296,,squad,mistral,8.01,175.354
crag,What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",0.697,False,19.417,1379.41,1398.827,,squad,mistral,8.01,175.354
raptor_2l,What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, in the context of American football, AFC typically stands for ""American Football Conference.""",0.6259,False,7.571,1857.956,1865.526,,squad,mistral,8.01,175.354
hcpc_v2,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention any specific theme for Super Bowl 50 other than it emphasizing the ""golden anniversary"" with various gold-themed initiatives.",0.7738,False,50.566,1939.391,1989.956,,squad,mistral,8.01,175.354
crag,What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",0.5107,False,45.292,2110.356,2155.648,,squad,mistral,8.01,175.354
raptor_2l,What was the theme of Super Bowl 50?,"""golden anniversary"""," The theme of Super Bowl 50 was ""Golden Anniversary"".",0.8925,False,10.056,1512.705,1522.761,,squad,mistral,8.01,175.354
hcpc_v2,What does AFC stand for?,American Football Conference, AFC stands for American Football Conference.,0.982,False,51.807,831.183,882.99,,squad,mistral,8.01,175.354
crag,What does AFC stand for?,American Football Conference, AFC stands for American Football Conference.,0.982,False,20.337,498.183,518.521,,squad,mistral,8.01,175.354
raptor_2l,What does AFC stand for?,American Football Conference, AFC stands for American Football Conference.,0.982,False,8.062,795.027,803.089,,squad,mistral,8.01,175.354
hcpc_v2,What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,32.706,1218.325,1251.03,,squad,mistral,8.01,175.354
crag,What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,47.22,995.125,1042.345,,squad,mistral,8.01,175.354
raptor_2l,What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",0.8567,False,7.088,1507.344,1514.432,,squad,mistral,8.01,175.354
hcpc_v2,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,58.65,1056.193,1114.842,,squad,mistral,8.01,175.354
crag,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,37.153,748.996,786.15,,squad,mistral,8.01,175.354
raptor_2l,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,7.738,1298.84,1306.577,,squad,mistral,8.01,175.354
hcpc_v2,What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6918,False,54.411,1315.634,1370.045,,squad,mistral,8.01,175.354
crag,What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6918,False,51.392,1085.427,1136.819,,squad,mistral,8.01,175.354
raptor_2l,What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in Santa Clara, California",0.793,False,7.32,1212.888,1220.207,,squad,mistral,8.01,175.354
hcpc_v2,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,54.816,1516.408,1571.224,,squad,mistral,8.01,175.354
crag,What city did Super Bowl 50 take place in?,Santa Clara, San Francisco Bay Area,0.4784,True,49.469,597.382,646.852,,squad,mistral,8.01,175.354
raptor_2l,What city did Super Bowl 50 take place in?,Santa Clara," Santa Clara (specifically Levi's Stadium) in the San Francisco Bay Area, California",0.5782,False,7.84,1656.996,1664.836,,squad,mistral,8.01,175.354
hcpc_v2,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used, as stated in the context.",0.4443,True,54.737,1655.42,1710.157,,squad,mistral,8.01,175.354
crag,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Super Bowl 50 would have been called ""Super Bowl L"" if Roman numerals had been used.",0.5494,False,41.954,1162.628,1204.582,,squad,mistral,8.01,175.354
raptor_2l,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Super Bowl 50 would have been called ""Super Bowl L"" if Roman numerals had been used.",0.5494,False,7.963,1720.05,1728.014,,squad,mistral,8.01,175.354
hcpc_v2,Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,False,33.242,1270.946,1304.187,,squad,mistral,8.01,175.354
crag,Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,False,37.222,1011.353,1048.575,,squad,mistral,8.01,175.354
raptor_2l,Super Bowl 50 decided the NFL champion for what season?,2015, Super Bowl 50 decided the NFL champion for the 2015 season.,0.7112,False,7.849,1584.194,1592.043,,squad,mistral,8.01,175.354
hcpc_v2,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it implies that the event happened after their regular season in 2015 (as they played against the Panthers in Super Bowl 50). However, to confirm the exact year, additional information or context would be needed.",0.7652,False,31.1,3297.322,3328.423,,squad,mistral,8.01,175.354
crag,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Denver Broncos won Super Bowl 50, but it does not specify the year. To determine the year, one would need to know that Super Bowl 50 was held on February 7, 2016.",0.672,False,35.314,2886.105,2921.419,,squad,mistral,8.01,175.354
raptor_2l,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015, The Denver Broncos secured a Super Bowl title for the third time in the year 2015.,0.7632,False,8.549,1447.114,1455.663,,squad,mistral,8.01,175.354
hcpc_v2,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,52.656,1456.061,1508.717,,squad,mistral,8.01,175.354
crag,What city did Super Bowl 50 take place in?,Santa Clara, San Francisco Bay Area,0.4784,True,46.32,590.341,636.662,,squad,mistral,8.01,175.354
raptor_2l,What city did Super Bowl 50 take place in?,Santa Clara," Santa Clara (specifically Levi's Stadium) in the San Francisco Bay Area, California",0.5782,False,8.375,1607.975,1616.349,,squad,mistral,8.01,175.354
hcpc_v2,What stadium did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,0.5799,False,34.748,483.938,518.686,,squad,mistral,8.01,175.354
crag,What stadium did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,0.5799,False,46.098,623.06,669.158,,squad,mistral,8.01,175.354
raptor_2l,What stadium did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in Santa Clara, California",0.793,False,7.818,1224.598,1232.416,,squad,mistral,8.01,175.354
hcpc_v2,What was the final score of Super Bowl 50? ,24–10," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",0.8695,False,56.042,2098.411,2154.453,,squad,mistral,8.01,175.354
crag,What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10 (Denver Broncos vs Carolina Panthers).,0.8873,False,40.451,1310.139,1350.59,,squad,mistral,8.01,175.354
raptor_2l,What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10 in favor of the Denver Broncos.,0.7805,False,7.862,1752.914,1760.776,,squad,mistral,8.01,175.354
hcpc_v2,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",0.945,False,57.361,1040.088,1097.45,,squad,mistral,8.01,175.354
crag,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",0.945,False,47.55,1177.336,1224.886,,squad,mistral,8.01,175.354
raptor_2l,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," February 7, 2016",0.6229,False,7.918,1239.184,1247.102,,squad,mistral,8.01,175.354
hcpc_v2,What year was Super Bowl 50?,2015," The provided context states that Super Bowl 50 was played on February 7, 2016.",0.9731,False,33.08,1171.931,1205.011,,squad,mistral,8.01,175.354
crag,What year was Super Bowl 50?,2015," The provided context does not specify the exact year when Super Bowl 50 took place, but we can infer that it happened in 2016 since the game was played on February 7, 2016.",0.6406,False,39.248,2162.647,2201.895,,squad,mistral,8.01,175.354
raptor_2l,What year was Super Bowl 50?,2015, 2016,1.0,False,7.811,1038.943,1046.754,,squad,mistral,8.01,175.354
hcpc_v2,What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,0.6101,False,34.115,895.491,929.606,,squad,mistral,8.01,175.354
crag,What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,0.6101,False,38.495,694.742,733.237,,squad,mistral,8.01,175.354
raptor_2l,What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,0.6101,False,8.059,1057.32,1065.378,,squad,mistral,8.01,175.354
hcpc_v2,What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,0.806,False,33.011,978.783,1011.794,,squad,mistral,8.01,175.354
crag,What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,0.806,False,61.403,847.216,908.619,,squad,mistral,8.01,175.354
raptor_2l,What team was the NFC champion?,Carolina Panthers, The Carolina Panthers were the NFC champion in the 2015 NFL season.,0.7093,False,8.133,1472.957,1481.09,,squad,mistral,8.01,175.354
hcpc_v2,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,57.724,1007.9,1065.624,,squad,mistral,8.01,175.354
crag,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,39.005,706.547,745.552,,squad,mistral,8.01,175.354
raptor_2l,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,7.454,1267.148,1274.602,,squad,mistral,8.01,175.354
hcpc_v2,Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,0.6757,False,53.335,1084.362,1137.697,,squad,mistral,8.01,175.354
crag,Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,0.6757,False,38.783,1033.751,1072.533,,squad,mistral,8.01,175.354
raptor_2l,Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,0.6757,False,7.823,1515.846,1523.669,,squad,mistral,8.01,175.354
hcpc_v2,Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,33.304,623.319,656.624,,squad,mistral,8.01,175.354
crag,Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,50.092,843.158,893.25,,squad,mistral,8.01,175.354
raptor_2l,Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,8.138,1339.658,1347.796,,squad,mistral,8.01,175.354
hcpc_v2,Where was Super Bowl 50 held?,"Santa Clara, California."," Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",0.9411,False,32.749,1197.35,1230.099,,squad,mistral,8.01,175.354
crag,Where was Super Bowl 50 held?,"Santa Clara, California."," Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",0.9411,False,46.17,1222.107,1268.278,,squad,mistral,8.01,175.354
raptor_2l,Where was Super Bowl 50 held?,"Santa Clara, California."," Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",0.9411,False,7.122,1652.726,1659.847,,squad,mistral,8.01,175.354
hcpc_v2,The name of the NFL championship game is?,Super Bowl, Super Bowl 50,0.6293,False,54.754,501.345,556.099,,squad,mistral,8.01,175.354
crag,The name of the NFL championship game is?,Super Bowl," The context does not provide the name of the NFL championship game. However, it mentions that Super Bowl 50 was the NFL championship game for the 2015 season.",0.7164,False,30.702,1746.659,1777.362,,squad,mistral,8.01,175.354
raptor_2l,The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game, as mentioned in the provided context, is Super Bowl 50.",0.6706,False,7.741,1758.561,1766.302,,squad,mistral,8.01,175.354
hcpc_v2,What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos,0.6985,False,33.563,668.86,702.423,,squad,mistral,8.01,175.354
crag,What 2015 NFL team one the AFC playoff?,Denver Broncos," The provided context does not specify which 2015 NFL team won the AFC playoffs, but it does state that the Denver Broncos represented the AFC in Super Bowl 50 and went on to win. Therefore, we can infer that the Denver Broncos were the winners of the AFC playoffs for the 2015 season.",0.5273,False,32.983,3303.521,3336.504,,squad,mistral,8.01,175.354
raptor_2l,What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos won the AFC Championship Game in the 2015 NFL season and advanced to the Super Bowl.,0.6871,False,7.891,1743.496,1751.388,,squad,mistral,8.01,175.354
hcpc_v2,Which Carolina Panthers player was named Most Valuable Player?,Cam Newton, I cannot find this information in the provided context. The context does not mention any MVP award for the Carolina Panthers or any individual player.,0.7602,False,62.629,1937.04,1999.669,,squad,mistral,8.01,175.354
crag,Which Carolina Panthers player was named Most Valuable Player?,Cam Newton, I cannot find this information in the provided context. The context does not mention any MVP awards for the Carolina Panthers players.,0.7426,False,40.807,1472.744,1513.551,,squad,mistral,8.01,175.354
raptor_2l,Which Carolina Panthers player was named Most Valuable Player?,Cam Newton, Cam Newton,1.0,False,7.502,857.135,864.637,,squad,mistral,8.01,175.354
hcpc_v2,How many appearances have the Denver Broncos made in the Super Bowl?,8, The Denver Broncos have made 8 appearances in the Super Bowl.,0.5777,False,33.492,1245.031,1278.523,,squad,mistral,8.01,175.354
crag,How many appearances have the Denver Broncos made in the Super Bowl?,8, The Denver Broncos have made eight appearances in the Super Bowl.,0.5994,False,52.099,965.679,1017.778,,squad,mistral,8.01,175.354
raptor_2l,How many appearances have the Denver Broncos made in the Super Bowl?,8, The Denver Broncos have made 8 appearances in the Super Bowl.,0.5777,False,8.155,1437.61,1445.765,,squad,mistral,8.01,175.354
hcpc_v2,What year was the Carolina Panthers franchise founded?,1995, I cannot find this information in the provided context. The context does not mention the year when the Carolina Panthers franchise was founded.,0.6925,False,57.674,1632.168,1689.842,,squad,mistral,8.01,175.354
crag,What year was the Carolina Panthers franchise founded?,1995," I cannot find this information in the provided context. The context only discusses events from the 2015 season, but does not mention when the Carolina Panthers franchise was founded.",0.5546,False,29.897,1640.678,1670.575,,squad,mistral,8.01,175.354
raptor_2l,What year was the Carolina Panthers franchise founded?,1995, I cannot find this information in the provided context. The context does not mention the year when the Carolina Panthers franchise was founded.,0.6925,False,10.973,1868.085,1879.059,,squad,mistral,8.01,175.354
hcpc_v2,What team did the Panthers defeat?,Arizona Cardinals," The provided context does not mention which team the Panthers defeated in the second half of the game described. However, earlier in the context, it is mentioned that they beat the Seattle Seahawks and Arizona Cardinals in the divisional round and NFC Championship Game respectively.",0.7716,False,36.511,2931.586,2968.097,,squad,mistral,8.01,175.354
crag,What team did the Panthers defeat?,Arizona Cardinals," The provided context mentions that the Panthers defeated the Seattle Seahawks and Arizona Cardinals in the playoffs. However, it does not specify which game is being referred to in the question about the second half of a game. Therefore, I cannot definitively say which team they defeated in the specific game mentioned in the question.",0.7491,False,53.262,2974.381,3027.643,,squad,mistral,8.01,175.354
raptor_2l,What team did the Panthers defeat?,Arizona Cardinals," The provided context does not mention any specific team that the Carolina Panthers defeated other than the Seattle Seahawks in the divisional round and the Arizona Cardinals in the NFC Championship Game. However, it is implied that they reached the Super Bowl 50, but no opponent is mentioned there either.",0.892,False,8.129,3016.724,3024.852,,squad,mistral,8.01,175.354
hcpc_v2,Who did the Broncos prevent from going to the Super Bowl?,New England Patriots," The provided context does not specify who the Broncos prevented from going to the Super Bowl. However, it is implied that they defeated the New England Patriots in the AFC Championship Game, which means they prevented them from advancing to the Super Bowl.",0.8595,False,49.371,2453.152,2502.523,,squad,mistral,8.01,175.354
crag,Who did the Broncos prevent from going to the Super Bowl?,New England Patriots, The New England Patriots were prevented by the Broncos from going to the Super Bowl.,0.5012,False,34.881,816.776,851.658,,squad,mistral,8.01,175.354
raptor_2l,Who did the Broncos prevent from going to the Super Bowl?,New England Patriots," The provided context does not specify which team the Denver Broncos prevented from going to the Super Bowl. However, it is mentioned that they defeated the New England Patriots in the AFC Championship Game, so it can be inferred that they prevented them from reaching the Super Bowl.",0.6275,False,7.526,2719.889,2727.415,,squad,mistral,8.01,175.354
hcpc_v2,Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals, The Carolina Panthers beat the Arizona Cardinals in the NFC Championship Game.,0.9783,False,35.139,1239.454,1274.593,,squad,mistral,8.01,175.354
crag,Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals, The Panthers beat the Arizona Cardinals in the NFC Championship Game.,0.9736,False,34.091,830.844,864.935,,squad,mistral,8.01,175.354
raptor_2l,Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals," The provided context does not specify who the Carolina Panthers beat in the NFC Championship Game. However, it is mentioned that they blew out the Arizona Cardinals in this game with a score of 49–15.",0.7547,False,7.403,2553.796,2561.2,,squad,mistral,8.01,175.354
hcpc_v2,Who lost to the Broncos in the AFC Championship?,New England Patriots, The New England Patriots lost to the Broncos in the AFC Championship.,0.7878,False,51.862,1009.096,1060.958,,squad,mistral,8.01,175.354
crag,Who lost to the Broncos in the AFC Championship?,New England Patriots, The New England Patriots lost to the Broncos in the AFC Championship.,0.7878,False,33.431,908.436,941.867,,squad,mistral,8.01,175.354
raptor_2l,Who lost to the Broncos in the AFC Championship?,New England Patriots, The New England Patriots lost to the Broncos in the AFC Championship.,0.7878,False,7.226,1285.774,1293.0,,squad,mistral,8.01,175.354
hcpc_v2,Who were the defending Super Bowl champions?,New England Patriots," The New England Patriots were the defending Super Bowl champions as they won Super Bowl XLIX in the previous season (2014-2015 season). However, they were defeated by the Denver Broncos in the AFC Championship Game of the 2015-2016 season, and thus did not defend their title in Super Bowl 50.",0.5188,False,55.744,3807.462,3863.206,,squad,mistral,8.01,175.354
crag,Who were the defending Super Bowl champions?,New England Patriots," I cannot find this information in the provided context as it does not mention who the defending Super Bowl champions were before Super Bowl 50. The context only mentions that the Denver Broncos won Super Bowl 50, but not their previous appearances or victories.",0.6269,False,47.437,2727.223,2774.66,,squad,mistral,8.01,175.354
raptor_2l,Who were the defending Super Bowl champions?,New England Patriots," The New England Patriots were the defending Super Bowl champions as they had won Super Bowl XLIX in the previous season (2014-2015). However, they were defeated by the Denver Broncos in the AFC Championship Game of the 2015 NFL season, and thus did not defend their title in Super Bowl 50.",0.5343,False,7.925,3969.793,3977.718,,squad,mistral,8.01,175.354
hcpc_v2,How many teams have been in the Super Bowl eight times?,four," Four teams have been in the Super Bowl eight times, according to the provided context. These are the Denver Broncos, New England Patriots, Dallas Cowboys, and Pittsburgh Steelers.",0.7543,False,57.099,2210.464,2267.562,,squad,mistral,8.01,175.354
crag,How many teams have been in the Super Bowl eight times?,four," Four teams have been in the Super Bowl eight times, according to the provided context.",0.6022,False,30.623,784.574,815.197,,squad,mistral,8.01,175.354
raptor_2l,How many teams have been in the Super Bowl eight times?,four," Four teams have been in the Super Bowl eight times according to the provided context. These are the Denver Broncos, Dallas Cowboys, Pittsburgh Steelers, and New England Patriots.",0.7483,False,8.09,2365.892,2373.982,,squad,mistral,8.01,175.354
hcpc_v2,Who was this season's NFL MVP?,Cam Newton, Cam Newton,1.0,False,62.24,767.639,829.879,,squad,mistral,8.01,175.354
crag,Who was this season's NFL MVP?,Cam Newton, Cam Newton,1.0,False,39.57,221.895,261.465,,squad,mistral,8.01,175.354
raptor_2l,Who was this season's NFL MVP?,Cam Newton, Cam Newton,1.0,False,8.107,639.669,647.776,,squad,mistral,8.01,175.354
hcpc_v2,What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,15–1, The Carolina Panthers had a win/loss ratio of 15-1 during their regular season in 2015.,0.5198,False,37.416,15942.829,15980.245,,squad,mistral,8.01,175.354
crag,What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,15–1, The Carolina Panthers had a win/loss ratio of 15-1 during their regular season in 2015.,0.5198,False,39.297,1312.394,1351.691,,squad,mistral,8.01,175.354
raptor_2l,What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,15–1, The Carolina Panthers finished the 2015 regular season with a win-loss ratio of 15-1.,0.484,True,7.563,1608.13,1615.693,,squad,mistral,8.01,175.354
hcpc_v2,Which Carolina Panthers team member was picked as the team's MVP in 2015? ,Cam Newton, The context does not provide information about who was named the Carolina Panthers' MVP in 2015.,0.7831,False,57.379,1580.068,1637.447,,squad,mistral,8.01,175.354
crag,Which Carolina Panthers team member was picked as the team's MVP in 2015? ,Cam Newton, I cannot find this information in the provided context. The context does not mention any awards or recognitions given to individual players for the 2015 season.,0.7435,False,39.503,1716.115,1755.618,,squad,mistral,8.01,175.354
raptor_2l,Which Carolina Panthers team member was picked as the team's MVP in 2015? ,Cam Newton, Cam Newton was picked as the Carolina Panthers' MVP in 2015.,0.5984,False,7.36,1566.296,1573.656,,squad,mistral,8.01,175.354
hcpc_v2,What were the win/loss game stats for the Denver Bronco's regular season in 2015?,12–4, The provided context states that the Denver Broncos finished the regular season with a 12–4 record.,0.9732,False,61.285,1577.643,1638.929,,squad,mistral,8.01,175.354
crag,What were the win/loss game stats for the Denver Bronco's regular season in 2015?,12–4, The Denver Broncos finished the regular season with a 12–4 record.,0.8599,False,29.892,846.449,876.341,,squad,mistral,8.01,175.354
raptor_2l,What were the win/loss game stats for the Denver Bronco's regular season in 2015?,12–4," The Denver Broncos finished the 2015 regular season with a 12–4 record, as stated in the provided context.",0.9592,False,7.569,2017.62,2025.188,,squad,mistral,8.01,175.354
hcpc_v2,How many teams have played in the Super Bowl eight times?,4," Four teams have played in the Super Bowl eight times, according to the provided context. These are the Denver Broncos, New England Patriots, Dallas Cowboys, and Pittsburgh Steelers.",0.7548,False,59.756,2274.508,2334.264,,squad,mistral,8.01,175.354
crag,How many teams have played in the Super Bowl eight times?,4," Four teams have played in the Super Bowl eight times, according to the provided context.",0.6032,False,31.452,829.763,861.215,,squad,mistral,8.01,175.354
raptor_2l,How many teams have played in the Super Bowl eight times?,4," Four teams have played in the Super Bowl eight times according to the provided context. These are the Denver Broncos, Dallas Cowboys, Pittsburgh Steelers, and New England Patriots.",0.7378,False,7.316,2494.941,2502.257,,squad,mistral,8.01,175.354
hcpc_v2,Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,New England Patriots, The New England Patriots did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50.,0.5369,False,35.568,1781.368,1816.936,,squad,mistral,8.01,175.354
crag,Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,New England Patriots, The New England Patriots did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50.,0.5369,False,53.331,1704.532,1757.864,,squad,mistral,8.01,175.354
raptor_2l,Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,New England Patriots, The New England Patriots did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50.,0.5369,False,7.804,2079.144,2086.947,,squad,mistral,8.01,175.354
