source_folder,relative_path,size_bytes,sha256,asset_class,proposed_action,reason
moved_from_repo,chroma_db/6efcfac1-c013-4660-b6f4-5b81c534be04/length.bin,400,7a12e561363385e9dfeeab326368731c030ed4b374e7f5897ac819159d2884c5,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/6efcfac1-c013-4660-b6f4-5b81c534be04/link_lists.bin,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/9aea734d-5241-4f0d-abe9-7d20d6ba9e35/data_level0.bin,167600,ea9ac6972cb4666769a17755f17c5727f676f11a742e9553bf3a21119ab54394,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/9aea734d-5241-4f0d-abe9-7d20d6ba9e35/header.bin,100,a0e81c3b22454233bc12d0762f06dcca48261a75231cf87c79b75e69a6c00150,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/9aea734d-5241-4f0d-abe9-7d20d6ba9e35/length.bin,400,7a12e561363385e9dfeeab326368731c030ed4b374e7f5897ac819159d2884c5,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/9aea734d-5241-4f0d-abe9-7d20d6ba9e35/link_lists.bin,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/bf7c970e-db93-4295-a786-f3af1b517827/data_level0.bin,167600,a70956f66e26908b0256320ced42adefa10065dd96b186cd3b7c70cbb80e181b,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/bf7c970e-db93-4295-a786-f3af1b517827/header.bin,100,a0e81c3b22454233bc12d0762f06dcca48261a75231cf87c79b75e69a6c00150,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/bf7c970e-db93-4295-a786-f3af1b517827/length.bin,400,7a12e561363385e9dfeeab326368731c030ed4b374e7f5897ac819159d2884c5,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/bf7c970e-db93-4295-a786-f3af1b517827/link_lists.bin,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/ce9d103a-a315-4cab-b188-1eee44980b52/data_level0.bin,167600,7c7493669717df7ff30e43c27c93012e41c3f2ec0257a7a7ddd0a2f9416e9499,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/ce9d103a-a315-4cab-b188-1eee44980b52/header.bin,100,a0e81c3b22454233bc12d0762f06dcca48261a75231cf87c79b75e69a6c00150,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/ce9d103a-a315-4cab-b188-1eee44980b52/length.bin,400,7a12e561363385e9dfeeab326368731c030ed4b374e7f5897ac819159d2884c5,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/ce9d103a-a315-4cab-b188-1eee44980b52/link_lists.bin,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/chroma.sqlite3,69365760,68ba6b76e2718b07f7c8915fc4a7468cb5874b8d1b9fd2143091aedfbd503e05,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/d713953a-7168-4fd9-82d1-b455d160db7c/data_level0.bin,167600,d559743858a97a3d2a89cbfbad0388c1b2c5b27c4399f7549374d5e07a922984,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/d713953a-7168-4fd9-82d1-b455d160db7c/header.bin,100,a0e81c3b22454233bc12d0762f06dcca48261a75231cf87c79b75e69a6c00150,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/d713953a-7168-4fd9-82d1-b455d160db7c/length.bin,400,7a12e561363385e9dfeeab326368731c030ed4b374e7f5897ac819159d2884c5,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/d713953a-7168-4fd9-82d1-b455d160db7c/link_lists.bin,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/db9f450d-29cb-4042-81f7-c4455d439a99/data_level0.bin,167600,0af0d3e6be7729a64c571c2793bfc6d95c10ace42f86d0ee049de97c573a10f1,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/db9f450d-29cb-4042-81f7-c4455d439a99/header.bin,100,a0e81c3b22454233bc12d0762f06dcca48261a75231cf87c79b75e69a6c00150,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/db9f450d-29cb-4042-81f7-c4455d439a99/length.bin,400,7a12e561363385e9dfeeab326368731c030ed4b374e7f5897ac819159d2884c5,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/db9f450d-29cb-4042-81f7-c4455d439a99/link_lists.bin,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/e3b0aa00-ebeb-45af-a445-231c704bd956/data_level0.bin,167600,8b8860495a95496e483d354cb6dbc0337a0695efa79f88e3b614d84d52df1706,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/e3b0aa00-ebeb-45af-a445-231c704bd956/header.bin,100,a0e81c3b22454233bc12d0762f06dcca48261a75231cf87c79b75e69a6c00150,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/e3b0aa00-ebeb-45af-a445-231c704bd956/length.bin,400,7a12e561363385e9dfeeab326368731c030ed4b374e7f5897ac819159d2884c5,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/e3b0aa00-ebeb-45af-a445-231c704bd956/link_lists.bin,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/f4645668-4afa-4235-b44a-4cdc6bb04c4a/data_level0.bin,167600,ea9ac6972cb4666769a17755f17c5727f676f11a742e9553bf3a21119ab54394,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/f4645668-4afa-4235-b44a-4cdc6bb04c4a/header.bin,100,a0e81c3b22454233bc12d0762f06dcca48261a75231cf87c79b75e69a6c00150,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/f4645668-4afa-4235-b44a-4cdc6bb04c4a/length.bin,400,7a12e561363385e9dfeeab326368731c030ed4b374e7f5897ac819159d2884c5,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/f4645668-4afa-4235-b44a-4cdc6bb04c4a/link_lists.bin,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/faa1d722-a24d-4d02-bb81-d45645c5be2e/data_level0.bin,167600,ea5e952a14484cc96aff076a10df36137f992fbe2a18a02e53635a787539c2c5,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/faa1d722-a24d-4d02-bb81-d45645c5be2e/header.bin,100,a0e81c3b22454233bc12d0762f06dcca48261a75231cf87c79b75e69a6c00150,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/faa1d722-a24d-4d02-bb81-d45645c5be2e/length.bin,400,7a12e561363385e9dfeeab326368731c030ed4b374e7f5897ac819159d2884c5,cache,exclude,generated vector/database cache; reconstruct rather than publish
moved_from_repo,chroma_db/faa1d722-a24d-4d02-bb81-d45645c5be2e/link_lists.bin,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cache,exclude,generated vector/database cache; reconstruct rather than publish
rag-hallucination-detection_main,.git/objects/pack/pack-f1013b1f413e66764f92b441586dad21ad842ca5.pack,386115565,a7322016dd817944a0b6608ddd7c00832865dec0b18912c2328afa7112257516,unknown,exclude,nested Git metadata; textual provenance exported separately
