dataset,query_volume,time_penalty_faithfulness_per_second,system,faithfulness,amortized_time_s,utility,best_at_setting
squad,10000,0.000000000,raptor_2l,0.710022000,1.731239885,0.710022000,True
squad,10000,0.010000000,crag,0.698205000,1.441288780,0.683792112,False
squad,10000,0.010000000,hcpc_v2,0.708378000,1.720741060,0.691170589,False
squad,10000,0.010000000,raptor_2l,0.710022000,1.731239885,0.692709601,True
squad,10000,0.025000000,crag,0.698205000,1.441288780,0.662172780,False
squad,10000,0.025000000,hcpc_v2,0.708378000,1.720741060,0.665359473,False
squad,10000,0.025000000,raptor_2l,0.710022000,1.731239885,0.666741003,True
squad,10000,0.050000000,crag,0.698205000,1.441288780,0.626140561,True
squad,10000,0.050000000,hcpc_v2,0.708378000,1.720741060,0.622340947,False
squad,10000,0.050000000,raptor_2l,0.710022000,1.731239885,0.623460006,False
