question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,dataset,sub_chunk,model
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",baseline,0.9421,False,0.6392,False,-1.0,squad,128,mistral
What city did Super Bowl 50 take place in?,Santa Clara," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 was held in the San Francisco Bay Area, but it does not specify the exact city within the area.",hcpc_v1,0.6895,False,0.6236,False,-1.0,squad,128,mistral
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",hcpc_v2,0.9421,False,0.6512,True,0.6098,squad,128,mistral
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used.,baseline,0.5143,False,0.5327,False,-1.0,squad,128,mistral
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," I cannot find this information in the provided context. The context only mentions that Roman numerals will be reinstated for Super Bowl LI, but it does not specify what Super Bowl 50 would have been called if Roman numerals were used.",hcpc_v1,0.511,False,0.6201,False,-1.0,squad,128,mistral
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used.,hcpc_v2,0.5143,False,0.5343,True,0.5223,squad,128,mistral
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,baseline,0.6644,False,0.6341,False,-1.0,squad,128,mistral
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,hcpc_v1,0.6644,False,0.6314,False,-1.0,squad,128,mistral
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,hcpc_v2,0.6644,False,0.6341,False,0.4842,squad,128,mistral
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it implies that the event happened in the year of Super Bowl 50. However, to confirm this, additional information is needed as Super Bowl 50 was held on February 7, 2016.",baseline,0.6614,False,0.6795,False,-1.0,squad,128,mistral
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find the specific year in the provided context. However, it is known that the Denver Broncos won Super Bowl 50, which was held on February 7, 2016.",hcpc_v1,0.705,False,0.6777,False,-1.0,squad,128,mistral
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it implies that the event happened after their regular season in 2015 (as they played against the Panthers in Super Bowl 50). However, to confirm the exact year, additional information would be needed.",hcpc_v2,0.7875,False,0.6795,False,0.6115,squad,128,mistral
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",baseline,0.9421,False,0.6392,False,-1.0,squad,128,mistral
What city did Super Bowl 50 take place in?,Santa Clara," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 was held in the San Francisco Bay Area, but it does not specify the exact city within the area.",hcpc_v1,0.6895,False,0.6236,False,-1.0,squad,128,mistral
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, California (specifically at Levi's Stadium).",hcpc_v2,0.9538,False,0.6512,True,0.6098,squad,128,mistral
What stadium did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,baseline,0.5799,False,0.6693,False,-1.0,squad,128,mistral
What stadium did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 would feature Arabic numerals 50 in its logo, and it was held in a city where Super Bowl XXXVII took place in 2003 (implied to be San Diego), but it does not specify the stadium for Super Bowl 50.",hcpc_v1,0.6179,False,0.6162,False,-1.0,squad,128,mistral
What stadium did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,hcpc_v2,0.5799,False,0.6693,False,0.6083,squad,128,mistral
What was the final score of Super Bowl 50? ,24–10," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",baseline,0.8695,False,0.584,False,-1.0,squad,128,mistral
What was the final score of Super Bowl 50? ,24–10," I cannot find the final score of Super Bowl 50 in the provided context. However, it is mentioned that the Broncos beat the New England Patriots in Super Bowl 50, but the exact score is not given.",hcpc_v1,0.6371,False,0.5866,False,-1.0,squad,128,mistral
What was the final score of Super Bowl 50? ,24–10," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",hcpc_v2,0.8695,False,0.5857,True,0.5224,squad,128,mistral
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",baseline,0.945,False,0.625,False,-1.0,squad,128,mistral
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," I cannot find this specific information about the date of Super Bowl 50 in the provided context. However, since Super Bowl 50 was the championship game for the 2015 NFL season, it took place on February 7, 2016.",hcpc_v1,0.591,False,0.605,False,-1.0,squad,128,mistral
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",hcpc_v2,0.945,False,0.6242,True,0.5721,squad,128,mistral
What year was Super Bowl 50?,2015, The Super Bowl 50 was played in the year 2016.,baseline,0.7056,False,0.6133,False,-1.0,squad,128,mistral
What year was Super Bowl 50?,2015," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 was for the 2015 season, but it does not provide the exact year when Super Bowl 50 took place.",hcpc_v1,0.7465,False,0.5987,False,-1.0,squad,128,mistral
What year was Super Bowl 50?,2015, The Super Bowl 50 was played in the year 2016.,hcpc_v2,0.7056,False,0.6133,False,0.5294,squad,128,mistral
What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,baseline,0.6101,False,0.5751,False,-1.0,squad,128,mistral
What team was the AFC champion?,Denver Broncos, The AFC champion was the Denver Broncos.,hcpc_v1,0.7995,False,0.7122,False,-1.0,squad,128,mistral
What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,hcpc_v2,0.6101,False,0.5751,False,0.5132,squad,128,mistral
What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,baseline,0.806,False,0.6039,False,-1.0,squad,128,mistral
What team was the NFC champion?,Carolina Panthers," The NFC champion, according to the provided context, is not explicitly stated. However, it can be inferred that the team that defeated the Arizona Cardinals 49–15 in the NFC Championship Game is the NFC champion. So, the NFC champion could be either the Carolina Panthers or the team that the Denver Broncos (the AFC champion) defeated in the Super Bowl following this championship game.",hcpc_v1,0.7489,False,0.6877,False,-1.0,squad,128,mistral
What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,hcpc_v2,0.806,False,0.6039,False,0.552,squad,128,mistral
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6268,False,-1.0,squad,128,mistral
Who won Super Bowl 50?,Denver Broncos," The context does not specify who won Super Bowl 50, but it implies that the team that was trailing (not mentioned) lost the game. Since the Broncos took an early lead and never trailed, they are likely the winners of Super Bowl 50. However, to confirm this, additional information is needed about the opposing team in Super Bowl 50.",hcpc_v1,0.7165,False,0.6474,False,-1.0,squad,128,mistral
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6279,True,0.5698,squad,128,mistral
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,baseline,0.6757,False,0.6236,False,-1.0,squad,128,mistral
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,hcpc_v1,0.6757,False,0.63,False,-1.0,squad,128,mistral
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,hcpc_v2,0.6757,False,0.6247,True,0.4841,squad,128,mistral
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6228,False,-1.0,squad,128,mistral
Which team won Super Bowl 50.,Denver Broncos," The team that won Super Bowl 50 is not explicitly stated in the provided context, but it can be inferred that the Denver Broncos won as they took an early lead and never trailed during the game.",hcpc_v1,0.8546,False,0.6536,False,-1.0,squad,128,mistral
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6228,False,0.5701,squad,128,mistral
Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",baseline,0.9471,False,0.6592,False,-1.0,squad,128,mistral
Where was Super Bowl 50 held?,"Santa Clara, California."," The provided context does not specify the exact location where Super Bowl 50 was held. However, it mentions that it was held in the San Francisco Bay Area and was the first Super Bowl since Super Bowl XIX (1985) to be held there. Super Bowl XIX was held at Stanford Stadium in Stanford, California, so it can be inferred that Super Bowl 50 might have been held at a similar location within the San Francisco Bay Area.",hcpc_v1,0.6844,False,0.6376,False,-1.0,squad,128,mistral
Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9471,False,0.6592,False,0.6083,squad,128,mistral
The name of the NFL championship game is?,Super Bowl, Super Bowl 50,baseline,0.6293,False,0.5081,False,-1.0,squad,128,mistral
The name of the NFL championship game is?,Super Bowl," I cannot find this information in the provided context. The context only mentions the teams that won their respective conferences (Denver Broncos from AFC and a team not named in the NFC) and the scores of their games, but it does not specify the name of the NFL championship game.",hcpc_v1,0.6877,False,0.5255,False,-1.0,squad,128,mistral
The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game, as mentioned in the provided context, is not explicitly stated. However, it is referred to as Super Bowl 50.",hcpc_v2,0.5575,False,0.5118,True,0.5263,squad,128,mistral
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos,baseline,0.6985,False,0.5456,False,-1.0,squad,128,mistral
What 2015 NFL team one the AFC playoff?,Denver Broncos," I cannot find this information in the provided context. The context only mentions that a team defeated another to earn home-field advantage throughout the AFC playoffs, but it does not specify which team won the AFC Championship Game and thus the AFC playoffs.",hcpc_v1,0.5779,False,0.6155,False,-1.0,squad,128,mistral
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos,hcpc_v2,0.6985,False,0.5456,False,0.5132,squad,128,mistral
