question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,model
What day was the Super Bowl played on?,"February 7, 2016",I cannot find this information in the provided context.,baseline,0.5531,False,0.6413,False,-1.0,0.59,squad,gpt-oss-120b
What day was the Super Bowl played on?,"February 7, 2016",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6329,False,-1.0,2.68,squad,gpt-oss-120b
What day was the Super Bowl played on?,"February 7, 2016","The Super Bowl was played on February 7, 2016.",hcpc_v2,0.6324,False,0.6413,False,0.5722,4.7,squad,gpt-oss-120b
Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,baseline,0.7365,False,0.6268,False,-1.0,5.96,squad,gpt-oss-120b
Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,hcpc_v1,0.7365,False,0.5921,False,-1.0,0.7,squad,gpt-oss-120b
Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,hcpc_v2,0.7365,False,0.6246,True,0.5701,7.78,squad,gpt-oss-120b
What venue did Super Bowl 50 take place in?,Levi's Stadium,Levi's Stadium.,baseline,0.5799,False,0.6489,False,-1.0,0.45,squad,gpt-oss-120b
What venue did Super Bowl 50 take place in?,Levi's Stadium,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6224,False,-1.0,1.92,squad,gpt-oss-120b
What venue did Super Bowl 50 take place in?,Levi's Stadium,Levi's Stadium.,hcpc_v2,0.5799,False,0.653,True,0.6083,4.89,squad,gpt-oss-120b
What city did Super Bowl 50 take place in?,Santa Clara,"Santa Clara, California.",baseline,0.6452,False,0.6392,False,-1.0,8.92,squad,gpt-oss-120b
What city did Super Bowl 50 take place in?,Santa Clara,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6284,False,-1.0,0.7,squad,gpt-oss-120b
What city did Super Bowl 50 take place in?,Santa Clara,"Santa Clara, California.",hcpc_v2,0.6242,False,0.6431,True,0.6083,6.94,squad,gpt-oss-120b
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,Super Bowl L.,baseline,0.4909,True,0.5327,False,-1.0,0.35,squad,gpt-oss-120b
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,Super Bowl L.,hcpc_v1,0.6045,False,0.6741,False,-1.0,0.37,squad,gpt-oss-120b
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,Super Bowl L.,hcpc_v2,0.4909,True,0.5327,True,0.5184,0.46,squad,gpt-oss-120b
Super Bowl 50 decided the NFL champion for what season?,2015,The 2015 season.,baseline,0.6329,False,0.6341,False,-1.0,3.89,squad,gpt-oss-120b
Super Bowl 50 decided the NFL champion for what season?,2015,The 2015 season.,hcpc_v1,0.6329,False,0.6279,False,-1.0,1.35,squad,gpt-oss-120b
Super Bowl 50 decided the NFL champion for what season?,2015,The 2015 season.,hcpc_v2,0.6329,False,0.6341,False,0.4842,5.03,squad,gpt-oss-120b
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,I cannot find this information in the provided context.,baseline,0.5531,False,0.6795,False,-1.0,0.4,squad,gpt-oss-120b
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6972,False,-1.0,2.8,squad,gpt-oss-120b
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,I cannot find this information in the provided context.,hcpc_v2,0.5531,False,0.6795,False,0.6115,4.55,squad,gpt-oss-120b
What city did Super Bowl 50 take place in?,Santa Clara,"Super Bowl 50 took place in Santa Clara, California.",baseline,0.774,False,0.6392,False,-1.0,5.91,squad,gpt-oss-120b
What city did Super Bowl 50 take place in?,Santa Clara,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6284,False,-1.0,0.62,squad,gpt-oss-120b
What city did Super Bowl 50 take place in?,Santa Clara,"Santa Clara, California.",hcpc_v2,0.6452,False,0.6431,True,0.6083,5.01,squad,gpt-oss-120b
What stadium did Super Bowl 50 take place in?,Levi's Stadium,Levi's Stadium.,baseline,0.5799,False,0.6693,False,-1.0,1.86,squad,gpt-oss-120b
What stadium did Super Bowl 50 take place in?,Levi's Stadium,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6331,False,-1.0,0.54,squad,gpt-oss-120b
What stadium did Super Bowl 50 take place in?,Levi's Stadium,Levi's Stadium.,hcpc_v2,0.5799,False,0.6693,False,0.6083,4.66,squad,gpt-oss-120b
What was the final score of Super Bowl 50? ,24–10,"The final score of Super Bowl 50 was Denver Broncos 24, Carolina Panthers 10.",baseline,0.6283,False,0.584,False,-1.0,5.33,squad,gpt-oss-120b
What was the final score of Super Bowl 50? ,24–10,I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.562,False,-1.0,0.69,squad,gpt-oss-120b
What was the final score of Super Bowl 50? ,24–10,"The final score of Super Bowl 50 was Denver Broncos 24, Carolina Panthers 10.",hcpc_v2,0.6283,False,0.584,True,0.5147,1.37,squad,gpt-oss-120b
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","February 7, 2016.",baseline,0.3855,True,0.625,False,-1.0,6.3,squad,gpt-oss-120b
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6258,False,-1.0,0.65,squad,gpt-oss-120b
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","February 7, 2016.",hcpc_v2,0.3855,True,0.625,True,0.5722,0.62,squad,gpt-oss-120b
What year was Super Bowl 50?,2015,Super Bowl 50 was played in the year **2016**.,baseline,0.7215,False,0.6133,False,-1.0,2.09,squad,gpt-oss-120b
What year was Super Bowl 50?,2015,Super Bowl 50 was associated with the 2015 season.,hcpc_v1,0.7003,False,0.6094,False,-1.0,0.52,squad,gpt-oss-120b
What year was Super Bowl 50?,2015,Super Bowl 50 was played in the year **2016**.,hcpc_v2,0.7215,False,0.6133,False,0.5294,12.34,squad,gpt-oss-120b
What team was the AFC champion?,Denver Broncos,The AFC champion was the Denver Broncos.,baseline,0.7995,False,0.5751,False,-1.0,0.97,squad,gpt-oss-120b
What team was the AFC champion?,Denver Broncos,The AFC champion was the Denver Broncos.,hcpc_v1,0.7995,False,0.6233,False,-1.0,0.49,squad,gpt-oss-120b
What team was the AFC champion?,Denver Broncos,The AFC champion was the Denver Broncos.,hcpc_v2,0.7995,False,0.5751,False,0.5132,0.41,squad,gpt-oss-120b
What team was the NFC champion?,Carolina Panthers,The NFC champion was the Carolina Panthers.,baseline,0.806,False,0.6039,False,-1.0,0.38,squad,gpt-oss-120b
What team was the NFC champion?,Carolina Panthers,The NFC champion was the Carolina Panthers.,hcpc_v1,0.806,False,0.6636,False,-1.0,2.52,squad,gpt-oss-120b
What team was the NFC champion?,Carolina Panthers,The NFC champion was the Carolina Panthers.,hcpc_v2,0.806,False,0.6039,False,0.552,3.71,squad,gpt-oss-120b
Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,baseline,0.7365,False,0.6268,False,-1.0,3.95,squad,gpt-oss-120b
Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,hcpc_v1,0.7365,False,0.5921,False,-1.0,0.55,squad,gpt-oss-120b
Who won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,hcpc_v2,0.7365,False,0.6246,True,0.5701,5.37,squad,gpt-oss-120b
Super Bowl 50 determined the NFL champion for what season?,2015,The 2015 season.,baseline,0.6329,False,0.6236,False,-1.0,6.67,squad,gpt-oss-120b
Super Bowl 50 determined the NFL champion for what season?,2015,The 2015 season.,hcpc_v1,0.6329,False,0.6186,False,-1.0,0.54,squad,gpt-oss-120b
Super Bowl 50 determined the NFL champion for what season?,2015,Super Bowl 50 determined the NFL champion for the **2015 season**.,hcpc_v2,0.7465,False,0.6236,True,0.4842,2.98,squad,gpt-oss-120b
Which team won Super Bowl 50.,Denver Broncos,The Denver Broncos won Super Bowl 50.,baseline,0.7365,False,0.6228,False,-1.0,18.76,squad,gpt-oss-120b
Which team won Super Bowl 50.,Denver Broncos,The Denver Broncos won Super Bowl 50.,hcpc_v1,0.7365,False,0.6155,False,-1.0,1.24,squad,gpt-oss-120b
Which team won Super Bowl 50.,Denver Broncos,The Denver Broncos won Super Bowl 50.,hcpc_v2,0.7365,False,0.6228,False,0.5701,5.8,squad,gpt-oss-120b
Where was Super Bowl 50 held?,"Santa Clara, California.","Super Bowl 50 was held at Levi’s Stadium in Santa Clara, California, in the San Francisco Bay Area.",baseline,0.642,False,0.6592,False,-1.0,1.18,squad,gpt-oss-120b
Where was Super Bowl 50 held?,"Santa Clara, California.",Super Bowl 50 was held in the San Francisco Bay Area.,hcpc_v1,0.7015,False,0.6366,False,-1.0,0.55,squad,gpt-oss-120b
Where was Super Bowl 50 held?,"Santa Clara, California.","Super Bowl 50 was held at Levi’s Stadium in Santa Clara, California, in the San Francisco Bay Area.",hcpc_v2,0.642,False,0.6592,False,0.6083,3.24,squad,gpt-oss-120b
The name of the NFL championship game is?,Super Bowl,The NFL championship game is called the **Super Bowl 50**.,baseline,0.7478,False,0.5081,False,-1.0,0.54,squad,gpt-oss-120b
The name of the NFL championship game is?,Super Bowl,The NFL championship game is called the **Super Bowl**.,hcpc_v1,0.7842,False,0.5113,False,-1.0,0.58,squad,gpt-oss-120b
The name of the NFL championship game is?,Super Bowl,The NFL championship game is called the **Super Bowl 50**.,hcpc_v2,0.7478,False,0.5081,True,0.5192,3.43,squad,gpt-oss-120b
What 2015 NFL team one the AFC playoff?,Denver Broncos,The Denver Broncos won the AFC playoff.,baseline,0.9356,False,0.5456,False,-1.0,0.41,squad,gpt-oss-120b
What 2015 NFL team one the AFC playoff?,Denver Broncos,The Denver Broncos won the AFC playoff.,hcpc_v1,0.9356,False,0.5624,False,-1.0,0.4,squad,gpt-oss-120b
What 2015 NFL team one the AFC playoff?,Denver Broncos,The Denver Broncos won the AFC playoff.,hcpc_v2,0.9356,False,0.5456,False,0.5132,0.39,squad,gpt-oss-120b
