dataset,query_index,question,ground_truth,faithfulness_score,is_hallucination,retrieval_latency_ms,generation_latency_ms,total_latency_ms,n_leaves_returned,n_summaries_returned
squad,45,Who is the quarterback for the Panthers?,Cam Newton,1.0,False,6.719,804.702,811.421,2,1
squad,46,Who did Carolina beat in the NFC championship game?,Arizona Cardinals,0.9783,False,8.079,1222.036,1230.115,2,1
squad,47,How many times have the Panthers been in the Super Bowl?,2,0.4344,True,6.964,2072.719,2079.683,2,1
squad,48,Who did Denver beat in the AFC championship?,New England Patriots,0.9658,False,9.362,1107.13,1116.491,2,1
squad,49,Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton,0.7274,False,6.917,1461.241,1468.158,2,1
squad,50,Who did Denver beat in the 2015 AFC Championship game?,New England Patriots,0.9649,False,6.79,1249.345,1256.135,2,1
squad,51,Who did the Carolina Panthers beat in the 2015 NFC Championship game?,Arizona Cardinals,0.9738,False,7.183,1392.27,1399.453,2,1
squad,52,Who was the 2015 NFL MVP?,Cam Newton,1.0,False,6.666,755.231,761.897,2,1
squad,53,Who did the Panthers beat to become the NFC champs?,Arizona Cardinals,0.5559,False,13.551,2107.141,2120.691,2,1
squad,54,What year did the Carolina Panthers form?,1995.,0.679,False,8.203,1504.683,1512.886,2,1
squad,55,Who was the Super Bowl 50 MVP?,Von Miller,1.0,False,7.094,670.799,677.893,2,1
squad,56,How many fumbles did Von Miller force in Super Bowl 50?,2,0.6327,False,10.169,1087.769,1097.938,2,1
squad,57,Which team held the scoring lead throughout the entire game?,Broncos,0.7646,False,6.755,1130.949,1137.704,2,1
squad,58,Which Denver linebacker was named Super Bowl MVP?,linebacker Von Miller,1.0,False,11.505,733.436,744.941,2,1
squad,59,How many solo tackles did Von Miller make at Super Bowl 50?,five solo tackles,0.7654,False,8.612,684.069,692.681,2,1
squad,60,Who was limited by Denver's defense?,Newton was limited by Denver's defense,0.8227,False,9.07,1648.563,1657.633,2,1
squad,61,How many times was Cam Newton sacked?,seven,0.6365,False,7.031,4836.597,4843.628,2,1
squad,62,Who won the Super Bowl MVP?,Von Miller,1.0,False,7.938,668.863,676.801,2,1
squad,63,How many turnovers did Cam Newton have?,three,0.7013,False,7.342,1273.53,1280.872,2,1
squad,64,How many fumbles did Von Miller force?,two,0.4624,True,7.357,1863.477,1870.834,2,1
squad,65,Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,1.0,False,7.609,686.017,693.626,2,1
squad,66,What position does Von Miller play for the Denver Broncos?,linebacker,0.6797,False,10.227,1270.587,1280.814,2,1
squad,67,What was the number of solo tackles that Von Miller had in Super Bowl 50?,5,1.0,False,10.948,14749.704,14760.652,2,1
squad,68,How many forced fumbles did Von Miller have during the Super Bowl 50 game?,2,0.5297,False,10.983,1113.761,1124.744,2,1
squad,69,Who won the MVP for the Super Bowl?,Von Miller,1.0,False,9.007,649.495,658.503,2,1
squad,70,How many tackles did Von Miller get during the game?,5,0.5638,False,10.086,1835.09,1845.176,2,1
squad,71,How many times was Cam Newton sacked in Super Bowl 50?,seven,0.8119,False,6.803,696.331,703.133,2,1
squad,72,How many times did the Denver defense force Newton into turnovers?,three,0.7482,False,7.565,1012.776,1020.341,2,1
squad,73,Which Newton turnover resulted in seven points for Denver?,a fumble,0.6771,False,8.426,3145.427,3153.852,2,1
squad,74,Who was the Most Valuable Player of Super Bowl 50?,Von Miller,1.0,False,9.735,754.955,764.691,2,1
squad,75,What position does Von Miller play?,linebacker,0.6616,False,11.112,959.587,970.699,2,1
squad,76,How many times was the Panthers' quarterback sacked?,seven,0.6025,False,6.94,2913.728,2920.668,2,1
squad,77,How many times did the Broncos cause turnovers in the game?,three,0.8296,False,6.951,1054.192,1061.143,2,1
squad,78,What Denver player caused two fumbles for the Panthers?,Von Miller,0.5501,False,7.097,2572.374,2579.471,2,1
squad,79,How many tackles did Von Miller accomlish by himself in the game?,five,0.6876,False,9.025,1575.03,1584.055,2,1
squad,80,Which network broadcasted Super Bowl 50 in the U.S.?,CBS,1.0,False,7.497,887.935,895.432,2,1
squad,81,What was the average cost for a 30 second commercial during Super Bowl 50?,$5 million,0.6206,False,10.381,1548.335,1558.716,2,1
squad,82,Which group headlined the Super Bowl 50 halftime show?,Coldplay,1.0,False,7.056,714.54,721.597,2,1
squad,83,Which performers joined the headliner during the Super Bowl 50 halftime show?,Beyoncé and Bruno Mars,0.9434,False,13.692,747.289,760.981,2,1
squad,84,At which Super Bowl did Beyonce headline the halftime show?,Super Bowl XLVII,0.7889,False,8.371,1338.693,1347.063,2,1
squad,85,Who was the broadcaster for Super Bowl 50 in the United States?,CBS,0.8447,False,7.189,1309.419,1316.607,2,1
squad,86,What was the average cost of a 30-second commercial?,$5 million,0.6346,False,6.474,1558.701,1565.175,2,1
squad,87,What halftime performer previously headlined Super Bowl XLVII?,Beyoncé,1.0,False,6.913,859.484,866.397,2,1
squad,88,What halftime performer previously headlined Super Bowl XLVIII?,Bruno Mars,0.8951,False,10.156,653.972,664.129,2,1
squad,89,Who was the main performer at this year's halftime show?,Coldplay,0.7873,False,7.655,709.014,716.669,2,1
squad,90,Which network broadcasted the 50th Super Bowl game? ,CBS,1.0,False,7.736,894.245,901.981,2,1
squad,91,What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,$5 million,0.5988,False,7.754,1601.289,1609.044,2,1
squad,92,Who was the male singer who performed as a special guest during Super Bowl 50?,Bruno Mars,1.0,False,11.243,839.854,851.096,2,1
squad,93,What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?,third,0.7489,False,9.727,2054.485,2064.211,2,1
squad,94,What station aired the Super Bowl?,CBS,0.8401,False,9.037,1276.482,1285.518,2,1
squad,95,How much money did a 1/2 minute commercial cost?,$5 million,0.6287,False,10.958,2330.868,2341.825,2,1
squad,96,What band headlined half-time during Super Bowl 50?,Coldplay,1.0,False,6.508,780.525,787.033,2,1
squad,97,What two artists came out with Coldplay during the half-time show?,Beyoncé and Bruno Mars,0.7582,False,8.64,977.196,985.836,2,1
squad,98,Who broadcast the Super Bowl on TV?,CBS,0.9132,False,6.757,1017.315,1024.072,2,1
squad,99,Who headlined the halftime show for Super Bowl 50?,Coldplay,0.8645,False,6.809,1295.362,1302.171,2,1
pubmedqa,0,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,"Results depicted mitochondrial dynamics in vivo as PCD progresses within the lace plant, and highlight the correlation of this organelle with other organelles during developmental PCD. To the best of our knowledge, this is the first report of mitochondria and chloroplasts moving on transvacuolar strands to form a ring structure surrounding the nucleus during developmental PCD. Also, for the first time, we have shown the feasibility for the use of CsA in a whole plant system. Overall, our findings implicate the mitochondria as playing a critical and early role in developmentally regulated PCD in the lace plant.",0.6835,False,7.552,4453.942,4461.494,2,1
pubmedqa,1,Landolt C and snellen e acuity: differences in strabismus amblyopia?,"Using the charts described, there was only a slight overestimation of visual acuity by the Snellen E compared to the Landolt C, even in strabismus amblyopia. Small differences in the lower visual acuity range have to be considered.",0.5877,False,9.13,4291.77,4300.9,2,1
pubmedqa,2,"Syncope during bathing in infants, a pediatric form of water-induced urticaria?","""Aquagenic maladies"" could be a pediatric form of the aquagenic urticaria.",0.6648,False,7.484,3025.816,3033.3,2,1
pubmedqa,3,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,"Our long-term study showed significantly better (2-fold) results regarding the continence score for the abdominal approach compared with the transanal pull-through. The stool pattern and enterocolitis scores were somewhat better for the TERPT group. These findings raise an important issue about the current surgical management of HD; however, more cases will need to be studied before a definitive conclusion can be drawn.",0.517,False,12.428,3462.277,3474.705,2,1
pubmedqa,4,Can tailored interventions increase mammography use among HMO women?,"The effects of the intervention were most pronounced after the first intervention. Compared to usual care, telephone counseling seemed particularly effective at promoting change among nonadherent women, the group for whom the intervention was developed. These results suggest that telephone counseling, rather than tailored print, might be the preferred first-line intervention for getting nonadherent women on schedule for mammography screening. Many questions would have to be answered about why the tailored print intervention was not more powerful. Nevertheless, it is clear that additional interventions will be needed to maintain women's adherence to mammography. Medical Subject Headings (MeSH): mammography screening, telephone counseling, tailored print communications, barriers.",0.4606,True,8.499,3075.355,3083.855,2,1
pubmedqa,5,Double balloon enteroscopy: is it efficacious and safe in a community setting?,"DBE appears to be equally safe and effective when performed in the community setting as compared to a tertiary referral center with a comparable yield, efficacy, and complication rate.",0.6364,False,7.485,3755.313,3762.798,2,1
pubmedqa,6,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,"Emergency laparotomy carries a high rate of mortality, especially in those over the age of 70 years, and more needs to be done to improve outcomes, particularly in this group. This could involve increasing acute surgical care manpower, early recognition of patients requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post-discharge care.",0.6401,False,7.932,5249.402,5257.334,2,1
pubmedqa,7,Is adjustment for reporting heterogeneity necessary in sleep disorders?,"Sleep disorders are common in the general adult population of Japan. Correction for reporting heterogeneity using anchoring vignettes is not a necessary tool for proper management of sleep and energy related problems among Japanese adults. Older age, gender differences in communicating sleep-related problems, the presence of multiple morbidities, and regular exercise should be the focus of policies and clinical practice to improve sleep and energy management in Japan.",0.5106,False,7.995,2929.772,2937.767,2,1
pubmedqa,8,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,Genetic variants identified in the present study may be insufficient to promote early carotid atherosclerosis.,0.5563,False,7.154,4325.807,4332.96,2,1
pubmedqa,9,A short stay or 23-hour ward in a general and academic children's hospital: are they effective?,This data demonstrates the robust nature of the short stay ward. At these two very different institutions we have shown improved bed efficient and patient care in a cost-effective way. We have also reported on greater parental satisfaction and early return of the child with their family to the community.,0.5285,False,7.511,4325.066,4332.577,2,1
pubmedqa,10,Did Chile's traffic law reform push police enforcement?,"Findings suggest that traffic law reforms in order to have an effect on both traffic fatality and injury rates reduction require changes in police enforcement practices. Last, this case also illustrates how the diffusion of successful road safety practices globally promoted by WHO and World Bank can be an important influence for enhancing national road safety practices.",0.5285,False,6.999,3195.443,3202.441,2,1
pubmedqa,11,Therapeutic anticoagulation in the trauma patient: is it safe?,"Trauma patients have a significant complication rate related to anticoagulation therapy, and predicting which patients will develop a complication remains unclear. Prospective studies are needed to determine which treatment regimen, if any, is appropriate to safely anticoagulate this high risk population.",0.596,False,8.451,4339.939,4348.391,2,1
pubmedqa,12,Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,"Higher MCVs and AST/ALT ratios in ASH reflect the severity of underlying liver disease and do not differentiate NASH from ASH. Instead, these biomarkers might prove useful in guiding selection of patients for liver biopsy and in targeting therapy.",0.4936,True,7.07,5496.826,5503.896,2,1
pubmedqa,13,Prompting Primary Care Providers about Increased Patient Risk As a Result of Family History: Does It Work?,"No change occurred upon instituting simple, at-the-visit family history prompts geared to improve PCPs' ability to identify patients at high risk for 6 common conditions. The results are both surprising and disappointing. Further studies should examine physicians' perception of the utility of prompts for family history risk.",0.409,True,8.884,4259.97,4268.854,2,1
pubmedqa,14,Do emergency ultrasound fellowship programs impact emergency medicine residents' ultrasound education?,Emergency US fellowship programs had a positive impact on residents' US educational experiences. Emergency medicine residents performed more scans overall and also used bedside US for more advanced applications in programs with EUS fellowships.,0.7903,False,9.854,3279.808,3289.662,2,1
pubmedqa,15,Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?,Opioid PCT is a feasible and acceptable therapeutic method to reduce refractory breathlessness in palliative care patients.,0.6396,False,8.303,5180.7,5189.003,2,1
pubmedqa,16,Is there still a need for living-related liver transplantation in children?,"The short- and long-term outcomes after LRT and SLT did not differ significantly. To avoid the risk for the donor in LRT, SLT represents the first-line therapy in pediatric liver transplantation in countries where cadaveric organs are available. LRT provides a solution for urgent cases in which a cadaveric graft cannot be found in time or if the choice of the optimal time point for transplantation is vital.",0.7715,False,7.497,2148.167,2155.664,2,1
pubmedqa,17,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,Findings suggest that cluster analyses may be useful in identifying groups for targeted health messages.,0.6029,False,7.374,2943.965,2951.339,2,1
pubmedqa,18,Is there a model to teach and practice retroperitoneoscopic nephrectomy?,RPN in a porcine model is feasible and could be very useful for teaching and practicing retroperitoneoscopy.,0.6466,False,14.907,1976.141,1991.048,2,1
pubmedqa,19,Cardiovascular risk in a rural adult West African population: is resting heart rate also relevant?,Significant associations were observed between RHR and several established cardiovascular risk factors. Prospective studies are needed in sub-Saharan African populations to establish the potential value of RHR in cardiovascular risk assessment.,0.6473,False,7.524,3953.187,3960.712,2,1
pubmedqa,20,Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,Hospital preparedness can be better defined by a fixed number of casualties rather than a percentile of its bed capacity. Only 20% of the arriving casualties will require immediate medical treatment. Implementation of this concept may improve the utilisation of national emergency health resources both in the preparation phase and on real time.,0.4548,True,8.027,3668.512,3676.539,2,1
pubmedqa,21,Acute respiratory distress syndrome in children with malignancy--can we predict outcome?,"Peak inspiratory pressure, PEEP, and ventilation index values could distinguish survivors from nonsurvivors by day 3. This may assist in early application of supportive nonconventional therapies in children with malignancy and ARDS.",0.6125,False,7.873,4132.942,4140.815,2,1
pubmedqa,22,Secondhand smoke risk in infants discharged from an NICU: potential for significant health disparities?,"The most disadvantaged families were least likely to have protective health behaviors in place to reduce SHSe and, consequently, are most at-risk for tobacco exposure and subsequent tobacco-related health disparities. Innovative SHSe interventions for this vulnerable population are sorely needed.",0.5747,False,7.568,5169.82,5177.388,2,1
pubmedqa,23,Do nomograms designed to predict biochemical recurrence (BCR) do a better job of predicting more clinically relevant prostate cancer outcomes than BCR?,"Currently available nomograms used to predict BCR accurately predict PCSM and other more clinically relevant endpoints. Moreover, not only do they significantly predict PCSM, but do so with generally greater accuracy than BCR.",0.5573,False,7.661,3009.183,3016.844,2,1
pubmedqa,24,Are reports of mechanical dysfunction in chronic oro-facial pain related to somatisation?,"Self-reported mechanical factors associated with chronic oro-facial pain are confounded, in part, by psychological factors and are equally common across other frequently unexplained syndromes. They may represent another feature of somatisation. Therefore the use of extensive invasive therapy such as occlusal adjustments and surgery to change mechanical factors may not be justified in many cases.",0.6125,False,7.217,5031.426,5038.643,2,1
pubmedqa,25,Amblyopia: is visual loss permanent?,Older people with a history of amblyopia who develop visual loss in the previously normal eye can experience recovery of visual function in the amblyopic eye over a period of time. This recovery in visual function occurs in the wake of visual loss in the fellow eye and the improvement appears to be sustained.,0.6026,False,9.12,3787.839,3796.959,2,1
pubmedqa,26,Implementation of epidural analgesia for labor: is the standard of effective analgesia reachable in all women?,"Present audit shows that the process of implementation of labor analgesia was quick, successful and safe, notwithstanding the identification of one cluster of women with suboptimal response to epidural analgesia that need to be further studies, overall pregnant womens'adhesion to labor analgesia was satisfactory.",0.5422,False,8.557,3453.964,3462.521,2,1
pubmedqa,27,Does HER2 immunoreactivity provide prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy?,HER2 immunoreactivity might have a limited prognostic value for advanced urothelial carcinoma patients with adjuvant M-VEC.,0.5817,False,7.765,4084.215,4091.98,2,1
pubmedqa,28,Is halofantrine ototoxic?,"Halofantrine has mild to moderate pathological effects on cochlea histology, and can be considered an ototoxic drug.",0.8508,False,6.968,3068.835,3075.803,2,1
pubmedqa,29,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,"VAT area measurement at a single level 3 cm above the lower margin of the L3 vertebra is feasible and can reflect changes in VAT volume and body weight. Advances in knowledge: As VAT area at a CT slice 3cm above the lower margin of L3 can best reflect interval changes in VAT volume and body weight, VAT area measurement should be selected at this location.",0.6121,False,10.158,3347.445,3357.602,2,1
pubmedqa,30,Necrotizing fasciitis: an indication for hyperbaric oxygenation therapy?,The results of this study cast doubt on the suggested advantage of HBO in reducing patient mortality and morbidity when used as adjuvant therapy for NF.,0.4727,True,8.432,2222.333,2230.766,2,1
pubmedqa,31,Is the Hawkins sign able to predict necrosis in fractures of the neck of the astragalus?,"A positive Hawkins sign rules out that the fractured talus has developed avascular necrosis, but its absence does not confirm it.",0.3198,True,9.454,4033.985,4043.439,2,1
pubmedqa,32,Is a mandatory general surgery rotation necessary in the surgical clerkship?,Effective undergraduate surgical education can be offered in many specialty settings. Removal of the requirement for general surgery in clerkship may lead to a more effective use of all educational opportunities. A careful analysis of local programs and facilities is necessary before suggesting this change to other institutions.,0.3603,True,8.094,3221.36,3229.454,2,1
pubmedqa,33,Is Acupuncture Efficacious for Treating Phonotraumatic Vocal Pathologies?,The findings showed that acupuncture of voice-related acupoints could bring about improvement in vocal function and healing of vocal fold lesions.,0.7859,False,7.754,4291.739,4299.493,2,1
pubmedqa,34,Is aneurysm repair justified for the patients aged 80 or older after aneurysmal subarachnoid hemorrhage?,"Better prognosis was obtained when ruptured aneurysm was repaired in the elderly than it was treated conservatively. From the results of this study, we should not hesitate to offer the definitive surgery for the elderly with aSAH.",0.5878,False,7.712,5004.473,5012.185,2,1
pubmedqa,35,Do general practice characteristics influence uptake of an information technology (IT) innovation in primary care?,"The analyses show that structural characteristics of a practice are not associated with uptake of a new IT facility, but that its use may be influenced by post-graduate education in the relevant clinical condition. For this diabetes system at least, practice nurse use was critical in spreading uptake beyond initial GP enthusiasts and for sustained and rising use in subsequent years.",0.7518,False,11.822,4317.212,4329.034,2,1
pubmedqa,36,Prognosis of well differentiated small hepatocellular carcinoma--is well differentiated hepatocellular carcinoma clinically early cancer?,"W-d HCCs were clinically demonstrated not to be early cancer, because there was no significant difference in disease free survival between the patients with w-d and l-d HCCs.",0.5609,False,10.998,6268.773,6279.771,2,1
pubmedqa,37,Do follow-up recommendations for abnormal Papanicolaou smears influence patient adherence?,"Adherence to follow-up was low in this family planning clinic population, no matter what type of follow-up was advised. Adherence was improved by the use of up to 3 reminders. Allocating resources to effective methods for improving adherence to follow-up of abnormal results may be more important than which follow-up procedure is recommended.",0.5408,False,8.002,4198.461,4206.463,2,1
pubmedqa,38,Biomolecular identification of allergenic pollen: a new perspective for aerobiological monitoring?,"The real-time PCR approach revealed promising results in pollen identification and quantification, even when analyzing pollen mixes. Future perspectives could concern the development of multiplex real-time PCR for the simultaneous detection of different taxa in the same reaction tube and the application of high-throughput molecular methods.",0.843,False,8.631,4151.055,4159.685,2,1
pubmedqa,39,Does diabetes mellitus influence the efficacy of FDG-PET in the diagnosis of cervical cancer?,"In comparison with its accuracy in non-DM patients, the accuracy of PET in cervical cancer patients with mild to moderate DM was not significantly reduced.",0.5479,False,8.708,5666.385,5675.093,2,1
pubmedqa,40,Biomechanical and wound healing characteristics of corneas after excimer laser keratorefractive surgery: is there a difference between advanced surface ablation and sub-Bowman's keratomileusis?,"Ophthalmic pathology and basic science research show that SBK and ASA are improvements in excimer laser keratorefractive surgery compared to conventional LASIK or PRK, particularly with regard to maintaining corneal biomechanics and perhaps moderately reducing the risk of corneal haze. However, most of the disadvantages caused by wound healing issues remain.",0.4748,True,8.42,6039.941,6048.361,2,1
pubmedqa,41,Does radiotherapy of the primary rectal cancer affect prognosis after pelvic exenteration for recurrent rectal cancer?,Patients who previously received radiotherapy for primary rectal cancer treatment have worse oncologic outcomes than those who had not received radiotherapy after pelvic exenteration for locally recurrent rectal cancer.,0.6125,False,11.13,2869.329,2880.458,2,1
pubmedqa,42,Can a practicing surgeon detect early lymphedema reliably?,An increase of 5% in circumference measurements identified the most potential lymphedema cases compared with an academic trial.,0.4639,True,7.047,3052.35,3059.397,2,1
pubmedqa,43,Colorectal cancer with synchronous liver metastases: does global management at the same centre improve results?,"GM of CRC and SLM was associated with fewer procedures but did not influence overall survival. SM was associated with a longer delay and increased use of chemotherapy between procedures, suggesting that more rigorous selection of SM patients for surgery may explain the higher disease-free survival after SLM resection.",0.741,False,9.189,3890.993,3900.182,2,1
pubmedqa,44,Is motion perception deficit in schizophrenia a consequence of eye-tracking abnormality?,"Speed discrimination, per se, is not impaired in schizophrenia patients. The observed abnormality appears to be a consequence of impairment in generating or integrating the feedback information from eye movements. This study introduces a novel approach to motion perception studies and highlights the importance of concurrently measuring eye movements to understand interactions between these two systems; the results argue for a conceptual revision regarding motion perception abnormality in schizophrenia.",0.4974,True,7.628,2970.287,2977.915,2,1
pubmedqa,45,Transgastric endoscopic splenectomy: is it possible?,Transgastric endoscopic splenectomy in a porcine model appears technically feasible. Additional long-term survival experiments are planned.,0.6381,False,8.359,2150.761,2159.12,2,1
pubmedqa,46,It's Fournier's gangrene still dangerous?,"The interval from the onset of clinical symptoms to the initial surgical intervention seems to be the most important prognostic factor with a significant impact on outcome. Despite extensive therapeutic efforts, Fournier's gangrene remains a surgical emergency and early recognition with prompt radical debridement is the mainstays of management.",0.5803,False,7.215,2049.241,2056.455,2,1
pubmedqa,47,Is it appropriate to implant kidneys from elderly donors in young recipients?,"We conclude that patient and graft survival on transplanting kidneys from elderly donors to young recipients is superimposable on that obtained with young donors. However, renal function is better in the group of young donors.",0.5577,False,8.032,3964.76,3972.792,2,1
pubmedqa,48,Do provider service networks result in lower expenditures compared with HMOs or primary care case management in Florida's Medicaid program?,The Medicaid Demonstration in Florida appears to result in lower PMPM expenditures. Demonstration PSNs generated slightly greater reductions in expenditures compared to Demonstration HMOs. PSNs appear to be a promising model for delivering care to Medicaid enrollees.,0.4941,True,7.389,3187.838,3195.226,2,1
pubmedqa,49,Assessment of carotid artery stenosis before coronary artery bypass surgery. Is it always necessary?,"In our cohort, selective screening of patients aged>70 years, with carotid bruit, a history of cerebrovascular disease, diabetes mellitus or PVD would have reduced the screening load by 40%, with trivial impact on surgical management or neurological outcomes.",0.3864,True,7.277,4858.311,4865.588,2,1
pubmedqa,50,Should direct mesocolon invasion be included in T4 for the staging of gastric cancer?,Mesocolon invasion should be included in T4 for the staging of gastric cancer.,0.4818,True,7.717,2873.332,2881.048,2,1
pubmedqa,51,Do Surrogates of Injury Severity Influence the Occurrence of Heterotopic Ossification in Fractures of the Acetabulum?,"Surrogates of injury severity, including days in the ICU and non-ICU hospital LOS>10 days, were associated with the development of HO in our cohort of acetabular fracture patients. Prophylaxis with XRT was significantly protective against the development of HO, and the ability to provide prophylaxis is very likely related to the severity of injury.",0.4743,True,7.594,4251.602,4259.196,2,1
pubmedqa,52,Does pretreatment with statins improve clinical outcome after stroke?,"The statistical power of this case-referent study was such that only large beneficial effects of statins in acute stroke could be confirmed. However, the observed trend, together with experimental observations, is interesting enough to warrant a more detailed analysis of the relationship between statins and stroke outcome.",0.45,True,9.44,3315.933,3325.373,2,1
