dataset,query_index,question,ground_truth,faithfulness_score,is_hallucination,retrieval_latency_ms,generation_latency_ms,total_latency_ms,n_leaves_returned,n_summaries_returned
pubmedqa,20,Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,Hospital preparedness can be better defined by a fixed number of casualties rather than a percentile of its bed capacity. Only 20% of the arriving casualties will require immediate medical treatment. Implementation of this concept may improve the utilisation of national emergency health resources both in the preparation phase and on real time.,0.4548,True,8.027,3668.512,3676.539,2,1
pubmedqa,21,Acute respiratory distress syndrome in children with malignancy--can we predict outcome?,"Peak inspiratory pressure, PEEP, and ventilation index values could distinguish survivors from nonsurvivors by day 3. This may assist in early application of supportive nonconventional therapies in children with malignancy and ARDS.",0.6125,False,7.873,4132.942,4140.815,2,1
pubmedqa,22,Secondhand smoke risk in infants discharged from an NICU: potential for significant health disparities?,"The most disadvantaged families were least likely to have protective health behaviors in place to reduce SHSe and, consequently, are most at-risk for tobacco exposure and subsequent tobacco-related health disparities. Innovative SHSe interventions for this vulnerable population are sorely needed.",0.5747,False,7.568,5169.82,5177.388,2,1
pubmedqa,23,Do nomograms designed to predict biochemical recurrence (BCR) do a better job of predicting more clinically relevant prostate cancer outcomes than BCR?,"Currently available nomograms used to predict BCR accurately predict PCSM and other more clinically relevant endpoints. Moreover, not only do they significantly predict PCSM, but do so with generally greater accuracy than BCR.",0.5573,False,7.661,3009.183,3016.844,2,1
pubmedqa,24,Are reports of mechanical dysfunction in chronic oro-facial pain related to somatisation?,"Self-reported mechanical factors associated with chronic oro-facial pain are confounded, in part, by psychological factors and are equally common across other frequently unexplained syndromes. They may represent another feature of somatisation. Therefore the use of extensive invasive therapy such as occlusal adjustments and surgery to change mechanical factors may not be justified in many cases.",0.6125,False,7.217,5031.426,5038.643,2,1
pubmedqa,25,Amblyopia: is visual loss permanent?,Older people with a history of amblyopia who develop visual loss in the previously normal eye can experience recovery of visual function in the amblyopic eye over a period of time. This recovery in visual function occurs in the wake of visual loss in the fellow eye and the improvement appears to be sustained.,0.6026,False,9.12,3787.839,3796.959,2,1
pubmedqa,26,Implementation of epidural analgesia for labor: is the standard of effective analgesia reachable in all women?,"Present audit shows that the process of implementation of labor analgesia was quick, successful and safe, notwithstanding the identification of one cluster of women with suboptimal response to epidural analgesia that need to be further studies, overall pregnant womens'adhesion to labor analgesia was satisfactory.",0.5422,False,8.557,3453.964,3462.521,2,1
pubmedqa,27,Does HER2 immunoreactivity provide prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy?,HER2 immunoreactivity might have a limited prognostic value for advanced urothelial carcinoma patients with adjuvant M-VEC.,0.5817,False,7.765,4084.215,4091.98,2,1
pubmedqa,28,Is halofantrine ototoxic?,"Halofantrine has mild to moderate pathological effects on cochlea histology, and can be considered an ototoxic drug.",0.8508,False,6.968,3068.835,3075.803,2,1
pubmedqa,29,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,"VAT area measurement at a single level 3 cm above the lower margin of the L3 vertebra is feasible and can reflect changes in VAT volume and body weight. Advances in knowledge: As VAT area at a CT slice 3cm above the lower margin of L3 can best reflect interval changes in VAT volume and body weight, VAT area measurement should be selected at this location.",0.6121,False,10.158,3347.445,3357.602,2,1
pubmedqa,30,Necrotizing fasciitis: an indication for hyperbaric oxygenation therapy?,The results of this study cast doubt on the suggested advantage of HBO in reducing patient mortality and morbidity when used as adjuvant therapy for NF.,0.4727,True,8.432,2222.333,2230.766,2,1
pubmedqa,31,Is the Hawkins sign able to predict necrosis in fractures of the neck of the astragalus?,"A positive Hawkins sign rules out that the fractured talus has developed avascular necrosis, but its absence does not confirm it.",0.3198,True,9.454,4033.985,4043.439,2,1
pubmedqa,32,Is a mandatory general surgery rotation necessary in the surgical clerkship?,Effective undergraduate surgical education can be offered in many specialty settings. Removal of the requirement for general surgery in clerkship may lead to a more effective use of all educational opportunities. A careful analysis of local programs and facilities is necessary before suggesting this change to other institutions.,0.3603,True,8.094,3221.36,3229.454,2,1
pubmedqa,33,Is Acupuncture Efficacious for Treating Phonotraumatic Vocal Pathologies?,The findings showed that acupuncture of voice-related acupoints could bring about improvement in vocal function and healing of vocal fold lesions.,0.7859,False,7.754,4291.739,4299.493,2,1
pubmedqa,34,Is aneurysm repair justified for the patients aged 80 or older after aneurysmal subarachnoid hemorrhage?,"Better prognosis was obtained when ruptured aneurysm was repaired in the elderly than it was treated conservatively. From the results of this study, we should not hesitate to offer the definitive surgery for the elderly with aSAH.",0.5878,False,7.712,5004.473,5012.185,2,1
pubmedqa,35,Do general practice characteristics influence uptake of an information technology (IT) innovation in primary care?,"The analyses show that structural characteristics of a practice are not associated with uptake of a new IT facility, but that its use may be influenced by post-graduate education in the relevant clinical condition. For this diabetes system at least, practice nurse use was critical in spreading uptake beyond initial GP enthusiasts and for sustained and rising use in subsequent years.",0.7518,False,11.822,4317.212,4329.034,2,1
pubmedqa,36,Prognosis of well differentiated small hepatocellular carcinoma--is well differentiated hepatocellular carcinoma clinically early cancer?,"W-d HCCs were clinically demonstrated not to be early cancer, because there was no significant difference in disease free survival between the patients with w-d and l-d HCCs.",0.5609,False,10.998,6268.773,6279.771,2,1
pubmedqa,37,Do follow-up recommendations for abnormal Papanicolaou smears influence patient adherence?,"Adherence to follow-up was low in this family planning clinic population, no matter what type of follow-up was advised. Adherence was improved by the use of up to 3 reminders. Allocating resources to effective methods for improving adherence to follow-up of abnormal results may be more important than which follow-up procedure is recommended.",0.5408,False,8.002,4198.461,4206.463,2,1
pubmedqa,38,Biomolecular identification of allergenic pollen: a new perspective for aerobiological monitoring?,"The real-time PCR approach revealed promising results in pollen identification and quantification, even when analyzing pollen mixes. Future perspectives could concern the development of multiplex real-time PCR for the simultaneous detection of different taxa in the same reaction tube and the application of high-throughput molecular methods.",0.843,False,8.631,4151.055,4159.685,2,1
pubmedqa,39,Does diabetes mellitus influence the efficacy of FDG-PET in the diagnosis of cervical cancer?,"In comparison with its accuracy in non-DM patients, the accuracy of PET in cervical cancer patients with mild to moderate DM was not significantly reduced.",0.5479,False,8.708,5666.385,5675.093,2,1
pubmedqa,40,Biomechanical and wound healing characteristics of corneas after excimer laser keratorefractive surgery: is there a difference between advanced surface ablation and sub-Bowman's keratomileusis?,"Ophthalmic pathology and basic science research show that SBK and ASA are improvements in excimer laser keratorefractive surgery compared to conventional LASIK or PRK, particularly with regard to maintaining corneal biomechanics and perhaps moderately reducing the risk of corneal haze. However, most of the disadvantages caused by wound healing issues remain.",0.4748,True,8.42,6039.941,6048.361,2,1
pubmedqa,41,Does radiotherapy of the primary rectal cancer affect prognosis after pelvic exenteration for recurrent rectal cancer?,Patients who previously received radiotherapy for primary rectal cancer treatment have worse oncologic outcomes than those who had not received radiotherapy after pelvic exenteration for locally recurrent rectal cancer.,0.6125,False,11.13,2869.329,2880.458,2,1
pubmedqa,42,Can a practicing surgeon detect early lymphedema reliably?,An increase of 5% in circumference measurements identified the most potential lymphedema cases compared with an academic trial.,0.4639,True,7.047,3052.35,3059.397,2,1
pubmedqa,43,Colorectal cancer with synchronous liver metastases: does global management at the same centre improve results?,"GM of CRC and SLM was associated with fewer procedures but did not influence overall survival. SM was associated with a longer delay and increased use of chemotherapy between procedures, suggesting that more rigorous selection of SM patients for surgery may explain the higher disease-free survival after SLM resection.",0.741,False,9.189,3890.993,3900.182,2,1
pubmedqa,44,Is motion perception deficit in schizophrenia a consequence of eye-tracking abnormality?,"Speed discrimination, per se, is not impaired in schizophrenia patients. The observed abnormality appears to be a consequence of impairment in generating or integrating the feedback information from eye movements. This study introduces a novel approach to motion perception studies and highlights the importance of concurrently measuring eye movements to understand interactions between these two systems; the results argue for a conceptual revision regarding motion perception abnormality in schizophrenia.",0.4974,True,7.628,2970.287,2977.915,2,1
pubmedqa,45,Transgastric endoscopic splenectomy: is it possible?,Transgastric endoscopic splenectomy in a porcine model appears technically feasible. Additional long-term survival experiments are planned.,0.6381,False,8.359,2150.761,2159.12,2,1
pubmedqa,46,It's Fournier's gangrene still dangerous?,"The interval from the onset of clinical symptoms to the initial surgical intervention seems to be the most important prognostic factor with a significant impact on outcome. Despite extensive therapeutic efforts, Fournier's gangrene remains a surgical emergency and early recognition with prompt radical debridement is the mainstays of management.",0.5803,False,7.215,2049.241,2056.455,2,1
pubmedqa,47,Is it appropriate to implant kidneys from elderly donors in young recipients?,"We conclude that patient and graft survival on transplanting kidneys from elderly donors to young recipients is superimposable on that obtained with young donors. However, renal function is better in the group of young donors.",0.5577,False,8.032,3964.76,3972.792,2,1
pubmedqa,48,Do provider service networks result in lower expenditures compared with HMOs or primary care case management in Florida's Medicaid program?,The Medicaid Demonstration in Florida appears to result in lower PMPM expenditures. Demonstration PSNs generated slightly greater reductions in expenditures compared to Demonstration HMOs. PSNs appear to be a promising model for delivering care to Medicaid enrollees.,0.4941,True,7.389,3187.838,3195.226,2,1
pubmedqa,49,Assessment of carotid artery stenosis before coronary artery bypass surgery. Is it always necessary?,"In our cohort, selective screening of patients aged>70 years, with carotid bruit, a history of cerebrovascular disease, diabetes mellitus or PVD would have reduced the screening load by 40%, with trivial impact on surgical management or neurological outcomes.",0.3864,True,7.277,4858.311,4865.588,2,1
pubmedqa,50,Should direct mesocolon invasion be included in T4 for the staging of gastric cancer?,Mesocolon invasion should be included in T4 for the staging of gastric cancer.,0.4818,True,7.717,2873.332,2881.048,2,1
pubmedqa,51,Do Surrogates of Injury Severity Influence the Occurrence of Heterotopic Ossification in Fractures of the Acetabulum?,"Surrogates of injury severity, including days in the ICU and non-ICU hospital LOS>10 days, were associated with the development of HO in our cohort of acetabular fracture patients. Prophylaxis with XRT was significantly protective against the development of HO, and the ability to provide prophylaxis is very likely related to the severity of injury.",0.4743,True,7.594,4251.602,4259.196,2,1
pubmedqa,52,Does pretreatment with statins improve clinical outcome after stroke?,"The statistical power of this case-referent study was such that only large beneficial effects of statins in acute stroke could be confirmed. However, the observed trend, together with experimental observations, is interesting enough to warrant a more detailed analysis of the relationship between statins and stroke outcome.",0.45,True,9.44,3315.933,3325.373,2,1
pubmedqa,53,Processing fluency effects: can the content and presentation of participant information sheets influence recruitment and participation for an antenatal intervention?,Font influenced pregnant women's ratings of intervention complexity.,0.5454,False,9.672,4618.856,4628.529,2,1
pubmedqa,54,Sternal fracture in growing children : A rare and often overlooked fracture?,Isolated sternal fractures in childhood are often due to typical age-related traumatic incidents. Ultrasonography is a useful diagnostic tool for fracture detection and radiography is the method of choice for visualization of the extent of the dislocation.,0.5036,False,8.579,1512.534,1521.113,2,1
pubmedqa,55,Is there a correlation between androgens and sexual desire in women?,"In the present study, FT and androstenedione were statistically significantly correlated with sexual desire in the total cohort of women. ADT-G did not correlate more strongly than circulating androgens with sexual desire and is therefore not superior to measuring circulating androgens by mass spectrometry.",0.6514,False,7.545,4828.717,4836.262,2,1
pubmedqa,56,Does immediate breast reconstruction compromise the delivery of adjuvant chemotherapy?,"We found no evidence that IBR compromised the delivery of adjuvant chemotherapy, although there was a significant incidence of implant infection.",0.5647,False,7.002,2158.641,2165.643,2,1
pubmedqa,57,Human papillomavirus and pterygium. Is the virus a risk factor?,The low presence of HPV DNA in pterygia does not support the hypothesis that HPV is involved in the development of pterygia in Denmark.,0.4279,True,7.422,4306.323,4313.745,2,1
pubmedqa,58,Can PRISM predict length of PICU stay?,"The ANN with its intrinsic ability to detect non-linear correlation, and to relate specific item patterns to LOS, outperformed linear statistics but was still disappointing in estimating individual LOS. It might be speculated that therapeutic intervention modulates the natural course of the disease thus counteracting both disease severity as initially scored by PRISM, and LOS. This being true, the inverse of the correlation between PRISM (or PRISM based LOS estimate) and LOS might be a candidate indicator of quality of care.",0.6793,False,7.598,3688.231,3695.829,2,1
pubmedqa,59,Can predilatation in transcatheter aortic valve implantation be omitted?,TAVI can be performed safely without balloon predilatation and with the same early results as achieved with the standard procedure including balloon predilatation. The reduction in the number of pacing periods required may be beneficial for the patient.,0.2128,True,7.99,3354.508,3362.498,2,1
pubmedqa,60,Autoerotic asphyxiation: secret pleasure--lethal outcome?,"Pediatricians should be alert to the earliest manifestations of AEA. Awareness of choking games among the young and, of those, a subset who eventually progress to potentially fatal AEA is strongly encouraged among all primary care professionals who may be able to interrupt the behavior.",0.7156,False,8.648,3412.95,3421.598,2,1
pubmedqa,61,Major depression and alcohol use disorder in adolescence: Does comorbidity lead to poorer outcomes of depression?,"The results of these analyses suggest that marginally higher rates of depression to age 35 amongst the comorbid MD/AUD group were explained by increased exposure to adverse childhood circumstances amongst members of the comorbid group. Adolescent MD/AUD comorbidity is likely to be a risk marker, rather than a causal factor in subsequent MD.",0.6217,False,7.087,5546.169,5553.256,2,1
pubmedqa,62,Cold preparation use in young children after FDA warnings: do concerns still exist?,"Despite current recommendations, cough and cold medicines are still used in children younger than 6 years of age. A significant portion of caregivers report that they are still unaware of public warnings, potential side effects, and interactions with other medications.",0.505,False,7.124,3106.477,3113.601,2,1
pubmedqa,63,Does a 4 diagram manual enable laypersons to operate the Laryngeal Mask Supreme®?,In manikin laypersons could insert LMAS in the correct direction after onsite instruction by a simple manual with a high success rate. This indicates some basic procedural understanding and intellectual transfer in principle. Operating errors (n = 91) were frequently not recognized and corrected (n = 77). Improvements in labeling and the quality of instructional photographs may reduce individual error and may optimize understanding.,0.5924,False,7.607,3772.152,3779.759,2,1
pubmedqa,64,Can we measure mesopic pupil size with the cobalt blue light slit-lamp biomicroscopy method?,"Although the SLBM is quite repeatable, it underestimates mesopic pupil size and shows a too wide range of agreement with CIP. SLBM shows low sensitivity in detecting pupils larger than 6 mm, which may be misleading when planning anterior segment surgery. Previous grading-consensus training strategies may increase interrater reproducibility, and compensation for the systematic underestimation could improve accuracy of the SLBM.",0.5028,False,13.222,2271.914,2285.136,2,1
pubmedqa,65,Should circumcision be performed in childhood?,"Incomplete separation between prepuce and glans penis is normal and common among new-borns, progressing until adolescence to spontaneous separation, at which time it is complete in the majority of boys. Accordingly to the criteria we have sustained for years and present study's findings, circumcision has few indications during childhood, as well as forced prepucial dilation.",0.5059,False,7.689,4393.384,4401.073,2,1
pubmedqa,66,Does a colonoscopy after acute diverticulitis affect its management?,"Our results suggest that colonoscopy does not affect the management of patients with acute diverticulitis nor alter the outcome. The current practice of a routine colonoscopy after acute diverticulitis, diagnosed by typical clinical symptoms and CT needs to be reevaluated.",0.3631,True,13.647,3704.428,3718.075,2,1
pubmedqa,67,Do instrumental activities of daily living predict dementia at 1- and 2-year follow-up?,"IADL disability is a useful addition to the diagnostic process in a memory clinic setting, indicating who is at higher risk of developing dementia at 1- and 2-year follow-up.",0.6724,False,10.635,3701.018,3711.653,2,1
pubmedqa,68,Does the Simultaneous Use of a Neuroendoscope Influence the Incidence of Ventriculoperitoneal Shunt Infection?,"In the present study, the use of an endoscope during VPS procedures did not increase the risk of surgical infection.",0.4398,True,7.298,4754.662,4761.96,2,1
pubmedqa,69,"Body perception: do parents, their children, and their children's physicians perceive body image differently?",Many children underestimated their degree of overweight. Their parents and even their attending physicians shared this misperception. This study demonstrates the need to further educate physicians to recognize obesity and overweight so that they can counsel children and their families.,0.5478,False,7.358,4307.878,4315.237,2,1
pubmedqa,70,Is a specialised training of phonological awareness indicated in every preschool child?,"A specialized training program to improve phonologic awareness as a basis for reading and writing in every kindergarten and preschool child seems to be unnecessary. However, children with temporary hearing deficits benefit from such a program. For all other children general perception training may be sufficient.",0.3494,True,8.271,4785.403,4793.673,2,1
pubmedqa,71,Is there any relationship between streptococcal infection and multiple sclerosis?,"These findings indicate that a relationship between multiple sclerosis and streptococcal infections may exist, but to acquire a better understanding of the role of group A streptococci in the pathogenesis of multiple sclerosis, more studies with animal models are necessary.",0.6608,False,8.057,3413.358,3421.415,2,1
pubmedqa,72,Is the combination with 2-methoxyestradiol able to reduce the dosages of chemotherapeutices in the treatment of human ovarian cancer?,2ME is able to enhance the antiproliferative activity of certain chemotherapeutics at pharmacological relevant concentrations. This estradiol metabolite is currently in a phase II trial in patients with refractary metastatic breast cancer and the tolerability has been shown to be very good. The combination of 2ME with chemotherapeutics may therefore offer a new clinically relevant treatment regimen for hormone-dependent cancer.,0.6356,False,11.978,4119.534,4131.512,2,1
pubmedqa,73,Assessing joint line positions by means of the contralateral knee: a new approach for planning knee revision surgery?,"As a new assessment method, we have suggested to assess the JL by means of radiographs of the contralateral knee. The most precise parameter was found to be the distance between the fibular head and the JL. The level of arthritis, age, gender, visibility of the landmarks, and misalignment did not influence measurement accuracy. This parameter is the first tibia-related landmark for assessing the JL, which advantageously corresponds to the tibia-first technique in revision surgery.",0.5545,False,7.541,1794.495,1802.036,2,1
pubmedqa,74,Does the type of tibial component affect mechanical alignment in unicompartmental knee replacement?,"Patients who received a metal-backed Onlay tibial component obtained better postoperative mechanical alignment compared to those who received all-polyethylene Inlay prostheses. The thicker overall construct of Onlay prostheses appears to be an important determinant of postoperative alignment. Considering their higher survivorship rates and improved postoperative mechanical alignment, Onlay prostheses should be the first option when performing medial UKR.",0.498,True,7.905,3585.348,3593.253,2,1
pubmedqa,75,Is tumour expression of VEGF associated with venous invasion and survival in pT3 renal cell carcinoma?,"Progression of a pT3 tumour into the renal vein and vena cava is not associated with increased tumour expression of VEGF. However, VEGF is an independent prognostic factor in this group of poor prognosis renal tumours.",0.6891,False,9.823,3561.585,3571.409,2,1
pubmedqa,76,Injury and poisoning mortality among young men--are there any common factors amenable to prevention?,"Alcohol and drug use are important contributory factors to injury and poisoning deaths. More research is needed into the effects of unemployment and being single on the health of young men, and to investigate the motivations behind risk taking and self-destructive behaviour.",0.463,True,7.006,3071.424,3078.43,2,1
pubmedqa,77,Continuation of pregnancy after antenatal corticosteroid administration: opportunity for rescue?,"Rescue AC may apply to only 18% of cases, and we identified subsets of more likely candidates.",0.5622,False,10.772,5651.339,5662.111,2,1
pubmedqa,78,Does either obesity or OSA severity influence the response of autotitrating CPAP machines in very obese subjects?,"In this population, neither BMI nor neck circumference nor waist circumference is predictive of autoCPAP pressure. Therefore, the previously derived algorithm does not adequately predict the fixed CPAP pressure for subsequent clinical use in these obese individuals. In addition, some subjects without OSA generated high autoCPAP pressures, and thus, the correlation between OSA severity and autoCPAP pressure was only moderate.",0.5757,False,7.856,5500.747,5508.604,2,1
pubmedqa,79,Does the clinical presentation of a prior preterm birth predict risk in a subsequent pregnancy?,Patients with a history of ACD are at an increased risk of having recurrent preterm birth and cervical shortening in a subsequent pregnancy compared with women with prior preterm birth associated PPROM or PTL.,0.8031,False,9.249,3700.741,3709.99,2,1
pubmedqa,80,Is the Distance Worth It?,"Our results indicate that when controlled for patient, tumor, and hospital factors, patients who traveled a long distance to a high-volume center had improved lymph node yield, neoadjuvant chemoradiation receipt, and 30- and 90-day mortality compared with those who traveled a short distance to a low-volume center. They also had improved 5-year survival. See Video Abstract at http://links.lww.com/DCR/A446.",0.4336,True,6.955,6798.456,6805.411,2,1
pubmedqa,81,Aripiprazole: a new risk factor for pathological gambling?,Adverse drug reactions were confronted with other already published case reports. Dopamine partial agonist mechanism of aripiprazole could explain the occurrence of pathological gambling.,0.5025,False,8.038,3893.711,3901.748,2,1
pubmedqa,82,Immune suppression by lysosomotropic amines and cyclosporine on T-cell responses to minor and major histocompatibility antigens: does synergy exist?,Lysosomotropic amines in combination with cyclosporine appear to be synergistic in the suppression of T-cell proliferation to MiHC and MHC. Use of chloroquine in combination with cyclosporine may result in improved control of GVHD.,0.7154,False,8.263,4033.18,4041.444,2,1
pubmedqa,83,Does induction chemotherapy have a role in the management of nasopharyngeal carcinoma?,"While not providing conclusive evidence, this single institution experience suggests that neoadjuvant chemotherapy for Stage IV NPC patients improves both survival and disease control. Recurrence within the irradiated volume was the most prevalent mode of failure and future studies will evaluate regimens to enhance local regional control.",0.5108,False,8.958,4605.535,4614.492,2,1
pubmedqa,84,Treatment of contralateral hydrocele in neonatal testicular torsion: Is less more?,We have demonstrated that approaching a contralateral hydrocele in cases of neonatal testicular torsion solely through a scrotal incision is safe and effective. Inguinal exploration was not performed in our study and our long-term results demonstrate that such an approach would have brought no additional benefit. In avoiding an inguinal approach we did not subject our patients to unnecessary risk of testicular or vasal injury. Contralateral hydrocele is commonly seen in cases of neonatal testicular torsion. In our experience this is a condition of minimal clinical significance and does not warrant formal inguinal exploration for treatment. This conservative management strategy minimizes the potential of contralateral spermatic cord injury in the neonate. The aims of the study were met.,0.3835,True,8.214,4040.419,4048.633,2,1
pubmedqa,85,"Are normally sighted, visually impaired, and blind pedestrians accurate and reliable at making street crossing decisions?","Our data suggested that visually impaired pedestrians can make accurate and reliable street crossing decisions like those of normally sighted pedestrians. When using auditory information only, all subjects significantly overestimated the vehicular gap time. Our finding that blind pedestrians performed significantly worse than either the normally sighted or visually impaired subjects under the hearing only condition suggested that they may benefit from training to improve their detection ability and/or interpretation of vehicular gap times.",0.5276,False,10.362,3184.35,3194.712,2,1
