dataset,query_index,question,ground_truth,faithfulness_score,is_hallucination,retrieval_latency_ms,generation_latency_ms,total_latency_ms,n_leaves_returned,n_summaries_returned
squad,45,Who is the quarterback for the Panthers?,Cam Newton,1.0,False,6.719,804.702,811.421,2,1
squad,46,Who did Carolina beat in the NFC championship game?,Arizona Cardinals,0.9783,False,8.079,1222.036,1230.115,2,1
squad,47,How many times have the Panthers been in the Super Bowl?,2,0.4344,True,6.964,2072.719,2079.683,2,1
squad,48,Who did Denver beat in the AFC championship?,New England Patriots,0.9658,False,9.362,1107.13,1116.491,2,1
squad,49,Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton,0.7274,False,6.917,1461.241,1468.158,2,1
squad,50,Who did Denver beat in the 2015 AFC Championship game?,New England Patriots,0.9649,False,6.79,1249.345,1256.135,2,1
squad,51,Who did the Carolina Panthers beat in the 2015 NFC Championship game?,Arizona Cardinals,0.9738,False,7.183,1392.27,1399.453,2,1
squad,52,Who was the 2015 NFL MVP?,Cam Newton,1.0,False,6.666,755.231,761.897,2,1
squad,53,Who did the Panthers beat to become the NFC champs?,Arizona Cardinals,0.5559,False,13.551,2107.141,2120.691,2,1
squad,54,What year did the Carolina Panthers form?,1995.,0.679,False,8.203,1504.683,1512.886,2,1
squad,55,Who was the Super Bowl 50 MVP?,Von Miller,1.0,False,7.094,670.799,677.893,2,1
squad,56,How many fumbles did Von Miller force in Super Bowl 50?,2,0.6327,False,10.169,1087.769,1097.938,2,1
squad,57,Which team held the scoring lead throughout the entire game?,Broncos,0.7646,False,6.755,1130.949,1137.704,2,1
squad,58,Which Denver linebacker was named Super Bowl MVP?,linebacker Von Miller,1.0,False,11.505,733.436,744.941,2,1
squad,59,How many solo tackles did Von Miller make at Super Bowl 50?,five solo tackles,0.7654,False,8.612,684.069,692.681,2,1
squad,60,Who was limited by Denver's defense?,Newton was limited by Denver's defense,0.8227,False,9.07,1648.563,1657.633,2,1
squad,61,How many times was Cam Newton sacked?,seven,0.6365,False,7.031,4836.597,4843.628,2,1
squad,62,Who won the Super Bowl MVP?,Von Miller,1.0,False,7.938,668.863,676.801,2,1
squad,63,How many turnovers did Cam Newton have?,three,0.7013,False,7.342,1273.53,1280.872,2,1
squad,64,How many fumbles did Von Miller force?,two,0.4624,True,7.357,1863.477,1870.834,2,1
squad,65,Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,1.0,False,7.609,686.017,693.626,2,1
squad,66,What position does Von Miller play for the Denver Broncos?,linebacker,0.6797,False,10.227,1270.587,1280.814,2,1
squad,67,What was the number of solo tackles that Von Miller had in Super Bowl 50?,5,1.0,False,10.948,14749.704,14760.652,2,1
squad,68,How many forced fumbles did Von Miller have during the Super Bowl 50 game?,2,0.5297,False,10.983,1113.761,1124.744,2,1
squad,69,Who won the MVP for the Super Bowl?,Von Miller,1.0,False,9.007,649.495,658.503,2,1
squad,70,How many tackles did Von Miller get during the game?,5,0.5638,False,10.086,1835.09,1845.176,2,1
squad,71,How many times was Cam Newton sacked in Super Bowl 50?,seven,0.8119,False,6.803,696.331,703.133,2,1
squad,72,How many times did the Denver defense force Newton into turnovers?,three,0.7482,False,7.565,1012.776,1020.341,2,1
squad,73,Which Newton turnover resulted in seven points for Denver?,a fumble,0.6771,False,8.426,3145.427,3153.852,2,1
squad,74,Who was the Most Valuable Player of Super Bowl 50?,Von Miller,1.0,False,9.735,754.955,764.691,2,1
squad,75,What position does Von Miller play?,linebacker,0.6616,False,11.112,959.587,970.699,2,1
squad,76,How many times was the Panthers' quarterback sacked?,seven,0.6025,False,6.94,2913.728,2920.668,2,1
squad,77,How many times did the Broncos cause turnovers in the game?,three,0.8296,False,6.951,1054.192,1061.143,2,1
squad,78,What Denver player caused two fumbles for the Panthers?,Von Miller,0.5501,False,7.097,2572.374,2579.471,2,1
squad,79,How many tackles did Von Miller accomlish by himself in the game?,five,0.6876,False,9.025,1575.03,1584.055,2,1
squad,80,Which network broadcasted Super Bowl 50 in the U.S.?,CBS,1.0,False,7.497,887.935,895.432,2,1
squad,81,What was the average cost for a 30 second commercial during Super Bowl 50?,$5 million,0.6206,False,10.381,1548.335,1558.716,2,1
squad,82,Which group headlined the Super Bowl 50 halftime show?,Coldplay,1.0,False,7.056,714.54,721.597,2,1
squad,83,Which performers joined the headliner during the Super Bowl 50 halftime show?,Beyoncé and Bruno Mars,0.9434,False,13.692,747.289,760.981,2,1
squad,84,At which Super Bowl did Beyonce headline the halftime show?,Super Bowl XLVII,0.7889,False,8.371,1338.693,1347.063,2,1
squad,85,Who was the broadcaster for Super Bowl 50 in the United States?,CBS,0.8447,False,7.189,1309.419,1316.607,2,1
squad,86,What was the average cost of a 30-second commercial?,$5 million,0.6346,False,6.474,1558.701,1565.175,2,1
squad,87,What halftime performer previously headlined Super Bowl XLVII?,Beyoncé,1.0,False,6.913,859.484,866.397,2,1
squad,88,What halftime performer previously headlined Super Bowl XLVIII?,Bruno Mars,0.8951,False,10.156,653.972,664.129,2,1
squad,89,Who was the main performer at this year's halftime show?,Coldplay,0.7873,False,7.655,709.014,716.669,2,1
squad,90,Which network broadcasted the 50th Super Bowl game? ,CBS,1.0,False,7.736,894.245,901.981,2,1
squad,91,What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,$5 million,0.5988,False,7.754,1601.289,1609.044,2,1
squad,92,Who was the male singer who performed as a special guest during Super Bowl 50?,Bruno Mars,1.0,False,11.243,839.854,851.096,2,1
squad,93,What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?,third,0.7489,False,9.727,2054.485,2064.211,2,1
squad,94,What station aired the Super Bowl?,CBS,0.8401,False,9.037,1276.482,1285.518,2,1
squad,95,How much money did a 1/2 minute commercial cost?,$5 million,0.6287,False,10.958,2330.868,2341.825,2,1
squad,96,What band headlined half-time during Super Bowl 50?,Coldplay,1.0,False,6.508,780.525,787.033,2,1
squad,97,What two artists came out with Coldplay during the half-time show?,Beyoncé and Bruno Mars,0.7582,False,8.64,977.196,985.836,2,1
squad,98,Who broadcast the Super Bowl on TV?,CBS,0.9132,False,6.757,1017.315,1024.072,2,1
squad,99,Who headlined the halftime show for Super Bowl 50?,Coldplay,0.8645,False,6.809,1295.362,1302.171,2,1
