dataset,condition,chunk_size,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_hcpc_n_weak,ret_hcpc_n_refined,hcpc_n_strong,hcpc_n_weak,hcpc_n_refined,hcpc_n_merged,hcpc_mean_ce_improvement,hcpc_mean_sim_improvement,hcpc_context_coherence,hcpc_context_token_count
squad,hcpc_v1,1024,3,What day was the Super Bowl played on?,"February 7, 2016"," I cannot find this information in the provided context. The context only mentions the date of the Super Bowl Opening Night, not the actual game day.",0.6271,False,faithful,4.61,0.7261,0.7261,0.7261,0.0,3,3,3,0,3,3,0,-0.106,0.3249,-1.0,173
squad,hcpc_v1,1024,3,Who won Super Bowl 50?,Denver Broncos, I cannot find the winner of Super Bowl 50 in the provided context.,0.6339,False,faithful,2.33,0.6226,0.6226,0.6226,0.0,3,3,3,0,3,3,0,-2.2022,0.2266,-1.0,95
squad,hcpc_v1,1024,3,What venue did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context only mentions that it is the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985, and the first in California since Super Bowl XXXVII took place in San Diego in 2003, but it does not specify the venue for any of these Super Bowls.",0.6228,False,faithful,7.94,0.6508,0.6508,0.6508,0.0,3,3,3,0,3,3,0,0.3399,0.2847,-1.0,133
squad,hcpc_v1,1024,3,What city did Super Bowl 50 take place in?,Santa Clara," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 was a game to determine the champion of the NFL for the 2015 season, but it does not specify the location where the game took place.",0.4797,True,hallucinated,5.8,0.5887,0.5887,0.5887,0.0,3,3,3,0,3,3,0,-4.1873,0.1882,-1.0,95
squad,hcpc_v1,1024,3,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," I cannot find this information in the provided context. The context only mentions the use of Arabic numerals for Super Bowl 50, not Roman numerals.",0.7309,False,faithful,3.11,0.8134,0.8134,0.8134,0.0,3,3,3,0,3,3,0,-4.3508,0.4381,-1.0,39
squad,hcpc_v1,1024,3,Super Bowl 50 decided the NFL champion for what season?,2015, The NFL champion for the 2015 season.,0.7621,False,faithful,2.4,0.6978,0.6978,0.6978,0.0,3,3,3,0,3,3,0,-0.3991,0.2756,-1.0,95
squad,hcpc_v1,1024,3,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Denver Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs in a certain year, but it does not specify which year they won a Super Bowl title for the third time.",0.523,False,faithful,6.89,0.6986,0.6986,0.6986,0.0,3,3,3,0,3,3,0,0.0,0.3015,-1.0,144
squad,hcpc_v1,1024,3,What city did Super Bowl 50 take place in?,Santa Clara," I cannot find this information in the provided context. The context only states that Super Bowl 50 was a game to determine the champion of the NFL for the 2015 season, but it does not specify the location where the game took place.",0.473,True,hallucinated,6.17,0.5887,0.5887,0.5887,0.0,3,3,3,0,3,3,0,-4.1873,0.1882,-1.0,95
squad,hcpc_v1,1024,3,What stadium did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context only mentions that the game would be known as ""Super Bowl L"" and that the logo would feature Arabic numerals 50, but it does not specify the stadium where the game took place.",0.5835,False,faithful,6.69,0.5862,0.5862,0.5862,0.0,3,3,3,0,3,3,0,-9.803,0.1873,-1.0,92
squad,hcpc_v1,1024,3,What was the final score of Super Bowl 50? ,24–10," I cannot find this information in the provided context. The context only states that Super Bowl 50 determined the champion of the NFL for the 2015 season, but it does not provide the final score.",0.5701,False,faithful,4.13,0.5729,0.5729,0.5729,0.0,3,3,3,0,3,3,0,-1.9034,0.2387,-1.0,95
squad,hcpc_v1,1024,3,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," I cannot find this specific information in the provided context. The context only states that Super Bowl 50 was the game to determine the champion of the NFL for the 2015 season, but it does not provide the exact date when it took place.",0.5132,False,faithful,4.16,0.5842,0.5842,0.5842,0.0,3,3,3,0,3,3,0,-2.8524,0.2122,-1.0,95
squad,hcpc_v1,1024,3,What year was Super Bowl 50?,2015," The provided context does not specify the year, but since Super Bowl 50 is mentioned, we can infer that it occurred in the year 2015.",0.6083,False,faithful,2.73,0.6352,0.6352,0.6352,0.0,3,3,3,0,3,3,0,-0.9825,0.1994,-1.0,95
squad,hcpc_v1,1024,3,What team was the AFC champion?,Denver Broncos," I cannot find this information in the provided context. The context only mentions that the Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs, but it does not specify whether they became the AFC champion or not.",0.6935,False,faithful,5.52,0.5895,0.5895,0.5895,0.0,3,3,3,0,3,3,0,0.0,0.4106,-1.0,144
squad,hcpc_v1,1024,3,What team was the NFC champion?,Carolina Panthers," The team that was the NFC champion, according to the provided context, is not explicitly stated. However, it can be inferred that the team that defeated the Arizona Cardinals in the NFC Championship Game advanced to become the NFC champion.",0.6561,False,faithful,5.15,0.7069,0.7069,0.7069,0.0,3,3,3,0,3,3,0,1.5853,0.4673,-1.0,122
squad,hcpc_v1,1024,3,Who won Super Bowl 50?,Denver Broncos, I cannot find the winner of Super Bowl 50 in the provided context.,0.6339,False,faithful,2.44,0.6226,0.6226,0.6226,0.0,3,3,3,0,3,3,0,-2.2022,0.2266,-1.0,95
squad,hcpc_v1,1024,3,Super Bowl 50 determined the NFL champion for what season?,2015, The NFL champion for the 2015 season.,0.7621,False,faithful,1.0,0.7057,0.7057,0.7057,0.0,3,3,3,0,3,3,0,-0.2501,0.299,-1.0,95
squad,hcpc_v1,1024,3,Which team won Super Bowl 50.,Denver Broncos," I cannot find this information in the provided context. The context only states that Super Bowl 50 was a game to determine the champion of the NFL for the 2015 season, but it does not specify which team won.",0.6693,False,faithful,3.78,0.6477,0.6477,0.6477,0.0,3,3,3,0,3,3,0,-2.3281,0.1988,-1.0,95
squad,hcpc_v1,1024,3,Where was Super Bowl 50 held?,"Santa Clara, California."," I cannot find this information in the provided context. The context only states that Super Bowl 50 was a game to determine the champion of the NFL for the 2015 season, but it does not specify where it was held.",0.4603,True,hallucinated,3.83,0.5937,0.5937,0.5937,0.0,3,3,3,0,3,3,0,-3.8228,0.177,-1.0,95
squad,hcpc_v1,1024,3,The name of the NFL championship game is?,Super Bowl, I cannot find the name of the NFL championship game in the provided context.,0.7049,False,faithful,2.6,0.5498,0.5498,0.5498,0.0,3,3,3,0,3,3,0,-5.7298,0.4019,-1.0,136
squad,hcpc_v1,1024,3,What 2015 NFL team one the AFC playoff?,Denver Broncos, The Broncos won the AFC Playoff in 2015.,0.8169,False,faithful,3.01,0.5318,0.5318,0.5318,0.0,3,3,3,0,3,3,0,0.8967,0.4292,-1.0,151
