model,dataset,chunk_size,condition,question,answer,ground_truth,faithfulness_score,is_hallucination,latency_s
llama3,squad,512,reranked,Super Bowl 50 determined the NFL champion for what season?,"According to the provided context, Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the **2015** season.",2015,0.6712,False,2.25
llama3,squad,512,reranked,Which team won Super Bowl 50.,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,1.8
llama3,squad,512,reranked,Where was Super Bowl 50 held?,"According to the provided context, Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California.",0.9858,False,2.2
llama3,squad,512,reranked,The name of the NFL championship game is?,Super Bowl 50.,Super Bowl,0.6293,False,1.45
llama3,squad,512,reranked,What 2015 NFL team one the AFC playoff?,The Denver Broncos finished the regular season with a 12-4 record and defeated the New England Patriots 20-18 in the AFC Championship Game.,Denver Broncos,0.8738,False,2.53
llama3,squad,512,reranked,Which Carolina Panthers player was named Most Valuable Player?,I cannot find this information in the provided context.,Cam Newton,0.5531,False,2.44
llama3,squad,512,reranked,How many appearances have the Denver Broncos made in the Super Bowl?,"According to the provided context, the answer is:

The Broncos made their second Super Bowl appearance in three years...

So, the Denver Broncos have made at least 2 appearances in the Super Bowl.",8,0.6459,False,3.29
llama3,squad,512,reranked,What year was the Carolina Panthers franchise founded?,I cannot find this information in the provided context.,1995,0.5531,False,2.78
llama3,squad,512,reranked,What team did the Panthers defeat?,"According to the provided context, the Panthers defeated:

1. Seattle Seahawks (in the divisional round)
2. Arizona Cardinals (in the NFC Championship Game)",Arizona Cardinals,0.8404,False,3.16
llama3,squad,512,reranked,Who did the Broncos prevent from going to the Super Bowl?,"Based on the provided context, I can answer that the Broncos prevented the New England Patriots from going to the Super Bowl.",New England Patriots,0.4846,True,3.36
llama3,squad,512,reranked,Who did the Panthers beat in the NFC Championship Game?,"The Panthers beat the Arizona Cardinals in the NFC Championship Game, 49-15.",Arizona Cardinals,0.9476,False,3.13
llama3,squad,512,reranked,Who lost to the Broncos in the AFC Championship?,"According to the provided context, the New England Patriots lost to the Broncos in the AFC Championship.",New England Patriots,0.9266,False,3.33
llama3,squad,512,reranked,Who were the defending Super Bowl champions?,I cannot find this information in the provided context.,New England Patriots,0.5531,False,2.97
llama3,squad,512,reranked,How many teams have been in the Super Bowl eight times?,"According to the provided context, four teams have made eight appearances in the Super Bowl.",four,0.6026,False,1.81
llama3,squad,512,reranked,Who was this season's NFL MVP?,"According to the provided context, Cam Newton, the Panthers' quarterback, was named the NFL Most Valuable Player (MVP).",Cam Newton,0.922,False,3.99
llama3,squad,512,reranked,What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,"According to the provided context, the Carolina Panthers had a regular season record of 15-1. Therefore, their win-loss ratio is 15 wins and 1 loss.",15–1,0.5232,False,3.73
llama3,squad,512,reranked,Which Carolina Panthers team member was picked as the team's MVP in 2015? ,I cannot find this information in the provided context.,Cam Newton,0.5531,False,2.51
llama3,squad,512,reranked,What were the win/loss game stats for the Denver Bronco's regular season in 2015?,The answer is: 12-4.,12–4,0.5684,False,2.59
llama3,squad,512,reranked,How many teams have played in the Super Bowl eight times?,"According to the provided context, four teams have made eight appearances in the Super Bowl.",4,0.6026,False,1.83
llama3,squad,512,reranked,Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,The New England Patriots did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50.,New England Patriots,0.5369,False,4.16
llama3,squad,512,reranked,Who is the quarterback for the Panthers?,I cannot find this information in the provided context.,Cam Newton,0.5531,False,2.83
llama3,squad,512,reranked,Who did Carolina beat in the NFC championship game?,"According to the provided context, the Panthers beat the Arizona Cardinals in the NFC Championship Game, 49–15.",Arizona Cardinals,0.966,False,2.82
llama3,squad,512,reranked,How many times have the Panthers been in the Super Bowl?,"According to the provided context, it is mentioned that the Carolina Panthers became one of only ten teams to have completed a regular season with only one loss, and one of only six teams to have acquired a 15–1 record. However, there is no mention of how many times they have been in the Super Bowl.

Answer: I cannot find this information in the provided context.",2,0.6407,False,5.37
llama3,squad,512,reranked,Who did Denver beat in the AFC championship?,"According to the provided context, the Broncos beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18.",New England Patriots,0.9423,False,4.37
llama3,squad,512,reranked,Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton was named the NFL Most Valuable Player (MVP).,Cam Newton,0.9333,False,3.08
llama3,squad,512,reranked,Who did Denver beat in the 2015 AFC Championship game?,"According to the provided context, the answer is: New England Patriots",New England Patriots,0.8495,False,2.84
llama3,squad,512,reranked,Who did the Carolina Panthers beat in the 2015 NFC Championship game?,The answer is: The Arizona Cardinals.,Arizona Cardinals,0.7885,False,2.57
llama3,squad,512,reranked,Who was the 2015 NFL MVP?,Cam Newton.,Cam Newton,1.0,False,2.54
llama3,squad,512,reranked,Who did the Panthers beat to become the NFC champs?,"The Panthers beat the Seattle Seahawks in the divisional round and then blew out the Arizona Cardinals in the NFC Championship Game, 49–15.",Arizona Cardinals,0.5843,False,3.2
llama3,squad,512,reranked,What year did the Carolina Panthers form?,I cannot find this information in the provided context.,1995.,0.5531,False,2.47
llama3,squad,512,reranked,Who was the Super Bowl 50 MVP?,"According to the provided context, the answer is: Von Miller.",Von Miller,0.6519,False,3.04
llama3,squad,512,reranked,How many fumbles did Von Miller force in Super Bowl 50?,"According to the provided context, Von Miller forced two forced fumbles in Super Bowl 50.",2,0.7724,False,2.86
llama3,squad,512,reranked,Which team held the scoring lead throughout the entire game?,"Based on the provided context, it appears that Denver held the scoring lead throughout the entire game. The context states that Carolina was facing a deficit for the first time in the postseason after Denver's 3-0 lead, and later mentions that Denver increased their lead to 13-7. There is no indication in the context that Carolina ever took the lead or tied the score.",Broncos,0.5902,False,5.01
llama3,squad,512,reranked,Which Denver linebacker was named Super Bowl MVP?,Von Miller.,linebacker Von Miller,1.0,False,2.49
llama3,squad,512,reranked,How many solo tackles did Von Miller make at Super Bowl 50?,"According to the provided context, Von Miller recorded five solo tackles at Super Bowl 50.",five solo tackles,0.8253,False,1.83
llama3,squad,512,reranked,Who was limited by Denver's defense?,I cannot find this information in the provided context.,Newton was limited by Denver's defense,0.5531,False,2.78
llama3,squad,512,reranked,How many times was Cam Newton sacked?,"According to the provided context, Cam Newton was sacked once by DeMarcus Ware as time expired in the half.",seven,0.8601,False,2.35
llama3,squad,512,reranked,Who won the Super Bowl MVP?,Denver linebacker Von Miller.,Von Miller,0.6219,False,2.8
llama3,squad,512,reranked,How many turnovers did Cam Newton have?,"According to the provided context, Cam Newton had 10 interceptions. There is no mention of any other type of turnover (fumble, etc.), so it can be inferred that he had a total of 10 turnovers for the season.",three,0.626,False,4.1
llama3,squad,512,reranked,How many fumbles did Von Miller force?,"According to the provided context, Von Miller forced two forced fumbles.",two,0.8607,False,3.05
llama3,squad,512,reranked,Who was given the esteemed status of MVP for Super Bowl 50?,"According to the provided context, Von Miller, a Denver linebacker, was named Super Bowl MVP for Super Bowl 50.",Von Miller,0.7277,False,3.6
llama3,squad,512,reranked,What position does Von Miller play for the Denver Broncos?,Linebacker.,linebacker,1.0,False,2.56
llama3,squad,512,reranked,What was the number of solo tackles that Von Miller had in Super Bowl 50?,"According to the provided context, Von Miller recorded five solo tackles in Super Bowl 50.",5,0.8623,False,2.83
llama3,squad,512,reranked,How many forced fumbles did Von Miller have during the Super Bowl 50 game?,"According to the provided context, Von Miller had two forced fumbles during the Super Bowl 50 game.",2,0.6976,False,1.85
llama3,squad,512,reranked,Who won the MVP for the Super Bowl?,"According to the provided context, Von Miller, a Denver linebacker, was named Super Bowl MVP.",Von Miller,0.7779,False,3.55
llama3,squad,512,reranked,How many tackles did Von Miller get during the game?,I cannot find this information in the provided context.,5,0.5531,False,2.72
llama3,squad,512,reranked,How many times was Cam Newton sacked in Super Bowl 50?,"According to the provided context, Cam Newton was sacked seven times and forced into three turnovers, including a fumble which Denver recovered for a touchdown. Additionally, it is mentioned that Newton was sacked by DeMarcus Ware as time expired in the half, but this information only provides one more instance of Newton being sacked.",seven,0.584,False,4.75
llama3,squad,512,reranked,How many times did the Denver defense force Newton into turnovers?,"According to the provided context, the Denver defense forced Newton into three turnovers, including a fumble which they recovered for a touchdown.",three,0.8076,False,1.63
llama3,squad,512,reranked,Which Newton turnover resulted in seven points for Denver?,"According to the provided context, Von Miller's team recovered a fumble that Newton forced, which resulted in a touchdown for Denver.",a fumble,0.956,False,2.86
llama3,squad,512,reranked,Who was the Most Valuable Player of Super Bowl 50?,"I cannot find this information in the provided context. The text only mentions MVPs of previous Super Bowls, but does not mention the MVP of Super Bowl 50 specifically.",Von Miller,0.5103,False,4.43
llama3,squad,512,reranked,What position does Von Miller play?,I cannot find this information in the provided context.,linebacker,0.5531,False,2.39
llama3,squad,512,reranked,How many times was the Panthers' quarterback sacked?,I cannot find this information in the provided context.,seven,0.5531,False,2.26
llama3,squad,512,reranked,How many times did the Broncos cause turnovers in the game?,"According to the provided context, the Denver defense caused three turnovers, including a fumble which they recovered for a touchdown.",three,0.7578,False,3.1
llama3,squad,512,reranked,What Denver player caused two fumbles for the Panthers?,I cannot find this information in the provided context.,Von Miller,0.5531,False,2.87
llama3,squad,512,reranked,How many tackles did Von Miller accomlish by himself in the game?,I cannot find this information in the provided context.,five,0.5531,False,2.63
llama3,squad,512,reranked,Which network broadcasted Super Bowl 50 in the U.S.?,CBS broadcasted Super Bowl 50 in the U.S.,CBS,0.6557,False,2.58
llama3,squad,512,reranked,What was the average cost for a 30 second commercial during Super Bowl 50?,"According to the provided context, CBS charged an average of $5 million for a 30-second commercial during Super Bowl 50.",$5 million,0.6273,False,2.05
llama3,squad,512,reranked,Which group headlined the Super Bowl 50 halftime show?,The British rock group Coldplay headlined the Super Bowl 50 halftime show.,Coldplay,0.9676,False,1.28
llama3,squad,512,reranked,Which performers joined the headliner during the Super Bowl 50 halftime show?,"According to the provided context, Beyoncé and Bruno Mars were the special guest performers who joined the headliner Coldplay during the Super Bowl 50 halftime show.",Beyoncé and Bruno Mars,0.9228,False,1.85
llama3,squad,512,reranked,At which Super Bowl did Beyonce headline the halftime show?,"According to the provided context, Beyoncé headlined the Super Bowl XLVII halftime show.",Super Bowl XLVII,0.8934,False,2.06
llama3,squad,512,reranked,Who was the broadcaster for Super Bowl 50 in the United States?,"According to the provided context, CBS broadcast Super Bowl 50 in the U.S.",CBS,0.8442,False,1.77
llama3,squad,512,reranked,What was the average cost of a 30-second commercial?,"According to the provided context, the average cost of a 30-second commercial during Super Bowl 50 was $5 million.",$5 million,0.5964,False,2.13
llama3,squad,512,reranked,What halftime performer previously headlined Super Bowl XLVII?,"According to the provided context, Bruno Mars headlined the Super Bowl XLVIII halftime show, and he also headlined the Super Bowl XLVII halftime show.",Beyoncé,0.664,False,3.1
llama3,squad,512,reranked,What halftime performer previously headlined Super Bowl XLVIII?,"According to the provided context, Bruno Mars headlined the Super Bowl XLVIII halftime show.",Bruno Mars,0.8901,False,1.2
llama3,squad,512,reranked,Who was the main performer at this year's halftime show?,"According to the provided context, Bruno Mars headlined the Super Bowl XLVIII halftime show.",Coldplay,0.8901,False,2.05
llama3,squad,512,reranked,Which network broadcasted the 50th Super Bowl game? ,"According to the provided context, CBS broadcasted the 50th Super Bowl game.",CBS,0.884,False,2.95
llama3,squad,512,reranked,What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,"According to the provided context, CBS charged an average of $5 million for a 30-second commercial during Super Bowl 50.",$5 million,0.6273,False,2.1
llama3,squad,512,reranked,Who was the male singer who performed as a special guest during Super Bowl 50?,"According to the provided context, the answer is: Bruno Mars.",Bruno Mars,0.9001,False,1.39
llama3,squad,512,reranked,What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?,"According to the provided context, it was the third-most watched U.S. broadcast ever.",third,0.7161,False,2.5
llama3,squad,512,reranked,What station aired the Super Bowl?,"According to the provided context, CBS broadcast Super Bowl 50 in the U.S. Therefore, the answer is:

CBS",CBS,0.7289,False,2.53
llama3,squad,512,reranked,How much money did a 1/2 minute commercial cost?,"According to the provided context, CBS charged an average of $5 million for a 30-second commercial during Super Bowl 50. Since there is no information about the cost of a 1/2 minute (or 60-second) commercial in the context, I would answer:

""I cannot find this information in the provided context.""",$5 million,0.5782,False,4.85
llama3,squad,512,reranked,What band headlined half-time during Super Bowl 50?,"According to the provided context, the British rock group Coldplay headlined the Super Bowl 50 halftime show with special guest performers Beyoncé and Bruno Mars.",Coldplay,0.9565,False,2.67
llama3,squad,512,reranked,What two artists came out with Coldplay during the half-time show?,"According to the provided context, Beyoncé and Bruno Mars were the special guest performers who came out with Coldplay during the halftime show.",Beyoncé and Bruno Mars,0.9129,False,4.01
llama3,squad,512,reranked,Who broadcast the Super Bowl on TV?,CBS broadcast the Super Bowl 50 in the U.S.,CBS,0.6958,False,2.82
llama3,squad,512,reranked,Who headlined the halftime show for Super Bowl 50?,"According to the provided context, the British rock group Coldplay headlined the Super Bowl 50 halftime show with special guest performers Beyoncé and Bruno Mars.",Coldplay,0.9565,False,1.88
