question,ground_truth,answer,condition,span_faithfulness,mean_claim_faith,min_claim_faith,unsupported_claim_rate,rouge_l_f1,answer_tokens,gold_tokens,n_claims,is_hallucination_long,mean_retrieval_similarity,refined,ccs,latency_s,dataset,model
average number of lightning strikes per day,"Globally 8,640,000 lightning strikes per day."," The context provided states that globally, there are approximately 8,640,000 lightning strikes per day.",hcpc_v1,0.7453,0.7453,0.7453,0.0,0.6667,16,8,1,False,0.7645,False,-1.0,0.96,msmarco,mistral
average number of lightning strikes per day,"Globally 8,640,000 lightning strikes per day."," The context states that globally, there are approximately 8,640,000 lightning strikes per day.",hcpc_v2,0.7807,0.7807,0.7807,0.0,0.6957,15,8,1,False,0.7664,False,0.7673,0.98,msmarco,mistral
can you burn your lawn with fertilizer,"Yes, over fertilizing can burn lawn."," Yes, it is possible to burn your lawn with fertilizer, as stated in the first sentence of the context provided. Over-fertilizing or applying fertilizer to wet foliage can lead to yellow or brown discoloration and root damage due to the salts present in the fertilizer drawing moisture out of plants.",baseline,0.6918,0.6918,0.4478,0.5,0.1404,51,6,2,True,0.6085,False,-1.0,2.65,msmarco,mistral
can you burn your lawn with fertilizer,"Yes, over fertilizing can burn lawn."," Yes, it can be possible to burn your lawn with fertilizer if it is over-fertilized or applied to wet foliage, as stated in the provided context.",hcpc_v1,0.6923,0.6923,0.6923,0.0,0.2424,27,6,1,False,0.5959,False,-1.0,1.36,msmarco,mistral
can you burn your lawn with fertilizer,"Yes, over fertilizing can burn lawn."," Yes, it is possible to burn your lawn with fertilizer, as stated in the first sentence of the context. Over-fertilizing or applying fertilizer to wet foliage can lead to yellow or brown discoloration and root damage due to the salts present in the fertilizer drawing moisture out of plants.",hcpc_v2,0.6737,0.6737,0.4478,0.5,0.1429,50,6,2,True,0.6085,False,0.3186,2.56,msmarco,mistral
goch meaning,The meaning of the name Goch is red.," The name Goch is derived from the Welsh word coch, which means red.",baseline,0.446,0.446,0.446,1.0,0.4762,13,8,1,True,0.6152,False,-1.0,0.82,msmarco,mistral
goch meaning,The meaning of the name Goch is red.," The name Goch is derived from the Welsh word ""coch,"" which means red.",hcpc_v1,0.4073,0.4073,0.4073,1.0,0.4762,13,8,1,True,0.6152,False,-1.0,0.68,msmarco,mistral
goch meaning,The meaning of the name Goch is red.," The name Goch is derived from the Welsh word coch, which means red.",hcpc_v2,0.446,0.446,0.446,1.0,0.4762,13,8,1,True,0.6152,False,0.6451,0.64,msmarco,mistral
symptoms of a gastric ulcer in women,acidic and extremely painful is symptom of a gastric ulcer in women.," The symptoms of a gastric ulcer in women, according to the provided context, include:

1. A dull aching pain, often right after eating.
2. Making a meal can often cause an increase in pain.

However, it's important to note that these symptoms are not limited to women and may also be present in men with gastric ulcers. The other symptoms mentioned earlier (nausea and/or vomiting, the presence of blood in stools, changes or loss of appetite, and changes in weight) could potentially apply to both genders, but the context does not specify this explicitly for gastric ulcers.",baseline,0.6102,0.6267,0.4044,0.4,0.1081,99,12,5,True,0.7496,False,-1.0,4.89,msmarco,mistral
symptoms of a gastric ulcer in women,acidic and extremely painful is symptom of a gastric ulcer in women.," The provided context mentions that besides pain, symptoms of ulcers in women may include nausea and/or vomiting, the presence of blood in stools (which gives the feces a dark or tar-like color), changes or loss of appetite, and changes in weight leading to unintended weight loss. However, it's important to note that the context does not specify whether these symptoms apply only to duodenal ulcers or gastric ulcers. The additional information states that the signs and symptoms of a gastric ulcer are almost opposite to those of duodenal ulcers, but it doesn't provide specific details about the symptoms of a gastric ulcer in women. To get more accurate information, it would be best to consult a healthcare professional or refer to reliable medical sources.",hcpc_v1,0.5901,0.59,0.3447,0.25,0.1,128,12,4,False,0.8085,False,-1.0,5.62,msmarco,mistral
symptoms of a gastric ulcer in women,acidic and extremely painful is symptom of a gastric ulcer in women.," The symptoms of a gastric ulcer in women, as described in the provided context, include:

1. Dull aching pain, often right after eating.
2. Making a meal can often cause an increase in pain.

In addition to these symptoms, other signs and symptoms that may be present for both gastric and duodenal ulcers in women (as mentioned in the original context) include:

• Nausea and/or vomiting.
• The presence of blood in stools which gives the feces a dark or tar-like color.
• Changes or loss of appetite.
• Changes in weight that may lead to inexplicable and unintended weight loss.",hcpc_v2,0.7067,0.7362,0.555,0.0,0.1081,99,12,8,False,0.7496,False,0.5528,5.11,msmarco,mistral
how often can ativan be taken,For anxiety treatment is 1 mg two to three times daily and for insomnia is 2 mg to 4 mg once daily at bedtime.," The context does not provide specific information about how often Ativan should be taken beyond stating that one person takes it as needed (PRN) and taking it multiple times a day, up to 4 times. However, the recommended starting dose for anxiety treatment is Ativan 1 mg two to three times daily, and for insomnia due to anxiety, the recommended starting dose is 2 mg to 4 mg once daily at bedtime. It's important to consult with a healthcare provider for personalized dosage and usage instructions.",baseline,0.48,0.4801,0.2609,0.6667,0.4324,87,24,3,True,0.6683,False,-1.0,3.84,msmarco,mistral
how often can ativan be taken,For anxiety treatment is 1 mg two to three times daily and for insomnia is 2 mg to 4 mg once daily at bedtime.," The context does not provide specific information about how often Ativan can be taken for an individual. However, it mentions that one person takes it as needed (PRN) and is prescribed for 2 tablets a day. For anxiety treatment, the recommended starting dose is 1 mg two to three times daily, and for insomnia due to anxiety, the recommended starting dose is 2 mg to 4 mg once daily at bedtime. It's best to consult with a healthcare professional for personalized advice regarding dosage frequency.",hcpc_v1,0.5754,0.5754,0.2244,0.25,0.4364,86,24,4,False,0.6391,False,-1.0,3.74,msmarco,mistral
how often can ativan be taken,For anxiety treatment is 1 mg two to three times daily and for insomnia is 2 mg to 4 mg once daily at bedtime.," The context does not provide specific information about how often Ativan should be taken beyond stating that one individual takes it as needed (PRN) and taking 3 or 4 tablets in a day, but they are prescribed for 2 per day. However, the recommended starting dose for anxiety treatment is Ativan 1 mg two to three times daily, and for insomnia due to anxiety, it's 2 mg to 4 mg once daily at bedtime. It's important to follow the specific dosage instructions provided by a healthcare professional.",hcpc_v2,0.5387,0.5387,0.3484,0.6667,0.4071,89,24,3,True,0.6683,False,0.5354,3.99,msmarco,mistral
how many years did william bradford serve as governor of plymouth colony?,William Bradford served thirty years as Governor of Plymouth colony.," About thirty years, from 1621 to 1657.",baseline,0.5977,0.5977,0.5977,0.0,0.2353,7,10,1,False,0.7805,False,-1.0,0.93,msmarco,mistral
how many years did william bradford serve as governor of plymouth colony?,William Bradford served thirty years as Governor of Plymouth colony.," About thirty years, from 1621 to 1657.",hcpc_v1,0.5977,0.5977,0.5977,0.0,0.2353,7,10,1,False,0.7805,False,-1.0,0.58,msmarco,mistral
how many years did william bradford serve as governor of plymouth colony?,William Bradford served thirty years as Governor of Plymouth colony.," About thirty years, from 1621 to 1657.",hcpc_v2,0.5977,0.5977,0.5977,0.0,0.2353,7,10,1,False,0.7805,False,0.7306,0.59,msmarco,mistral
albany mn population,"2,662"," 2,662 (as per 2017 US Census estimate)",baseline,0.8179,0.8179,0.8179,0.0,0.4,8,2,1,False,0.7682,False,-1.0,0.86,msmarco,mistral
albany mn population,"2,662"," 2,662 (as per 2017 US Census estimate)",hcpc_v1,0.8179,0.8179,0.8179,0.0,0.4,8,2,1,False,0.7683,False,-1.0,0.65,msmarco,mistral
albany mn population,"2,662"," Based on the provided context, Albany, Minnesota had a community population of 2,662 people as per the 2017 US Census estimate.",hcpc_v2,0.8705,0.8705,0.8705,0.0,0.1667,22,2,1,False,0.7682,False,0.863,1.17,msmarco,mistral
define preventive,"It means preventing, hindering, or acting as an obstacle to."," The term ""preventive"" is defined in the provided context as an adjective that means preventing, hindering, or acting as an obstacle to something. It can also refer to actions carried out to deter military aggression, and in a medical context, it describes measures taken to slow the development of an illness, which are often referred to as prophylactic.",baseline,0.6139,0.6139,0.5962,0.0,0.2647,58,10,2,False,0.8546,False,-1.0,2.71,msmarco,mistral
define preventive,"It means preventing, hindering, or acting as an obstacle to."," The term ""preventive"" is defined in the provided context as an adjective that describes something which prevents, hinders, or acts as an obstacle to something else. It can also refer to actions carried out to deter military aggression, and in a medical context, it refers to something that slows the development of an illness, often used in a prophylactic sense.",hcpc_v1,0.6409,0.641,0.5704,0.0,0.1429,60,10,2,False,0.8546,False,-1.0,2.63,msmarco,mistral
define preventive,"It means preventing, hindering, or acting as an obstacle to."," The term ""preventive"" is defined in the provided context as an adjective that means preventing, hindering, or acting as an obstacle to something. It can also refer to actions carried out to deter military aggression, and in a medical context, it refers to measures taken to slow the development of an illness, which is often referred to as prophylactic.",hcpc_v2,0.6041,0.6041,0.5766,0.0,0.2609,59,10,2,False,0.8546,False,0.95,2.58,msmarco,mistral
causes of achalasia,"An infection, heredity or an abnormality of the immune system"," The provided context suggests that the causes of achalasia are not definitively known, but theories include infection, heredity, or an abnormality of the immune system causing self-damage to the esophagus (autoimmune disease). However, it's important to note that more detailed information about the causes of Achalasia is available as mentioned in the context.",baseline,0.5528,0.5527,0.4331,0.5,0.2769,55,10,2,True,0.7534,False,-1.0,2.92,msmarco,mistral
causes of achalasia,"An infection, heredity or an abnormality of the immune system"," The provided context suggests that the cause of achalasia is unknown, but theories include infection, heredity, or an abnormality of the immune system causing self-damage to the esophagus (autoimmune disease). However, it's important to note that more specific causes, such as inflammation around nerves in the lower esophagus, are also mentioned.",hcpc_v1,0.6558,0.6558,0.64,0.0,0.2857,53,10,2,False,0.7443,False,-1.0,2.85,msmarco,mistral
causes of achalasia,"An infection, heredity or an abnormality of the immune system"," The provided context suggests that the causes of achalasia are not definitively known, but theories include infection, heredity, or an abnormality of the immune system causing self-damage to the esophagus (autoimmune disease).",hcpc_v2,0.6724,0.6724,0.6724,0.0,0.4186,33,10,1,False,0.7534,False,0.642,1.97,msmarco,mistral
"current weather in volcano, ca",The Volcano forecast for Apr 12 is 52 degrees and Patchy light rain.," The current weather in Volcano, CA is not explicitly stated in the provided context. However, the most recent forecast mentioned is for 3am on Apr 03, which is 44 degrees and Clear.",baseline,0.7506,0.7507,0.6391,0.0,0.3556,32,13,2,False,0.7696,False,-1.0,1.91,msmarco,mistral
"current weather in volcano, ca",The Volcano forecast for Apr 12 is 52 degrees and Patchy light rain.," The current weather in Volcano, CA is not explicitly stated in the provided context. However, the most recent forecast mentioned is for 3am on Apr 03, which is 44 degrees and Clear.",hcpc_v1,0.7506,0.7507,0.6391,0.0,0.3556,32,13,2,False,0.7696,False,-1.0,1.56,msmarco,mistral
"current weather in volcano, ca",The Volcano forecast for Apr 12 is 52 degrees and Patchy light rain.," The current weather in Volcano, CA is not explicitly stated in the provided context. However, the most recent forecast mentioned is for 3am on Apr 03, which is 44 degrees and Clear.",hcpc_v2,0.7506,0.7507,0.6391,0.0,0.3556,32,13,2,False,0.7696,False,0.8326,1.55,msmarco,mistral
how many days after ovulation can i tell i'm pregnant,6 to 10 days," I cannot find this information in the provided context. The context discusses the period of fertility, but it does not provide information about when pregnancy symptoms might appear after ovulation.",baseline,0.5077,0.5077,0.4623,0.5,0.0,30,4,2,True,0.6023,False,-1.0,1.53,msmarco,mistral
how many days after ovulation can i tell i'm pregnant,6 to 10 days," I cannot find this information in the provided context. The context discusses when conception can occur, but it does not provide information about when pregnancy symptoms might appear or how long after conception one could tell they are pregnant.",hcpc_v1,0.607,0.607,0.5531,0.0,0.0,39,4,2,False,0.5596,False,-1.0,1.7,msmarco,mistral
how many days after ovulation can i tell i'm pregnant,6 to 10 days," I cannot find this information in the provided context. The context discusses the period of fertility, but it does not provide information about when pregnancy symptoms might appear after ovulation.",hcpc_v2,0.5077,0.5077,0.4623,0.5,0.0,30,4,2,True,0.6023,False,0.7104,1.48,msmarco,mistral
how much are postage stamps right now,The cost of a first-class postage stamp is now 49 cents., The current price of a first-class postage stamp is 49 cents.,baseline,0.6816,0.6816,0.6816,0.0,0.8333,12,12,1,False,0.7522,False,-1.0,0.84,msmarco,mistral
how much are postage stamps right now,The cost of a first-class postage stamp is now 49 cents., The current price of a first-class postage stamp is 49 cents.,hcpc_v1,0.6816,0.6816,0.6816,0.0,0.8333,12,12,1,False,0.7522,False,-1.0,0.61,msmarco,mistral
how much are postage stamps right now,The cost of a first-class postage stamp is now 49 cents., The current price of a first-class postage stamp is 49 cents.,hcpc_v2,0.6816,0.6816,0.6816,0.0,0.8333,12,12,1,False,0.7522,False,0.8816,0.61,msmarco,mistral
color overlay photoshop,A great way to add a touch of color without making your photo look like you’ve edited the heck out of it or to add a little life to B&W photos.," The provided context discusses the use of Color Overlay in Photoshop and Adobe Elements as a way to add a touch of color to photos without making them look heavily edited. It does not provide specific steps on how to apply the Color Overlay effect, but it mentions that the process is the same in both Photoshop and Elements. For detailed instructions on how to create Color Overlays in Adobe Photoshop or Elements, you may need to refer to a more comprehensive tutorial or guide.",baseline,0.6969,0.6969,0.5763,0.0,0.2881,85,33,3,False,0.7147,False,-1.0,3.92,msmarco,mistral
color overlay photoshop,A great way to add a touch of color without making your photo look like you’ve edited the heck out of it or to add a little life to B&W photos.," The provided context discusses a tutorial about adding a hint of color to a photo using Photoshop's Color Overlay feature as part of a sunlight touch-up. However, it does not provide detailed instructions or settings for using Color Overlay in Photoshop. For more specific information on how to use Color Overlay in Photoshop, you may want to refer to the Part 8 tutorial mentioned in the context, which explains the settings and uses of Color Overlay in Photoshop.

Additionally, there is a separate mention of ""How To Make Color Overlays In Elements,"" but that information is not relevant to the question about using Color Overlay in Photoshop.",hcpc_v1,0.7082,0.7082,0.6656,0.0,0.1549,109,33,4,False,0.6899,False,-1.0,4.99,msmarco,mistral
color overlay photoshop,A great way to add a touch of color without making your photo look like you’ve edited the heck out of it or to add a little life to B&W photos.," The provided context discusses the use of Color Overlay in a Photoshop tutorial, explaining its purpose and how it can be used to add a touch of color to photos without making them look heavily edited. However, it does not provide specific steps or settings for creating a Color Overlay in Photoshop. For detailed instructions on how to create a Color Overlay in Photoshop, you may need to refer to other resources or tutorials.",hcpc_v2,0.6858,0.6858,0.6724,0.0,0.2991,74,33,3,False,0.7147,False,0.5848,3.3,msmarco,mistral
symptoms of air pollution exposure,"High air pollution levels can cause immediate health problems including: 1 Aggravated cardiovascular and respiratory illness. 2 Added stress to heart and lungs, which must work harder to supply the body with oxygen. 3 Damaged cells in the respiratory system."," Irritation of the eyes, nose and throat; Coughing, irritation of the airways, difficulty breathing",baseline,0.6639,0.6639,0.6639,0.0,0.0741,14,40,1,False,0.7047,False,-1.0,1.07,msmarco,mistral
symptoms of air pollution exposure,"High air pollution levels can cause immediate health problems including: 1 Aggravated cardiovascular and respiratory illness. 2 Added stress to heart and lungs, which must work harder to supply the body with oxygen. 3 Damaged cells in the respiratory system."," The provided context mentions that short-term and long-term exposure to particulate pollution can cause various symptoms such as:

1. Aggravation of lung disease causing asthma attacks and acute bronchitis (short-term)
2. Increased susceptibility to respiratory infections (short-term)
3. Causing heart attacks and arrhythmias in people with heart disease (short-term)
4. Increased respiratory symptoms, such as irritation of the airways, coughing or difficulty breathing (long-term)
5. Decreased lung function (long-term)
6. Aggravated asthma (long-term, although this is not explicitly mentioned in the long-term context, it can be inferred from the short-term effects)",hcpc_v1,0.7587,0.7732,0.6609,0.0,0.1702,101,40,7,False,0.6867,False,-1.0,5.91,msmarco,mistral
symptoms of air pollution exposure,"High air pollution levels can cause immediate health problems including: 1 Aggravated cardiovascular and respiratory illness. 2 Added stress to heart and lungs, which must work harder to supply the body with oxygen. 3 Damaged cells in the respiratory system."," Irritation of eyes, nose and throat; Coughing, irritation of the airways, difficulty breathing",hcpc_v2,0.7592,0.7592,0.7592,0.0,0.0755,13,40,1,False,0.7047,False,0.8981,0.97,msmarco,mistral
average temperature cardiff wales,It has a mild humid temperate climate with warm summers and no dry season.," I cannot find specific average temperature data for Cardiff, Wales in the provided context. However, it is mentioned that the area has a mild humid temperate climate with warm summers and no dry season. The warm season lasts from June 15 to September 13 with an average daily high temperature above 64°F (approximately).",baseline,0.5724,0.5724,0.3408,0.3333,0.4118,54,14,3,True,0.5734,False,-1.0,2.72,msmarco,mistral
average temperature cardiff wales,It has a mild humid temperate climate with warm summers and no dry season.," I cannot find specific average temperature data for Cardiff, Wales in the provided context. The context only mentions a mild humid temperate climate with warm summers and no dry season, but it does not provide numerical values for the average temperatures.",hcpc_v1,0.7051,0.705,0.6807,0.0,0.4364,41,14,2,False,0.54,False,-1.0,1.72,msmarco,mistral
average temperature cardiff wales,It has a mild humid temperate climate with warm summers and no dry season.," I cannot find the exact average temperature for Cardiff, Wales in the provided context. However, it does mention that the warm season lasts from June 15 to September 13 with an average daily high temperature above 64°F (approximately 17.8°C). This suggests that the average temperature during the warmest months might be around this value or slightly higher.",hcpc_v2,0.6012,0.6012,0.588,0.0,0.0811,60,14,3,False,0.5734,True,0.3305,2.79,msmarco,mistral
highest paying subspecialty in orthopedics,The highest paying subspecialty in orthopedics are Spine surgeons., Orthopedic spine surgeons,baseline,0.6881,0.6881,0.6881,0.0,0.3333,3,9,1,False,0.659,False,-1.0,0.47,msmarco,mistral
highest paying subspecialty in orthopedics,The highest paying subspecialty in orthopedics are Spine surgeons.," Orthopedic spine surgeons, according to the provided context.",hcpc_v1,0.6442,0.6442,0.6442,0.0,0.2353,8,9,1,False,0.6975,False,-1.0,0.57,msmarco,mistral
highest paying subspecialty in orthopedics,The highest paying subspecialty in orthopedics are Spine surgeons., Orthopedic spine surgeons,hcpc_v2,0.6881,0.6881,0.6881,0.0,0.3333,3,9,1,False,0.659,False,0.5905,0.45,msmarco,mistral
____________________ is considered the father of modern medicine.,Hippocrates, Hippocrates is considered the father of modern medicine.,baseline,0.7844,0.7844,0.7844,0.0,0.2222,8,1,1,False,0.7467,False,-1.0,0.61,msmarco,mistral
____________________ is considered the father of modern medicine.,Hippocrates, Hippocrates is considered the father of modern medicine.,hcpc_v1,0.7844,0.7844,0.7844,0.0,0.2222,8,1,1,False,0.7629,False,-1.0,0.46,msmarco,mistral
____________________ is considered the father of modern medicine.,Hippocrates, Hippocrates is considered the father of modern medicine.,hcpc_v2,0.7844,0.7844,0.7844,0.0,0.2222,8,1,1,False,0.7467,False,0.7263,0.48,msmarco,mistral
