dataset,tau,condition,question,ground_truth,faithfulness_score,is_hallucination,gate_fired,ccs_pre
pubmedqa,0.4,hcpc_v1,Necrotizing fasciitis: an indication for hyperbaric oxygenation therapy?,The results of this study cast doubt on the suggested advantage of HBO in reducing patient mortality and morbidity when used as adjuvant therapy for NF.,0.3415,True,False,-1.0
pubmedqa,0.4,ccs_gate,Necrotizing fasciitis: an indication for hyperbaric oxygenation therapy?,The results of this study cast doubt on the suggested advantage of HBO in reducing patient mortality and morbidity when used as adjuvant therapy for NF.,0.4916,True,True,0.2512
pubmedqa,0.4,baseline,Do communication disorders extend to musical messages?,"Conveyance of emotions or movements through music may be decoded differently by persons with different types of communication disorders. Because music is the primary therapeutic tool in music therapy sessions, clinicians should consider these differential abilities when selecting music for clinical interventions focusing on emotions or movement.",0.811,False,False,-1.0
pubmedqa,0.4,hcpc_v1,Do communication disorders extend to musical messages?,"Conveyance of emotions or movements through music may be decoded differently by persons with different types of communication disorders. Because music is the primary therapeutic tool in music therapy sessions, clinicians should consider these differential abilities when selecting music for clinical interventions focusing on emotions or movement.",0.6812,False,False,-1.0
pubmedqa,0.4,ccs_gate,Do communication disorders extend to musical messages?,"Conveyance of emotions or movements through music may be decoded differently by persons with different types of communication disorders. Because music is the primary therapeutic tool in music therapy sessions, clinicians should consider these differential abilities when selecting music for clinical interventions focusing on emotions or movement.",0.6497,False,True,0.3291
pubmedqa,0.4,baseline,Does combining antiretroviral agents in a single dosage form enhance quality of life of HIV/AIDS patients?,"Although the cost-effectiveness of a single-pill strategy was within the acceptable willingness-to-pay threshold, the QALY difference were minimal. Further research is recommended to explore the long-term impact of the strategy.",0.4542,True,False,-1.0
pubmedqa,0.4,hcpc_v1,Does combining antiretroviral agents in a single dosage form enhance quality of life of HIV/AIDS patients?,"Although the cost-effectiveness of a single-pill strategy was within the acceptable willingness-to-pay threshold, the QALY difference were minimal. Further research is recommended to explore the long-term impact of the strategy.",0.591,False,False,-1.0
pubmedqa,0.4,ccs_gate,Does combining antiretroviral agents in a single dosage form enhance quality of life of HIV/AIDS patients?,"Although the cost-effectiveness of a single-pill strategy was within the acceptable willingness-to-pay threshold, the QALY difference were minimal. Further research is recommended to explore the long-term impact of the strategy.",0.591,False,True,0.2982
pubmedqa,0.4,baseline,Is the combination with 2-methoxyestradiol able to reduce the dosages of chemotherapeutices in the treatment of human ovarian cancer?,2ME is able to enhance the antiproliferative activity of certain chemotherapeutics at pharmacological relevant concentrations. This estradiol metabolite is currently in a phase II trial in patients with refractary metastatic breast cancer and the tolerability has been shown to be very good. The combination of 2ME with chemotherapeutics may therefore offer a new clinically relevant treatment regimen for hormone-dependent cancer.,0.3549,True,False,-1.0
pubmedqa,0.4,hcpc_v1,Is the combination with 2-methoxyestradiol able to reduce the dosages of chemotherapeutices in the treatment of human ovarian cancer?,2ME is able to enhance the antiproliferative activity of certain chemotherapeutics at pharmacological relevant concentrations. This estradiol metabolite is currently in a phase II trial in patients with refractary metastatic breast cancer and the tolerability has been shown to be very good. The combination of 2ME with chemotherapeutics may therefore offer a new clinically relevant treatment regimen for hormone-dependent cancer.,0.4938,True,False,-1.0
pubmedqa,0.4,ccs_gate,Is the combination with 2-methoxyestradiol able to reduce the dosages of chemotherapeutices in the treatment of human ovarian cancer?,2ME is able to enhance the antiproliferative activity of certain chemotherapeutics at pharmacological relevant concentrations. This estradiol metabolite is currently in a phase II trial in patients with refractary metastatic breast cancer and the tolerability has been shown to be very good. The combination of 2ME with chemotherapeutics may therefore offer a new clinically relevant treatment regimen for hormone-dependent cancer.,0.4938,True,True,0.2118
pubmedqa,0.4,baseline,Is a patient's self-reported health-related quality of life a prognostic factor for survival in non-small-cell lung cancer patients?,The results suggest that patients' self-reported HRQOL provide independent prognostic information for survival. This finding supports the collection of such data in routine clinical practice.,0.6819,False,False,-1.0
pubmedqa,0.4,hcpc_v1,Is a patient's self-reported health-related quality of life a prognostic factor for survival in non-small-cell lung cancer patients?,The results suggest that patients' self-reported HRQOL provide independent prognostic information for survival. This finding supports the collection of such data in routine clinical practice.,0.4111,True,False,-1.0
pubmedqa,0.4,ccs_gate,Is a patient's self-reported health-related quality of life a prognostic factor for survival in non-small-cell lung cancer patients?,The results suggest that patients' self-reported HRQOL provide independent prognostic information for survival. This finding supports the collection of such data in routine clinical practice.,0.4111,True,True,0.3692
pubmedqa,0.4,baseline,Do French lay people and health professionals find it acceptable to breach confidentiality to protect a patient's wife from a sexually transmitted disease?,Most people in France are influenced by situational factors when deciding if a physician should breach confidentiality to protect the spouse of a patient infected with STD.,0.5065,False,False,-1.0
pubmedqa,0.4,hcpc_v1,Do French lay people and health professionals find it acceptable to breach confidentiality to protect a patient's wife from a sexually transmitted disease?,Most people in France are influenced by situational factors when deciding if a physician should breach confidentiality to protect the spouse of a patient infected with STD.,0.4894,True,False,-1.0
pubmedqa,0.4,ccs_gate,Do French lay people and health professionals find it acceptable to breach confidentiality to protect a patient's wife from a sexually transmitted disease?,Most people in France are influenced by situational factors when deciding if a physician should breach confidentiality to protect the spouse of a patient infected with STD.,0.5065,False,False,0.4191
pubmedqa,0.4,baseline,Can transcranial direct current stimulation be useful in differentiating unresponsive wakefulness syndrome from minimally conscious state patients?,"a-tDCS could be useful in identifying residual connectivity markers in clinically-defined UWS, who may lack of purposeful behavior as a result of a motor-output failure.",0.6068,False,False,-1.0
pubmedqa,0.4,hcpc_v1,Can transcranial direct current stimulation be useful in differentiating unresponsive wakefulness syndrome from minimally conscious state patients?,"a-tDCS could be useful in identifying residual connectivity markers in clinically-defined UWS, who may lack of purposeful behavior as a result of a motor-output failure.",0.5574,False,False,-1.0
pubmedqa,0.4,ccs_gate,Can transcranial direct current stimulation be useful in differentiating unresponsive wakefulness syndrome from minimally conscious state patients?,"a-tDCS could be useful in identifying residual connectivity markers in clinically-defined UWS, who may lack of purposeful behavior as a result of a motor-output failure.",0.5574,False,True,0.2473
pubmedqa,0.4,baseline,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,"Our long-term study showed significantly better (2-fold) results regarding the continence score for the abdominal approach compared with the transanal pull-through. The stool pattern and enterocolitis scores were somewhat better for the TERPT group. These findings raise an important issue about the current surgical management of HD; however, more cases will need to be studied before a definitive conclusion can be drawn.",0.6492,False,False,-1.0
pubmedqa,0.4,hcpc_v1,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,"Our long-term study showed significantly better (2-fold) results regarding the continence score for the abdominal approach compared with the transanal pull-through. The stool pattern and enterocolitis scores were somewhat better for the TERPT group. These findings raise an important issue about the current surgical management of HD; however, more cases will need to be studied before a definitive conclusion can be drawn.",0.5417,False,False,-1.0
pubmedqa,0.4,ccs_gate,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,"Our long-term study showed significantly better (2-fold) results regarding the continence score for the abdominal approach compared with the transanal pull-through. The stool pattern and enterocolitis scores were somewhat better for the TERPT group. These findings raise an important issue about the current surgical management of HD; however, more cases will need to be studied before a definitive conclusion can be drawn.",0.5417,False,True,0.2444
pubmedqa,0.4,baseline,Processing fluency effects: can the content and presentation of participant information sheets influence recruitment and participation for an antenatal intervention?,Font influenced pregnant women's ratings of intervention complexity.,0.4931,True,False,-1.0
pubmedqa,0.4,hcpc_v1,Processing fluency effects: can the content and presentation of participant information sheets influence recruitment and participation for an antenatal intervention?,Font influenced pregnant women's ratings of intervention complexity.,0.4882,True,False,-1.0
pubmedqa,0.4,ccs_gate,Processing fluency effects: can the content and presentation of participant information sheets influence recruitment and participation for an antenatal intervention?,Font influenced pregnant women's ratings of intervention complexity.,0.4882,True,True,0.2939
pubmedqa,0.4,baseline,The influence of atmospheric pressure on aortic aneurysm rupture--is the diameter of the aneurysm important?,The results of this study do not support the hypothesis that there is a direct link between atmospheric pressure values and abdominal aortic aneurysm ruptures.,0.5057,False,False,-1.0
pubmedqa,0.4,hcpc_v1,The influence of atmospheric pressure on aortic aneurysm rupture--is the diameter of the aneurysm important?,The results of this study do not support the hypothesis that there is a direct link between atmospheric pressure values and abdominal aortic aneurysm ruptures.,0.6684,False,False,-1.0
