dataset,condition,chunk_size,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_chroma_mean_score,hcpc_n_strong,hcpc_n_weak,hcpc_n_refined
squad,baseline,1024,3,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,2.94,0.6268,0.681,0.5914,0.0896,3,0.2728,3,0,0
squad,baseline,1024,3,What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6918,False,faithful,3.39,0.6489,0.6831,0.6285,0.0546,3,0.3208,3,0,0
squad,baseline,1024,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,faithful,3.64,0.6392,0.6635,0.5933,0.0702,3,0.3047,3,0,0
squad,baseline,1024,3,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used.,0.5143,False,faithful,3.41,0.5327,0.7265,0.3954,0.331,3,0.1895,3,0,0
squad,baseline,1024,3,Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,False,faithful,3.23,0.6341,0.6996,0.5886,0.111,3,0.2779,3,0,0
squad,baseline,1024,3,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time. However, it is implied that this event happened in Super Bowl 50, which took place on February 7, 2016.",0.7969,False,faithful,4.27,0.6795,0.6986,0.6656,0.033,3,0.3415,3,0,0
squad,baseline,1024,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,faithful,3.73,0.6392,0.6635,0.5933,0.0702,3,0.3047,3,0,0
squad,baseline,1024,3,What stadium did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,0.5799,False,faithful,0.44,0.6693,0.6974,0.653,0.0443,3,0.3676,3,0,0
squad,baseline,1024,3,What was the final score of Super Bowl 50? ,24–10," The final score of Super Bowl 50 was 24–10, with the Denver Broncos defeating the Carolina Panthers.",0.9142,False,faithful,2.69,0.584,0.6261,0.5607,0.0654,3,0.1954,3,0,0
squad,baseline,1024,3,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",0.945,False,faithful,2.07,0.625,0.6393,0.6049,0.0344,3,0.2811,3,0,0
squad,baseline,1024,3,What year was Super Bowl 50?,2015, The Super Bowl 50 was played in the year 2016.,0.7056,False,faithful,1.84,0.6133,0.6696,0.5819,0.0877,3,0.2588,3,0,0
squad,baseline,1024,3,What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,0.6101,False,faithful,2.71,0.5751,0.5895,0.5496,0.0399,3,0.1408,3,0,0
squad,baseline,1024,3,What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,0.806,False,faithful,3.02,0.6039,0.6302,0.565,0.0652,3,0.2045,3,0,0
squad,baseline,1024,3,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,3.08,0.6268,0.681,0.5914,0.0896,3,0.2728,3,0,0
squad,baseline,1024,3,Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,0.6757,False,faithful,2.28,0.6236,0.6929,0.5613,0.1316,3,0.2566,3,0,0
squad,baseline,1024,3,Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,1.28,0.6228,0.7186,0.5622,0.1564,3,0.2658,3,0,0
squad,baseline,1024,3,Where was Super Bowl 50 held?,"Santa Clara, California."," Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",0.9411,False,faithful,2.71,0.6592,0.6858,0.614,0.0718,3,0.3306,3,0,0
squad,baseline,1024,3,The name of the NFL championship game is?,Super Bowl, Super Bowl 50,0.6293,False,faithful,1.78,0.5081,0.5245,0.4889,0.0356,3,0.0567,3,0,0
squad,baseline,1024,3,What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos,0.6985,False,faithful,2.83,0.5456,0.5524,0.5322,0.0202,3,0.0665,3,0,0
