dataset,condition,chunk_size,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_hcpc_n_weak,ret_hcpc_n_refined,hcpc_n_strong,hcpc_n_weak,hcpc_n_refined,hcpc_mean_ce_improvement,hcpc_mean_sim_improvement
squad,hcpc,1024,3,Who won Super Bowl 50?,Denver Broncos," The context does not specify who won Super Bowl 50, but it implies that the team that took an early lead and never trailed (the Broncos) might have been the winning team. However, without further information, I cannot confirm this.",0.7306,False,faithful,3.65,0.5921,0.6226,0.5563,0.0663,3,3,3,0,3,3,-1.111,0.3193
squad,hcpc,1024,3,What venue did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context only mentions that the San Francisco Bay Area last hosted a Super Bowl in 1985 (Super Bowl XIX), but it does not specify where Super Bowl 50 took place.",0.5995,False,faithful,4.12,0.6224,0.6575,0.5588,0.0987,3,3,3,0,3,3,-2.5548,0.3015
squad,hcpc,1024,3,What city did Super Bowl 50 take place in?,Santa Clara, San Francisco Bay Area,0.4784,True,hallucinated,1.92,0.6284,0.6705,0.5887,0.0818,3,3,3,0,3,3,-0.1847,0.3236
squad,hcpc,1024,3,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, I cannot find this information in the provided context. The context does not mention or imply anything about what Super Bowl 50 would have been called if Roman numerals were used.,0.6477,False,faithful,2.77,0.6741,0.8134,0.4761,0.3373,3,3,3,0,3,3,-0.1377,0.4846
squad,hcpc,1024,3,Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,False,faithful,2.62,0.6279,0.6978,0.5886,0.1092,3,3,3,0,3,3,-0.2414,0.35
squad,hcpc,1024,3,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Denver Broncos won the AFC Championship Game and secured home-field advantage throughout the AFC playoffs, but it does not specify the year they won Super Bowl 50 or if it was their third title.",0.4847,True,hallucinated,4.83,0.6972,0.7379,0.6552,0.0826,3,3,3,0,3,3,-0.4401,0.3558
squad,hcpc,1024,3,What city did Super Bowl 50 take place in?,Santa Clara, San Francisco Bay Area,0.4784,True,hallucinated,1.96,0.6284,0.6705,0.5887,0.0818,3,3,3,0,3,3,-0.1847,0.3236
squad,hcpc,1024,3,What stadium did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context does mention that Super Bowl XIX took place at Stanford Stadium, but it doesn't specify where Super Bowl 50 was held.",0.6469,False,faithful,3.43,0.6331,0.6763,0.5862,0.0901,3,3,3,0,3,3,-3.3257,0.2655
squad,hcpc,1024,3,What was the final score of Super Bowl 50? ,24–10," I cannot find this information in the provided context. The context only mentions that the Broncos won Super Bowl 50, but it does not specify the final score.",0.6982,False,faithful,3.31,0.562,0.5729,0.5525,0.0204,3,3,3,0,3,3,-2.1927,0.3666
squad,hcpc,1024,3,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 1, 2016.",0.9364,False,faithful,2.47,0.6258,0.6517,0.5842,0.0676,3,3,3,0,3,3,-0.9662,0.3446
squad,hcpc,1024,3,What year was Super Bowl 50?,2015," The provided context does not specify the exact year of Super Bowl 50, but since we know it was held in 2015, we can infer that Super Bowl 50 took place in the year 2015.",0.9387,False,faithful,3.81,0.6094,0.6352,0.5819,0.0534,3,3,3,0,3,3,0.3206,0.3506
squad,hcpc,1024,3,What team was the AFC champion?,Denver Broncos, The AFC champion was the Denver Broncos.,0.7995,False,faithful,2.23,0.6233,0.6832,0.5895,0.0938,3,3,3,0,3,3,1.3567,0.4826
squad,hcpc,1024,3,What team was the NFC champion?,Carolina Panthers," The NFC champion, as mentioned in the provided context, is the Carolina Panthers.",0.9576,False,faithful,2.11,0.6636,0.7069,0.6414,0.0655,3,3,3,0,3,3,1.1798,0.4591
squad,hcpc,1024,3,Who won Super Bowl 50?,Denver Broncos," The context does not specify who won Super Bowl 50, but it implies that the team that took an early lead and never trailed (the Broncos) might have been the winner since they had a significant advantage over the Panthers. However, without explicit confirmation of the final score or outcome, I cannot definitively say who won Super Bowl 50 based on the provided context alone.",0.7203,False,faithful,5.99,0.5921,0.6226,0.5563,0.0663,3,3,3,0,3,3,-1.111,0.3193
squad,hcpc,1024,3,Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,0.6757,False,faithful,2.4,0.6186,0.7057,0.5613,0.1444,3,3,3,0,3,3,-0.1821,0.3619
squad,hcpc,1024,3,Which team won Super Bowl 50.,Denver Broncos, The Broncos won Super Bowl 50.,0.8937,False,faithful,1.72,0.6155,0.6757,0.5231,0.1526,3,3,3,0,3,3,-0.3732,0.3497
squad,hcpc,1024,3,Where was Super Bowl 50 held?,"Santa Clara, California."," The provided context does not specify the exact location of Super Bowl 50, but it states that it was held in the San Francisco Bay Area. However, it was also mentioned that Super Bowl XIX (which happened in 1985) was held at Stanford Stadium in Stanford, California. Since Super Bowl 50 took place after Super Bowl XIX and both were in the same area, it's reasonable to infer that Super Bowl 50 might have been held at a different location within the San Francisco Bay Area, but the context does not provide enough information to confirm this.",0.5712,False,faithful,8.37,0.6366,0.6666,0.5937,0.0728,3,3,3,0,3,3,-0.2136,0.306
squad,hcpc,1024,3,The name of the NFL championship game is?,Super Bowl," I cannot find the name of the NFL championship game in the provided context. However, it is typically referred to as the Super Bowl.",0.6756,False,faithful,3.33,0.5113,0.5498,0.4727,0.077,3,3,3,0,3,3,-1.9424,0.4547
squad,hcpc,1024,3,What 2015 NFL team one the AFC playoff?,Denver Broncos," The provided context does not specify which 2015 NFL team won the AFC Championship Game and advanced to Super Bowl 50. However, it is implied that the team in question is the Denver Broncos, as they defeated the New England Patriots in the AFC Championship Game and earned home-field advantage throughout the AFC playoffs.",0.8494,False,faithful,6.02,0.5624,0.6231,0.5318,0.0912,3,3,3,0,3,3,-1.0296,0.4959
