question,answer_256,faithfulness_score_256,chunk_size_256,answer_1024,faithfulness_score_1024,chunk_size_1024,improvement
Where did Super Bowl 50 take place?," The provided context does not specify the exact location of Super Bowl 50, but it states that it was the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985. Therefore, it can be inferred that Super Bowl 50 took place in the San Francisco Bay Area. However, without furt",0.5792,256," The provided context states that Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",0.9928,1024,0.41359999999999997
Where did Super Bowl 50 take place?," The provided context does not specify the exact location of Super Bowl 50, but it states that it was the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985. Therefore, it can be inferred that Super Bowl 50 took place in the San Francisco Bay Area. However, without furt",0.5792,256," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",0.9533,1024,0.3741
Which NFL team won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.9247,256, The Denver Broncos won Super Bowl 50.,0.9247,1024,0.0
Which NFL team won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.9247,256, The Denver Broncos won Super Bowl 50.,0.9247,1024,0.0
Which NFL team won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.9247,256, The Denver Broncos won Super Bowl 50.,0.9247,1024,0.0
Which NFL team won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.9247,256, The Denver Broncos won Super Bowl 50.,0.9247,1024,0.0
What color was used to emphasize the 50th anniversary of the Super Bowl?," The context does not specify the exact color used to emphasize the 50th anniversary of the Super Bowl, but it mentions that the logo could prominently feature Arabic numerals 50.",0.5911,256, Gold was used to emphasize the 50th anniversary of the Super Bowl.,0.6905,1024,0.09940000000000004
What color was used to emphasize the 50th anniversary of the Super Bowl?," The context does not specify the exact color used to emphasize the 50th anniversary of the Super Bowl, but it mentions that the logo could prominently feature Arabic numerals 50.",0.5911,256, Gold,1.0,1024,0.40890000000000004
What color was used to emphasize the 50th anniversary of the Super Bowl?," The context does not specify the exact color used to emphasize the 50th anniversary of the Super Bowl, but it mentions that the logo could prominently feature Arabic numerals 50.",0.5911,256, Gold was used to emphasize the 50th anniversary of the Super Bowl.,0.6905,1024,0.09940000000000004
What color was used to emphasize the 50th anniversary of the Super Bowl?," The context does not specify the exact color used to emphasize the 50th anniversary of the Super Bowl, but it mentions that the logo could prominently feature Arabic numerals 50.",0.5911,256, Gold,1.0,1024,0.40890000000000004
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives for Super Bowl 50. So, one can infer that the theme could be related to gold or golden anniversary.",0.7154,256," The theme of Super Bowl 50 was the ""Golden Anniversary"".",0.872,1024,0.15659999999999996
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives for Super Bowl 50. So, one can infer that the theme could be related to gold or golden anniversary.",0.7154,256," The theme of Super Bowl 50 was the ""Golden Anniversary"".",0.872,1024,0.15659999999999996
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives for Super Bowl 50. So, one can infer that the theme could be related to gold or golden anniversary.",0.7154,256," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",0.5107,1024,-0.2047
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives for Super Bowl 50. So, one can infer that the theme could be related to gold or golden anniversary.",0.7154,256," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, it doesn't explicitly state that this was the official theme of the game.",0.5429,1024,-0.1725
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives for Super Bowl 50. So, one can infer that the theme could be related to gold or golden anniversary.",0.7154,256," The theme of Super Bowl 50 was the ""Golden Anniversary"".",0.872,1024,0.15659999999999996
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives for Super Bowl 50. So, one can infer that the theme could be related to gold or golden anniversary.",0.7154,256," The theme of Super Bowl 50 was the ""Golden Anniversary"".",0.872,1024,0.15659999999999996
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives for Super Bowl 50. So, one can infer that the theme could be related to gold or golden anniversary.",0.7154,256," The context does not provide information about the specific theme of Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",0.486,1024,-0.22940000000000005
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives for Super Bowl 50. So, one can infer that the theme could be related to gold or golden anniversary.",0.7154,256," The provided context does not specify a particular theme for Super Bowl 50 other than the ""golden anniversary"" emphasis, as mentioned in the context. However, it doesn't provide details about a specific theme for the event itself.",0.758,1024,0.04259999999999997
What day was the game played on?," The game was played on February 7, 2016.",0.8967,256," The Super Bowl was played on February 7, 2016.",0.8567,1024,-0.040000000000000036
What day was the game played on?," The game was played on February 7, 2016.",0.8967,256," The game was played on February 7, 2016.",0.8967,1024,0.0
What day was the game played on?," The game was played on February 7, 2016.",0.8967,256," The Super Bowl was played on February 7, 2016.",0.8567,1024,-0.040000000000000036
What day was the game played on?," The game was played on February 7, 2016.",0.8967,256," The game was played on February 7, 2016.",0.8967,1024,0.0
What is the AFC short for?," The context does not provide information about what AFC stands for. However, it refers to the American Football Conference.",0.654,256," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",0.697,1024,0.04299999999999993
What is the AFC short for?," The context does not provide information about what AFC stands for. However, it refers to the American Football Conference.",0.654,256," The provided context does not explicitly state what AFC stands for. However, it can be inferred that AFC refers to the American Football Conference as it is mentioned multiple times throughout the context.",0.6383,1024,-0.015700000000000047
What is the AFC short for?," The context does not provide information about what AFC stands for. However, it refers to the American Football Conference.",0.654,256," The provided context does not explicitly state what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",0.7715,1024,0.11749999999999994
What is the AFC short for?," The context does not provide information about what AFC stands for. However, it refers to the American Football Conference.",0.654,256," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",0.697,1024,0.04299999999999993
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" for Super Bowl 50 with various gold-themed initiatives. So, one can infer that the theme could be related to gold or golden anniversary.",0.749,256," The theme of Super Bowl 50 was the ""Golden Anniversary"".",0.872,1024,0.123
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" for Super Bowl 50 with various gold-themed initiatives. So, one can infer that the theme could be related to gold or golden anniversary.",0.749,256," The theme of Super Bowl 50 was the ""Golden Anniversary"".",0.872,1024,0.123
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" for Super Bowl 50 with various gold-themed initiatives. So, one can infer that the theme could be related to gold or golden anniversary.",0.749,256," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",0.5107,1024,-0.23829999999999996
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" for Super Bowl 50 with various gold-themed initiatives. So, one can infer that the theme could be related to gold or golden anniversary.",0.749,256," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, it doesn't explicitly state that this was the official theme of the game.",0.5429,1024,-0.20609999999999995
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" for Super Bowl 50 with various gold-themed initiatives. So, one can infer that the theme could be related to gold or golden anniversary.",0.749,256," The theme of Super Bowl 50 was the ""Golden Anniversary"".",0.872,1024,0.123
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" for Super Bowl 50 with various gold-themed initiatives. So, one can infer that the theme could be related to gold or golden anniversary.",0.749,256," The theme of Super Bowl 50 was the ""Golden Anniversary"".",0.872,1024,0.123
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" for Super Bowl 50 with various gold-themed initiatives. So, one can infer that the theme could be related to gold or golden anniversary.",0.749,256," The context does not provide information about the specific theme of Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",0.486,1024,-0.263
What was the theme of Super Bowl 50?," The provided context does not explicitly state the theme of Super Bowl 50. However, it mentions that the league emphasized the ""golden anniversary"" for Super Bowl 50 with various gold-themed initiatives. So, one can infer that the theme could be related to gold or golden anniversary.",0.749,256," The provided context does not specify a particular theme for Super Bowl 50 other than the ""golden anniversary"" emphasis, as mentioned in the context. However, it doesn't provide details about a specific theme for the event itself.",0.758,1024,0.009000000000000008
What does AFC stand for?," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",0.697,256," The context does not provide information about what AFC stands for. However, it is known that AFC refers to the American Football Conference in the National Football League (NFL).",0.5982,1024,-0.0988
What does AFC stand for?," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",0.697,256, AFC stands for American Football Conference.,0.982,1024,0.28500000000000003
What does AFC stand for?," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",0.697,256," The context does not provide information about what AFC stands for. However, it is known that AFC refers to the American Football Conference in the National Football League (NFL).",0.5982,1024,-0.0988
What does AFC stand for?," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",0.697,256, AFC stands for American Football Conference.,0.982,1024,0.28500000000000003
What day was the Super Bowl played on?," I cannot find this information in the provided context. The context only mentions that the Super Bowl Opening Night was held on February 1, 2016, but it does not specify the date of the actual game itself.",0.7476,256," The Super Bowl was played on February 7, 2016.",0.8567,1024,0.10909999999999997
What day was the Super Bowl played on?," I cannot find this information in the provided context. The context only mentions that the Super Bowl Opening Night was held on February 1, 2016, but it does not specify the date of the actual game itself.",0.7476,256," The Super Bowl was played on February 7, 2016.",0.8567,1024,0.10909999999999997
What day was the Super Bowl played on?," I cannot find this information in the provided context. The context only mentions that the Super Bowl Opening Night was held on February 1, 2016, but it does not specify the date of the actual game itself.",0.7476,256," The Super Bowl was played on February 7, 2016.",0.8567,1024,0.10909999999999997
What day was the Super Bowl played on?," I cannot find this information in the provided context. The context only mentions that the Super Bowl Opening Night was held on February 1, 2016, but it does not specify the date of the actual game itself.",0.7476,256," The Super Bowl was played on February 7, 2016.",0.8567,1024,0.10909999999999997
Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.9247,256, The Denver Broncos won Super Bowl 50.,0.9247,1024,0.0
Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.9247,256, The Denver Broncos won Super Bowl 50.,0.9247,1024,0.0
Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.9247,256, The Denver Broncos won Super Bowl 50.,0.9247,1024,0.0
Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.9247,256, The Denver Broncos won Super Bowl 50.,0.9247,1024,0.0
Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.9247,256, The Denver Broncos won Super Bowl 50.,0.9247,1024,0.0
Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.9247,256, The Denver Broncos won Super Bowl 50.,0.9247,1024,0.0
Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.9247,256, The Denver Broncos won Super Bowl 50.,0.9247,1024,0.0
Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,0.9247,256, The Denver Broncos won Super Bowl 50.,0.9247,1024,0.0
What venue did Super Bowl 50 take place in?, I cannot find this information in the provided context. The context does not specify the venue for Super Bowl 50.,0.6866,256," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9459,1024,0.2593
What venue did Super Bowl 50 take place in?, I cannot find this information in the provided context. The context does not specify the venue for Super Bowl 50.,0.6866,256," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6918,1024,0.005199999999999982
What venue did Super Bowl 50 take place in?, I cannot find this information in the provided context. The context does not specify the venue for Super Bowl 50.,0.6866,256, The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area.,0.8931,1024,0.20650000000000002
What venue did Super Bowl 50 take place in?, I cannot find this information in the provided context. The context does not specify the venue for Super Bowl 50.,0.6866,256," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6918,1024,0.005199999999999982
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
"If Roman numerals were used, what would Super Bowl 50 have been called?", Super Bowl L,0.4909,256," Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used, as stated in the context.",0.4443,1024,-0.04660000000000003
"If Roman numerals were used, what would Super Bowl 50 have been called?", Super Bowl L,0.4909,256, Super Bowl 50 would have been called Super Bowl L if Roman numerals were used.,0.5328,1024,0.04190000000000005
"If Roman numerals were used, what would Super Bowl 50 have been called?", Super Bowl L,0.4909,256," Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used, as stated in the context.",0.4443,1024,-0.04660000000000003
"If Roman numerals were used, what would Super Bowl 50 have been called?", Super Bowl L,0.4909,256, Super Bowl 50 would have been called Super Bowl L if Roman numerals were used.,0.5328,1024,0.04190000000000005
Super Bowl 50 decided the NFL champion for what season?, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,256, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,1024,0.0
Super Bowl 50 decided the NFL champion for what season?, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,256, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,1024,0.0
Super Bowl 50 decided the NFL champion for what season?, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,256, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,1024,0.0
Super Bowl 50 decided the NFL champion for what season?, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,256, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,1024,0.0
What year did the Denver Broncos secure a Super Bowl title for the third time?," The context does not provide the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it can be inferred that it happened after their appearance in Super Bowl XLVIII (which was in 2014) and before the provided context, suggesting it might have been in 2015. However,",0.5783,256, The Denver Broncos secured a Super Bowl title for the third time in the year 2016.,0.7505,1024,0.1721999999999999
What year did the Denver Broncos secure a Super Bowl title for the third time?," The context does not provide the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it can be inferred that it happened after their appearance in Super Bowl XLVIII (which was in 2014) and before the provided context, suggesting it might have been in 2015. However,",0.5783,256," The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it implies that the event happened after the 2015 season since they played in Super Bowl 50. However, to confirm the exact year, additional information would be needed as ",0.7357,1024,0.15739999999999998
What year did the Denver Broncos secure a Super Bowl title for the third time?," The context does not provide the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it can be inferred that it happened after their appearance in Super Bowl XLVIII (which was in 2014) and before the provided context, suggesting it might have been in 2015. However,",0.5783,256, The Denver Broncos secured a Super Bowl title for the third time in the year 2016.,0.7505,1024,0.1721999999999999
What year did the Denver Broncos secure a Super Bowl title for the third time?," The context does not provide the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it can be inferred that it happened after their appearance in Super Bowl XLVIII (which was in 2014) and before the provided context, suggesting it might have been in 2015. However,",0.5783,256," The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time. However, it is implied that this event happened in Super Bowl 50, which took place on February 7, 2016.",0.7969,1024,0.21860000000000002
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
What city did Super Bowl 50 take place in?, San Francisco Bay Area,0.4784,256," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,1024,0.46370000000000006
What stadium did Super Bowl 50 take place in?," Levi's Stadium, which is located in the San Francisco Bay Area.",0.7354,256, The Super Bowl 50 took place at Levi's Stadium.,0.8198,1024,0.08439999999999992
What stadium did Super Bowl 50 take place in?," Levi's Stadium, which is located in the San Francisco Bay Area.",0.7354,256, Levi's Stadium,0.5799,1024,-0.15550000000000008
What stadium did Super Bowl 50 take place in?," Levi's Stadium, which is located in the San Francisco Bay Area.",0.7354,256, The Super Bowl 50 took place at Levi's Stadium.,0.8198,1024,0.08439999999999992
What stadium did Super Bowl 50 take place in?," Levi's Stadium, which is located in the San Francisco Bay Area.",0.7354,256, Levi's Stadium,0.5799,1024,-0.15550000000000008
What was the final score of Super Bowl 50? ," The context does not provide the final score of Super Bowl 50. However, it mentions that the Broncos won Super Bowl 50 and gives some details about their victories in the divisional round and AFC Championship Game, but no specific score for Super Bowl 50 is given.",0.607,256," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",0.8695,1024,0.26250000000000007
What was the final score of Super Bowl 50? ," The context does not provide the final score of Super Bowl 50. However, it mentions that the Broncos won Super Bowl 50 and gives some details about their victories in the divisional round and AFC Championship Game, but no specific score for Super Bowl 50 is given.",0.607,256," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",0.8695,1024,0.26250000000000007
What was the final score of Super Bowl 50? ," The context does not provide the final score of Super Bowl 50. However, it mentions that the Broncos won Super Bowl 50 and gives some details about their victories in the divisional round and AFC Championship Game, but no specific score for Super Bowl 50 is given.",0.607,256," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",0.8695,1024,0.26250000000000007
What was the final score of Super Bowl 50? ," The context does not provide the final score of Super Bowl 50. However, it mentions that the Broncos won Super Bowl 50 and gives some details about their victories in the divisional round and AFC Championship Game, but no specific score for Super Bowl 50 is given.",0.607,256, The final score of Super Bowl 50 was 24–10 (Denver Broncos vs Carolina Panthers).,0.8873,1024,0.2803
"What month, day and year did Super Bowl 50 take place? "," The Super Bowl 50 took place on February 1, 2016.",0.9364,256," The Super Bowl 50 took place on February 7, 2016.",0.945,1024,0.008599999999999941
"What month, day and year did Super Bowl 50 take place? "," The Super Bowl 50 took place on February 1, 2016.",0.9364,256," The Super Bowl 50 took place on February 7, 2016.",0.945,1024,0.008599999999999941
"What month, day and year did Super Bowl 50 take place? "," The Super Bowl 50 took place on February 1, 2016.",0.9364,256," The Super Bowl 50 took place on February 7, 2016.",0.945,1024,0.008599999999999941
"What month, day and year did Super Bowl 50 take place? "," The Super Bowl 50 took place on February 1, 2016.",0.9364,256," The Super Bowl 50 took place on February 7, 2016.",0.945,1024,0.008599999999999941
What year was Super Bowl 50?," The year Super Bowl 50 took place is not explicitly stated in the provided context. However, since it was the 50th Super Bowl and the first one held in the San Francisco Bay Area since Super Bowl XIX in 1985, we can infer that Super Bowl 50 occurred after 1985. To find the exact year, you would nee",0.5623,256," The provided context states that Super Bowl 50 was played on February 7, 2016.",0.9731,1024,0.41079999999999994
What year was Super Bowl 50?," The year Super Bowl 50 took place is not explicitly stated in the provided context. However, since it was the 50th Super Bowl and the first one held in the San Francisco Bay Area since Super Bowl XIX in 1985, we can infer that Super Bowl 50 occurred after 1985. To find the exact year, you would nee",0.5623,256, The Super Bowl 50 was played in the year 2016.,0.7056,1024,0.14329999999999998
What year was Super Bowl 50?," The year Super Bowl 50 took place is not explicitly stated in the provided context. However, since it was the 50th Super Bowl and the first one held in the San Francisco Bay Area since Super Bowl XIX in 1985, we can infer that Super Bowl 50 occurred after 1985. To find the exact year, you would nee",0.5623,256," The provided context states that Super Bowl 50 was played on February 7, 2016.",0.9731,1024,0.41079999999999994
What year was Super Bowl 50?," The year Super Bowl 50 took place is not explicitly stated in the provided context. However, since it was the 50th Super Bowl and the first one held in the San Francisco Bay Area since Super Bowl XIX in 1985, we can infer that Super Bowl 50 occurred after 1985. To find the exact year, you would nee",0.5623,256, The Super Bowl 50 was played in the year 2016.,0.7056,1024,0.14329999999999998
What team was the AFC champion?, The AFC champion was the Denver Broncos.,0.7995,256, The AFC champion was the Denver Broncos.,0.7995,1024,0.0
What team was the AFC champion?, The AFC champion was the Denver Broncos.,0.7995,256, The Denver Broncos were the AFC champion.,0.6101,1024,-0.1894
What team was the AFC champion?, The AFC champion was the Denver Broncos.,0.7995,256, The AFC champion was the Denver Broncos.,0.7995,1024,0.0
What team was the AFC champion?, The AFC champion was the Denver Broncos.,0.7995,256, The Denver Broncos were the AFC champion.,0.6101,1024,-0.1894
What team was the NFC champion?, The NFC champion was the Carolina Panthers.,0.806,256, The NFC champion was the Carolina Panthers.,0.806,1024,0.0
What team was the NFC champion?, The NFC champion was the Carolina Panthers.,0.806,256, The NFC champion was the Carolina Panthers.,0.806,1024,0.0
What team was the NFC champion?, The NFC champion was the Carolina Panthers.,0.806,256, The NFC champion was the Carolina Panthers.,0.806,1024,0.0
What team was the NFC champion?, The NFC champion was the Carolina Panthers.,0.806,256, The NFC champion was the Carolina Panthers.,0.806,1024,0.0
