dataset,condition,chunk_size,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_chroma_mean_score,hcpc_n_strong,hcpc_n_weak,hcpc_n_refined,hcpc_n_merged,hcpc_context_coherence,hcpc_context_token_count,ret_hcpc_n_weak,ret_hcpc_n_refined,hcpc_mean_ce_improvement,hcpc_mean_sim_improvement,ret_hcpc_v2_n_refined,ret_hcpc_v2_n_merged,ret_hcpc_v2_context_coherence,hcpc_refined,hcpc_n_chunks_before,hcpc_n_chunks_after,hcpc_best_sim_before,hcpc_best_sim_after,hcpc_best_ce_before,hcpc_best_ce_after
squad,baseline,1024,3,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Super Bowl L (which stands for 50 in Roman numerals) was temporarily suspended in favor of Arabic numerals for Super Bowl 50. So, if Roman numerals had been used, Super Bowl 50 would have been called Super Bowl L.",0.5426,False,faithful,5.88,0.7265,0.7265,0.7265,0.0,3,0.3753,3.0,0.0,0,0,1.0,586,,,,,,,,,,,,,,
squad,baseline,1024,3,Super Bowl 50 decided the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was decided in Super Bowl 50.,0.6932,False,faithful,4.79,0.6996,0.6996,0.6996,0.0,3,0.4222,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Denver Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs in a specific year, but it does not specify which Super Bowl title they won or the year of that victory.",0.5224,False,faithful,4.18,0.6986,0.6986,0.6986,0.0,3,0.3971,3.0,0.0,0,0,1.0,144,,,,,,,,,,,,,,
squad,baseline,1024,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, California (specifically at Levi's Stadium in the San Francisco Bay Area).",0.9733,False,faithful,5.34,0.6635,0.6635,0.6635,0.0,3,0.4005,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,What stadium did Super Bowl 50 take place in?,Levi's Stadium," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9459,False,faithful,1.42,0.6576,0.6576,0.6576,0.0,3,0.3989,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10.,0.7851,False,faithful,1.09,0.6261,0.6261,0.6261,0.0,3,0.3342,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",0.945,False,faithful,1.26,0.6393,0.6393,0.6393,0.0,3,0.372,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,What year was Super Bowl 50?,2015, The Super Bowl 50 was played in the year 2016.,0.7056,False,faithful,1.18,0.6696,0.6696,0.6696,0.0,3,0.4358,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,What team was the AFC champion?,Denver Broncos," I cannot find this information in the provided context. The context only mentions that the Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs, but it does not specify whether they became the AFC champion or not.",0.6935,False,faithful,4.16,0.5895,0.5895,0.5895,0.0,3,0.1789,3.0,0.0,0,0,1.0,144,,,,,,,,,,,,,,
squad,baseline,1024,3,What team was the NFC champion?,Carolina Panthers, The Panthers were the NFC champion.,0.665,False,faithful,4.5,0.6302,0.6302,0.6302,0.0,3,0.2396,3.0,0.0,0,0,1.0,477,,,,,,,,,,,,,,
squad,baseline,1024,3,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,4.89,0.681,0.681,0.681,0.0,3,0.396,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,Super Bowl 50 determined the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was determined in Super Bowl 50.,0.713,False,faithful,1.53,0.6929,0.6929,0.6929,0.0,3,0.4067,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,1.04,0.7186,0.7186,0.7186,0.0,3,0.4489,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9393,False,faithful,1.97,0.6858,0.6858,0.6858,0.0,3,0.4167,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game, according to the provided context, is not explicitly stated. However, it can be inferred that the game in question is Super Bowl 50.",0.638,False,faithful,2.65,0.5245,0.5245,0.5245,0.0,3,0.1479,3.0,0.0,0,0,1.0,581,,,,,,,,,,,,,,
squad,baseline,1024,3,What 2015 NFL team one the AFC playoff?,Denver Broncos, The Broncos won the AFC playoff in 2015.,0.8379,False,faithful,5.22,0.5523,0.5523,0.5523,0.0,3,0.1026,3.0,0.0,0,0,1.0,477,,,,,,,,,,,,,,
squad,hcpc_v1,1024,3,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos," The American Football Conference (AFC) champion, which is the Denver Broncos, represented the AFC at Super Bowl 50.",0.7425,False,faithful,2.05,0.6368,0.6368,0.6368,0.0,3,,0.0,3.0,3,0,-1.0,136,3.0,3.0,-5.2193,0.2401,,,,,,,,,,
squad,hcpc_v1,1024,3,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers," I cannot find this information in the provided context. The context only states that Super Bowl 50 determined the champion of the NFL, but it does not specify which teams were participating.",0.5553,False,faithful,3.54,0.6227,0.6227,0.6227,0.0,3,,0.0,3.0,3,0,-1.0,95,3.0,3.0,-4.2433,0.2051,,,,,,,,,,
squad,hcpc_v1,1024,3,Where did Super Bowl 50 take place?,"Santa Clara, California"," I cannot find this information in the provided context. The context only mentions that the game would be known as ""Super Bowl L"" and that the logo would prominently feature Arabic numerals 50, but it does not specify where the Super Bowl took place.",0.582,False,faithful,5.41,0.5887,0.5887,0.5887,0.0,3,,0.0,3.0,3,0,-1.0,92,3.0,3.0,-9.0216,0.2015,,,,,,,,,,
squad,hcpc_v1,1024,3,Which NFL team won Super Bowl 50?,Denver Broncos," I cannot find this information in the provided context. The context only states that Super Bowl 50 was a game to determine the champion of the National Football League (NFL) for the 2015 season, but it does not specify which team won.",0.7296,False,faithful,5.12,0.6572,0.6572,0.6572,0.0,3,,0.0,3.0,3,0,-1.0,95,3.0,3.0,-2.3408,0.2146,,,,,,,,,,
squad,hcpc_v1,1024,3,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold," The color used to emphasize the 50th anniversary of the Super Bowl, according to the provided context, is gold.",0.8353,False,faithful,4.15,0.6888,0.6888,0.6888,0.0,3,,0.0,3.0,3,0,-1.0,192,3.0,3.0,1.5899,0.4413,,,,,,,,,,
squad,hcpc_v1,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," I cannot find this information in the provided context. The context only mentions that the game would be known as ""Super Bowl L"" and that the logo would prominently feature Arabic numerals 50, but it does not provide any information about the theme of Super Bowl 50.",0.6554,False,faithful,7.66,0.6354,0.6354,0.6354,0.0,3,,0.0,3.0,3,0,-1.0,92,3.0,3.0,-3.4144,0.3612,,,,,,,,,,
squad,hcpc_v1,1024,3,What day was the game played on?,"February 7, 2016"," I cannot find this information in the provided context. The context only mentions the date of the Super Bowl Opening Night, but not the date of the actual game.",0.6427,False,faithful,4.97,0.5556,0.5556,0.5556,0.0,3,,0.0,3.0,3,0,-1.0,173,3.0,3.0,0.1943,0.501,,,,,,,,,,
squad,hcpc_v1,1024,3,What is the AFC short for?,American Football Conference, I cannot find this information in the provided context. The context does not specify what AFC stands for.,0.6762,False,faithful,3.19,0.4992,0.4992,0.4992,0.0,3,,0.0,3.0,3,0,-1.0,144,3.0,3.0,0.0,0.4992,,,,,,,,,,
squad,hcpc_v1,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," I cannot find this information in the provided context. The context only mentions that the game would be known as ""Super Bowl L"" and that the logo would prominently feature Arabic numerals 50, but it does not provide any information about the theme of Super Bowl 50.",0.6554,False,faithful,7.36,0.6354,0.6354,0.6354,0.0,3,,0.0,3.0,3,0,-1.0,92,3.0,3.0,-3.4144,0.3612,,,,,,,,,,
squad,hcpc_v1,1024,3,What does AFC stand for?,American Football Conference," I cannot find the abbreviation ""AFC"" explicitly defined in the provided context. However, in American football, AFC typically stands for the American Football Conference.",0.6233,False,faithful,4.08,0.4753,0.4753,0.4753,0.0,3,,0.0,3.0,3,0,-1.0,144,3.0,3.0,0.0,0.4753,,,,,,,,,,
squad,hcpc_v1,1024,3,What day was the Super Bowl played on?,"February 7, 2016"," I cannot find this information in the provided context. The context only mentions the date of the Super Bowl Opening Night, not the actual game day.",0.6271,False,faithful,4.61,0.7261,0.7261,0.7261,0.0,3,,0.0,3.0,3,0,-1.0,173,3.0,3.0,-0.106,0.3249,,,,,,,,,,
squad,hcpc_v1,1024,3,Who won Super Bowl 50?,Denver Broncos, I cannot find the winner of Super Bowl 50 in the provided context.,0.6339,False,faithful,2.33,0.6226,0.6226,0.6226,0.0,3,,0.0,3.0,3,0,-1.0,95,3.0,3.0,-2.2022,0.2266,,,,,,,,,,
squad,hcpc_v1,1024,3,What venue did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context only mentions that it is the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985, and the first in California since Super Bowl XXXVII took place in San Diego in 2003, but it does not specify the venue for any of these Super Bowls.",0.6228,False,faithful,7.94,0.6508,0.6508,0.6508,0.0,3,,0.0,3.0,3,0,-1.0,133,3.0,3.0,0.3399,0.2847,,,,,,,,,,
squad,hcpc_v1,1024,3,What city did Super Bowl 50 take place in?,Santa Clara," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 was a game to determine the champion of the NFL for the 2015 season, but it does not specify the location where the game took place.",0.4797,True,hallucinated,5.8,0.5887,0.5887,0.5887,0.0,3,,0.0,3.0,3,0,-1.0,95,3.0,3.0,-4.1873,0.1882,,,,,,,,,,
squad,hcpc_v1,1024,3,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," I cannot find this information in the provided context. The context only mentions the use of Arabic numerals for Super Bowl 50, not Roman numerals.",0.7309,False,faithful,3.11,0.8134,0.8134,0.8134,0.0,3,,0.0,3.0,3,0,-1.0,39,3.0,3.0,-4.3508,0.4381,,,,,,,,,,
squad,hcpc_v1,1024,3,Super Bowl 50 decided the NFL champion for what season?,2015, The NFL champion for the 2015 season.,0.7621,False,faithful,2.4,0.6978,0.6978,0.6978,0.0,3,,0.0,3.0,3,0,-1.0,95,3.0,3.0,-0.3991,0.2756,,,,,,,,,,
squad,hcpc_v1,1024,3,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Denver Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs in a certain year, but it does not specify which year they won a Super Bowl title for the third time.",0.523,False,faithful,6.89,0.6986,0.6986,0.6986,0.0,3,,0.0,3.0,3,0,-1.0,144,3.0,3.0,0.0,0.3015,,,,,,,,,,
squad,hcpc_v1,1024,3,What city did Super Bowl 50 take place in?,Santa Clara," I cannot find this information in the provided context. The context only states that Super Bowl 50 was a game to determine the champion of the NFL for the 2015 season, but it does not specify the location where the game took place.",0.473,True,hallucinated,6.17,0.5887,0.5887,0.5887,0.0,3,,0.0,3.0,3,0,-1.0,95,3.0,3.0,-4.1873,0.1882,,,,,,,,,,
squad,hcpc_v1,1024,3,What stadium did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context only mentions that the game would be known as ""Super Bowl L"" and that the logo would feature Arabic numerals 50, but it does not specify the stadium where the game took place.",0.5835,False,faithful,6.69,0.5862,0.5862,0.5862,0.0,3,,0.0,3.0,3,0,-1.0,92,3.0,3.0,-9.803,0.1873,,,,,,,,,,
squad,hcpc_v1,1024,3,What was the final score of Super Bowl 50? ,24–10," I cannot find this information in the provided context. The context only states that Super Bowl 50 determined the champion of the NFL for the 2015 season, but it does not provide the final score.",0.5701,False,faithful,4.13,0.5729,0.5729,0.5729,0.0,3,,0.0,3.0,3,0,-1.0,95,3.0,3.0,-1.9034,0.2387,,,,,,,,,,
squad,hcpc_v1,1024,3,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," I cannot find this specific information in the provided context. The context only states that Super Bowl 50 was the game to determine the champion of the NFL for the 2015 season, but it does not provide the exact date when it took place.",0.5132,False,faithful,4.16,0.5842,0.5842,0.5842,0.0,3,,0.0,3.0,3,0,-1.0,95,3.0,3.0,-2.8524,0.2122,,,,,,,,,,
squad,hcpc_v1,1024,3,What year was Super Bowl 50?,2015," The provided context does not specify the year, but since Super Bowl 50 is mentioned, we can infer that it occurred in the year 2015.",0.6083,False,faithful,2.73,0.6352,0.6352,0.6352,0.0,3,,0.0,3.0,3,0,-1.0,95,3.0,3.0,-0.9825,0.1994,,,,,,,,,,
squad,hcpc_v1,1024,3,What team was the AFC champion?,Denver Broncos," I cannot find this information in the provided context. The context only mentions that the Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs, but it does not specify whether they became the AFC champion or not.",0.6935,False,faithful,5.52,0.5895,0.5895,0.5895,0.0,3,,0.0,3.0,3,0,-1.0,144,3.0,3.0,0.0,0.4106,,,,,,,,,,
squad,hcpc_v1,1024,3,What team was the NFC champion?,Carolina Panthers," The team that was the NFC champion, according to the provided context, is not explicitly stated. However, it can be inferred that the team that defeated the Arizona Cardinals in the NFC Championship Game advanced to become the NFC champion.",0.6561,False,faithful,5.15,0.7069,0.7069,0.7069,0.0,3,,0.0,3.0,3,0,-1.0,122,3.0,3.0,1.5853,0.4673,,,,,,,,,,
squad,hcpc_v1,1024,3,Who won Super Bowl 50?,Denver Broncos, I cannot find the winner of Super Bowl 50 in the provided context.,0.6339,False,faithful,2.44,0.6226,0.6226,0.6226,0.0,3,,0.0,3.0,3,0,-1.0,95,3.0,3.0,-2.2022,0.2266,,,,,,,,,,
squad,hcpc_v1,1024,3,Super Bowl 50 determined the NFL champion for what season?,2015, The NFL champion for the 2015 season.,0.7621,False,faithful,1.0,0.7057,0.7057,0.7057,0.0,3,,0.0,3.0,3,0,-1.0,95,3.0,3.0,-0.2501,0.299,,,,,,,,,,
squad,hcpc_v1,1024,3,Which team won Super Bowl 50.,Denver Broncos," I cannot find this information in the provided context. The context only states that Super Bowl 50 was a game to determine the champion of the NFL for the 2015 season, but it does not specify which team won.",0.6693,False,faithful,3.78,0.6477,0.6477,0.6477,0.0,3,,0.0,3.0,3,0,-1.0,95,3.0,3.0,-2.3281,0.1988,,,,,,,,,,
squad,hcpc_v1,1024,3,Where was Super Bowl 50 held?,"Santa Clara, California."," I cannot find this information in the provided context. The context only states that Super Bowl 50 was a game to determine the champion of the NFL for the 2015 season, but it does not specify where it was held.",0.4603,True,hallucinated,3.83,0.5937,0.5937,0.5937,0.0,3,,0.0,3.0,3,0,-1.0,95,3.0,3.0,-3.8228,0.177,,,,,,,,,,
squad,hcpc_v1,1024,3,The name of the NFL championship game is?,Super Bowl, I cannot find the name of the NFL championship game in the provided context.,0.7049,False,faithful,2.6,0.5498,0.5498,0.5498,0.0,3,,0.0,3.0,3,0,-1.0,136,3.0,3.0,-5.7298,0.4019,,,,,,,,,,
squad,hcpc_v1,1024,3,What 2015 NFL team one the AFC playoff?,Denver Broncos, The Broncos won the AFC Playoff in 2015.,0.8169,False,faithful,3.01,0.5318,0.5318,0.5318,0.0,3,,0.0,3.0,3,0,-1.0,151,3.0,3.0,0.8967,0.4292,,,,,,,,,,
squad,hcpc_v2,1024,3,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The American Football Conference (AFC) champion Denver Broncos represented the AFC at Super Bowl 50.,0.8049,False,faithful,6.19,0.6748,0.6748,0.6748,0.0,3,,,,0,0,1.0,581,,,,,0.0,0.0,1.0,False,3.0,3.0,0.3967,0.3967,8.7047,8.7047
squad,hcpc_v2,1024,3,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The National Football Conference (NFC) champion represented by Carolina Panthers at Super Bowl 50.,0.7465,False,faithful,2.11,0.6841,0.6841,0.6841,0.0,3,,,,0,0,1.0,581,,,,,0.0,0.0,1.0,False,3.0,3.0,0.4176,0.4176,8.3569,8.3569
squad,hcpc_v2,1024,3,Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9459,False,faithful,2.37,0.6562,0.6562,0.6562,0.0,3,,,,0,0,1.0,581,,,,,0.0,0.0,1.0,False,3.0,3.0,0.3872,0.3872,8.4794,8.4794
squad,hcpc_v2,1024,3,Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,1.28,0.717,0.717,0.717,0.0,3,,,,0,0,1.0,581,,,,,0.0,0.0,1.0,False,3.0,3.0,0.4426,0.4426,9.7919,9.7919
squad,hcpc_v2,1024,3,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, The context mentions that gold-themed initiatives were used to emphasize the 50th anniversary of the Super Bowl.,0.7191,False,faithful,2.5,0.5074,0.5074,0.5074,0.0,3,,,,0,0,1.0,581,,,,,0.0,0.0,1.0,False,3.0,3.0,0.2475,0.2475,3.2164,3.2164
squad,hcpc_v2,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The theme of Super Bowl 50 was the ""golden anniversary.""",0.7533,False,faithful,1.65,0.5514,0.5514,0.5514,0.0,3,,,,0,0,1.0,581,,,,,0.0,0.0,1.0,False,3.0,3.0,0.2742,0.2742,5.7234,5.7234
squad,hcpc_v2,1024,3,What day was the game played on?,"February 7, 2016"," The provided context does not mention the day when the game was played. It only states that the Super Bowl Opening Night, which featured media availabilities and an opening ceremony, was held on February 1, 2016.",0.7706,False,faithful,8.09,0.5273,0.5273,0.5273,0.0,3,,,,0,0,1.0,288,,,,,0.0,0.0,1.0,False,3.0,3.0,0.0546,0.0546,4.9923,4.9923
squad,hcpc_v2,1024,3,What is the AFC short for?,American Football Conference, I cannot find this information in the provided context. The context does not specify what AFC stands for.,0.6762,False,faithful,3.41,0.4992,0.4992,0.4992,0.0,3,,,,1,0,1.0,144,,,,,1.0,0.0,1.0,True,3.0,3.0,0.0,0.4992,-7.8142,-7.8142
squad,hcpc_v2,1024,3,What was the theme of Super Bowl 50?,"""golden anniversary"""," The theme of Super Bowl 50 was the ""golden anniversary.""",0.7533,False,faithful,7.55,0.5514,0.5514,0.5514,0.0,3,,,,0,0,1.0,581,,,,,0.0,0.0,1.0,False,3.0,3.0,0.2742,0.2742,5.7234,5.7234
squad,hcpc_v2,1024,3,What does AFC stand for?,American Football Conference," I cannot find the abbreviation ""AFC"" explicitly defined in the provided context. However, in American football, AFC typically stands for the American Football Conference.",0.6233,False,faithful,4.08,0.4753,0.4753,0.4753,0.0,3,,,,1,0,1.0,144,,,,,1.0,0.0,1.0,True,3.0,3.0,0.0,0.4753,-5.3964,-5.3964
squad,hcpc_v2,1024,3,What day was the Super Bowl played on?,"February 7, 2016"," I cannot find this information in the provided context. The context only mentions the date when the Super Bowl Opening Night was held, but it does not specify the date of the actual Super Bowl game.",0.7694,False,faithful,5.46,0.7006,0.7006,0.7006,0.0,3,,,,0,0,1.0,288,,,,,0.0,0.0,1.0,False,3.0,3.0,0.4012,0.4012,8.0041,8.0041
squad,hcpc_v2,1024,3,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,6.53,0.681,0.681,0.681,0.0,3,,,,0,0,1.0,581,,,,,0.0,0.0,1.0,False,3.0,3.0,0.396,0.396,8.9704,8.9704
squad,hcpc_v2,1024,3,What venue did Super Bowl 50 take place in?,Levi's Stadium," The provided context does not specify the venue for Super Bowl 50. However, it mentions that the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985 was awarded to Levi's Stadium, which opened in 2014. Since Super Bowl 50 took place in 2016 and Levi's Stadium is located in the San Francisco Bay Area, it is a possibility that Super Bowl 50 could have been held at Levi's Stadium. However, without additional context or information, I cannot confirm this definitively.",0.5906,False,faithful,11.45,0.6831,0.6831,0.6831,0.0,3,,,,0,0,1.0,244,,,,,0.0,0.0,1.0,False,3.0,3.0,0.3661,0.3661,2.7831,2.7831
squad,hcpc_v2,1024,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, California (specifically at Levi's Stadium in the San Francisco Bay Area).",0.9733,False,faithful,7.15,0.6635,0.6635,0.6635,0.0,3,,,,0,0,1.0,581,,,,,0.0,0.0,1.0,False,3.0,3.0,0.4005,0.4005,7.8036,7.8036
squad,hcpc_v2,1024,3,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Super Bowl L (which stands for 50 in Roman numerals) was temporarily not used for Super Bowl 50. Instead, it was named Super Bowl 50 using Arabic numerals.",0.6544,False,faithful,8.54,0.7265,0.7265,0.7265,0.0,3,,,,0,0,1.0,586,,,,,0.0,0.0,1.0,False,3.0,3.0,0.3753,0.3753,7.6579,7.6579
squad,hcpc_v2,1024,3,Super Bowl 50 decided the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was decided in Super Bowl 50.,0.6932,False,faithful,8.5,0.6996,0.6996,0.6996,0.0,3,,,,0,0,1.0,581,,,,,0.0,0.0,1.0,False,3.0,3.0,0.4222,0.4222,9.5303,9.5303
squad,hcpc_v2,1024,3,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Denver Broncos finished the regular season with a 12–4 record and earned home-field advantage throughout the AFC playoffs in a year that is not specified, but it does not state that they won a Super Bowl title.",0.5621,False,faithful,8.57,0.6986,0.6986,0.6986,0.0,3,,,,1,0,1.0,144,,,,,1.0,0.0,1.0,True,3.0,3.0,0.3971,0.6986,-6.1077,-6.1077
squad,hcpc_v2,1024,3,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, California (specifically at Levi's Stadium in the San Francisco Bay Area).",0.9733,False,faithful,8.43,0.6635,0.6635,0.6635,0.0,3,,,,0,0,1.0,581,,,,,0.0,0.0,1.0,False,3.0,3.0,0.4005,0.4005,7.8036,7.8036
