dataset,chunking_strategy,strategy_type,chunk_size_param,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_chroma_mean_score
squad,fixed_512,fixed,512,3,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",0.945,False,faithful,2.2,0.6359,0.6385,0.6307,0.0078,3,0.2719
squad,fixed_512,fixed,512,3,What year was Super Bowl 50?,2015, The year Super Bowl 50 was played was 2016.,0.7565,False,faithful,1.99,0.6511,0.6668,0.6197,0.0471,3,0.3022
squad,fixed_512,fixed,512,3,What team was the AFC champion?,Denver Broncos," The Broncos were the AFC champion, as stated in the provided context.",0.8922,False,faithful,2.79,0.583,0.587,0.5751,0.0119,3,0.166
squad,fixed_512,fixed,512,3,What team was the NFC champion?,Carolina Panthers, The Panthers were the NFC champion.,0.665,False,faithful,3.66,0.6233,0.6268,0.6164,0.0104,3,0.2467
squad,fixed_512,fixed,512,3,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,4.08,0.6607,0.687,0.6081,0.0789,3,0.3215
squad,fixed_512,fixed,512,3,Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,0.6757,False,faithful,2.73,0.6825,0.71,0.6275,0.0825,3,0.3651
squad,fixed_512,fixed,512,3,Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,1.72,0.7013,0.7141,0.6757,0.0384,3,0.4026
squad,fixed_512,fixed,512,3,Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9393,False,faithful,3.23,0.685,0.6886,0.6778,0.0107,3,0.37
squad,fixed_512,fixed,512,3,The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game is not explicitly mentioned in the provided context, but it can be inferred that the game referred to is Super Bowl 50.",0.5072,False,faithful,3.44,0.5479,0.5663,0.5111,0.0552,3,0.0958
squad,fixed_512,fixed,512,3,What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos won the AFC playoff in 2015.,0.8691,False,faithful,2.73,0.5697,0.5851,0.539,0.0461,3,0.1395
