question,ground_truth,condition,answer,context,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,seed,model,backend
What clothing company was a Super Bowl sponsor?,Gap,hcpc_v1, I cannot find this information in the provided context. The context does not mention any clothing company as a Super Bowl sponsor.,"companies with contracting opportunities in and around the Super Bowl

---

On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014

---

Various gold-themed promotions and initiatives were held throughout the 2015 NFL season to tie into the ""Golden Super Bowl""; gold-tinted logos were implemented across the NFL's properties and painted on fields, the numbering of the 50-yard line on fields",0.7681,False,0.5477,False,-1.0,0.829,squad,41,mistral,ollama
What clothing company was a Super Bowl sponsor?,Gap,hcpc_v2," The provided context does not mention any specific clothing company as a Super Bowl sponsor. However, it does list Gap among the sponsors that have contributed to the Super Bowl 50 Host Committee's fundraising efforts.","For the first time, the Super Bowl 50 Host Committee and the NFL have openly sought disabled veteran and lesbian, gay, bisexual and transgender-owned businesses in Business Connect, the Super Bowl program that provides local companies with contracting opportunities in and around the Super Bowl. The host committee has already raised over $40 million through sponsors including Apple, Google, Yahoo!, Intel, Gap, Chevron, and Dignity Health.

---

On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985, and the first in California since Super Bowl XXXVII took place in San Diego in 2003.

---

Various gold-themed promotions and initiatives were held throughout the 2015 NFL season to tie into the ""Golden Super Bowl""; gold-tinted logos were implemented across the NFL's properties and painted on fields, the numbering of the 50-yard line on fields of the 50-yard line on fields was colored gold, and beginning on week 7, all sideline jackets and hats featured gold-trimmed logos . Gold footballs were given to each high school that has had a player or coach appear in the Super Bowl, and ""homecoming"" events were also held by Super Bowl-winning teams at games.",0.7104,False,0.5555,True,0.4108,1.581,squad,41,mistral,ollama
"Along with Dan Fouts, who served as a color analyst for the radio broadcast?",Boomer Esiason,baseline, Boomer Esiason served as a color analyst for the radio broadcast along with Dan Fouts.,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline reporters. Jim Gray will anchor the pre-game and halftime coverage.

---

The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Dave Logan on play-by-play and Ed McCaffrey on color commentary. In North Carolina, WBT (1110 AM) will carry the game, with Mick Mixon on play-by-play and Eugene Robinson and Jim Szoke on color commentary. WBT will also simulcast the game on its sister station WBT-FM (99.3 FM), which is based in Chester, South Carolina. As KOA and WBT are both clear-channel stations, the local broadcasts will be audible over much of the western United States after sunset (for Denver) and the eastern United States throughout the game (for Carolina). In accordance with contractual rules, the rest of the stations in the Broncos and Panthers radio networks will either carry the Westwood One feed or not carry the game at all.

---

As opposed to broadcasts of primetime series, CBS broadcast special episodes of its late night talk shows as its lead-out programs for Super Bowl 50, beginning with a special episode of The Late Show with Stephen Colbert following the game. Following a break for late local programming, CBS also aired a special episode of The Late Late Show with James Corden.",0.7234,False,0.3692,False,-1.0,0.969,squad,41,mistral,ollama
"Along with Dan Fouts, who served as a color analyst for the radio broadcast?",Boomer Esiason,hcpc_v1, Boomer Esiason,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline reporters

---

. In North Carolina, WBT (1110 AM) will carry the game, with Mick Mixon on play-by-play and Eugene Robinson and Jim Szoke on color commentary

---

. Following a break for late local programming, CBS also aired a special episode of The Late Late Show with James Corden.",0.4012,True,0.3734,False,-1.0,0.271,squad,41,mistral,ollama
"Along with Dan Fouts, who served as a color analyst for the radio broadcast?",Boomer Esiason,hcpc_v2, Boomer Esiason served as a color analyst for the radio broadcast along with Dan Fouts.,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline reporters. Jim Gray will anchor the pre-game and halftime coverage.

---

The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Dave Logan on play-by-play and Ed McCaffrey on color commentary. In North Carolina, WBT (1110 AM) will carry the game, with Mick Mixon on play-by-play and Eugene Robinson and Jim Szoke on color commentary. WBT will also simulcast the game on its sister station WBT-FM (99.3 FM), which is based in Chester, South Carolina. As KOA and WBT are both clear-channel stations, the local broadcasts will be audible over much of the western United States after sunset (for Denver) and the eastern United States throughout the game (for Carolina). In accordance with contractual rules, the rest of the stations in the Broncos and Panthers radio networks will either carry the Westwood One feed or not carry the game at all.

---

As opposed to broadcasts of primetime series, CBS broadcast special episodes of its late night talk shows as its lead-out programs for Super Bowl 50, beginning with a special episode of The Late Show with Stephen Colbert following the game . Following a break for late local programming, CBS also aired a special episode of The Late Late Show with James Corden.",0.7234,False,0.3692,True,0.354,0.896,squad,41,mistral,ollama
Who was Alfred S brown?,a Western Union superintendent,baseline," Alfred S Brown was a superintendent at Western Union and, along with Charles F. Peck, agreed to back Nikola Tesla financially and handle his patents in 1887. They formed the Tesla Electric Company together.","In 1501, at the age of 19, he entered the University of Erfurt, which he later described as a beerhouse and whorehouse. He was made to wake at four every morning for what has been described as ""a day of rote learning and often wearying spiritual exercises."" He received his master's degree in 1505.

---

In late 1886 Tesla met Alfred S. Brown, a Western Union superintendent, and New York attorney Charles F. Peck. The two men were experienced in setting up companies and promoting inventions and patents for financial gain. Based on Tesla's patents and other ideas they agreed to back him financially and handle his patents. Together in April 1887 they formed the Tesla Electric Company with an agreement that profits from generated patents would go ⅓ to Tesla, ⅓ to Peck and Brown, and ⅓ to fund development. They set up a laboratory for Tesla at 89 Liberty Street in Manhattan where he worked on improving and developing new types of electric motors, generators and other devices.

---

According to scholars Walter Krämer, Götz Trenkler, Gerhard Ritter, and Gerhard Prause, the story of the posting on the door, even though it has settled as one of the pillars of history, has little foundation in truth. The story is based on comments made by Philipp Melanchthon, though it is thought that he was not in Wittenberg at the time.",0.6804,False,0.3713,False,-1.0,1.733,squad,41,mistral,ollama
Who was Alfred S brown?,a Western Union superintendent,hcpc_v1," Alfred S Brown is an individual who met Tesla in late 1886. He is described as a Western Union superintendent and a New York attorney, known for his experience in setting up companies and promoting inventions and patents for financial gain.","In 1501, at the age of 19, he entered the University of Erfurt, which he later described as a beerhouse and whorehouse

---

In late 1886 Tesla met Alfred S. Brown, a Western Union superintendent, and New York attorney Charles F. Peck. The two men were experienced in setting up companies and promoting inventions and patents for financial gain

---

. The story is based on comments made by Philipp Melanchthon, though it is thought that he was not in Wittenberg at the time.",0.4849,True,0.4054,False,-1.0,1.553,squad,41,mistral,ollama
Who was Alfred S brown?,a Western Union superintendent,hcpc_v2," Alfred S Brown was a superintendent at Western Union and, along with Charles F. Peck, agreed to back Nikola Tesla financially and handle his patents in 1887. They formed the Tesla Electric Company together.","In 1501, at the age of 19, he entered the University of Erfurt, which he later described as a beerhouse and whorehouse. He was made to wake at four every morning for what has been described as ""a day of rote learning and often wearying spiritual exercises."" He received his master's degree in 1505.

---

In late 1886 Tesla met Alfred S. Brown, a Western Union superintendent, and New York attorney Charles F. Peck. The two men were experienced in setting up companies and promoting inventions and patents for financial gain. Based on Tesla's patents and other ideas they agreed to back him financially and handle his patents. Together in April 1887 they formed the Tesla Electric Company with an agreement that profits from generated patents would go ⅓ to Tesla, ⅓ to Peck and Brown, and ⅓ to fund development. They set up a laboratory for Tesla at 89 Liberty Street in Manhattan where he worked on improving and developing new types of electric motors, generators and other devices.

---

According to scholars Walter Krämer, Götz Trenkler, Gerhard Ritter, and Gerhard Prause, the story of the posting on the door, even though it has settled as one of the pillars of history, has little foundation in truth . The story is based on comments made by Philipp Melanchthon, though it is thought that he was not in Wittenberg at the time.",0.6804,False,0.3713,True,0.1052,1.69,squad,41,mistral,ollama
Which Germans could understand the language Luther used?,northern and southern,baseline," Both northern and southern Germans could understand the language Luther used in his translation, as he intended it to be intelligible to both regions.","Luther's translation used the variant of German spoken at the Saxon chancellery, intelligible to both northern and southern Germans. He intended his vigorous, direct language to make the Bible accessible to everyday Germans, ""for we are removing impediments and difficulties so that other people may read it without hindrance.""

---

Published at a time of rising demand for German-language publications, Luther's version quickly became a popular and influential Bible translation. As such, it made a significant contribution to the evolution of the German language and literature. Furnished with notes and prefaces by Luther, and with woodcuts by Lucas Cranach that contained anti-papal imagery, it played a major role in the spread of Luther's doctrine throughout Germany. The Luther Bible influenced other vernacular translations, such as William Tyndale's English Bible (1525 forward), a precursor of the King James Bible.

---

Luther's writings circulated widely, reaching France, England, and Italy as early as 1519. Students thronged to Wittenberg to hear Luther speak. He published a short commentary on Galatians and his Work on the Psalms. This early part of Luther's career was one of his most creative and productive. Three of his best-known works were published in 1520: To the Christian Nobility of the German Nation, On the Babylonian Captivity of the Church, and On the Freedom of a Christian.",0.6166,False,0.681,False,-1.0,1.099,squad,41,mistral,ollama
Which Germans could understand the language Luther used?,northern and southern,hcpc_v1," Both northern and southern Germans could understand the language Luther used, as he intended his translation to be intelligible to both regions.","Luther's translation used the variant of German spoken at the Saxon chancellery, intelligible to both northern and southern Germans. He intended his vigorous, direct language to make the Bible accessible to everyday Germans, ""for we are removing impediments and difficulties so that other people may read it without hindrance.""

---

Published at a time of rising demand for German-language publications, Luther's version quickly became a popular and influential Bible translation. As such, it made a significant contribution to the evolution of the German language and literature

---

Luther's writings circulated widely, reaching France, England, and Italy as early as 1519. Students thronged to Wittenberg to hear Luther speak. He published a short commentary on Galatians and his Work on the Psalms",0.5812,False,0.6807,False,-1.0,0.792,squad,41,mistral,ollama
Which Germans could understand the language Luther used?,northern and southern,hcpc_v2," Both northern and southern Germans could understand the language Luther used in his translation, as he intended it to be intelligible to both regions.","Luther's translation used the variant of German spoken at the Saxon chancellery, intelligible to both northern and southern Germans. He intended his vigorous, direct language to make the Bible accessible to everyday Germans, ""for we are removing impediments and difficulties so that other people may read it without hindrance.""

---

Published at a time of rising demand for German-language publications, Luther's version quickly became a popular and influential Bible translation. As such, it made a significant contribution to the evolution of the German language and literature. Furnished with notes and prefaces by Luther, and with woodcuts by Lucas Cranach that contained anti-papal imagery, it played a major role in the spread of Luther's doctrine throughout Germany. The Luther Bible influenced other vernacular translations, such as William Tyndale's English Bible (1525 forward), a precursor of the King James Bible.

---

Luther's writings circulated widely, reaching France, England, and Italy as early as 1519. Students thronged to Wittenberg to hear Luther speak. He published a short commentary on Galatians and his Work on the Psalms . This early part of Luther's career was one of his most creative and productive . Three of his best-known works were published in 1520: To the Christian Nobility of the German Nation, On the Babylonian Captivity of the Church, and On the Freedom of a Christian.",0.6166,False,0.681,True,0.6122,1.0,squad,41,mistral,ollama
When was vetting introduced?,2006,baseline," I cannot find this information in the provided context. The context only discusses Tesla and eugenics, as well as some historical events related to him, but it does not mention when vetting was introduced.","From 2006 Garda vetting has been introduced for new entrants to the teaching profession. These procedures apply to teaching and also to non-teaching posts and those who refuse vetting ""cannot be appointed or engaged by the school in any capacity including in a voluntary role"". Existing staff will be vetted on a phased basis.

---

Tesla, like many of his era, became a proponent of an imposed selective breeding version of eugenics. His opinion stemmed from the belief that humans' ""pity"" had interfered with the natural ""ruthless workings of nature,"" rather than from conceptions of a ""master race"" or inherent superiority of one person over another. His advocacy of it was, however, to push it further. In a 1937 interview, he stated:

---

Before World War I, Tesla sought overseas investors. After the war started, Tesla lost the funding he was receiving from his patents in European countries. Eventually, he sold Wardenclyffe for $20,000 ($472,500 in today's dollars). In 1917, around the time that the Wardenclyffe Tower was demolished by Boldt to make the land a more viable real estate asset, Tesla received AIEE's highest honor, the Edison Medal.",0.4925,True,0.3184,False,-1.0,1.527,squad,41,mistral,ollama
When was vetting introduced?,2006,hcpc_v1," I cannot find this information in the provided context. The context only discusses events related to Garda vetting and Tesla, but not when it was introduced.","From 2006 Garda vetting has been introduced for new entrants to the teaching profession

---

Tesla, like many of his era, became a proponent of an imposed selective breeding version of eugenics

---

. In 1917, around the time that the Wardenclyffe Tower was demolished by Boldt to make the land a more viable real estate asset, Tesla received AIEE's highest honor, the Edison Medal.",0.5841,False,0.3779,False,-1.0,1.045,squad,41,mistral,ollama
When was vetting introduced?,2006,hcpc_v2," I cannot find this information in the provided context. The context only discusses eugenics and Tesla, not vetting procedures.","From 2006 Garda vetting has been introduced for new entrants to the teaching profession. These procedures apply to teaching and also to non-teaching posts and those who refuse vetting ""cannot be appointed or engaged by the school in any capacity including in a voluntary role"". Existing staff will be vetted on a phased basis.

---

Tesla, like many of his era, became a proponent of an imposed selective breeding version of eugenics. His opinion stemmed from the belief that humans' ""pity"" had interfered with the natural ""ruthless workings of nature,"" rather than from conceptions of a ""master race"" or inherent superiority of one person over another. His advocacy of it was, however, to push it further. In a 1937 interview, he stated:

---

Before World War I, Tesla sought overseas investors. After the war started, Tesla lost the funding he was receiving from his patents in European countries. Eventually, he sold Wardenclyffe for $20,000 ($472,500 in today's dollars) . In 1917, around the time that the Wardenclyffe Tower was demolished by Boldt to make the land a more viable real estate asset, Tesla received AIEE's highest honor, the Edison Medal.",0.6392,False,0.3184,True,0.0182,1.125,squad,41,mistral,ollama
Who did the peasants think Luther would support an attack on?,upper classes,baseline," The context does not provide information about who the peasants thought Luther would support an attack on. However, it is implied that Luther opposed the rebellion and violence of the peasants, as he condemned their actions in his writings.","Luther sympathised with some of the peasants' grievances, as he showed in his response to the Twelve Articles in May 1525, but he reminded the aggrieved to obey the temporal authorities. During a tour of Thuringia, he became enraged at the widespread burning of convents, monasteries, bishops' palaces, and libraries. In Against the Murderous, Thieving Hordes of Peasants, written on his return to Wittenberg, he gave his interpretation of the Gospel teaching on wealth, condemned the violence as the devil's work, and called for the nobles to put down the rebels like mad dogs:

---

Luther next set about reversing or modifying the new church practices. By working alongside the authorities to restore public order, he signalled his reinvention as a conservative force within the Reformation. After banishing the Zwickau prophets, he now faced a battle against not only the established Church but also the radical reformers who threatened the new order by fomenting social unrest and violence.

---

Luther justified his opposition to the rebels on three grounds. First, in choosing violence over lawful submission to the secular government, they were ignoring Christ's counsel to ""Render unto Caesar the things that are Caesar's""; St. Paul had written in his epistle to the Romans 13:1–7 that all authorities are appointed by God and therefore should not be resisted. This reference from the Bible forms the foundation for the doctrine known as the Divine Right of Kings, or, in the German case, the divine right of the princes. Second, the violent actions of rebelling, robbing, and plundering placed the peasants ""outside the law of God and Empire"", so they deserved ""death in body and soul, if only as highwaymen and murderers."" Lastly, Luther charged the rebels with blasphemy for calling themselves ""Christian brethren"" and committing their sinful acts under the banner of the Gospel.",0.6315,False,0.6226,False,-1.0,1.82,squad,41,mistral,ollama
Who did the peasants think Luther would support an attack on?,upper classes,hcpc_v1," I cannot find this information in the provided context regarding who the peasants thought Luther would support an attack on. The context only mentions that Luther opposed the peasants' rebellion and justified his opposition using three grounds, one of which is referencing Christ's counsel to ""Render unto Caesar the things that are Caesar's.""","Luther sympathised with some of the peasants' grievances, as he showed in his response to the Twelve Articles in May 1525, but he reminded the aggrieved to obey the temporal authorities

---

Luther next set about reversing or modifying the new church practices. By working alongside the authorities to restore public order, he signalled his reinvention as a conservative force within the Reformation

---

Luther justified his opposition to the rebels on three grounds. First, in choosing violence over lawful submission to the secular government, they were ignoring Christ's counsel to ""Render unto Caesar the things that are Caesar's""; St",0.4403,True,0.652,False,-1.0,2.131,squad,41,mistral,ollama
