pair_id,dataset,query_index,question,ground_truth,model,backend,seed,set_type,passage_idxs,mean_query_sim,ccs,sim_gap,ccs_gap,overlap,answer,faithfulness_score,is_hallucination,nli_label,latency_s,error
fix01_85a14992364a,squad,2329,Besides the radicals who else did Luther have to deal with?,established Church,mistral,ollama,42,low_ccs,"[8, 12, 18]",0.551477,0.310233,0.001705,0.322191,1," In the provided context, it is mentioned that Luther had to deal with radical preachers such as Zwickau prophet Nicholas Storch and Thomas Müntzer, who instigated the German Peasants' War. However, there is no mention of any other individuals Luther had to deal with in the given context.",0.5452,False,faithful,10.941,
fix01_f7da5050a5c9,squad,1199,What did the General Conference on Weights and Measures name after Tesla in 1960?,SI unit of magnetic flux density,mistral,ollama,42,high_ccs,"[4, 9, 11]",0.477192,0.677157,0.001946,0.356799,0, I cannot find this information in the provided context. The context does not mention any event or achievement by Nikola Tesla that led to a naming by the General Conference on Weights and Measures in 1960.,0.6413,False,faithful,9.744,
fix01_f7da5050a5c9,squad,1199,What did the General Conference on Weights and Measures name after Tesla in 1960?,SI unit of magnetic flux density,mistral,ollama,42,low_ccs,"[2, 8, 10]",0.479138,0.320358,0.001946,0.356799,0," The SI unit of magnetic flux density, specifically.",0.7808,False,faithful,5.112,
fix01_105f312ca7a1,squad,1032,What is the city centre of Warsaw called in Polish?,Śródmieście,mistral,ollama,42,high_ccs,"[7, 13, 14]",0.54006,0.674271,0.018234,0.414603,0, The context does not provide information about what the city center of Warsaw is called in Polish.,0.6097,False,faithful,7.337,
fix01_105f312ca7a1,squad,1032,What is the city centre of Warsaw called in Polish?,Śródmieście,mistral,ollama,42,low_ccs,"[5, 9, 11]",0.558295,0.259668,0.018234,0.414603,0, I cannot find this information in the provided context. The context does not specify the name of the city center of Warsaw in Polish.,0.6002,False,faithful,9.903,
fix01_3e902a96d612,squad,1665,"In the article's title, what did the machine hope to end?",War,mistral,ollama,42,high_ccs,"[4, 13, 17]",0.319176,0.682554,0.012897,0.76466,0, I cannot find information in the provided context about a machine hoping to end anything. The context primarily discusses the development and patenting of Tesla's induction motor and Westinghouse Electric's interest in it.,0.6406,False,faithful,9.953,
fix01_3e902a96d612,squad,1665,"In the article's title, what did the machine hope to end?",War,mistral,ollama,42,low_ccs,"[7, 11, 19]",0.306279,-0.082107,0.012897,0.76466,0, I cannot find this information in the provided context. The context does not mention any machines or their intentions.,0.6671,False,faithful,5.469,
fix01_5eecd47ef390,squad,1584,Where was Tesla's property sent?,Belgrade,mistral,ollama,42,high_ccs,"[5, 6, 12]",0.590895,0.713976,0.000492,0.4193,0, I cannot find this information in the provided context. The text does not mention where Tesla's property was sent.,0.5937,False,faithful,7.903,
fix01_5eecd47ef390,squad,1584,Where was Tesla's property sent?,Belgrade,mistral,ollama,42,low_ccs,"[2, 11, 16]",0.591388,0.294676,0.000492,0.4193,0," In 1952, Tesla's property was sent to Belgrade.",0.427,True,hallucinated,6.18,
fix01_ff89bfb9b47e,squad,215,How many Panthers players were chosen for the 2015 season's Pro Bowl?,Ten,mistral,ollama,42,high_ccs,"[10, 14, 19]",0.451284,0.775318,0.006297,0.591549,0, I cannot find this information in the provided context as it does not mention any Panthers player being selected for the 2015 Pro Bowl.,0.4455,True,hallucinated,11.153,
fix01_ff89bfb9b47e,squad,215,How many Panthers players were chosen for the 2015 season's Pro Bowl?,Ten,mistral,ollama,42,low_ccs,"[7, 15, 18]",0.457581,0.183769,0.006297,0.591549,0, I cannot find this information in the provided context. The context does not mention any details about the 2015 Pro Bowl selections for the Carolina Panthers.,0.6627,False,faithful,10.168,
fix01_c8446644f515,squad,1176,In what year did Nikola Tesla emigrate to the United States?,1884,mistral,ollama,42,high_ccs,"[0, 1, 3]",0.639008,0.728652,0.017387,0.300143,1, 1884,1.0,False,faithful,6.592,
fix01_c8446644f515,squad,1176,In what year did Nikola Tesla emigrate to the United States?,1884,mistral,ollama,42,low_ccs,"[2, 3, 6]",0.621621,0.428509,0.017387,0.300143,1, 1884,1.0,False,faithful,6.594,
fix01_d0ac2d7e8e3c,squad,178,Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,John Fox,mistral,ollama,42,high_ccs,"[2, 7, 9]",0.479451,0.745141,0.013349,0.563706,0," According to the provided context, Gary Kubiak coached the Denver Broncos in their most recent Super Bowl appearance prior to Super Bowl 50. For Carolina Panthers, the context does not provide information about who coached them in their most recent Super Bowl appearance prior to Super Bowl 50.",0.5546,False,faithful,11.052,
fix01_d0ac2d7e8e3c,squad,178,Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,John Fox,mistral,ollama,42,low_ccs,"[0, 15, 17]",0.466102,0.181434,0.013349,0.563706,0, I cannot find this information in the provided context as it does not mention which coaches led the teams participating in any Super Bowls prior to Super Bowl 50.,0.5187,False,faithful,9.013,
fix01_45e3c5a33542,squad,1713,A function problem is an example of what?,a computational problem,mistral,ollama,42,high_ccs,"[4, 10, 17]",0.340156,0.683124,0.001224,0.452109,0," A function problem is not explicitly mentioned as an example in the provided context. However, it can be inferred that a function problem could be a type of computational problem, as both are tasks that may be solved by mechanical application of mathematical steps (i.e., algorithms). But without more specific information about the context, I cannot confirm this with certainty.",0.6251,False,faithful,13.114,
fix01_45e3c5a33542,squad,1713,A function problem is an example of what?,a computational problem,mistral,ollama,42,low_ccs,"[5, 8, 14]",0.34138,0.231015,0.001224,0.452109,0," Based on the provided context, a function problem is not explicitly mentioned. However, the context discusses decision problems and intractable problems, but no mention of function problems is made.",0.3838,True,hallucinated,10.223,
fix01_1daf255799cb,squad,1318,What did Tesla Electric Light & Manufacturing do?,installed electrical arc light based illumination systems,mistral,ollama,42,high_ccs,"[8, 9, 15]",0.559093,0.728652,0.001308,0.37332,0," I cannot find information about ""Tesla Electric Light & Manufacturing"" in the provided context.",0.6138,False,faithful,7.316,
fix01_1daf255799cb,squad,1318,What did Tesla Electric Light & Manufacturing do?,installed electrical arc light based illumination systems,mistral,ollama,42,low_ccs,"[4, 12, 19]",0.557785,0.355332,0.001308,0.37332,0, I cannot find information about Tesla Electric Light & Manufacturing in the provided context.,0.5943,False,faithful,8.041,
fix01_86648ef58d04,squad,584,What beverage company signed a contract allowing them to broadcast ads at a discount?,Anheuser-Busch InBev,mistral,ollama,42,high_ccs,"[3, 6, 13]",0.270545,0.534467,0.001809,0.692068,1, I cannot find this information in the provided context. There is no mention of any beverage company signing a contract for discounted ads during Super Bowl 50.,0.5579,False,faithful,9.102,
fix01_86648ef58d04,squad,584,What beverage company signed a contract allowing them to broadcast ads at a discount?,Anheuser-Busch InBev,mistral,ollama,42,low_ccs,"[3, 8, 11]",0.268736,-0.1576,0.001809,0.692068,1, I cannot find this information in the provided context. The context does not mention any beverage company signing a contract for discounted ads.,0.6961,False,faithful,8.922,
fix01_32489bbe2580,squad,1445,"Who called their system the ""Tesla Polyphase System""?",Westinghouse Electric,mistral,ollama,42,high_ccs,"[11, 13, 17]",0.361127,0.662178,0.008051,0.403163,0," I cannot find this information in the provided context. The context does mention that Tesla had associates who were willing to give him all the power he needed without charging for it in Colorado Springs, but it doesn't specify that they used a system called the ""Tesla Polyphase System.""",0.5325,False,faithful,12.54,
fix01_32489bbe2580,squad,1445,"Who called their system the ""Tesla Polyphase System""?",Westinghouse Electric,mistral,ollama,42,low_ccs,"[7, 12, 18]",0.369179,0.259015,0.008051,0.403163,0," The context does not specify who called their system the ""Tesla Polyphase System"". However, it is mentioned that under this banner, Tesla demonstrated electrical effects at the 1893 World's Columbian Exposition.",0.6465,False,faithful,11.666,
fix01_fe1b54072288,squad,1467,What date did Tesla begin his Colorado Springs experiments?,15 June 1899,mistral,ollama,42,high_ccs,"[2, 17, 19]",0.5468,0.701827,0.006555,0.415649,0, I cannot find this information in the provided context. The context does not mention any details about Tesla's Colorado Springs experiments or their start date.,0.5619,False,faithful,9.607,
fix01_fe1b54072288,squad,1467,What date did Tesla begin his Colorado Springs experiments?,15 June 1899,mistral,ollama,42,low_ccs,"[6, 11, 15]",0.540245,0.286178,0.006555,0.415649,0, I cannot find this information in the provided context. The context does not specify when Tesla began his Colorado Springs experiments.,0.5074,False,faithful,7.164,
fix01_bfad961c515b,squad,1949,What was the teacher's role while the child was with them?,substitute parent,mistral,ollama,42,high_ccs,"[3, 11, 16]",0.437138,0.670463,0.003265,0.469457,0," The provided context does not explicitly state the specific role of a teacher while they are with children, but it implies that their role is to facilitate student learning through the use of lesson plans and curriculum. Additionally, it mentions that teachers may provide a course of study (curriculum) and continue their education after qualifying (continuing professional development).",0.9042,False,faithful,13.531,
fix01_bfad961c515b,squad,1949,What was the teacher's role while the child was with them?,substitute parent,mistral,ollama,42,low_ccs,"[2, 13, 18]",0.433873,0.201006,0.003265,0.469457,0," The teacher's role, according to the provided context, is to act as a substitute parent while the child is at school. This includes using various forms of discipline and showing enthusiasm towards teaching, students, and the subject matter. They are expected to promote the course they are teaching in a way that encourages student success and creates excitement about the subject matter.",0.7853,False,faithful,12.628,
fix01_ba97c1d670e0,squad,138,When did the San Francisco Bay area last host the Super Bowl?,1985,mistral,ollama,42,high_ccs,"[6, 16, 19]",0.466373,0.649185,0.003642,0.567773,1, I cannot find this information in the provided context as it does not pertain to the San Francisco Bay area hosting the Super Bowl.,0.6168,False,faithful,9.201,
fix01_ba97c1d670e0,squad,138,When did the San Francisco Bay area last host the Super Bowl?,1985,mistral,ollama,42,low_ccs,"[8, 16, 17]",0.462731,0.081412,0.003642,0.567773,1, I cannot find this information in the provided context. The context does not mention when or if the San Francisco Bay Area has hosted a Super Bowl.,0.749,False,faithful,7.136,
fix01_23262838c98e,squad,1691,What field of computer science is primarily concerned with determining the likelihood of whether or not a problem can ultimately be solved using algorithms?,computability theory,mistral,ollama,42,high_ccs,"[5, 10, 19]",0.472208,0.600857,0.010946,0.379192,0, The field of computer science primarily concerned with determining the likelihood of whether or not a problem can ultimately be solved using algorithms is known as complexity theory.,0.6484,False,faithful,10.707,
fix01_23262838c98e,squad,1691,What field of computer science is primarily concerned with determining the likelihood of whether or not a problem can ultimately be solved using algorithms?,computability theory,mistral,ollama,42,low_ccs,"[11, 12, 13]",0.461262,0.221664,0.010946,0.379192,0," The context does not provide information about a specific field of computer science that determines the likelihood of whether or not a problem can ultimately be solved using algorithms. However, it is known that systematic studies in computational complexity started with the seminal paper ""On the Computational Complexity of Algorithms"" (Hartmanis & Stearns, 1965), which laid out the definitions of time and space complexity and proved the hierarchy theorems, suggesting an interest in understanding the complexity of algorithms.",0.7478,False,faithful,17.665,
fix01_4658bf24ca61,squad,1110,Who killed Harold II? ,William II,mistral,ollama,42,high_ccs,"[6, 11, 16]",0.258756,0.564447,0.007686,0.644917,0, I cannot find this information in the provided context. The context does not mention who killed Harold II.,0.6503,False,faithful,8.944,
fix01_4658bf24ca61,squad,1110,Who killed Harold II? ,William II,mistral,ollama,42,low_ccs,"[5, 14, 19]",0.25107,-0.080471,0.007686,0.644917,0, I cannot find this information in the provided context. The context does not provide any details about who killed Harold II.,0.6631,False,faithful,8.898,
fix01_a2f14a465277,squad,193,How many games did the Panthers lose in the regular season before Super Bowl 50?,one,mistral,ollama,42,high_ccs,"[6, 7, 12]",0.5129,0.775318,0.007408,0.521842,0," I cannot find this information in the provided context. The context only discusses events leading up to and during the game, but it does not mention the number of games the Panthers lost in the regular season before Super Bowl 50.",0.4526,True,hallucinated,15.15,
fix01_a2f14a465277,squad,193,How many games did the Panthers lose in the regular season before Super Bowl 50?,one,mistral,ollama,42,low_ccs,"[4, 11, 18]",0.505493,0.253476,0.007408,0.521842,0, I cannot find this information in the provided context. The context does not specify how many games the Carolina Panthers lost during the regular season before Super Bowl 50.,0.5785,False,faithful,9.9,
fix01_5763f1d18188,squad,1889,What is the opposite of an ongoing role of teaching?,transient,mistral,ollama,42,high_ccs,"[3, 4, 12]",0.546412,0.700145,0.000169,0.468619,0," The opposite of an ongoing role of teaching, which includes formal teaching, field trips supervision, study hall supervision, school function organization, extracurricular activities supervision, and student discipline (as mentioned in the first context), would be a role that is not related to teaching or education. However, the provided context does not specify such a role.",0.6043,False,faithful,13.544,
fix01_5763f1d18188,squad,1889,What is the opposite of an ongoing role of teaching?,transient,mistral,ollama,42,low_ccs,"[0, 5, 19]",0.546243,0.231526,0.000169,0.468619,0," An ongoing role of teaching implies a continuous or persistent engagement in teaching. Therefore, the opposite could be interpreted as a non-ongoing or intermittent role of teaching, such as a one-time lesson or a temporary teaching position. However, the context does not explicitly provide an exact opposite term for an ongoing role of teaching.",0.5307,False,faithful,13.693,
fix01_5d6c1e6a36eb,squad,1631,What famous writer was Tesla's good friend?,Mark Twain,mistral,ollama,42,high_ccs,"[10, 12, 17]",0.521007,0.589133,0.00597,0.281196,0, I cannot find information about Tesla having a good friend who is a famous writer in the provided context.,0.6146,False,faithful,5.673,
fix01_5d6c1e6a36eb,squad,1631,What famous writer was Tesla's good friend?,Mark Twain,mistral,ollama,42,low_ccs,"[9, 11, 14]",0.526978,0.307937,0.00597,0.281196,0, I cannot find this information in the provided context that Nikola Tesla had a famous writer as his good friend.,0.8141,False,faithful,9.043,
fix01_b09d84893f25,squad,334,What Carolina player was injured in the NFC Championship Game?,Thomas Davis,mistral,ollama,42,high_ccs,"[3, 4, 11]",0.531463,0.778741,0.010941,0.498875,1, I cannot find this information in the provided context. The context does not mention any injury to a Carolina player during the NFC Championship Game.,0.6391,False,faithful,12.077,
fix01_b09d84893f25,squad,334,What Carolina player was injured in the NFC Championship Game?,Thomas Davis,mistral,ollama,42,low_ccs,"[1, 4, 15]",0.520523,0.279866,0.010941,0.498875,1, I cannot find this information in the provided context. The context does not mention any injuries to Carolina players during the NFC Championship Game.,0.6383,False,faithful,11.672,
fix01_869146d71c43,squad,736,Which fullback fumbled the ball after a Darian Stewart tackle?,Mike Tolbert,mistral,ollama,42,high_ccs,"[4, 5, 7]",0.540272,0.778741,0.001387,0.491191,0, I cannot find this information in the provided context. There is no mention of a fullback fumbling the ball in the context you've given.,0.4824,True,hallucinated,13.417,
fix01_869146d71c43,squad,736,Which fullback fumbled the ball after a Darian Stewart tackle?,Mike Tolbert,mistral,ollama,42,low_ccs,"[0, 9, 14]",0.541659,0.28755,0.001387,0.491191,0, Mike Tolbert,0.4032,True,hallucinated,7.507,
fix01_d9b85075e735,squad,911,What was Warsaw's Old Town listed as in 1980?,a UNESCO World Heritage Site,mistral,ollama,42,high_ccs,"[3, 6, 16]",0.543427,0.676278,0.004489,0.37366,0, I cannot find this information in the provided context. The context does not mention when or if Warsaw's Old Town was listed in 1980.,0.6049,False,faithful,16.64,
fix01_d9b85075e735,squad,911,What was Warsaw's Old Town listed as in 1980?,a UNESCO World Heritage Site,mistral,ollama,42,low_ccs,"[1, 11, 18]",0.547916,0.302617,0.004489,0.37366,0," The Warsaw Old Town was listed as a UNESCO World Heritage Site in 1980, according to the provided context.",0.699,False,faithful,12.803,
fix01_12aab0896339,squad,2360,What was Luther's marriage seen as by others?,seal of approval,mistral,ollama,42,high_ccs,"[4, 5, 8]",0.585549,0.613733,0.004923,0.301437,0, The provided context does not mention anything about Luther's marriage.,0.5635,False,faithful,10.154,
fix01_12aab0896339,squad,2360,What was Luther's marriage seen as by others?,seal of approval,mistral,ollama,42,low_ccs,"[2, 10, 14]",0.590472,0.312296,0.004923,0.301437,0, The context does not provide information about how Luther's marriage was seen by others.,0.6434,False,faithful,9.63,
fix01_e48a5c6b76ef,squad,137,When was the most recent Super Bowl hosted in the South Florida/Miami area?,2010,mistral,ollama,42,high_ccs,"[8, 9, 15]",0.449174,0.649185,0.004526,0.557608,1, I cannot find this information in the provided context as it does not pertain to the Super Bowl host location.,0.626,False,faithful,10.234,
fix01_e48a5c6b76ef,squad,137,When was the most recent Super Bowl hosted in the South Florida/Miami area?,2010,mistral,ollama,42,low_ccs,"[4, 15, 18]",0.444648,0.091577,0.004526,0.557608,1, I cannot find this information in the provided context. The context does not mention any details about the hosting location or year of the Super Bowl.,0.6886,False,faithful,7.034,
fix01_dcd54e006fd0,squad,282,Who led the Broncos with 105 receptions?,Demaryius Thomas,mistral,ollama,42,high_ccs,"[7, 8, 13]",0.519991,0.745215,0.010041,0.534979,0, I cannot find this information in the provided context. The context does not mention any player leading the Broncos with 105 receptions.,0.7437,False,faithful,13.93,
fix01_dcd54e006fd0,squad,282,Who led the Broncos with 105 receptions?,Demaryius Thomas,mistral,ollama,42,low_ccs,"[3, 11, 19]",0.509951,0.210235,0.010041,0.534979,0, Demaryius Thomas led the Broncos with 105 receptions.,0.7673,False,faithful,11.867,
fix01_faaec5abb8c2,squad,750,Who did Newton get a pass to in the Panther starting plays of Super Bowl 50?,Ted Ginn Jr.,mistral,ollama,42,high_ccs,"[1, 5, 12]",0.606018,0.772444,0.003167,0.470426,1," In the provided context, it is mentioned that Newton completed a 45-yard pass to Ted Ginn Jr. and a 42-yard pass to Corey Brown during the game, but not specifically in the starting plays of Super Bowl 50. However, the first pass mentioned (to Ginn) occurred on the second offensive play of the second half, which could be considered a starting play for that half. So, it can be inferred that Newton got a pass to Ted Ginn Jr. in one of the Panthers' starting plays of Super Bowl 50.",0.6478,False,faithful,26.825,
