dataset,condition,chunk_size,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_hcpc_n_weak,ret_hcpc_n_refined,hcpc_n_strong,hcpc_n_weak,hcpc_n_refined,hcpc_mean_ce_improvement,hcpc_mean_sim_improvement
pubmedqa,hcpc,1024,3,Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?,Opioid PCT is a feasible and acceptable therapeutic method to reduce refractory breathlessness in palliative care patients.," Based on the provided context, it appears that patient-controlled therapy (PCT) of breathlessness with opioids is being investigated as a potential new therapeutic concept in palliative care. However, the text does not explicitly state that this is a ""new"" concept, but rather that it is being studied in a pilot observational study. The context also suggests that PCT may be an effective method for reducing breathlessness in patients with advanced disease, but further research would be needed to confirm this and determine its long-term feasibility and acceptance.",0.5437,False,faithful,10.99,0.5627,0.7311,0.3812,0.3499,3,2,2,1,2,2,1.6388,0.2591
pubmedqa,hcpc,1024,3,Is there still a need for living-related liver transplantation in children?,"The short- and long-term outcomes after LRT and SLT did not differ significantly. To avoid the risk for the donor in LRT, SLT represents the first-line therapy in pediatric liver transplantation in countries where cadaveric organs are available. LRT provides a solution for urgent cases in which a cadaveric graft cannot be found in time or if the choice of the optimal time point for transplantation is vital."," The provided context does not specify or imply anything about the necessity of living-related liver transplantation (LRT) in children. Therefore, I cannot answer this question definitively based on the given context.",0.4727,True,hallucinated,4.12,0.4706,0.6685,0.2952,0.3733,3,3,3,0,3,3,1.4716,0.4221
pubmedqa,hcpc,1024,3,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,Findings suggest that cluster analyses may be useful in identifying groups for targeted health messages.," Yes, patterns of knowledge and attitudes among unvaccinated seniors were identified in the provided context. The seniors were clustered into four groups based on their immunization-related knowledge and attitudes: Potentials, Fearful Uninformeds, Doubters, and Misinformeds.",0.6665,False,faithful,7.37,0.4895,0.8278,0.2718,0.556,3,2,2,1,2,2,-0.0046,0.3204
pubmedqa,hcpc,1024,3,Is there a model to teach and practice retroperitoneoscopic nephrectomy?,RPN in a porcine model is feasible and could be very useful for teaching and practicing retroperitoneoscopy.," Yes, according to the provided context, a training model for retroperitoneoscopic nephrectomy (RPN) was developed using fifteen piglets.",0.56,False,faithful,4.1,0.5595,0.7939,0.277,0.517,3,3,3,0,3,3,0.7188,0.3971
pubmedqa,hcpc,1024,3,Cardiovascular risk in a rural adult West African population: is resting heart rate also relevant?,Significant associations were observed between RHR and several established cardiovascular risk factors. Prospective studies are needed in sub-Saharan African populations to establish the potential value of RHR in cardiovascular risk assessment.," Yes, according to the provided context, resting heart rate (RHR) is relevant for cardiovascular risk assessment in a rural adult West African population. The study found that 19% of participants had an elevated RHR (>90 bpm), and RHR was significantly associated with age, waist circumference, and blood pressure, which are all factors related to cardiovascular disease (CVD) risk. Additionally, 79% of the study participants were found to have at least one CVD risk factor.",0.642,False,faithful,10.64,0.5742,0.8357,0.4126,0.4231,3,2,2,1,2,2,0.574,0.4435
pubmedqa,hcpc,1024,3,Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,Hospital preparedness can be better defined by a fixed number of casualties rather than a percentile of its bed capacity. Only 20% of the arriving casualties will require immediate medical treatment. Implementation of this concept may improve the utilisation of national emergency health resources both in the preparation phase and on real time.," Based on the provided context, it is not explicitly stated whether or how the surge capacity and injury severity distribution in Israeli hospitals for terrorism-related multiple casualty incidents can be better predicted. The context does mention that 15 years ago, the Emergency and Disaster Medicine Division in the Israeli Ministry of Health defined a key of 20 percent of each hospital's bed capacity as its readiness for multiple casualties, but it does not provide information on predicting surge capacity or injury severity distribution.",0.4498,True,hallucinated,9.79,0.5462,0.7204,0.4158,0.3046,3,2,2,1,2,2,-0.6635,0.3897
pubmedqa,hcpc,1024,3,Acute respiratory distress syndrome in children with malignancy--can we predict outcome?,"Peak inspiratory pressure, PEEP, and ventilation index values could distinguish survivors from nonsurvivors by day 3. This may assist in early application of supportive nonconventional therapies in children with malignancy and ARDS."," The provided context does not directly answer whether acute respiratory distress syndrome (ARDS) in children with malignancy can be predicted regarding its outcome. However, it does mention that this study aims to delineate early respiratory predictors of mortality in such cases. Therefore, it is implied that the study may help predict outcomes for these patients, but specific details are not provided in the context given.",0.5994,False,faithful,6.84,0.5889,0.8643,0.3628,0.5015,3,3,3,0,3,3,0.0326,0.4283
pubmedqa,hcpc,1024,3,Secondhand smoke risk in infants discharged from an NICU: potential for significant health disparities?,"The most disadvantaged families were least likely to have protective health behaviors in place to reduce SHSe and, consequently, are most at-risk for tobacco exposure and subsequent tobacco-related health disparities. Innovative SHSe interventions for this vulnerable population are sorely needed."," Yes, according to the provided context, there is a potential for significant health disparities regarding secondhand smoke risk in infants discharged from an NICU. The text states that almost half of the families with a low income ($<25,000) reported no total smoking ban in place compared to nearly 60% of families earning more (p<.01). This suggests that lower-income families may have a higher exposure to secondhand smoke, which could pose a significant health risk for their infants.",0.51,False,faithful,10.6,0.5185,0.775,0.3673,0.4077,3,2,2,1,2,2,0.2917,0.3903
pubmedqa,hcpc,1024,3,Do nomograms designed to predict biochemical recurrence (BCR) do a better job of predicting more clinically relevant prostate cancer outcomes than BCR?,"Currently available nomograms used to predict BCR accurately predict PCSM and other more clinically relevant endpoints. Moreover, not only do they significantly predict PCSM, but do so with generally greater accuracy than BCR."," Yes, according to the provided context, it is stated that the nomograms designed to predict biochemical recurrence (BCR) can predict more definitive endpoints such as Prostate Cancer-Specific Mortality (PCSM) more accurately than they predict BCR.",0.5567,False,faithful,8.17,0.6251,0.8367,0.2861,0.5506,3,1,1,2,1,1,0.5257,0.2861
pubmedqa,hcpc,1024,3,Are reports of mechanical dysfunction in chronic oro-facial pain related to somatisation?,"Self-reported mechanical factors associated with chronic oro-facial pain are confounded, in part, by psychological factors and are equally common across other frequently unexplained syndromes. They may represent another feature of somatisation. Therefore the use of extensive invasive therapy such as occlusal adjustments and surgery to change mechanical factors may not be justified in many cases."," Based on the provided context, it is suggested that there might be a relationship between certain mechanical factors (such as teeth grinding and facial trauma) and chronic oro-facial pain. However, the text does not explicitly state that this relationship is related to somatization. The study also mentions the consideration of two diagnoses initially, but these were deemed doubtful. Therefore, while there might be an association between mechanical dysfunction and chronic oro-facial pain, the context does not provide enough information to definitively say that it is related to somatization.",0.4987,True,hallucinated,10.44,0.6155,0.7941,0.2901,0.504,3,2,2,1,2,2,0.2056,0.2976
pubmedqa,hcpc,1024,3,Amblyopia: is visual loss permanent?,Older people with a history of amblyopia who develop visual loss in the previously normal eye can experience recovery of visual function in the amblyopic eye over a period of time. This recovery in visual function occurs in the wake of visual loss in the fellow eye and the improvement appears to be sustained.," The provided context does not explicitly state that amblyopia results in permanent visual loss. However, it mentions that improvement in visual acuity could not be attributed to treatment of other existing pathology in 12 cases where the eye showing improvement had a history of amblyopia, suggesting that vision can improve with treatment but further information is needed to confirm if this improvement is permanent or temporary.",0.3441,True,hallucinated,7.34,0.6298,0.7351,0.5561,0.179,3,3,3,0,3,3,6.3846,0.4544
pubmedqa,hcpc,1024,3,Implementation of epidural analgesia for labor: is the standard of effective analgesia reachable in all women?,"Present audit shows that the process of implementation of labor analgesia was quick, successful and safe, notwithstanding the identification of one cluster of women with suboptimal response to epidural analgesia that need to be further studies, overall pregnant womens'adhesion to labor analgesia was satisfactory."," Based on the provided context, it is not explicitly stated that the standard of effective analgesia (implementation of epidural analgesia for labor to all patients) is reachable in all women. However, the increase in the use of epidural analgesia from 15.5% to 51% suggests a trend towards more widespread use, but it does not guarantee that all women can access it.",0.5359,False,faithful,8.65,0.5111,0.8375,0.2547,0.5828,3,2,2,1,2,2,0.63,0.3479
pubmedqa,hcpc,1024,3,Does HER2 immunoreactivity provide prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy?,HER2 immunoreactivity might have a limited prognostic value for advanced urothelial carcinoma patients with adjuvant M-VEC.," Yes, according to the provided context, HER2 immunoreactivity provides prognostic information for Progression-Free Survival (PFS) and disease-specific Overall Survival (OS) in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy. However, it was only a significant factor using univariate analysis, not multivariate analysis.",0.6901,False,faithful,10.04,0.6945,0.859,0.3701,0.489,3,1,1,2,1,1,0.4716,0.3701
pubmedqa,hcpc,1024,3,Is halofantrine ototoxic?,"Halofantrine has mild to moderate pathological effects on cochlea histology, and can be considered an ototoxic drug.", I cannot find this information in the provided context. The context does not mention anything about halofantrine being ototoxic (causing damage to the ear or hearing).,0.5933,False,faithful,3.55,0.3884,0.6188,0.2707,0.3481,3,3,3,0,3,3,0.0787,0.3172
pubmedqa,hcpc,1024,3,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,"VAT area measurement at a single level 3 cm above the lower margin of the L3 vertebra is feasible and can reflect changes in VAT volume and body weight. Advances in knowledge: As VAT area at a CT slice 3cm above the lower margin of L3 can best reflect interval changes in VAT volume and body weight, VAT area measurement should be selected at this location."," Based on the provided context, there is no information about whether visceral adipose tissue area measurement at a single level can represent visceral adipose tissue volume. The context discusses the study's purpose of determining the optimal CT slice location for VAT area to reflect changes in VAT volume and body weight, but it does not directly address if a single-level measurement can represent the total volume.",0.4779,True,hallucinated,7.31,0.4057,0.6854,0.2596,0.4258,3,3,3,0,3,3,0.5965,0.3474
