question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,temperature,backend,model
What year was Super Bowl 50?,2015,"The year of Super Bowl 50 is not explicitly stated in the context, but it can be inferred from the information that the game was to determine the champion of the National Football League (NFL) for the 2015 season.",hcpc_v1,0.4605,True,0.6094,False,-1.0,2.54,squad,0.0,groq,llama-3.3-70b
What year was Super Bowl 50?,2015,"The game was played on February 7, 2016.",hcpc_v2,0.8967,False,0.6133,False,0.5294,2.94,squad,0.0,groq,llama-3.3-70b
What team was the AFC champion?,Denver Broncos,The Denver Broncos were the AFC champion.,baseline,0.6101,False,0.5751,False,-1.0,0.38,squad,0.0,groq,llama-3.3-70b
What team was the AFC champion?,Denver Broncos,The Denver Broncos were the AFC champion.,hcpc_v1,0.6101,False,0.6233,False,-1.0,2.38,squad,0.0,groq,llama-3.3-70b
What team was the AFC champion?,Denver Broncos,The Denver Broncos were the AFC champion.,hcpc_v2,0.6101,False,0.5751,False,0.5132,2.48,squad,0.0,groq,llama-3.3-70b
What team was the NFC champion?,Carolina Panthers,The Carolina Panthers were the NFC champion.,baseline,0.6462,False,0.6039,False,-1.0,2.69,squad,0.0,groq,llama-3.3-70b
What team was the NFC champion?,Carolina Panthers,The Carolina Panthers were the NFC champion.,hcpc_v1,0.6462,False,0.6636,False,-1.0,2.67,squad,0.0,groq,llama-3.3-70b
What team was the NFC champion?,Carolina Panthers,The Carolina Panthers were the NFC champion.,hcpc_v2,0.6462,False,0.6039,False,0.552,2.4,squad,0.0,groq,llama-3.3-70b
Who won Super Bowl 50?,Denver Broncos,"The Denver Broncos won Super Bowl 50, defeating the Carolina Panthers 24-10.",baseline,0.9687,False,0.6268,False,-1.0,2.42,squad,0.0,groq,llama-3.3-70b
Who won Super Bowl 50?,Denver Broncos,The Broncos won Super Bowl 50.,hcpc_v1,0.8937,False,0.5921,False,-1.0,2.54,squad,0.0,groq,llama-3.3-70b
Who won Super Bowl 50?,Denver Broncos,"The Denver Broncos won Super Bowl 50, defeating the Carolina Panthers 24-10.",hcpc_v2,0.9687,False,0.6246,True,0.5701,2.92,squad,0.0,groq,llama-3.3-70b
Super Bowl 50 determined the NFL champion for what season?,2015,Super Bowl 50 determined the champion of the National Football League (NFL) for the 2015 season.,baseline,0.6838,False,0.6236,False,-1.0,2.8,squad,0.0,groq,llama-3.3-70b
Super Bowl 50 determined the NFL champion for what season?,2015,The 2015 season.,hcpc_v1,0.6329,False,0.6186,False,-1.0,2.49,squad,0.0,groq,llama-3.3-70b
Super Bowl 50 determined the NFL champion for what season?,2015,Super Bowl 50 determined the champion of the National Football League (NFL) for the 2015 season.,hcpc_v2,0.6838,False,0.6236,True,0.4842,2.95,squad,0.0,groq,llama-3.3-70b
Which team won Super Bowl 50.,Denver Broncos,"The Denver Broncos won Super Bowl 50, defeating the Carolina Panthers 24-10.",baseline,0.9687,False,0.6228,False,-1.0,2.5,squad,0.0,groq,llama-3.3-70b
Which team won Super Bowl 50.,Denver Broncos,The Broncos won Super Bowl 50.,hcpc_v1,0.8937,False,0.6155,False,-1.0,2.57,squad,0.0,groq,llama-3.3-70b
Which team won Super Bowl 50.,Denver Broncos,"The Denver Broncos won Super Bowl 50, defeating the Carolina Panthers 24-10.",hcpc_v2,0.9687,False,0.6228,False,0.5701,2.7,squad,0.0,groq,llama-3.3-70b
Where was Super Bowl 50 held?,"Santa Clara, California.","The game was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.8044,False,0.6592,False,-1.0,2.47,squad,0.0,groq,llama-3.3-70b
Where was Super Bowl 50 held?,"Santa Clara, California.",I cannot find this information in the provided context.,hcpc_v1,0.5531,False,0.6366,False,-1.0,2.59,squad,0.0,groq,llama-3.3-70b
Where was Super Bowl 50 held?,"Santa Clara, California.","The game was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.8044,False,0.6592,False,0.6083,2.55,squad,0.0,groq,llama-3.3-70b
The name of the NFL championship game is?,Super Bowl,The name of the NFL championship game is the Super Bowl.,baseline,0.7754,False,0.5081,False,-1.0,2.8,squad,0.0,groq,llama-3.3-70b
The name of the NFL championship game is?,Super Bowl,The name of the NFL championship game is the Super Bowl.,hcpc_v1,0.7754,False,0.5113,False,-1.0,0.37,squad,0.0,groq,llama-3.3-70b
The name of the NFL championship game is?,Super Bowl,The name of the NFL championship game is the Super Bowl.,hcpc_v2,0.7754,False,0.5081,True,0.5192,2.81,squad,0.0,groq,llama-3.3-70b
What 2015 NFL team one the AFC playoff?,Denver Broncos,The Denver Broncos denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game.,baseline,0.769,False,0.5456,False,-1.0,2.51,squad,0.0,groq,llama-3.3-70b
What 2015 NFL team one the AFC playoff?,Denver Broncos,"The Broncos earned home-field advantage throughout the AFC playoffs and denied the New England Patriots a chance to defend their title by defeating them 20–18 in the AFC Championship Game. Therefore, the Broncos won the AFC playoff.",hcpc_v1,0.7617,False,0.5624,False,-1.0,0.65,squad,0.0,groq,llama-3.3-70b
What 2015 NFL team one the AFC playoff?,Denver Broncos,The Denver Broncos denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game.,hcpc_v2,0.769,False,0.5456,False,0.5132,2.7,squad,0.0,groq,llama-3.3-70b
