question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,temperature,backend,model
Which NFL team won Super Bowl 50?,Denver Broncos," The Broncos, according to the provided context.",hcpc_v1,0.6662,False,0.6259,False,-1.0,1.11,squad,1.0,ollama,mistral
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6554,False,0.5701,3.02,squad,1.0,ollama,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold was used to emphasize the 50th anniversary of the Super Bowl.,baseline,0.6905,False,0.5495,False,-1.0,1.97,squad,1.0,ollama,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v1,1.0,False,0.6032,False,-1.0,1.09,squad,1.0,ollama,mistral
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold was used to emphasize the 50th anniversary of the Super Bowl.,hcpc_v2,0.6905,False,0.5495,True,0.43,3.09,squad,1.0,ollama,mistral
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention any specific theme for Super Bowl 50, however, it does state that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",baseline,0.5003,False,0.558,False,-1.0,2.89,squad,1.0,ollama,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""", I cannot find this information in the provided context as there is no mention of the theme of Super Bowl 50.,hcpc_v1,0.2844,True,0.5742,False,-1.0,1.97,squad,1.0,ollama,mistral
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention the theme of Super Bowl 50 explicitly. However, it does state that as this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives. Therefore, one could infer that the golden anniversary might have served as a general theme for Super Bowl 50. But without explicit mention in the context, it's hard to be certain about the specific details of any thematic elements beyond the golden anniversary.",hcpc_v2,0.6561,False,0.558,False,0.4567,6.95,squad,1.0,ollama,mistral
What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",baseline,0.8967,False,0.3746,False,-1.0,3.47,squad,1.0,ollama,mistral
What day was the game played on?,"February 7, 2016"," February 7, 2016",hcpc_v1,0.6229,False,0.4669,False,-1.0,1.08,squad,1.0,ollama,mistral
What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",hcpc_v2,0.8967,False,0.3746,True,0.5722,2.79,squad,1.0,ollama,mistral
What is the AFC short for?,American Football Conference," The provided context does not mention what AFC stands for explicitly. However, it can be inferred that in the context, AFC refers to the American Football Conference.",baseline,0.7766,False,0.4121,False,-1.0,3.82,squad,1.0,ollama,mistral
What is the AFC short for?,American Football Conference," The provided context does not state explicitly what AFC stands for. However, it can be inferred that AFC refers to the American Football Conference.",hcpc_v1,0.7849,False,0.4702,False,-1.0,2.08,squad,1.0,ollama,mistral
What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, in the context of the provided text, AFC refers to the American Football Conference in the National Football League.",hcpc_v2,0.6652,False,0.4121,True,0.4753,4.04,squad,1.0,ollama,mistral
What was the theme of Super Bowl 50?,"""golden anniversary"""," The context does not provide information about the specific theme for Super Bowl 50 other than it emphasized the ""golden anniversary"" with various gold-themed initiatives.",baseline,0.6613,False,0.558,False,-1.0,4.04,squad,1.0,ollama,mistral
What was the theme of Super Bowl 50?,"""golden anniversary""", The context does not provide information about the theme of Super Bowl 50.,hcpc_v1,0.773,False,0.5742,False,-1.0,1.72,squad,1.0,ollama,mistral
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50 beyond the ""golden anniversary"" emphasis, as mentioned in the third paragraph. However, the league's focus on the 50th game being significant and spectacular is noted in the first question.",hcpc_v2,0.8366,False,0.558,False,0.4567,5.0,squad,1.0,ollama,mistral
What does AFC stand for?,American Football Conference," The provided context doesn't state the full form of AFC explicitly, but given the context of the National Football League (NFL) and references to the American Football Conference (AFC), it is reasonable to infer that AFC stands for ""American Football Conference.""",baseline,0.6992,False,0.3787,False,-1.0,5.12,squad,1.0,ollama,mistral
What does AFC stand for?,American Football Conference, American Football Conference,hcpc_v1,0.4889,True,0.4448,False,-1.0,1.0,squad,1.0,ollama,mistral
What does AFC stand for?,American Football Conference, AFC stands for American Football Conference.,hcpc_v2,0.982,False,0.3787,True,0.4753,2.7,squad,1.0,ollama,mistral
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",baseline,0.8567,False,0.6413,False,-1.0,3.23,squad,1.0,ollama,mistral
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",hcpc_v1,0.8567,False,0.6329,False,-1.0,1.41,squad,1.0,ollama,mistral
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",hcpc_v2,0.8567,False,0.6413,False,0.5722,3.11,squad,1.0,ollama,mistral
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6268,False,-1.0,3.52,squad,1.0,ollama,mistral
Who won Super Bowl 50?,Denver Broncos," The context does not mention who won Super Bowl 50, but since it states that the Broncos took an early lead and never trailed, we can infer that they might have been the winning team. However, without further information, I cannot confirm this definitively.",hcpc_v1,0.5268,False,0.5921,False,-1.0,3.18,squad,1.0,ollama,mistral
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6246,True,0.5701,3.67,squad,1.0,ollama,mistral
What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.6918,False,0.6489,False,-1.0,3.86,squad,1.0,ollama,mistral
What venue did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context mentions that San Francisco Bay Area last hosted a Super Bowl in 1985, but it does not specify the venue for Super Bowl 50.",hcpc_v1,0.5065,False,0.6224,False,-1.0,3.16,squad,1.0,ollama,mistral
What venue did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,hcpc_v2,0.5799,False,0.653,True,0.6083,3.67,squad,1.0,ollama,mistral
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara (San Francisco Bay Area), California.",baseline,0.9645,False,0.6392,False,-1.0,3.89,squad,1.0,ollama,mistral
What city did Super Bowl 50 take place in?,Santa Clara, San Francisco Bay Area,hcpc_v1,0.4784,True,0.6284,False,-1.0,1.13,squad,1.0,ollama,mistral
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",hcpc_v2,0.9421,False,0.6431,True,0.6083,4.08,squad,1.0,ollama,mistral
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals were used.,baseline,0.5328,False,0.5327,False,-1.0,3.83,squad,1.0,ollama,mistral
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, I cannot find this information in the provided context. The context does not mention or imply anything about what Super Bowl 50 would have been called if Roman numerals had been used instead of Arabic numerals.,hcpc_v1,0.569,False,0.6741,False,-1.0,2.86,squad,1.0,ollama,mistral
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used, according to the standard practice established at Super Bowl V.",hcpc_v2,0.5385,False,0.5327,True,0.5184,4.66,squad,1.0,ollama,mistral
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,baseline,0.6644,False,0.6341,False,-1.0,3.79,squad,1.0,ollama,mistral
Super Bowl 50 decided the NFL champion for what season?,2015, The NFL champion for the 2015 season.,hcpc_v1,0.7621,False,0.6279,False,-1.0,1.46,squad,1.0,ollama,mistral
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,hcpc_v2,0.6644,False,0.6341,False,0.4842,3.54,squad,1.0,ollama,mistral
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The provided context does not specify the exact year when the Denver Broncos secured a third Super Bowl title. However, we know it was after the 2015 season since the context mentions their AFC Championship Game victory against the New England Patriots in reference to Super Bowl 50, which took place on February 7, 2016.",baseline,0.7171,False,0.6795,False,-1.0,5.6,squad,1.0,ollama,mistral
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," Based on the provided context, I cannot find the exact year that the Denver Broncos secured a Super Bowl title for the third time. However, it is implied in the text that they won in Super Bowl 50, which was played in the year 2016.",hcpc_v1,0.6846,False,0.6972,False,-1.0,3.29,squad,1.0,ollama,mistral
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find the specific year in which the Denver Broncos secured a Super Bowl title for the third time within the provided context. However, it is stated that they won Super Bowl 50, and given that there are five Super Bowls held each decade (Super Bowl XL through Super Bowl XLIV were held between 2004 and 2010), Super Bowl 50 was most likely held in the year 2016.",hcpc_v2,0.4437,True,0.6795,False,0.6115,6.08,squad,1.0,ollama,mistral
What city did Super Bowl 50 take place in?,Santa Clara, The Super Bowl 50 took place in Santa Clara (which is part of the San Francisco Bay Area).,baseline,0.9687,False,0.6392,False,-1.0,4.49,squad,1.0,ollama,mistral
What city did Super Bowl 50 take place in?,Santa Clara, San Francisco Bay Area,hcpc_v1,0.4784,True,0.6284,False,-1.0,1.09,squad,1.0,ollama,mistral
What city did Super Bowl 50 take place in?,Santa Clara," San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.8506,False,0.6431,True,0.6083,3.52,squad,1.0,ollama,mistral
What stadium did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,baseline,0.5799,False,0.6693,False,-1.0,1.33,squad,1.0,ollama,mistral
What stadium did Super Bowl 50 take place in?,Levi's Stadium, I cannot find this information in the provided context. It is not specified where Super Bowl 50 took place in the given context.,hcpc_v1,0.6313,False,0.6331,False,-1.0,2.35,squad,1.0,ollama,mistral
What stadium did Super Bowl 50 take place in?,Levi's Stadium, The Super Bowl 50 took place at Levi's Stadium.,hcpc_v2,0.8198,False,0.6693,False,0.6083,3.9,squad,1.0,ollama,mistral
What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was Denver Broncos 24 and Carolina Panthers 10.,baseline,0.8677,False,0.584,False,-1.0,2.7,squad,1.0,ollama,mistral
What was the final score of Super Bowl 50? ,24–10," I cannot find the final score of Super Bowl 50 in the provided context. The text only states that the Broncos never trailed during the game, and no specific final score is mentioned.",hcpc_v1,0.7944,False,0.562,False,-1.0,2.57,squad,1.0,ollama,mistral
What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10.,hcpc_v2,0.7851,False,0.584,True,0.5147,3.66,squad,1.0,ollama,mistral
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",baseline,0.945,False,0.625,False,-1.0,2.22,squad,1.0,ollama,mistral
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 1, 2016.",hcpc_v1,0.9364,False,0.6258,False,-1.0,1.83,squad,1.0,ollama,mistral
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 game took place on February 7, 2016.",hcpc_v2,0.9527,False,0.625,True,0.5722,3.45,squad,1.0,ollama,mistral
What year was Super Bowl 50?,2015, The Super Bowl 50 was played in the year 2016.,baseline,0.7056,False,0.6133,False,-1.0,1.96,squad,1.0,ollama,mistral
What year was Super Bowl 50?,2015, 2015,hcpc_v1,1.0,False,0.6094,False,-1.0,1.2,squad,1.0,ollama,mistral
What year was Super Bowl 50?,2015, The Super Bowl 50 was played in the year 2016.,hcpc_v2,0.7056,False,0.6133,False,0.5294,3.06,squad,1.0,ollama,mistral
What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,baseline,0.6101,False,0.5751,False,-1.0,3.07,squad,1.0,ollama,mistral
What team was the AFC champion?,Denver Broncos, The American Football Conference (AFC) champion was the Denver Broncos.,hcpc_v1,0.773,False,0.6233,False,-1.0,1.37,squad,1.0,ollama,mistral
What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,hcpc_v2,0.6101,False,0.5751,False,0.5132,2.94,squad,1.0,ollama,mistral
What team was the NFC champion?,Carolina Panthers," The Carolina Panthers were the NFC champion, as stated in the provided context.",baseline,0.8603,False,0.6039,False,-1.0,3.71,squad,1.0,ollama,mistral
What team was the NFC champion?,Carolina Panthers, Carolina Panthers,hcpc_v1,0.5849,False,0.6636,False,-1.0,1.2,squad,1.0,ollama,mistral
What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,hcpc_v2,0.806,False,0.6039,False,0.552,3.54,squad,1.0,ollama,mistral
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6268,False,-1.0,3.39,squad,1.0,ollama,mistral
Who won Super Bowl 50?,Denver Broncos," The provided context does not specify who won Super Bowl 50, but it states that the Broncos took an early lead and never trailed, suggesting they might have been the winning team. However, without explicit information stating they won, I cannot definitively say they were the winners.",hcpc_v1,0.6792,False,0.5921,False,-1.0,3.31,squad,1.0,ollama,mistral
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6246,True,0.5701,3.68,squad,1.0,ollama,mistral
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,baseline,0.6757,False,0.6236,False,-1.0,2.38,squad,1.0,ollama,mistral
Super Bowl 50 determined the NFL champion for what season?,2015, The provided context states that Super Bowl 50 determined the champion of the National Football League (NFL) for the 2015 season.,hcpc_v1,0.6735,False,0.6186,False,-1.0,2.34,squad,1.0,ollama,mistral
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,hcpc_v2,0.6757,False,0.6236,True,0.4842,3.73,squad,1.0,ollama,mistral
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6228,False,-1.0,1.25,squad,1.0,ollama,mistral
Which team won Super Bowl 50.,Denver Broncos," The Broncos won Super Bowl 50, as stated in the context that they never trailed during the game and were the team that did not trail at the end of the match.",hcpc_v1,0.5644,False,0.6155,False,-1.0,2.45,squad,1.0,ollama,mistral
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6228,False,0.5701,3.61,squad,1.0,ollama,mistral
Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.9393,False,0.6592,False,-1.0,3.16,squad,1.0,ollama,mistral
Where was Super Bowl 50 held?,"Santa Clara, California."," San Francisco Bay Area (specifically Levi's Stadium in Santa Clara, California)",hcpc_v1,0.7259,False,0.6366,False,-1.0,1.75,squad,1.0,ollama,mistral
Where was Super Bowl 50 held?,"Santa Clara, California."," Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9411,False,0.6592,False,0.6083,4.05,squad,1.0,ollama,mistral
The name of the NFL championship game is?,Super Bowl," The context does not mention the specific name of the NFL championship game. However, it does state that Super Bowl 50 was the NFL championship game for the 2015 season.",baseline,0.765,False,0.5081,False,-1.0,3.37,squad,1.0,ollama,mistral
The name of the NFL championship game is?,Super Bowl, I cannot find this information in the provided context as it does not mention the name of the NFL championship game.,hcpc_v1,0.5773,False,0.5113,False,-1.0,2.34,squad,1.0,ollama,mistral
The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game, as referred to in the provided context, is not explicitly stated. However, it can be inferred that the game in question is Super Bowl 50, since it's the only championship game mentioned in the context and the events leading up to it are described in detail.",hcpc_v2,0.4674,True,0.5081,True,0.5192,5.87,squad,1.0,ollama,mistral
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos won the AFC Championship Game and represented the American Football Conference (AFC) in Super Bowl 50.,baseline,0.6354,False,0.5456,False,-1.0,4.34,squad,1.0,ollama,mistral
What 2015 NFL team one the AFC playoff?,Denver Broncos," The 2015 NFL team that won the AFC playoffs, according to the provided context, is the Denver Broncos.",hcpc_v1,0.8614,False,0.5624,False,-1.0,2.47,squad,1.0,ollama,mistral
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos,hcpc_v2,0.6985,False,0.5456,False,0.5132,3.18,squad,1.0,ollama,mistral
