embedder,pair_id,set_type,question,ground_truth,faithfulness_score,is_hallucination,answer_span_present,reencoded_mean_query_sim,reencoded_ccs,n_passages
minilm,fix01_ba97c1d670e0,low_ccs,When did the San Francisco Bay area last host the Super Bowl?,1985,0.749,False,False,0.4627306526768611,0.08141208556292745,3
minilm,fix01_23262838c98e,high_ccs,What field of computer science is primarily concerned with determining the likelihood of whether or not a problem can ultimately be solved using algorithms?,computability theory,0.6484,False,False,0.4722079633458378,0.6008566040648309,3
minilm,fix01_23262838c98e,low_ccs,What field of computer science is primarily concerned with determining the likelihood of whether or not a problem can ultimately be solved using algorithms?,computability theory,0.7478,False,False,0.4612623280209072,0.22166441881054672,3
minilm,fix01_4658bf24ca61,high_ccs,Who killed Harold II? ,William II,0.6503,False,False,0.25875623265685954,0.5644466723808723,3
minilm,fix01_4658bf24ca61,low_ccs,Who killed Harold II? ,William II,0.6631,False,False,0.25107024699646635,-0.08047059974507101,3
minilm,fix01_a2f14a465277,high_ccs,How many games did the Panthers lose in the regular season before Super Bowl 50?,one,0.4526,True,True,0.5129002417128737,0.7753184636916751,3
minilm,fix01_a2f14a465277,low_ccs,How many games did the Panthers lose in the regular season before Super Bowl 50?,one,0.5785,False,False,0.5054926020273586,0.2534766106379078,3
minilm,fix01_5763f1d18188,high_ccs,What is the opposite of an ongoing role of teaching?,transient,0.6043,False,False,0.5464117773690588,0.7001452396509691,3
minilm,fix01_5763f1d18188,low_ccs,What is the opposite of an ongoing role of teaching?,transient,0.5307,False,False,0.5462430176679001,0.23152611532442266,3
minilm,fix01_5d6c1e6a36eb,high_ccs,What famous writer was Tesla's good friend?,Mark Twain,0.6146,False,False,0.5210073897159431,0.5891329017122173,3
minilm,fix01_5d6c1e6a36eb,low_ccs,What famous writer was Tesla's good friend?,Mark Twain,0.8141,False,False,0.5269776287740587,0.30793723020622205,3
minilm,fix01_b09d84893f25,high_ccs,What Carolina player was injured in the NFC Championship Game?,Thomas Davis,0.6391,False,False,0.5314633617184444,0.7787406652989123,3
minilm,fix01_b09d84893f25,low_ccs,What Carolina player was injured in the NFC Championship Game?,Thomas Davis,0.6383,False,False,0.5205224384641217,0.27986558378945153,3
minilm,fix01_869146d71c43,high_ccs,Which fullback fumbled the ball after a Darian Stewart tackle?,Mike Tolbert,0.4824,True,False,0.5402719744657175,0.7787406652989124,3
minilm,fix01_869146d71c43,low_ccs,Which fullback fumbled the ball after a Darian Stewart tackle?,Mike Tolbert,0.4032,True,True,0.541658973535876,0.2875498181075061,3
minilm,fix01_d9b85075e735,high_ccs,What was Warsaw's Old Town listed as in 1980?,a UNESCO World Heritage Site,0.6049,False,False,0.5434268952560714,0.6762778541454294,3
minilm,fix01_d9b85075e735,low_ccs,What was Warsaw's Old Town listed as in 1980?,a UNESCO World Heritage Site,0.699,False,True,0.5479163517995236,0.3026174446535712,3
minilm,fix01_12aab0896339,high_ccs,What was Luther's marriage seen as by others?,seal of approval,0.5635,False,False,0.585549328136359,0.613733164782763,3
minilm,fix01_12aab0896339,low_ccs,What was Luther's marriage seen as by others?,seal of approval,0.6434,False,False,0.5904718471138096,0.3122961061923412,3
minilm,fix01_e48a5c6b76ef,high_ccs,When was the most recent Super Bowl hosted in the South Florida/Miami area?,2010,0.626,False,False,0.4491741431374628,0.6491853824139715,3
minilm,fix01_e48a5c6b76ef,low_ccs,When was the most recent Super Bowl hosted in the South Florida/Miami area?,2010,0.6886,False,False,0.44464768120542714,0.09157719678422788,3
minilm,fix01_dcd54e006fd0,high_ccs,Who led the Broncos with 105 receptions?,Demaryius Thomas,0.7437,False,False,0.519991294117084,0.7452147678763812,3
minilm,fix01_dcd54e006fd0,low_ccs,Who led the Broncos with 105 receptions?,Demaryius Thomas,0.7673,False,True,0.5099507548179932,0.21023545193819881,3
minilm,fix01_faaec5abb8c2,high_ccs,Who did Newton get a pass to in the Panther starting plays of Super Bowl 50?,Ted Ginn Jr.,0.6478,False,True,0.6060180795504058,0.7724436737347193,3
minilm,fix01_faaec5abb8c2,low_ccs,Who did Newton get a pass to in the Panther starting plays of Super Bowl 50?,Ted Ginn Jr.,0.7236,False,True,0.6091853902891616,0.3020174706134238,3
minilm,fix01_0beeb82f2af9,high_ccs,What are teachers considered to be in Germany?,civil servants,0.7161,False,False,0.41077401198519264,0.6597056746502453,3
minilm,fix01_0beeb82f2af9,low_ccs,What are teachers considered to be in Germany?,civil servants,0.6685,False,False,0.41860942220521236,0.1660488479179993,3
minilm,fix01_f185492ace6d,high_ccs,How many yards did Brad Nortman's punt travel?,28,0.6741,False,False,0.4369414651444967,0.6759908704160216,3
minilm,fix01_f185492ace6d,low_ccs,How many yards did Brad Nortman's punt travel?,28,0.6741,False,False,0.4225970198782387,0.188038889982325,3
minilm,fix01_566a65b70dd4,high_ccs,What happened to most of Tesla's work from this time?,lost in the 5th Avenue laboratory fire of March 1895,0.6415,False,False,0.5368283255347986,0.713975882738123,3
minilm,fix01_566a65b70dd4,low_ccs,What happened to most of Tesla's work from this time?,lost in the 5th Avenue laboratory fire of March 1895,0.6836,False,False,0.538254878622633,0.32987661402729584,3
minilm,fix01_03506a3d1e70,high_ccs,In which year did Benjamin Lamme achieve success making the motor more efficient?,1893,0.8753,False,True,0.39630342459965967,0.666123655325176,3
minilm,fix01_03506a3d1e70,low_ccs,In which year did Benjamin Lamme achieve success making the motor more efficient?,1893,0.5844,False,True,0.3842916148644258,0.1994163590845679,3
minilm,fix01_d96492188b47,high_ccs,What is another type of accountant other than a CPA?,Chartered,0.7582,False,False,0.1992079336550571,0.7001452396509691,3
minilm,fix01_d96492188b47,low_ccs,What is another type of accountant other than a CPA?,Chartered,0.759,False,True,0.1821674348204055,-0.10579427972473354,3
minilm,fix01_2d8e393178e5,high_ccs,What was the name of the fund setup to help with investing in the community? ,50 fund,0.6681,False,False,0.2221809862811491,0.51107162793035,3
minilm,fix01_2d8e393178e5,low_ccs,What was the name of the fund setup to help with investing in the community? ,50 fund,0.8334,False,False,0.23419579317726114,-0.1917536888041313,3
minilm,fix01_5974aba807f1,high_ccs,How common was the form of corporal punishment in the past?,one of the most common,0.5366,False,False,0.32446684670470144,0.5858796935022663,3
minilm,fix01_5974aba807f1,low_ccs,How common was the form of corporal punishment in the past?,one of the most common,0.7083,False,False,0.32395172221215934,-0.11332781519810753,3
minilm,fix01_9113385099d5,high_ccs,How much time was left in the quarter when Stewart got the touchdown?,11:28,0.9765,False,False,0.4012095626517793,0.6655043767338664,3
minilm,fix01_9113385099d5,low_ccs,How much time was left in the quarter when Stewart got the touchdown?,11:28,0.6377,False,False,0.4036173752690709,0.23042362235908376,3
minilm,fix01_acd530fc0157,high_ccs,What was the passer rating for Peyton Manning that he finished out with for the season? ,67.9,0.6899,False,False,0.41427696408156306,0.7610807439942372,3
minilm,fix01_acd530fc0157,low_ccs,What was the passer rating for Peyton Manning that he finished out with for the season? ,67.9,0.7141,False,False,0.40271173558260553,0.25439401181361865,3
minilm,fix01_ace5eb793f41,high_ccs,Who had the best record in the NFC?,Carolina Panthers,0.6656,False,False,0.4514080158964078,0.745140723807427,3
minilm,fix01_ace5eb793f41,low_ccs,Who had the best record in the NFC?,Carolina Panthers,0.611,False,True,0.45295129071104845,0.16318418310650018,3
minilm,fix01_cf6c90d6c1ad,high_ccs,When did Tesla discover the possibility of wireless connectivity?,1893,0.6599,False,False,0.5752855649398702,0.6238414079329342,3
minilm,fix01_cf6c90d6c1ad,low_ccs,When did Tesla discover the possibility of wireless connectivity?,1893,0.532,False,False,0.5623043081904814,0.27507812257534536,3
minilm,fix01_df3657312a4a,high_ccs,What is the term for the highest living saint?,Qutb,0.392,True,False,0.272862140087989,0.6089607741693633,3
minilm,fix01_df3657312a4a,low_ccs,What is the term for the highest living saint?,Qutb,0.6481,False,False,0.27824407204758295,-0.0105359505605723,3
minilm,fix01_1e2349e4746e,high_ccs,What was the final score of the game between the Panthers and the Seahawks?,31–24,0.3461,True,False,0.6194043896776723,0.7753184636916751,3
minilm,fix01_1e2349e4746e,low_ccs,What was the final score of the game between the Panthers and the Seahawks?,31–24,0.4884,True,True,0.6046007303116396,0.2844792508620999,3
minilm,fix01_72925e9e3555,high_ccs,"What has the avoidance of men to become teachers caused, in some areas?",a shortage of male teachers,0.5585,False,False,0.4499027388050449,0.7323840657921709,3
minilm,fix01_72925e9e3555,low_ccs,"What has the avoidance of men to become teachers caused, in some areas?",a shortage of male teachers,0.5006,False,False,0.4556706242275899,0.21311027156701332,3
minilm,fix01_c8bf1482f934,high_ccs,On what day does the Super Bowl media day traditionally take place?,Tuesday,0.7394,False,False,0.44290464305068933,0.6241135439777096,3
minilm,fix01_c8bf1482f934,low_ccs,On what day does the Super Bowl media day traditionally take place?,Tuesday,0.7269,False,False,0.4437139080892443,0.12816806698545433,3
minilm,fix01_69cf7cbcf7f2,high_ccs,"Who may teachers focus on, in order to prioritize attention?",motivated students,0.6081,False,False,0.4259166817866797,0.7880205765531874,3
minilm,fix01_69cf7cbcf7f2,low_ccs,"Who may teachers focus on, in order to prioritize attention?",motivated students,0.6916,False,False,0.4254513780112808,0.19242274968203207,3
minilm,fix01_80929709a946,high_ccs,What was th elast Super Bowl where the Broncos wore white uniforms?,Super Bowl XXXIII,0.681,False,False,0.4562993896543038,0.6655009693188406,3
minilm,fix01_80929709a946,low_ccs,What was th elast Super Bowl where the Broncos wore white uniforms?,Super Bowl XXXIII,0.6719,False,False,0.4537067753235909,0.17487546978517643,3
minilm,fix01_11141cfc0187,high_ccs,What garden was formally only for royalty?,The Saxon Garden,0.5927,False,False,0.2858579923404944,0.5269984467785475,3
minilm,fix01_11141cfc0187,low_ccs,What garden was formally only for royalty?,The Saxon Garden,0.6146,False,False,0.29580452624597475,-0.1924183173613765,3
minilm,fix01_e99d9c4a997e,high_ccs,Who approved of this plan?,William H. Maxwell,0.478,True,False,0.16499836818881572,0.5409460511216998,3
minilm,fix01_e99d9c4a997e,low_ccs,Who approved of this plan?,William H. Maxwell,0.6649,False,False,0.17657350880083866,-0.14765936715900665,3
minilm,fix01_21fa65cff0ca,high_ccs,What was the Norman religion?,Catholicism,0.6201,False,False,0.467146630624437,0.5875814958031815,3
minilm,fix01_21fa65cff0ca,low_ccs,What was the Norman religion?,Catholicism,0.6913,False,True,0.47096678196420444,0.07854085319099421,3
minilm,fix01_d2684a0b07dc,high_ccs,On what yard line did Carolina begin with 4:51 left in the game?,24,0.4652,True,True,0.5339963085856624,0.7525206853145303,3
minilm,fix01_d2684a0b07dc,low_ccs,On what yard line did Carolina begin with 4:51 left in the game?,24,0.7202,False,False,0.5243825689437654,0.1495773960436499,3
minilm,fix01_222e3dd92f0e,high_ccs,Where was the 1893 World's Columbian Exposition held?,Chicago,0.785,False,False,0.1977340759304755,0.5699416371631387,3
minilm,fix01_222e3dd92f0e,low_ccs,Where was the 1893 World's Columbian Exposition held?,Chicago,0.4269,True,False,0.1990530177184334,-0.12339888345996719,3
minilm,fix01_85546a9c0d25,high_ccs,What other two famous performers were part of the Super Bowl 50 halftime?,Beyoncé and Bruno Mars,0.5563,False,False,0.4188734934412206,0.6479154718503748,3
minilm,fix01_85546a9c0d25,low_ccs,What other two famous performers were part of the Super Bowl 50 halftime?,Beyoncé and Bruno Mars,0.561,False,False,0.414330596396384,0.11190750371513572,3
minilm,fix01_aab32d16a29a,high_ccs,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,0.7562,False,False,0.4289910089543141,0.633565331345006,3
minilm,fix01_aab32d16a29a,low_ccs,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,0.7511,False,True,0.42451446852945535,0.2056614288813674,3
minilm,fix01_23361fb095fb,high_ccs,How many teams up to Super Bowl 50 have been to the championship game eight times?,four,0.7402,False,True,0.4846205158565781,0.6655009693188406,3
minilm,fix01_23361fb095fb,low_ccs,How many teams up to Super Bowl 50 have been to the championship game eight times?,four,0.5751,False,False,0.4833681783499501,0.14614059890292852,3
minilm,fix01_a011cca0893a,high_ccs,Where can you find more information on a country's practices?,see School corporal punishment.,0.7014,False,False,0.23168329875464067,0.6318223334822735,3
minilm,fix01_a011cca0893a,low_ccs,Where can you find more information on a country's practices?,see School corporal punishment.,0.7284,False,False,0.22336436238741356,-0.13555356874486174,3
minilm,fix01_625fe9f4e975,high_ccs,What did his design avoid in not having a commutator?,sparking,0.6013,False,False,0.3282165437589371,0.7600693863705241,3
minilm,fix01_625fe9f4e975,low_ccs,What did his design avoid in not having a commutator?,sparking,0.554,False,True,0.32792721313404627,0.2478873566371646,3
minilm,fix01_881739fc8698,high_ccs,Who received the ball that cam Newton lost during a tackle to make it a Denver touchdown?,Malik Jackson,0.563,False,True,0.4622532392041236,0.6603909794615487,3
minilm,fix01_881739fc8698,low_ccs,Who received the ball that cam Newton lost during a tackle to make it a Denver touchdown?,Malik Jackson,0.7386,False,False,0.4747355252463055,0.23443711604210465,3
minilm,fix01_30dd2770c34d,high_ccs,Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,0.7843,False,True,0.49020799513691765,0.745140723807427,3
minilm,fix01_30dd2770c34d,low_ccs,Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,0.7384,False,False,0.48951986462583247,0.17480431346436145,3
minilm,fix01_f07f4cf7948c,high_ccs,On what did Tesla blame for the loss of the initial money?,Panic of 1901,0.4754,True,False,0.5184060132808949,0.6988453068570303,3
minilm,fix01_f07f4cf7948c,low_ccs,On what did Tesla blame for the loss of the initial money?,Panic of 1901,0.4019,True,False,0.5097811492658982,0.24963733548550213,3
minilm,fix01_c1115ea1a49c,high_ccs,How was the fate of Luther decided?,private conferences,0.491,True,False,0.5911048448743047,0.6504342882502879,3
minilm,fix01_c1115ea1a49c,low_ccs,How was the fate of Luther decided?,private conferences,0.4215,True,False,0.5917109390994147,0.31248661513080733,3
minilm,fix01_a37cbec16316,high_ccs,What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,$5 million,0.6577,False,False,0.3989580560043035,0.6019681853596673,3
minilm,fix01_a37cbec16316,low_ccs,What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,$5 million,0.6577,False,False,0.3823420295451303,0.15768196787756036,3
minilm,fix01_9a572f3e7321,high_ccs,How many times did Arizona turn the ball over in the NFC Championship?,seven,0.4386,True,False,0.46469713000028934,0.7753184636916751,3
minilm,fix01_9a572f3e7321,low_ccs,How many times did Arizona turn the ball over in the NFC Championship?,seven,0.7045,False,True,0.46094123088646616,0.19664891919618058,3
minilm,fix01_c2fd1c4cf2aa,high_ccs,Who suffered a broken arm in the NFC Championship Game?,Thomas Davis,0.5531,False,False,0.4521304188679103,0.7787406652989124,3
minilm,fix01_c2fd1c4cf2aa,low_ccs,Who suffered a broken arm in the NFC Championship Game?,Thomas Davis,0.7597,False,False,0.4531351225390956,0.2179568051358763,3
minilm,fix01_a95b5ed635d9,high_ccs,What did Luther call his stay a Wartburg Castle?,my Patmos,0.4762,True,False,0.46374903866698675,0.6230265717513583,3
minilm,fix01_a95b5ed635d9,low_ccs,What did Luther call his stay a Wartburg Castle?,my Patmos,0.5458,False,False,0.467903548424981,0.30093245176116057,3
minilm,fix01_696f8c77560b,high_ccs,Where did Luther explain his idea of justification?,Smalcald Articles,0.8207,False,True,0.6656414317979114,0.6999864987001144,3
minilm,fix01_696f8c77560b,low_ccs,Where did Luther explain his idea of justification?,Smalcald Articles,0.6827,False,True,0.6703902541267919,0.41917440798561445,3
minilm,fix01_5c336aba1775,high_ccs,What effort was Luther not particularly in favor of?,writings in volumes,0.4894,True,False,0.5942028315327709,0.6324236701667542,3
minilm,fix01_5c336aba1775,low_ccs,What effort was Luther not particularly in favor of?,writings in volumes,0.3487,True,False,0.5873500066022467,0.33628574123030547,3
minilm,fix01_8bafcd3047cc,high_ccs,What did the Church do when Luther refused to retract his writings?,excommunication,0.6185,False,False,0.5971472007141506,0.6193962896002436,3
minilm,fix01_8bafcd3047cc,low_ccs,What did the Church do when Luther refused to retract his writings?,excommunication,0.5324,False,False,0.5886545315970712,0.2554006491092181,3
minilm,fix01_e2e9a5ea07b5,high_ccs,What was the rumored reason Edison and Tesla were not awarded the prize?,Tesla and/or Edison had refused the prize,0.4673,True,False,0.5435993945841898,0.6196608366906211,3
minilm,fix01_e2e9a5ea07b5,low_ccs,What was the rumored reason Edison and Tesla were not awarded the prize?,Tesla and/or Edison had refused the prize,0.6549,False,True,0.543940721476579,0.24636262175957552,3
minilm,fix01_d860a5ddf3a5,high_ccs,Why was he unable to enroll at the university? ,arrived too late,0.4794,True,False,0.2954076446901363,0.5980016242420736,3
minilm,fix01_d860a5ddf3a5,low_ccs,Why was he unable to enroll at the university? ,arrived too late,0.5686,False,False,0.2975408950978213,-0.11735309232259566,3
minilm,fix01_da87e24b47e6,high_ccs,Which company won a contest to have their ad shown for free during Super Bowl 50?,Death Wish Coffee,0.6967,False,False,0.4625859377421671,0.633565331345006,3
minilm,fix01_da87e24b47e6,low_ccs,Which company won a contest to have their ad shown for free during Super Bowl 50?,Death Wish Coffee,0.6946,False,True,0.4604106473281389,-0.03999441523649652,3
minilm,fix01_ad3f7665f9ce,high_ccs,In what city is the Nikola Tesla Museum?,Belgrade,0.7257,False,False,0.49648577703330116,0.6722386924284923,3
minilm,fix01_ad3f7665f9ce,low_ccs,In what city is the Nikola Tesla Museum?,Belgrade,0.7236,False,False,0.485077096750933,0.06464405902533851,3
minilm,fix01_ab51ba6881bf,high_ccs,What was another use for the weapon?,anti-aircraft purposes,0.7511,False,False,0.18722476439553012,0.7946914268888949,3
minilm,fix01_ab51ba6881bf,low_ccs,What was another use for the weapon?,anti-aircraft purposes,0.5802,False,False,0.19167493805884162,-0.23798572102525292,3
minilm,fix01_d80597aabed1,high_ccs,From which countries did the Norse originate?,"Denmark, Iceland and Norway",0.6831,False,True,0.3816448264395998,0.7112457277546835,3
minilm,fix01_d80597aabed1,low_ccs,From which countries did the Norse originate?,"Denmark, Iceland and Norway",0.6096,False,False,0.3982747708049373,0.08921431912806818,3
minilm,fix01_797cc4e3329a,high_ccs,How many sites did the NFL narrow down Super Bowl 50's location to?,three,0.6991,False,True,0.4572431814191458,0.6479154718503749,3
minilm,fix01_797cc4e3329a,low_ccs,How many sites did the NFL narrow down Super Bowl 50's location to?,three,0.6929,False,True,0.44503872854506055,0.13848436268103204,3
