question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,n_summaries_returned,n_leaves_returned,dataset,model
"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",The Tugurt language," The Berber languages, which include the Tumzabt and Teggargrent languages, are traditionally written with the ancient Libyco-Berber script.",raptor,0.697,False,0.466,True,-1.0,1,2,hotpotqa,mistral
Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,Q, I cannot find this information in the provided context. The context does not mention any fictional head of a British Secret Service division or a one-time missionary who served as an inspiration for such a character.,baseline,0.7123,False,0.4942,False,-1.0,0,0,hotpotqa,mistral
Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,Q, I cannot find this information in the provided context. The context does not provide any details about a fictional head of a British Secret Service division or a one-time missionary being an inspiration for such a character.,hcpc_v1,0.6874,False,0.4962,False,-1.0,0,0,hotpotqa,mistral
Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,Q, I cannot find this information in the provided context. The context does not mention any fictional head of a British Secret Service division or a one-time missionary serving as an inspiration for such a character.,hcpc_v2,0.7055,False,0.4878,True,0.3862,0,0,hotpotqa,mistral
Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,Q, I cannot find this information in the provided context. The context does not mention any fictional head of a British Secret Service division or any one-time missionary who served as an inspiration for such a character.,raptor,0.7158,False,0.4221,True,-1.0,1,2,hotpotqa,mistral
Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,2002, I cannot find the specific year when Philip Pullman's book set in a parallel universe featuring Lyra Belacqua was put into audio format in the provided context.,baseline,0.5569,False,0.6067,False,-1.0,0,0,hotpotqa,mistral
Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,2002," I cannot find this specific information about when Philip Pullman's ""Lyra's Oxford"" was put into audio format in the provided context.",hcpc_v1,0.6646,False,0.6508,False,-1.0,0,0,hotpotqa,mistral
Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,2002, I cannot find the specific year when Philip Pullman's book set in a parallel universe featuring Lyra Belacqua was put into audio format in the provided context.,hcpc_v2,0.5569,False,0.6067,False,0.6283,0,0,hotpotqa,mistral
Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,2002, I cannot find the specific year when Philip Pullman's book set in a parallel universe featuring Lyra Belacqua was put into audio format in the provided context.,raptor,0.5569,False,0.4704,True,-1.0,1,2,hotpotqa,mistral
Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,Oliver Parker," I cannot find this information in the provided context as it only mentions the directors for the first and original Johnny English film, not the second one.",baseline,0.5051,False,0.6703,False,-1.0,0,0,hotpotqa,mistral
Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,Oliver Parker, I cannot find this information in the provided context. The context does not mention who directed the second film in the Johnny English series.,hcpc_v1,0.7217,False,0.7085,False,-1.0,0,0,hotpotqa,mistral
Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,Oliver Parker," I cannot find this information in the provided context as it only discusses the first and original Johnny English film, and does not mention any directors for the subsequent films.",hcpc_v2,0.2496,True,0.6703,False,0.3739,0,0,hotpotqa,mistral
Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,Oliver Parker," I cannot find this information in the provided context as it does not mention any second film in a British series of action comedy films that are parodies of the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character. The context only mentions ""Johnny English"" which is the first installment of such a series.",raptor,0.5164,False,0.5479,True,-1.0,1,2,hotpotqa,mistral
George Gershwin is an American Composer and Judith Weir is a composer from which country?,a British composer, I cannot find information about Judith Weir in the provided context.,baseline,0.564,False,0.6711,False,-1.0,0,0,hotpotqa,mistral
George Gershwin is an American Composer and Judith Weir is a composer from which country?,a British composer, I cannot find information about Judith Weir in the provided context.,hcpc_v1,0.564,False,0.7026,False,-1.0,0,0,hotpotqa,mistral
George Gershwin is an American Composer and Judith Weir is a composer from which country?,a British composer, I cannot find information about Judith Weir in the provided context.,hcpc_v2,0.564,False,0.6711,True,0.6105,0,0,hotpotqa,mistral
