model,dataset,chunk_size,condition,question,answer,ground_truth,faithfulness_score,is_hallucination,latency_s
llama3,squad,512,baseline,What stadium did Super Bowl 50 take place in?,"According to the provided context, Super Bowl 50 took place in Levi's Stadium.",Levi's Stadium,0.8759,False,3.01
llama3,squad,512,baseline,What was the final score of Super Bowl 50? ,The Broncos defeated the Carolina Panthers 24–10 to earn their third Super Bowl title.,24–10,0.8929,False,3.02
llama3,squad,512,baseline,"What month, day and year did Super Bowl 50 take place? ","According to the provided context, Super Bowl 50 took place on February 7, 2016.","February 7, 2016",0.867,False,2.52
llama3,squad,512,baseline,What year was Super Bowl 50?,"According to the provided context, Super Bowl 50 was played on February 7, 2016.",2015,0.7844,False,1.86
llama3,squad,512,baseline,What team was the AFC champion?,The Denver Broncos were the AFC champion.,Denver Broncos,0.6101,False,2.32
llama3,squad,512,baseline,What team was the NFC champion?,The Panthers were the NFC champions.,Carolina Panthers,0.7372,False,1.99
llama3,squad,512,baseline,Who won Super Bowl 50?,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,1.88
llama3,squad,512,baseline,Super Bowl 50 determined the NFL champion for what season?,The answer is: the 2015 season.,2015,0.7723,False,1.71
llama3,squad,512,baseline,Which team won Super Bowl 50.,The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,1.76
llama3,squad,512,baseline,Where was Super Bowl 50 held?,"According to the provided context, Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.","Santa Clara, California.",0.9858,False,2.8
llama3,squad,512,baseline,The name of the NFL championship game is?,Super Bowl 50.,Super Bowl,0.6293,False,1.94
llama3,squad,512,baseline,What 2015 NFL team one the AFC playoff?,"According to the provided context, the Denver Broncos won the AFC Championship Game by defeating the New England Patriots 20–18. Therefore, the answer is:

The Denver Broncos",Denver Broncos,0.8243,False,2.63
llama3,squad,512,baseline,Which Carolina Panthers player was named Most Valuable Player?,I cannot find this information in the provided context.,Cam Newton,0.5531,False,2.67
llama3,squad,512,baseline,How many appearances have the Denver Broncos made in the Super Bowl?,"According to the provided context, the answer is:

They joined the Patriots, Dallas Cowboys, and Pittsburgh Steelers as one of four teams that have made eight appearances in the Super Bowl.

So, the Denver Broncos have made 8 appearances in the Super Bowl.",8,0.5848,False,3.79
llama3,squad,512,baseline,What year was the Carolina Panthers franchise founded?,I cannot find this information in the provided context.,1995,0.5531,False,2.81
llama3,squad,512,baseline,What team did the Panthers defeat?,The Panthers defeated the Seattle Seahawks and the Arizona Cardinals.,Arizona Cardinals,0.8018,False,2.37
llama3,squad,512,baseline,Who did the Broncos prevent from going to the Super Bowl?,The answer is: The New England Patriots.,New England Patriots,0.808,False,2.61
llama3,squad,512,baseline,Who did the Panthers beat in the NFC Championship Game?,"The Panthers beat the Arizona Cardinals in the NFC Championship Game, 49–15.",Arizona Cardinals,0.9561,False,2.88
llama3,squad,512,baseline,Who lost to the Broncos in the AFC Championship?,"According to the provided context, the New England Patriots lost to the Broncos in the AFC Championship.",New England Patriots,0.9266,False,3.05
llama3,squad,512,baseline,Who were the defending Super Bowl champions?,The New England Patriots were the defending Super Bowl champions from Super Bowl XLIX.,New England Patriots,0.6558,False,2.53
llama3,squad,512,baseline,How many teams have been in the Super Bowl eight times?,"According to the provided context, four teams have made eight appearances in the Super Bowl:

1. Patriots
2. Dallas Cowboys
3. Pittsburgh Steelers
4. Denver Broncos",four,0.6355,False,2.47
llama3,squad,512,baseline,Who was this season's NFL MVP?,"According to the provided context, Cam Newton, the quarterback of the Panthers, was named the NFL Most Valuable Player (MVP).",Cam Newton,0.9367,False,3.52
llama3,squad,512,baseline,What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,"According to the provided context, the Carolina Panthers had a regular season record of 15-1. Therefore, their win-loss ratio during their regular season was 15 wins and 1 loss.",15–1,0.4973,True,3.94
llama3,squad,512,baseline,Which Carolina Panthers team member was picked as the team's MVP in 2015? ,I cannot find this information in the provided context.,Cam Newton,0.5531,False,2.71
llama3,squad,512,baseline,What were the win/loss game stats for the Denver Bronco's regular season in 2015?,The answer is: 12-4.,12–4,0.5684,False,2.53
llama3,squad,512,baseline,How many teams have played in the Super Bowl eight times?,"According to the provided context, four teams have made eight appearances in the Super Bowl:

1. Patriots
2. Dallas Cowboys
3. Pittsburgh Steelers
4. Denver Broncos",4,0.6355,False,2.62
llama3,squad,512,baseline,Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,The answer is: The New England Patriots.,New England Patriots,0.808,False,2.63
llama3,squad,512,baseline,Who is the quarterback for the Panthers?,I cannot find this information in the provided context.,Cam Newton,0.5531,False,2.59
llama3,squad,512,baseline,Who did Carolina beat in the NFC championship game?,"According to the provided context, Carolina beat the Arizona Cardinals in the NFC Championship Game, winning 49–15.",Arizona Cardinals,0.9521,False,2.92
llama3,squad,512,baseline,How many times have the Panthers been in the Super Bowl?,"According to the provided context, the answer is: This information is not mentioned in the context.",2,0.4566,True,2.5
llama3,squad,512,baseline,Who did Denver beat in the AFC championship?,"According to the provided context, the Broncos beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18.",New England Patriots,0.9423,False,3.64
llama3,squad,512,baseline,Who was the Most Valuable Player for the 2015 NFL season?,"According to the provided context, quarterback Cam Newton was named the NFL Most Valuable Player (MVP) for the Panthers.",Cam Newton,0.8694,False,3.44
llama3,squad,512,baseline,Who did Denver beat in the 2015 AFC Championship game?,"According to the provided context, Denver beat the New England Patriots in the 2015 AFC Championship game.",New England Patriots,0.9783,False,3.25
llama3,squad,512,baseline,Who did the Carolina Panthers beat in the 2015 NFC Championship game?,"The Carolina Panthers beat the Arizona Cardinals in the 2015 NFC Championship game, winning 49-15.",Arizona Cardinals,0.7095,False,3.01
llama3,squad,512,baseline,Who was the 2015 NFL MVP?,"According to the provided context, Cam Newton was named the NFL Most Valuable Player (MVP).",Cam Newton,0.9245,False,3.21
llama3,squad,512,baseline,Who did the Panthers beat to become the NFC champs?,"The Panthers beat the Arizona Cardinals to become the NFC champions, winning 49-15.",Arizona Cardinals,0.7791,False,3.06
llama3,squad,512,baseline,What year did the Carolina Panthers form?,I cannot find this information in the provided context.,1995.,0.5531,False,2.48
llama3,squad,512,baseline,Who was the Super Bowl 50 MVP?,"According to the provided context, Von Miller, a Denver linebacker, was named Super Bowl MVP.",Von Miller,0.7779,False,2.97
llama3,squad,512,baseline,How many fumbles did Von Miller force in Super Bowl 50?,"According to the provided context, Von Miller forced two fumbles in Super Bowl 50.",2,0.8797,False,3.08
llama3,squad,512,baseline,Which team held the scoring lead throughout the entire game?,"According to the provided context, Denver held the scoring lead throughout the entire game, with a 13-7 lead at one point.",Broncos,0.4738,True,2.8
llama3,squad,512,baseline,Which Denver linebacker was named Super Bowl MVP?,Von Miller.,linebacker Von Miller,1.0,False,2.37
llama3,squad,512,baseline,How many solo tackles did Von Miller make at Super Bowl 50?,"According to the provided context, Von Miller was named Super Bowl MVP and recorded ""five solo tackles"" during Super Bowl 50.",five solo tackles,0.7583,False,3.28
llama3,squad,512,baseline,Who was limited by Denver's defense?,I cannot find this information in the provided context.,Newton was limited by Denver's defense,0.5531,False,2.76
llama3,squad,512,baseline,How many times was Cam Newton sacked?,"According to the provided context, Cam Newton was sacked once by DeMarcus Ware as time expired in the half.",seven,0.8601,False,2.49
llama3,squad,512,baseline,Who won the Super Bowl MVP?,"According to the provided context, Von Miller, a Denver linebacker, was named Super Bowl MVP.",Von Miller,0.7779,False,3.22
llama3,squad,512,baseline,How many turnovers did Cam Newton have?,"According to the provided context, Cam Newton had 1 interception.",three,0.6159,False,2.61
llama3,squad,512,baseline,How many fumbles did Von Miller force?,"According to the provided context, Von Miller forced one fumble, which he knocked out of Newton's hands while sacking him.",two,0.8225,False,3.18
llama3,squad,512,baseline,Who was given the esteemed status of MVP for Super Bowl 50?,"According to the provided context, Von Miller, a Denver linebacker, was named Super Bowl MVP.",Von Miller,0.7779,False,3.35
llama3,squad,512,baseline,What position does Von Miller play for the Denver Broncos?,"According to the provided context, Von Miller plays the position of Pro Bowl linebacker.",linebacker,0.5808,False,2.74
llama3,squad,512,baseline,What was the number of solo tackles that Von Miller had in Super Bowl 50?,"According to the provided context, Von Miller recorded ""five solo tackles"" in Super Bowl 50.",5,0.8571,False,3.14
llama3,squad,512,baseline,How many forced fumbles did Von Miller have during the Super Bowl 50 game?,"According to the provided context, Von Miller had 2 forced fumbles during the Super Bowl 50 game.",2,0.6802,False,3.3
llama3,squad,512,baseline,Who won the MVP for the Super Bowl?,"According to the provided context, Von Miller, a Denver linebacker, was named Super Bowl MVP.",Von Miller,0.7779,False,3.15
llama3,squad,512,baseline,How many tackles did Von Miller get during the game?,I cannot find this information in the provided context.,5,0.5531,False,2.69
llama3,squad,512,baseline,How many times was Cam Newton sacked in Super Bowl 50?,"According to the provided context, it is mentioned that ""Newton was sacked by DeMarcus Ware as time expired in the half"" and later it is stated that ""Denver's defense, which sacked him seven times..."". Therefore, Cam Newton was sacked a total of 7 + 1 = 8 times in Super Bowl 50.",seven,0.5197,False,4.8
llama3,squad,512,baseline,How many times did the Denver defense force Newton into turnovers?,"According to the provided context, the Denver defense forced Newton into three turnovers, including a fumble which they recovered for a touchdown.",three,0.8076,False,3.3
llama3,squad,512,baseline,Which Newton turnover resulted in seven points for Denver?,"According to the provided context, the answer is:

A fumble which they recovered for a touchdown.",a fumble,0.9042,False,3.03
llama3,squad,512,baseline,Who was the Most Valuable Player of Super Bowl 50?,"According to the provided context, Cam Newton, the quarterback of the Panthers, was named the NFL Most Valuable Player (MVP) for the regular season. However, it does not specify who won MVP honors for Super Bowl 50 itself. Therefore, I cannot find this information in the provided context.",Von Miller,0.742,False,5.27
llama3,squad,512,baseline,What position does Von Miller play?,I cannot find this information in the provided context.,linebacker,0.5531,False,2.41
llama3,squad,512,baseline,How many times was the Panthers' quarterback sacked?,"I cannot find this information in the provided context. The context only mentions sacks by defensive players, but does not mention the number of times the Panthers' quarterback was sacked.",seven,0.4717,True,3.05
llama3,squad,512,baseline,How many times did the Broncos cause turnovers in the game?,"According to the provided context, the Broncos caused three turnovers in the game, including a fumble which they recovered for a touchdown.",three,0.6131,False,3.33
llama3,squad,512,baseline,What Denver player caused two fumbles for the Panthers?,I cannot find this information in the provided context.,Von Miller,0.5531,False,2.79
llama3,squad,512,baseline,How many tackles did Von Miller accomlish by himself in the game?,I cannot find this information in the provided context.,five,0.5531,False,2.76
llama3,squad,512,baseline,Which network broadcasted Super Bowl 50 in the U.S.?,"According to the provided context, CBS broadcasted Super Bowl 50 in the U.S.",CBS,0.8184,False,2.73
llama3,squad,512,baseline,What was the average cost for a 30 second commercial during Super Bowl 50?,"According to the provided context, the average cost for a 30-second commercial during Super Bowl 50 was $5 million.",$5 million,0.5781,False,2.24
llama3,squad,512,baseline,Which group headlined the Super Bowl 50 halftime show?,"According to the provided context, the British rock group Coldplay headlined the Super Bowl 50 halftime show.",Coldplay,0.9357,False,2.25
llama3,squad,512,baseline,Which performers joined the headliner during the Super Bowl 50 halftime show?,"According to the provided context, Beyoncé and Bruno Mars were the special guest performers who joined the headliner, Coldplay, during the Super Bowl 50 halftime show.",Beyoncé and Bruno Mars,0.8552,False,3.4
llama3,squad,512,baseline,At which Super Bowl did Beyonce headline the halftime show?,"According to the provided context, Beyoncé headlined the Super Bowl XLVII halftime show.",Super Bowl XLVII,0.8934,False,2.81
llama3,squad,512,baseline,Who was the broadcaster for Super Bowl 50 in the United States?,"According to the provided context, CBS broadcast Super Bowl 50 in the U.S.",CBS,0.8442,False,3.25
llama3,squad,512,baseline,What was the average cost of a 30-second commercial?,"According to the provided context, the average cost of a 30-second commercial during Super Bowl 50 was $5 million.",$5 million,0.5964,False,3.03
llama3,squad,512,baseline,What halftime performer previously headlined Super Bowl XLVII?,"According to the provided context, Bruno Mars headlined the Super Bowl XLVIII halftime show.",Beyoncé,0.8901,False,2.74
llama3,squad,512,baseline,What halftime performer previously headlined Super Bowl XLVIII?,"According to the provided context, Bruno Mars previously headlined Super Bowl XLVII and Super Bowl XLVIII halftime shows.",Bruno Mars,0.6708,False,1.43
llama3,squad,512,baseline,Who was the main performer at this year's halftime show?,"According to the provided context, the main performers at the Super Bowl 50 halftime show were Coldplay, Beyoncé, and Bruno Mars.",Coldplay,0.8923,False,3.12
llama3,squad,512,baseline,Which network broadcasted the 50th Super Bowl game? ,"According to the provided context, CBS broadcasted the 50th Super Bowl game.",CBS,0.884,False,3.09
llama3,squad,512,baseline,What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,"According to the provided context, CBS charged an average of $5 million for a 30-second commercial during Super Bowl 50.",$5 million,0.6273,False,2.99
llama3,squad,512,baseline,Who was the male singer who performed as a special guest during Super Bowl 50?,"According to the provided context, Bruno Mars was one of the special guest performers during the Super Bowl 50 halftime show, along with Beyoncé and Coldplay.",Bruno Mars,0.7564,False,3.73
llama3,squad,512,baseline,What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?,"According to the provided context, the Super Bowl 50 halftime show was the third-most watched U.S. broadcast ever.",third,0.808,False,3.51
llama3,squad,512,baseline,What station aired the Super Bowl?,"According to the provided context, CBS aired the Super Bowl.",CBS,0.8379,False,2.67
llama3,squad,512,baseline,How much money did a 1/2 minute commercial cost?,"I cannot find this information in the provided context. The context only mentions the price of a 30-second commercial, not a 1/2 minute commercial.",$5 million,0.4899,True,3.21
llama3,squad,512,baseline,What band headlined half-time during Super Bowl 50?,"According to the provided context, the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars headlined the Super Bowl 50 halftime show.",Coldplay,0.9749,False,3.5
llama3,squad,512,baseline,What two artists came out with Coldplay during the half-time show?,"According to the provided context, Beyoncé and Bruno Mars were the special guest performers who came out with Coldplay during the halftime show.",Beyoncé and Bruno Mars,0.9129,False,3.16
llama3,squad,512,baseline,Who broadcast the Super Bowl on TV?,"According to the provided context, CBS broadcast the Super Bowl (specifically Super Bowl 50) in the U.S.",CBS,0.6263,False,3.44
llama3,squad,512,baseline,Who headlined the halftime show for Super Bowl 50?,"According to the provided context, Bruno Mars, who headlined the Super Bowl XLVIII halftime show, and Mark Ronson also performed. However, it was not Bruno Mars who headlined the Super Bowl 50 halftime show. The correct answer is that the British rock group Coldplay headlined the Super Bowl 50 halftime show with special guest performers Beyoncé and Bruno Mars.",Coldplay,0.7204,False,5.46
