model,dataset,chunk_size,condition,question,answer,ground_truth,faithfulness_score,is_hallucination,latency_s
mistral,squad,1024,baseline,Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,4.16
mistral,squad,1024,baseline,What venue did Super Bowl 50 take place in?," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",Levi's Stadium,0.6918,False,4.61
mistral,squad,1024,baseline,What city did Super Bowl 50 take place in?," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",Santa Clara,0.9421,False,4.89
mistral,squad,1024,baseline,"If Roman numerals were used, what would Super Bowl 50 have been called?"," Super Bowl 50 would have been called Super Bowl L if Roman numerals were used, according to the standard practice established at Super Bowl V.",Super Bowl L,0.5532,False,5.49
mistral,squad,1024,baseline,Super Bowl 50 decided the NFL champion for what season?, The Super Bowl 50 decided the NFL champion for the 2015 season.,2015,0.6644,False,4.48
mistral,squad,1024,baseline,What year did the Denver Broncos secure a Super Bowl title for the third time?," The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it implies that the event happened after their AFC Championship Game victory in 2015 (Super Bowl 50) and before their second Super Bowl appearance in 1995. Therefore, to find the specific year, one would need additional context or information about the timeline of events for the Denver Broncos.",2015,0.7221,False,8.03
mistral,squad,1024,baseline,What city did Super Bowl 50 take place in?," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",Santa Clara,0.9421,False,5.06
mistral,squad,1024,baseline,What stadium did Super Bowl 50 take place in?, Levi's Stadium,Levi's Stadium,0.5799,False,0.56
mistral,squad,1024,baseline,What was the final score of Super Bowl 50? ," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",24–10,0.8695,False,4.29
mistral,squad,1024,baseline,"What month, day and year did Super Bowl 50 take place? "," The Super Bowl 50 took place on February 7, 2016.","February 7, 2016",0.945,False,2.95
mistral,squad,1024,baseline,What year was Super Bowl 50?, The Super Bowl 50 was played in the year 2016.,2015,0.7056,False,2.41
mistral,squad,1024,baseline,What team was the AFC champion?, The Denver Broncos were the AFC champion.,Denver Broncos,0.6101,False,3.65
mistral,squad,1024,baseline,What team was the NFC champion?, The NFC champion was the Carolina Panthers.,Carolina Panthers,0.806,False,4.03
mistral,squad,1024,baseline,Who won Super Bowl 50?, The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,4.05
mistral,squad,1024,baseline,Super Bowl 50 determined the NFL champion for what season?, The Super Bowl 50 determined the NFL champion for the 2015 season.,2015,0.6757,False,2.94
mistral,squad,1024,baseline,Which team won Super Bowl 50., The Denver Broncos won Super Bowl 50.,Denver Broncos,0.9247,False,1.72
mistral,squad,1024,baseline,Where was Super Bowl 50 held?," The Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.","Santa Clara, California.",0.9471,False,3.53
mistral,squad,1024,baseline,The name of the NFL championship game is?, Super Bowl 50,Super Bowl,0.6293,False,2.22
mistral,squad,1024,baseline,What 2015 NFL team one the AFC playoff?, The Denver Broncos,Denver Broncos,0.6985,False,3.42
mistral,squad,1024,baseline,Which Carolina Panthers player was named Most Valuable Player?, I cannot find this information in the provided context. The context does not mention any MVP award for the Carolina Panthers or any individual player.,Cam Newton,0.7602,False,6.19
mistral,squad,1024,baseline,How many appearances have the Denver Broncos made in the Super Bowl?, The Denver Broncos have made four appearances in the Super Bowl.,8,0.6296,False,3.91
mistral,squad,1024,baseline,What year was the Carolina Panthers franchise founded?, I cannot find this information in the provided context. The context does not mention the year the Carolina Panthers franchise was founded.,1995,0.6861,False,5.03
mistral,squad,1024,baseline,What team did the Panthers defeat?," The provided context does not mention any specific team that the Panthers defeated in the second half of a game after their victory over the Seattle Seahawks and Arizona Cardinals in the playoffs. However, it is known from the earlier part of the context that they defeated the Seattle Seahawks and Arizona Cardinals. The question about the second half game does not have enough information to determine the opponent's team.",Arizona Cardinals,0.6988,False,9.62
mistral,squad,1024,baseline,Who did the Broncos prevent from going to the Super Bowl?," The provided context does not specify who the Broncos prevented from going to the Super Bowl. However, it is implied that they defeated the New England Patriots in the AFC Championship Game, which means they prevented them from reaching the Super Bowl.",New England Patriots,0.8574,False,5.0
mistral,squad,1024,baseline,Who did the Panthers beat in the NFC Championship Game?, The Carolina Panthers beat the Arizona Cardinals in the NFC Championship Game.,Arizona Cardinals,0.9783,False,4.93
mistral,squad,1024,baseline,Who lost to the Broncos in the AFC Championship?, The New England Patriots lost to the Broncos in the AFC Championship.,New England Patriots,0.7878,False,3.08
mistral,squad,1024,baseline,Who were the defending Super Bowl champions?," The New England Patriots were the defending Super Bowl champions as they won Super Bowl XLIX in the previous season (2014-2015 season). However, they were defeated by the Denver Broncos in the AFC Championship Game of the 2015-2016 season, thus not defending their title in Super Bowl 50.",New England Patriots,0.5315,False,7.94
mistral,squad,1024,baseline,How many teams have been in the Super Bowl eight times?," Four teams have been in the Super Bowl eight times, according to the provided context. These are the Denver Broncos, New England Patriots, Dallas Cowboys, and Pittsburgh Steelers.",four,0.7543,False,6.77
mistral,squad,1024,baseline,Who was this season's NFL MVP?, Cam Newton,Cam Newton,1.0,False,5.0
mistral,squad,1024,baseline,What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?, The Carolina Panthers had a win/loss ratio of 15-1 during their regular season in 2015.,15–1,0.5198,False,7.0
mistral,squad,1024,baseline,Which Carolina Panthers team member was picked as the team's MVP in 2015? , The context does not provide information about who was named the Carolina Panthers' MVP in 2015.,Cam Newton,0.7831,False,5.72
mistral,squad,1024,baseline,What were the win/loss game stats for the Denver Bronco's regular season in 2015?, The Denver Broncos finished the regular season with a 12–4 record in 2015.,12–4,0.6887,False,4.65
mistral,squad,1024,baseline,How many teams have played in the Super Bowl eight times?," Four teams have played in the Super Bowl eight times, according to the provided context. These are the Denver Broncos, New England Patriots, Dallas Cowboys, and Pittsburgh Steelers.",4,0.7548,False,6.02
mistral,squad,1024,baseline,Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?, The New England Patriots did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50.,New England Patriots,0.5369,False,5.23
mistral,squad,1024,baseline,Who is the quarterback for the Panthers?, Cam Newton,Cam Newton,1.0,False,4.67
mistral,squad,1024,baseline,Who did Carolina beat in the NFC championship game?, The Carolina Panthers beat the Arizona Cardinals in the NFC Championship Game.,Arizona Cardinals,0.9783,False,5.09
mistral,squad,1024,baseline,How many times have the Panthers been in the Super Bowl?," The Carolina Panthers have been in the Super Bowl twice, according to the provided context. Their first appearance was in Super Bowl XXXVIII and their second appearance was in Super Bowl 50.",2,0.4617,True,6.24
mistral,squad,1024,baseline,Who did Denver beat in the AFC championship?, The Denver Broncos beat the New England Patriots in the AFC Championship Game.,New England Patriots,0.9658,False,4.17
mistral,squad,1024,baseline,Who was the Most Valuable Player for the 2015 NFL season?," The Most Valuable Player for the 2015 NFL season, according to the provided context, was Cam Newton from the Panthers.",Cam Newton,0.8421,False,6.96
mistral,squad,1024,baseline,Who did Denver beat in the 2015 AFC Championship game?, The New England Patriots,New England Patriots,0.7667,False,3.43
mistral,squad,1024,baseline,Who did the Carolina Panthers beat in the 2015 NFC Championship game?, The Carolina Panthers beat the Arizona Cardinals in the 2015 NFC Championship game.,Arizona Cardinals,0.97,False,4.98
mistral,squad,1024,baseline,Who was the 2015 NFL MVP?, Cam Newton,Cam Newton,1.0,False,4.77
mistral,squad,1024,baseline,Who did the Panthers beat to become the NFC champs?, The Carolina Panthers beat the Arizona Cardinals to become the NFC champs.,Arizona Cardinals,0.9446,False,4.46
mistral,squad,1024,baseline,What year did the Carolina Panthers form?, I cannot find this information in the provided context. The context does not mention the year when the Carolina Panthers were formed.,1995.,0.679,False,4.98
mistral,squad,1024,baseline,Who was the Super Bowl 50 MVP?, Denver linebacker Von Miller,Von Miller,0.6219,False,3.64
mistral,squad,1024,baseline,How many fumbles did Von Miller force in Super Bowl 50?, Von Miller forced 2 fumbles in Super Bowl 50.,2,0.6629,False,4.68
mistral,squad,1024,baseline,Which team held the scoring lead throughout the entire game?, The Denver Broncos held the scoring lead throughout the entire game mentioned in the context.,Broncos,0.9702,False,5.09
mistral,squad,1024,baseline,Which Denver linebacker was named Super Bowl MVP?, Von Miller,linebacker Von Miller,1.0,False,3.94
mistral,squad,1024,baseline,How many solo tackles did Von Miller make at Super Bowl 50?," The provided context does not specify the number of solo tackles that Von Miller made at Super Bowl 50. However, it is mentioned that he recorded five solo tackles during the game, but this information is not specific to Super Bowl 50.",five solo tackles,0.5013,False,3.54
mistral,squad,1024,baseline,Who was limited by Denver's defense?," Carolina's offense was limited by Denver's defense, as evidenced by the fact that they faced a deficit for the first time in the entire postseason after Denver's strong opening drive.",Newton was limited by Denver's defense,0.4229,True,5.75
mistral,squad,1024,baseline,How many times was Cam Newton sacked?," The context mentions two instances where Cam Newton was sacked: once by Von Miller which resulted in a touchdown, and another time by DeMarcus Ware as time expired in the first half. So, Cam Newton was sacked twice according to the provided context.",seven,0.7544,False,7.98
mistral,squad,1024,baseline,Who won the Super Bowl MVP?, Denver linebacker Von Miller was named Super Bowl MVP.,Von Miller,0.7368,False,4.13
mistral,squad,1024,baseline,How many turnovers did Cam Newton have?, I cannot find this information in the provided context regarding how many turnovers Cam Newton had during the Super Bowl game.,three,0.5295,False,6.39
mistral,squad,1024,baseline,How many fumbles did Von Miller force?," The context does not provide information about how many fumbles Von Miller forced in total, only that he forced one fumble which was recovered for a touchdown during Super Bowl 50.",two,0.5202,False,3.52
mistral,squad,1024,baseline,Who was given the esteemed status of MVP for Super Bowl 50?, Denver linebacker Von Miller was named Super Bowl MVP.,Von Miller,0.7368,False,4.61
mistral,squad,1024,baseline,What position does Von Miller play for the Denver Broncos?, Von Miller plays as a linebacker for the Denver Broncos.,linebacker,0.6797,False,5.67
mistral,squad,1024,baseline,What was the number of solo tackles that Von Miller had in Super Bowl 50?, The provided context states that Von Miller recorded five solo tackles in Super Bowl 50.,5,0.9834,False,4.72
mistral,squad,1024,baseline,How many forced fumbles did Von Miller have during the Super Bowl 50 game?, Von Miller forced three fumbles during Super Bowl 50.,2,0.6931,False,3.94
mistral,squad,1024,baseline,Who won the MVP for the Super Bowl?, Denver linebacker Von Miller was named Super Bowl MVP.,Von Miller,0.7368,False,3.77
mistral,squad,1024,baseline,How many tackles did Von Miller get during the game?, I cannot find this information in the provided context. The context does not mention the number of tackles made by Von Miller during the game.,5,0.5552,False,5.99
mistral,squad,1024,baseline,How many times was Cam Newton sacked in Super Bowl 50?, Seven times,seven,0.8119,False,4.26
mistral,squad,1024,baseline,How many times did the Denver defense force Newton into turnovers?, The Denver defense forced Newton into three turnovers as stated in the context.,three,0.9695,False,4.89
mistral,squad,1024,baseline,Which Newton turnover resulted in seven points for Denver?," The Newton turnover resulting in seven points for Denver was the interception by safety T. J. Ward, which occurred during Carolina's second offensive play of the second half. This interception led to a field goal by McManus, making the score 13–7 in favor of the Broncos.",a fumble,0.7293,False,7.53
mistral,squad,1024,baseline,Who was the Most Valuable Player of Super Bowl 50?, I cannot find this information in the provided context. The context does not specify who the MVP of Super Bowl 50 is.,Von Miller,0.7065,False,4.6
mistral,squad,1024,baseline,What position does Von Miller play?," I cannot find this information in the provided context regarding Von Miller's position. The context only mentions positions for players from Carolina and Denver, but not for Von Miller.",linebacker,0.5924,False,4.49
mistral,squad,1024,baseline,How many times was the Panthers' quarterback sacked?," The Panthers' quarterback Cam Newton was sacked twice in the provided context. Once by DeMarcus Ware as time expired in the first half, and another time by Von Miller during the second half, which resulted in a touchdown for the Broncos.",seven,0.6573,False,7.58
mistral,squad,1024,baseline,How many times did the Broncos cause turnovers in the game?," The provided context does not specify the exact number of turnovers caused by the Broncos in Super Bowl 50, only that Newton had three turnovers (two interceptions and a fumble). However, it is mentioned that they recovered one of those fumbles for a touchdown. So, at least one turnover was caused by the Broncos' defense in Super Bowl 50.",three,0.5946,False,6.81
mistral,squad,1024,baseline,What Denver player caused two fumbles for the Panthers?," Danny Trevathan and Von Miller both caused a fumble for the Panthers in the provided context. However, only Von Miller knocked the ball out during a sack that resulted in a touchdown.",Von Miller,0.7731,False,6.78
mistral,squad,1024,baseline,How many tackles did Von Miller accomlish by himself in the game?, I cannot find this information in the provided context. The context does not specify how many tackles Von Miller accomplished during the game.,five,0.6681,False,6.21
mistral,squad,1024,baseline,Which network broadcasted Super Bowl 50 in the U.S.?, CBS,CBS,1.0,False,4.1
mistral,squad,1024,baseline,What was the average cost for a 30 second commercial during Super Bowl 50?, The average cost for a 30-second commercial during Super Bowl 50 was $5 million.,$5 million,0.6206,False,4.76
mistral,squad,1024,baseline,Which group headlined the Super Bowl 50 halftime show?, The British rock group Coldplay headlined the Super Bowl 50 halftime show.,Coldplay,0.9676,False,3.97
mistral,squad,1024,baseline,Which performers joined the headliner during the Super Bowl 50 halftime show?, Beyoncé and Bruno Mars joined Coldplay during the Super Bowl 50 halftime show.,Beyoncé and Bruno Mars,0.9434,False,2.54
mistral,squad,1024,baseline,At which Super Bowl did Beyonce headline the halftime show?," Super Bowl XLVII (which occurred in 2013, according to another piece of information not provided in the context but easily deduced from the fact that it was held in 2015 and she made an appearance at Super Bowl 50 in 2016)",Super Bowl XLVII,0.5536,False,6.2
mistral,squad,1024,baseline,Who was the broadcaster for Super Bowl 50 in the United States?, The broadcaster for Super Bowl 50 in the United States was CBS.,CBS,0.8206,False,4.36
mistral,squad,1024,baseline,What was the average cost of a 30-second commercial?, The average cost of a 30-second commercial during Super Bowl 50 was $5 million.,$5 million,0.6346,False,4.32
mistral,squad,1024,baseline,What halftime performer previously headlined Super Bowl XLVII?, Beyoncé,Beyoncé,1.0,False,3.39
mistral,squad,1024,baseline,What halftime performer previously headlined Super Bowl XLVIII?," Bruno Mars, according to the provided context, previously headlined the Super Bowl XLVIII halftime show.",Bruno Mars,0.767,False,1.31
mistral,squad,1024,baseline,Who was the main performer at this year's halftime show?, The main performer at the Super Bowl 50 halftime show was Coldplay.,Coldplay,0.718,False,1.32
mistral,squad,1024,baseline,Which network broadcasted the 50th Super Bowl game? , The 50th Super Bowl game was televised by CBS.,CBS,0.8375,False,4.38
mistral,squad,1024,baseline,What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?, The average cost for a TV ad lasting 30 seconds during Super Bowl 50 was $5 million.,$5 million,0.5988,False,5.06
mistral,squad,1024,baseline,Who was the male singer who performed as a special guest during Super Bowl 50?," Bruno Mars, according to the provided context, was one of the special guest performers during the Super Bowl 50 halftime show.",Bruno Mars,0.8181,False,4.79
mistral,squad,1024,baseline,What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?," I cannot find this information in the provided context. The context only mentions that Super Bowl 50 was the third-most watched U.S. broadcast ever, but it does not specify the ranking for the halftime show separately.",third,0.767,False,6.31
mistral,squad,1024,baseline,What station aired the Super Bowl?, CBS,CBS,1.0,False,2.84
mistral,squad,1024,baseline,How much money did a 1/2 minute commercial cost?," A half-minute (30 seconds) commercial during Super Bowl 50 cost an average of $5 million, as stated in the provided context.",$5 million,0.6781,False,4.49
mistral,squad,1024,baseline,What band headlined half-time during Super Bowl 50?, The British rock group Coldplay headlined the Super Bowl 50 halftime show.,Coldplay,0.9676,False,3.99
mistral,squad,1024,baseline,What two artists came out with Coldplay during the half-time show?, Beyoncé and Bruno Mars,Beyoncé and Bruno Mars,0.7582,False,2.97
mistral,squad,1024,baseline,Who broadcast the Super Bowl on TV?, CBS broadcast the Super Bowl on TV.,CBS,0.9132,False,3.18
mistral,squad,1024,baseline,Who headlined the halftime show for Super Bowl 50?, The British rock group Coldplay headlined the halftime show for Super Bowl 50.,Coldplay,0.9541,False,4.04
