dataset,condition,chunk_size,top_k,fetch_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_chroma_mean_score,reranker_mean_ce_score,reranker_fetch_k,hcpc_refined,hcpc_context_coherence,ret_hcpc_v2_n_refined,ret_hcpc_v2_n_merged,ret_hcpc_v2_context_coherence,hcpc_n_refined,hcpc_n_merged
squad,hcpc_v2_rr,1024,3,7,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The Carolina Panthers.,0.6996,False,faithful,2.79,0.5991,0.6841,0.4927,0.1913,3,0.0,-1.0,3,True,0.689,1.0,4.0,0.689,1.0,
squad,hcpc_v2_rr,1024,3,7,Where did Super Bowl 50 take place?,"Santa Clara, California","According to the provided context, Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.986,False,faithful,4.48,0.6432,0.6659,0.6074,0.0585,3,0.0,-1.0,3,False,0.6464,0.0,0.0,0.6464,0.0,
squad,hcpc_v2_rr,1024,3,7,Which NFL team won Super Bowl 50?,Denver Broncos,The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,3.61,0.6554,0.717,0.591,0.126,3,0.0,-1.0,3,False,0.6506,0.0,0.0,0.6506,0.0,
squad,hcpc_v2_rr,1024,3,7,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold.,1.0,False,faithful,3.05,0.5495,0.5813,0.5074,0.0739,3,0.0,-1.0,3,True,0.5689,1.0,0.0,0.5689,1.0,
squad,hcpc_v2_rr,1024,3,7,What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was emphasized as the ""golden anniversary"" with various gold-themed initiatives.",0.8111,False,faithful,3.61,0.558,0.5807,0.542,0.0387,3,0.0,-1.0,3,False,0.5143,0.0,0.0,0.5143,0.0,
squad,hcpc_v2_rr,1024,3,7,What day was the game played on?,"February 7, 2016","The answer is: February 7, 2016.",0.8019,False,faithful,5.97,0.3746,0.5273,0.2856,0.2417,3,0.0,-1.0,3,True,0.6076,1.0,1.0,0.6076,1.0,
squad,hcpc_v2_rr,1024,3,7,What is the AFC short for?,American Football Conference,"The American Football Conference (AFC) is short for... itself! According to the provided context, it simply stands for ""American Football Conference"".",0.6689,False,faithful,6.49,0.4121,0.4992,0.3564,0.1428,3,0.0,-1.0,3,True,0.4999,1.0,2.0,0.4999,1.0,
squad,hcpc_v2_rr,1024,3,7,What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was emphasized as the ""golden anniversary"", with various gold-themed initiatives.",0.7707,False,faithful,4.89,0.558,0.5807,0.542,0.0387,3,0.0,-1.0,3,False,0.5143,0.0,0.0,0.5143,0.0,
squad,hcpc_v2_rr,1024,3,7,What does AFC stand for?,American Football Conference,The answer is: American Football Conference.,0.754,False,faithful,2.46,0.3787,0.4753,0.329,0.1463,3,0.0,-1.0,3,True,0.4999,1.0,2.0,0.4999,1.0,
squad,hcpc_v2_rr,1024,3,7,What day was the Super Bowl played on?,"February 7, 2016","According to the provided context, the Super Bowl was played on February 7, 2016.",0.6946,False,faithful,6.58,0.6413,0.7006,0.6109,0.0897,3,0.0,-1.0,3,False,0.6076,0.0,0.0,0.6076,0.0,
