claim_id,paper section,table/figure,claim text,submitted value,metric,dataset,split,sample size,conditions,generator,retriever,context construction,scorer,scorer input format,threshold,seeds,claimed evidence,claimed script,claimed config,priority,initial status,notes
"CR-015","Matched-context audit","Span/control model panel","Single-predictor AUROC ranks CCS 0.639 > similarity 0.586 > span 0.531; joint AUROC=0.643.","0.639 / 0.586 / 0.531; joint 0.643","AUROC","SQuAD","matched cell","400 contexts","feature panels","Mistral-7B","MiniLM/Chroma","matched contexts","legacy DeBERTa proxy","answer-only legacy call","faithfulness <0.5","not reported","source_tables/span_control_summary.csv","experiments/fix_12_answer_span_diagnostic.py","bootstrap CIs in source","HIGH","TO_VERIFY","No directional/causal claim."
"CR-016","Scaled audit","Table scaling_main","Pooled faithfulness means are 0.661 / 0.650 / 0.661.","0.661 / 0.650 / 0.661","mean faithfulness","SQuAD","not reported","2500 per condition; 7500 rows","no-refinement / aggressive / gated","Mistral-7B","MiniLM/Chroma + refinement","three retrieval configurations","legacy DeBERTa proxy","answer-only legacy call","not applicable","41;42;43;44;45","results/revision/fix_02/headline_table.csv","experiments/fix_02_scaled_headline_n500.py","500 pairs per seed","CRITICAL","TO_VERIFY","Full per-query source absent from submitted artifact."
"CR-017","Scaled audit","Table scaling_main","Faithfulness 95% CIs are [0.655,0.667] / [0.645,0.656] / [0.655,0.667].","three submitted intervals","faithfulness CI","SQuAD","not reported","2500 per condition","no-refinement / aggressive / gated","Mistral-7B","MiniLM/Chroma + refinement","three retrieval configurations","legacy DeBERTa proxy","answer-only legacy call","not applicable","41;42;43;44;45","results/revision/fix_02/headline_table.csv","experiments/fix_02_scaled_headline_n500.py","CI method to trace","HIGH","TO_VERIFY","Paper calls hallucination intervals Wilson; faithfulness CI method must be traced."
"CR-018","Scaled audit","Table scaling_main","Hallucination rates are 14.6% / 14.7% / 14.3% with Wilson intervals.","14.6% / 14.7% / 14.3%","hallucination rate; Wilson CI","SQuAD","not reported","2500 per condition","no-refinement / aggressive / gated","Mistral-7B","MiniLM/Chroma + refinement","three retrieval configurations","legacy DeBERTa proxy","answer-only legacy call","faithfulness <0.5","41;42;43;44;45","results/revision/fix_02/headline_table.csv","experiments/fix_02_scaled_headline_n500.py","Wilson 95%","CRITICAL","TO_VERIFY","Baseline lower bound 13.3% is separately cited."
"CR-019","Scaled audit","Table scaling_main","Mean retrieval similarity is 0.532 / 0.569 / 0.532.","0.532 / 0.569 / 0.532","mean retrieval similarity","SQuAD","not reported","2500 per condition","no-refinement / aggressive / gated","Mistral-7B","MiniLM/Chroma + refinement","three retrieval configurations","not applicable","not applicable","not applicable","41;42;43;44;45","results/revision/fix_02/headline_table.csv","experiments/fix_02_scaled_headline_n500.py","not reported","HIGH","TO_VERIFY","Trace per-query aggregation."
"CR-020","Scaled audit","Table scaling_main","Refinement rates are 0.000 / 1.000 / 0.705.","0.000 / 1.000 / 0.705","refinement rate","SQuAD","not reported","2500 per condition","no-refinement / aggressive / gated","Mistral-7B","MiniLM/Chroma + refinement","three retrieval configurations","not applicable","not applicable","not applicable","41;42;43;44;45","results/revision/fix_02/headline_table.csv","experiments/fix_02_scaled_headline_n500.py","gate/refinement rules","HIGH","TO_VERIFY","Trace denominator and gating definition."
"CR-021","Scaled audit","Per-seed supplement","Only seed 44 is significant for baseline-v1, p=0.008; other p-values are 0.083-0.234.","1/5; seed44 p=0.008","paired Wilcoxon p","SQuAD","not reported","500 pairs per seed","baseline vs aggressive","Mistral-7B","MiniLM/Chroma + refinement","paired by seed/query","legacy DeBERTa proxy","answer-only legacy call","not applicable","41;42;43;44;45","results/revision/fix_02/paired_contrasts.csv","experiments/fix_02_scaled_headline_n500.py","per-seed paired test","HIGH","TO_VERIFY","Do not promote exploratory p-values."
"CR-022","Scaled audit","Per-seed supplement","Gated-v1 is significant in 3/5 seeds with mean differences 0.003-0.019.","3/5; 0.003-0.019","paired mean difference and Wilcoxon","SQuAD","not reported","500 pairs per seed","gated vs aggressive","Mistral-7B","MiniLM/Chroma + refinement","paired by seed/query","legacy DeBERTa proxy","answer-only legacy call","not applicable","41;42;43;44;45","results/revision/fix_02/paired_contrasts.csv","experiments/fix_02_scaled_headline_n500.py","per-seed paired test","HIGH","TO_VERIFY","Magnitude is explicitly small."
"CR-023","Scaled audit","Narrative","The earlier n=30 contrast 0.7995 to 0.6407 does not survive the scaled audit.","0.7995 -> 0.6407; scaled small","historical vs scaled contrast","SQuAD","pilot vs audit","30 vs 2500 per condition","no-refinement vs aggressive","Mistral-7B","MiniLM/Chroma + refinement","pilot vs scaled construction","legacy DeBERTa proxy","answer-only legacy call","not applicable","mixed","paper narrative; historical source not in submitted trace","historical script unclear","non-comparable sampling protocols","CRITICAL","SOURCE_MISSING","Do not mix pilot and scaled cells."
"CR-024","Metric fragility","Table metric_fragility_main","Mistral raw baseline-v1 contrasts are 0.011 / 0.032 / 0.140 across three scorers.","0.011 / 0.032 / 0.140","native-scale paired contrast","SQuAD","scaled fixed rows","7500 rows","baseline vs aggressive","Mistral-7B","MiniLM/Chroma + refinement","fixed generations","DeBERTa; roberta-large-mnli; RAGAS-style","two answer-only proxies; one context-conditioned judge","not applicable","41;42;43;44;45","results/revision/fix_03/standardized_scorer_fragility.csv","scripts/compute_standardized_scorer_fragility.py","same fixed rows","CRITICAL","TO_VERIFY","Native scales are not directly comparable."
"CR-025","Metric fragility","Table metric_fragility_main","Mistral z-score contrasts are 0.071 / 0.231 / 0.337 SD.","0.071 / 0.231 / 0.337","z-scored paired contrast","SQuAD","scaled fixed rows","7500 rows; 2499 paired keys after collapse","baseline vs aggressive","Mistral-7B","MiniLM/Chroma + refinement","fixed generations","three scorers","mixed input formats","not applicable","41;42;43;44;45","results/revision/fix_03/standardized_scorer_fragility.csv","scripts/compute_standardized_scorer_fragility.py","z-score over same rows","CRITICAL","TO_VERIFY","Confirm duplicate-key collapse."
"CR-026","Metric fragility","Table metric_fragility_main","Mistral rank-normalized contrasts are 0.022 / 0.062 / 0.085.","0.022 / 0.062 / 0.085","rank-normalized paired contrast","SQuAD","scaled fixed rows","7500 rows; 2499 paired keys","baseline vs aggressive","Mistral-7B","MiniLM/Chroma + refinement","fixed generations","three scorers","mixed input formats","not applicable","41;42;43;44;45","results/revision/fix_03/standardized_scorer_fragility.csv","scripts/compute_standardized_scorer_fragility.py","percentile rank normalization","CRITICAL","TO_VERIFY","Confirm rank method and ties."
"CR-027","Metric fragility","Narrative","Cross-scorer Pearson correlations are 0.259, 0.182, and 0.674.","0.259 / 0.182 / 0.674","Pearson r","SQuAD","scaled fixed rows","7500 rows","same fixed generations","Mistral-7B","MiniLM/Chroma + refinement","fixed generations","three scorer pairs","mixed input formats","not applicable","41;42;43;44;45","results/revision/fix_03/metric_correlations.csv","experiments/fix_03_multimetric_faithfulness.py","pairwise complete rows","HIGH","TO_VERIFY","Scorer-input differences confound model identity."
"CR-028","Metric fragility","Context-conditioned NLI figure","Legacy vs context-conditioned DeBERTa contrast is +0.017 vs -0.279 on the n=600 subset.","legacy +0.017; context -0.279","paired contrast","SQuAD","deterministic balanced subset","600 rows; 200 per condition","baseline vs aggressive","Mistral-7B fixed answers","MiniLM/Chroma + refinement","same fixed generations","DeBERTa-v3 backbone","answer-only proxy vs context premise/answer hypothesis","not applicable","original fixed-row ordering","results/revision/context_conditioned_nli/contrasts_n600.csv","scripts/run_context_conditioned_nli_scoring.py","context truncated to 2048 chars","CRITICAL","TO_VERIFY","A rescoring experiment, not fresh generation; do not call context conditioning universally correct."
"CR-029","Metric fragility","Context-conditioned NLI figure","Legacy vs context-conditioned roberta-large-mnli contrast is +0.044 vs -0.081.","legacy +0.044; context -0.081","paired contrast","SQuAD","deterministic balanced subset","600 rows; 200 per condition","baseline vs aggressive","Mistral-7B fixed answers","MiniLM/Chroma + refinement","same fixed generations","roberta-large-mnli backbone","answer-only proxy vs context premise/answer hypothesis","not applicable","original fixed-row ordering","results/revision/context_conditioned_nli/contrasts_n600.csv","scripts/run_context_conditioned_nli_scoring.py","context truncated to 2048 chars","CRITICAL","TO_VERIFY","A rescoring experiment, not fresh generation."
"CR-030","Metric fragility","Context-conditioned NLI supplement","RAGAS-style context-conditioned contrast is +0.130 [0.075,0.186] on the same subset.","+0.130 [0.075,0.186]","paired contrast and bootstrap CI","SQuAD","deterministic balanced subset","600 rows","baseline vs aggressive","Mistral-7B fixed answers and judge","MiniLM/Chroma + refinement","same fixed generations","RAGAS-style judge","question + context + answer","not applicable","original fixed-row ordering","results/revision/context_conditioned_nli/contrasts_n600.csv","scripts/compute_nli_human_correlation.py or source aggregation to trace","10000 paired bootstrap","HIGH","TO_VERIFY","Claimed script linkage needs tracing."
"CR-031","Human calibration","Table human_combined_main","Typical slice has n=99 and targeted disagreement slice has n=100; they are distinct and non-poolable.","99; 100","sample design","SQuAD fixed-generation audit rows","typical stratified vs targeted disagreement","99 and 100","three retrieval conditions","Mistral-7B fixed answers","MiniLM/Chroma + refinement","retrieved context only for annotation","human adjudication","different label schemas by slice","not applicable","sampling scripts to trace","human_eval_final/n99_calibration; n100_disagreement","scripts/verify_human_eval.py; scripts/analyze_human_disagreement_labels.py","different sampling and labels","CRITICAL","TO_VERIFY","Never pool."
"CR-032","Human calibration","Table human_combined_main","n=99 raw agreement is 0.919 (91/99) and kappa is 0.774.","0.919; 91/99; 0.774","pre-adjudication agreement; Cohen kappa","SQuAD fixed rows","typical-row calibration","99","three retrieval conditions","Mistral-7B fixed answers","MiniLM/Chroma + refinement","retrieved context only","two human raters","supported/partially_supported/unsupported","not applicable","not reported","human_eval_final/n99_calibration/human_eval_summary.csv","scripts/verify_human_eval.py","agreement must use pre-adjudication labels","CRITICAL","TO_VERIFY","Author-confirmed two raters independently before reconciliation."
"CR-033","Human calibration","Table human_combined_main","n=99 adjudicated distribution is 79/16/4.","79 / 16 / 4","adjudicated label counts","SQuAD fixed rows","typical-row calibration","99","three retrieval conditions","Mistral-7B fixed answers","MiniLM/Chroma + refinement","retrieved context only","human adjudication","supported/partially_supported/unsupported","not applicable","not reported","human_eval_final/n99_calibration/human_eval_label_distribution.csv","scripts/verify_human_eval.py","adjudicated labels","CRITICAL","TO_VERIFY","Keep separate from n=100 schema."
"CR-034","Human calibration","Table human_combined_main","n=99 Spearman correlations are 0.103 / 0.394 / 0.549 with overlapping bootstrap CIs.","0.103 / 0.394 / 0.549","Spearman rho","SQuAD fixed rows","typical-row calibration","99","three retrieval conditions","Mistral-7B fixed answers","MiniLM/Chroma + refinement","retrieved context only","three automated scorers vs human","mixed scorer inputs; adjudicated ordinal labels","not applicable","bootstrap seed to trace","human_eval_final/n99_calibration/human_eval_correlations.csv","scripts/verify_human_eval.py","paired bootstrap","CRITICAL","TO_VERIFY","Suggestive ordering only."
"CR-035","Human calibration","Table human_combined_main","n=100 raw agreement is 0.88 and kappa is 0.721.","0.88; 0.721","pre-adjudication agreement; Cohen kappa","SQuAD fixed rows","targeted scorer disagreement","100","balanced disagreement types and retrieval conditions","Mistral-7B fixed answers","MiniLM/Chroma + refinement","retrieved context only","two human raters","faithful/hallucinated/unclear","not applicable","not reported","human_eval_final/n100_disagreement/human_disagreement_agreement.csv","scripts/analyze_human_disagreement_labels.py","agreement must use pre-adjudication labels","CRITICAL","TO_VERIFY","12 disagreements adjudicated later."
"CR-036","Human calibration","Table human_combined_main","n=100 adjudicated distribution is 74/26/0.","74 / 26 / 0","adjudicated label counts","SQuAD fixed rows","targeted scorer disagreement","100","balanced disagreement types and retrieval conditions","Mistral-7B fixed answers","MiniLM/Chroma + refinement","retrieved context only","human adjudication","faithful/hallucinated/unclear","not applicable","not reported","human_eval_final/n100_disagreement/human_disagreement_label_distribution.csv","scripts/analyze_human_disagreement_labels.py","adjudicated labels","CRITICAL","TO_VERIFY","Not a population estimate."
"CR-037","Human calibration","Table human_combined_main","n=100 Spearman correlations are -0.156 / 0.446 / 0.384.","-0.156 / 0.446 / 0.384","Spearman rho","SQuAD fixed rows","targeted scorer disagreement","100","targeted disagreement slice","Mistral-7B fixed answers","MiniLM/Chroma + refinement","retrieved context only","three automated scorers vs human","mixed scorer inputs; adjudicated labels","not applicable","not reported","human_eval_final/n100_disagreement/human_disagreement_correlations.csv","scripts/analyze_human_disagreement_labels.py","submitted implementation","CRITICAL","TO_VERIFY","Second NLI ranks first on this targeted slice."
"CR-038","Human calibration","Table human_combined_main","n=100 AUROCs are 0.398 / 0.794 / 0.718.","0.398 / 0.794 / 0.718","AUROC","SQuAD fixed rows","targeted scorer disagreement","100","targeted disagreement slice","Mistral-7B fixed answers","MiniLM/Chroma + refinement","retrieved context only","three automated scorers vs human","mixed scorer inputs; adjudicated binary target","not applicable","not reported","human_eval_final/n100_disagreement/human_disagreement_auroc_auprc.csv","scripts/analyze_human_disagreement_labels.py","submitted implementation","CRITICAL","TO_VERIFY","Targeted sampling affects interpretation."
"CR-039","Human calibration","Supplement disagreement table","n=100 AUPRCs are 0.765 / 0.929 / 0.859 using the submitted implementation.","0.765 / 0.929 / 0.859","average precision / AUPRC","SQuAD fixed rows","targeted scorer disagreement","100","targeted disagreement slice","Mistral-7B fixed answers","MiniLM/Chroma + refinement","retrieved context only","three automated scorers vs human","mixed scorer inputs; adjudicated binary target","not applicable","not reported","human_eval_final/n100_disagreement/human_disagreement_auroc_auprc.csv","scripts/analyze_human_disagreement_labels.py","sklearn average_precision_score","CRITICAL","TO_VERIFY","Never use stale cleanup AUPRC values 0.761753/0.928433/0.886240."
"CR-040","Human calibration","Narrative","Scorer ranking is slice-dependent; no single scorer is universally best.","different ordering across n=99 and n=100","comparative interpretation","SQuAD fixed rows","two separate slices","99 and 100","mixed","Mistral-7B fixed answers","same audit surface","retrieved context only for humans","three automated scorers vs human","mixed","not applicable","not reported","both human_eval_final directories","two verification scripts","separate slice designs","CRITICAL","TO_VERIFY","Must remain bounded to these slices."
"CR-041","Threshold transfer","Table threshold_transfer_main","Tau sweep is {0.3,0.4,0.5,0.6,0.7} across five datasets.","0.3;0.4;0.5;0.6;0.7","threshold sweep","SQuAD; PubMedQA; HotpotQA; NaturalQuestions; TriviaQA","not reported","5x5 transfer design","gated vs aggressive/no-refinement","Mistral-7B per paper","MiniLM/Chroma + CCS gate","dataset-specific threshold tuning","legacy faithfulness score","answer-only legacy call","tau sweep","not reported","results/revision/fix_04","experiments/fix_04_tau_generalization.py","recovery ratio definition","HIGH","TO_VERIFY","No bootstrap CIs."
"CR-042","Threshold transfer","Table threshold_transfer_main","Selected taus are PubMedQA .4, NaturalQuestions .5, SQuAD .3, TriviaQA .4, HotpotQA .3.","0.4 / 0.5 / 0.3 / 0.4 / 0.3","selected tau","five datasets","tune/eval transfer","five tune rows","dataset-tuned gate","Mistral-7B per paper","MiniLM/Chroma + CCS gate","dataset-specific threshold tuning","legacy faithfulness score","answer-only legacy call","tau*","not reported","results/revision/fix_04","experiments/fix_04_tau_generalization.py","maximize in-domain recovery","HIGH","TO_VERIFY","Identical rows may follow from identical tau, not duplication."
"CR-043","Threshold transfer","Table threshold_transfer_main","Diagonal/off-diagonal gaps include +1.002, +1.191, +0.963, -0.234, -0.205.","submitted five gaps","normalized recovery gap","five datasets","tune/eval transfer","5x5 cells","dataset-tuned gate","Mistral-7B per paper","MiniLM/Chroma + CCS gate","threshold transfer","legacy faithfulness score","answer-only legacy call","tau*","not reported","results/revision/fix_04","experiments/fix_04_tau_generalization.py","recovery can exceed 1 or be negative","HIGH","TO_VERIFY","Transport diagnostic, not universal utility."
"CR-044","Threshold transfer","Narrative","Sign-changing transfer cells are the load-bearing finding.","sign changes","qualitative transfer result","five datasets","tune/eval transfer","5x5 cells","dataset-tuned gate","Mistral-7B per paper","MiniLM/Chroma + CCS gate","threshold transfer","legacy faithfulness score","answer-only legacy call","tau*","not reported","results/revision/fix_04/transfer_matrix.csv or equivalent","experiments/fix_04_tau_generalization.py","no bootstrap CIs","HIGH","TO_VERIFY","Descriptive only."
"CR-045","Cost-aware baselines","Table cost_main","SQuAD faithfulness is 0.698 / 0.708 / 0.710 for CRAG/gated/RAPTOR-2L.","0.698 / 0.708 / 0.710","mean faithfulness and bootstrap CI","SQuAD","not reported","200 per condition","CRAG / gated / RAPTOR-2L","local Mistral-7B","three baseline systems","system-specific contexts","legacy faithfulness score per source to trace","input format to trace","0.5 for hallucination","not reported","results/revision/fix_06/h2h_summary_with_ci.csv","experiments/fix_06_baseline_h2h_pareto.py","local/free-tier harness","CRITICAL","TO_VERIFY","Faithfulness CIs overlap."
"CR-046","Cost-aware baselines","Table cost_main","HotpotQA faithfulness is 0.643 / 0.633 / 0.631.","0.643 / 0.633 / 0.631","mean faithfulness and bootstrap CI","HotpotQA","not reported","200 per condition","CRAG / gated / RAPTOR-2L","local Mistral-7B","three baseline systems","system-specific contexts","legacy faithfulness score per source to trace","input format to trace","0.5 for hallucination","not reported","results/revision/fix_06/h2h_summary_with_ci.csv","experiments/fix_06_baseline_h2h_pareto.py","local/free-tier harness","CRITICAL","TO_VERIFY","Not a full multi-hop validation."
"CR-047","Cost-aware baselines","Table cost_main","SQuAD hallucination is 12.0% / 12.5% / 12.5%; HotpotQA is 10.5% / 12.5% / 13.0%.","six rates","hallucination rate; Wilson CI","SQuAD; HotpotQA","not reported","200 per dataset-condition","CRAG / gated / RAPTOR-2L","local Mistral-7B","three baseline systems","system-specific contexts","legacy faithfulness score per source to trace","input format to trace","faithfulness <0.5","not reported","results/revision/fix_06/h2h_summary_with_ci.csv","experiments/fix_06_baseline_h2h_pareto.py","Wilson 95%","HIGH","TO_VERIFY","CIs overlap."
"CR-048","Cost-aware baselines","Table cost_main","Per-query latencies are 1440/1720/1714 ms on SQuAD and 1941/2289/2414 ms on HotpotQA.","six means in ms","end-to-end latency","SQuAD; HotpotQA","not reported","200 per dataset-condition","CRAG / gated / RAPTOR-2L","local Mistral-7B","three baseline systems","system-specific contexts","not applicable","not applicable","not applicable","not reported","results/revision/fix_06/h2h_summary_with_ci.csv","experiments/fix_06_baseline_h2h_pareto.py","hardware-dependent harness","HIGH","TO_VERIFY","Trace timing boundaries and hardware."
"CR-049","Cost-aware baselines","Table cost_main","RAPTOR-2L indexing is 17-22x the dense baseline.","17-22x; 175.4/134.0s vs 8.0s","indexing time ratio","SQuAD; HotpotQA","not reported","200 per dataset-condition","dense vs RAPTOR-2L","not applicable","dense index vs two-level RAPTOR","dataset index construction","not applicable","not applicable","not applicable","not reported","results/revision/fix_06/h2h_summary_with_ci.csv; fix_11","experiments/fix_11_raptor_full_table.py","hardware-dependent harness","CRITICAL","TO_VERIFY","Clear cost signal; not universal."
"CR-050","Cost-aware baselines","Harness paragraph","CRAG web search was disabled and external-call count was zero.","zero external calls","external-call count","SQuAD; HotpotQA","not reported","200 per dataset-condition","CRAG","local Mistral-7B","CRAG reimplementation","strip refinement without live web","not applicable","not applicable","not applicable","not reported","results/revision/fix_06; documentation","experiments/fix_06_baseline_h2h_pareto.py","web search disabled","HIGH","TO_VERIFY","A live-web CRAG would be different."
"CR-051","Stronger retriever supplement","Re-encoding table","HIGH>LOW CCS ordering is preserved under MiniLM/BGE/E5 re-encoding.","gaps 0.533 / 0.249 / 0.127","CCS gap","SQuAD","matched fixed contexts","200 pairs","HIGH vs LOW contexts","Mistral generations unchanged","MiniLM; BGE-large; E5-large encoders","same fixed contexts re-encoded","not applicable","not applicable","not applicable","not reported","source_tables/retriever_sanity_summary.csv","experiments/fix_13_retriever_sanity.py","fixed-context re-encoding","HIGH","TO_VERIFY","Do not call a fresh end-to-end generation/retrieval run."
"CR-052","Stronger retriever supplement","Pilot multi-retriever table","SQuAD pilot paradox direction changes across embedders; PubMedQA remains positive in the four reported cells.","SQuAD +.075,+.032,-.011,-.001; PubMedQA positive","baseline-v1 contrast","SQuAD; PubMedQA","small pilot","30 per cell","four embedders","Mistral-7B per artifact","MiniLM; BGE; E5; GTE","fresh pilot retrieval/generation per caption","legacy scorer to trace","input format to trace","not applicable","pilot sampling","results/multi_retriever/paradox_by_embedder.csv","experiments/run_multi_retriever_ablation.py","pilot protocol","HIGH","SUMMARY_ONLY","Not comparable to n=2500 scaled audit; full provenance needed."
"CR-053","Second-generator supplement","Qwen table","Qwen raw baseline-v1 contrasts are 0.015 / 0.046 / 0.134.","0.015 / 0.046 / 0.134","native-scale paired contrast","SQuAD matched contexts","fixed-context probe","100 per condition; 300 rows","baseline / aggressive / gated","Qwen2.5-7B","contexts from matched construction","fixed contexts; new Qwen answers","three scorers","two answer-only proxies; one context-conditioned judge","not applicable","not reported","source_tables/second_generator_metrics.csv","experiments/fix_14_second_generator_metric_fragility.py","local Ollama; one model","HIGH","TO_VERIFY","Bounded sanity check, not panel replication."
