evidence_id,path,snapshot,role,size_bytes,sha256,provenance_status,notes
"E011","rag-hallucination-detection_main/results/revision/fix_01/bootstrap_ci.csv","submitted artifact","matched-context interval","133","cd62c9ccab41319fa2ac668ca47c272360713d2f780a6fca2bb0c6e91e3fe5f0","TO_VERIFY","Requires recovered per-query trace."
"E012","rag-hallucination-detection_main/results/revision/fix_02/headline_table.csv","submitted artifact","scaled summary","545","0fb1b3ad01172ba53769241f589e86236cebd8a203dd3ce81aa40a11df519aef","TO_VERIFY","Headline pooled means and rates."
"E013","rag-hallucination-detection_main/results/revision/fix_02/paired_contrasts.csv","submitted artifact","per-seed contrasts","1502","3c195666d369848ca935ce14cee1563b03bd03614e4b7cd5375dd59baed51f85","TO_VERIFY","Seed-level inference summary."
"E014","rag-hallucination-detection_main/results/revision/fix_03/standardized_scorer_fragility.csv","submitted artifact","scorer fragility summary","1619","80728bcacc28415491c07f7fbb26a1437221088a1fddd8afb5c61e1e5da1707f","TO_VERIFY","Raw, z, rank contrasts."
"E015","rag-hallucination-detection_main/results/revision/fix_03/metric_correlations.csv","submitted artifact","scorer correlations","318","6ed98e71c6c3768dbfea3d7e364f19f726e7f09352e929dd4ede2474d05c72e0","TO_VERIFY","Fixed-row pairwise correlations."
"E016","rag-hallucination-detection_main/results/revision/fix_03/disagreement_alignment_n100.csv","submitted artifact","n100 scorer alignment summary","1266","6ad02f9f30c99b7a720cb2ac4330dc908f20784ee2cf88900c9585d27e6c9e96","CONFLICT","Differs from cleanup snapshot due to AUPRC implementation."
"E017","rag-hallucination-detection_main/results/revision/context_conditioned_nli/contrasts_n600.csv","submitted artifact","context-conditioned contrast summary","938","66071f53c43b107f7ec5898fe580dca96c36ebfe6df935d58b9930d9eee7d99c","TO_VERIFY","Rescoring subset; not fresh generation."
"E018","rag-hallucination-detection_main/results/revision/context_conditioned_nli/n99_alignment_spearmans.csv","submitted artifact","n99 input-format alignment","602","ee25150970c23c1e4ad036ccdb3d787f8c00e3aa6902efacc646cbc5ed354680","TO_VERIFY","Does not establish universal correctness."
"E019","rag-hallucination-detection_main/results/revision/fix_04/tau_transfer_matrix.csv","submitted artifact","threshold transfer","353","6eb1d877d190efb93fd556bb2386d7c48688081fcbe51f25a071a5b3726b991e","TO_VERIFY","Descriptive 5x5 matrix without bootstrap CIs."
"E020","rag-hallucination-detection_main/results/revision/fix_05/slope_response.csv","submitted artifact","noise slopes","211","de72dac188a68d2ed87536928875571cb117854fd94825c303c2cdc24dd8280f","TO_VERIFY","Point estimates; no significance test."
"E021","rag-hallucination-detection_main/results/revision/fix_06/h2h_summary_with_ci.csv","submitted artifact","cost-aware head-to-head","912","237649fe07cd0bf810b2294ef1f6968eaa9db9d7a5a88c940dd34f49e292dca8","TO_VERIFY","Only fix with compact per-query input in submitted artifact."
"E022","rag-hallucination-detection_main/results/revision/fix_11/raptor_indexing_costs.csv","submitted artifact","RAPTOR cost summary","155","15ccdb24eaca661f28704cf360c27642e85989efc2d0f18efae12e2208b1543f","TO_VERIFY","Hardware and timing boundary need tracing."
"E023","rag-hallucination-detection_main/results/revision/fix_12/span_control_models.csv","submitted artifact","span/control models","2479","a79841a1b07c1630680a539309eb48742d5bf4077514dd55b0b56b0a63978bb8","TO_VERIFY","Post-hoc diagnostic summary."
"E024","rag-hallucination-detection_main/results/revision/fix_13/retriever_sanity_summary.csv","submitted artifact","retriever sanity summary","1674","b8f53335bd955b57e124dbe214303a7079ae93e8aacac5344b21db087b242e64","TO_VERIFY","Separates re-encoding from imported/generated pilot rows."
"E025","rag-hallucination-detection_main/results/revision/fix_14/second_generator_metrics.csv","submitted artifact","Qwen probe summary","374","cdee820e97afe2077d981d45817a8d79431cdf128e6b8d095e3a952fad8c92e1","TO_VERIFY","One-model bounded probe."
"E026","rag-hallucination-detection_main/results/revision/fix_15/longform_stress_summary.csv","submitted artifact","long-form summary","1039","35f77fc9a17d2425074ee47990a09add58c1e87d39fec48032aa111dbaee4005","SUMMARY_ONLY","40-question exploratory scope probe."
"E027","rag-hallucination-detection_main/human_eval_final/n99_calibration/human_eval_adjudicated.csv","submitted artifact","n99 labels and adjudication","165619","872b89ca3896769e82c8addc819b2d11c869458927ecb4f816dbda4b0317b4f4","TO_VERIFY","Keep distinct from n100."
"E028","rag-hallucination-detection_main/human_eval_final/n99_calibration/human_eval_summary.csv","submitted artifact","n99 agreement summary","167","db4ffc9cc343951fa8be55f13a1c047c1d212bae5475a96fbc08d7f18a6d70ce","TO_VERIFY","Agreement must use pre-adjudication labels."
"E029","rag-hallucination-detection_main/human_eval_final/n99_calibration/human_eval_correlations.csv","submitted artifact","n99 scorer alignment","236","d7a894f84ef620297d53030c5c373432c50bdfdcb52e4743d766c8106e75bb25","TO_VERIFY","Uses adjudicated labels."
"E030","rag-hallucination-detection_main/human_eval_final/n100_disagreement/human_eval_rater1.csv","submitted artifact","n100 independent rater 1","159944","29cf4abdc69d78d9e2dceb665010be5a95f7d06bcd319fff513d850833118a10","TO_VERIFY","Rater identity intentionally not recorded."
"E031","rag-hallucination-detection_main/human_eval_final/n100_disagreement/human_eval_rater2.csv","submitted artifact","n100 independent rater 2","159734","60f59d26b2f67233f16c29c5eed3e666eb74a804d358f779a4b1040bd21049e5","TO_VERIFY","Rater identity intentionally not recorded."
"E032","rag-hallucination-detection_main/human_eval_final/n100_disagreement/human_eval_adjudicated.csv","submitted artifact","n100 adjudication","166371","f0d797dc4cf3398696c57d1640daaa4bee85ba4651f262d2044d47d0f8869d8b","TO_VERIFY","Use for scorer alignment, not agreement."
"E033","rag-hallucination-detection_main/human_eval_final/n100_disagreement/human_disagreement_agreement.csv","submitted artifact","n100 agreement","104","70ec535d074d284cb5127e4cf47f45a7dc59d2c741a9fa60a42ccb9b2fbb0406","TO_VERIFY","Pre-adjudication statistic."
"E034","rag-hallucination-detection_main/human_eval_final/n100_disagreement/human_disagreement_auroc_auprc.csv","submitted artifact","n100 AUROC/AUPRC","238","4dcd47bc55d269928621bd5ff1f1a3f531334ee49259d11fc19ccb103d6fd982","CONFLICT","Submitted AUPRC convention is authoritative for submitted claims."
"E035","rag-hallucination-detection_main/scripts/analyze_human_disagreement_labels.py","submitted artifact","submitted n100 analysis implementation","14235","142e40516fd165eae76f71a4feb10d655c5d50d13abbd7481c2a8112b1c48a16","CONFLICT","Uses sklearn average_precision_score."
"E036","cleanup_20260506_final_code_artifact_cleanup/prior_reviewer_artifact_snapshot/scripts/analyze_human_disagreement_labels.py","cleanup snapshot","historical n100 analysis implementation","14322","60a9184bad43b2fd4d78cff440f25efb77fe72eebc01541595c99813b63def51","HISTORICAL_CONFLICT","Uses historical manual AUPRC; never mix its values with submitted results."
"E037","cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/revision/fix_01/per_query.csv","cleanup pre-cleanup","full matched-context rows","158166","d8666081a1833c21263e0a5c87074a2f4a4db8d3d095c5ec18a367f5c99c2a99","RECOVERED_UNTRACED","Candidate for Prompt 02 reconstruction."
"E038","cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/revision/fix_02/per_query.csv","cleanup pre-cleanup","full scaled rows","12601325","bd6a0b8aac42c695c502c14c64748fd9ed4ae37d7e67d87d80ffb62f474d469e","RECOVERED_UNTRACED","Large candidate for scaled summary reconstruction."
"E039","cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/revision/fix_03/per_query.csv","cleanup pre-cleanup","full scorer rows","13965462","f046d7646c68fb50084781ad8cee962991b45b9f292714a50d2f4570d5c07859","RECOVERED_UNTRACED","Candidate for scorer-fragility reconstruction."
"E040","cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/revision/fix_04/per_query.csv","cleanup pre-cleanup","threshold rows","1462171","d72b14793e6389bbe2b291a35aa351c7cfbc36f57f1d4feea8d15c83d1f431df","RECOVERED_UNTRACED","Candidate for transfer-matrix reconstruction."
"E041","cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/revision/fix_05/per_query.csv","cleanup pre-cleanup","noise rows","3028361","b74b3bdfbf4a2d6855eba395f31805e0154a51315353fddac37d6d284ef6dbba","RECOVERED_UNTRACED","Candidate for slope reconstruction."
"E042","cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/revision/fix_06/per_query.csv","cleanup pre-cleanup","full cost rows","375150","feafac8c1eedbd69768762af5a46b43902f2a5bc4a5fb7da5f746f61ca6c3f89","RECOVERED_UNTRACED","Compare with submitted compact projection."
"E043","cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/revision/fix_11/per_query.csv","cleanup pre-cleanup","RAPTOR rows","72442","c9ad8baee4a4a20bdb2cf8f3501c03462e116d6571d15edf82e1b273ff6c3240","RECOVERED_UNTRACED","Candidate cost/index provenance."
"E044","cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/revision/fix_14/second_generator_per_query.csv","cleanup pre-cleanup","Qwen per-query rows","536994","7235ec54f6ee57a4a22e611b2e8f6a6ddc9cf3f0ed8540ad327c3c190e234c84","RECOVERED_UNTRACED","Bounded probe; provenance before use."
"E045","cleanup_20260506_final_code_artifact_cleanup/root_before_cleanup/data/revision/fix_15/longform_stress_per_query.csv","cleanup pre-cleanup","long-form per-query rows","64740","eafc34ae6ca91e5babe9075c4050f6f8dd140d7b6e5c52bea16760f7fbcf9b64","RECOVERED_UNTRACED","Exploratory 40-question probe."
"E046","moved_from_repo/submission_package/neurips2026_paper_source_anonymous.zip","moved historical","paper source archive","1034611","2fe844dff12ccbf3eb57e0b6f1ed4653910c24df9a255f0c720235e50e87037f","HISTORICAL_CONFLICT","Compare to local paper source; do not assume submitted identity."
"E047","moved_from_repo/submission_package/previous_neurips2026_reviewer_artifact_anonymous.zip","moved historical","prior reviewer archive","6126128","7e4eaee0f9f8c74cdbc1f7fa02e3ad52a103c2327130b67deab161057dd3258a","HISTORICAL_CONFLICT","Prior package, not current submitted baseline."
"E048","audit/CONFLICTING_SCIENTIFIC_VERSIONS.md","ingest audit","version-conflict report","1940","60fd31e633f173f87c7b8cffb5a03ea39cc3d86129bf994a6b205d413fee5ae6","AUDIT_EVIDENCE","Documents AUPRC and paper-source conflicts."
"E049","audit/REVIEW_AND_META_REVIEW_CONCERN_MATRIX.md","ingest audit","sanitized concern themes","15615","d44bb2742269f2d24eae65ecaa33ac5b003df041de32683589147695bf4b7d78","AUDIT_EVIDENCE","Not an exact review export; no reviewer attribution."
"E050","audit/REPRODUCIBILITY_BLOCKERS.md","ingest audit","blocker report","2329","a702ca24b00ab321be27c125a43d6eaf48359cca0b0f48644a47e463a24805fb","AUDIT_EVIDENCE","Documents missing inputs, broken scripts, and trace gaps."
