question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,embedder
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50, but it does state that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",hcpc_v2,0.5463,False,0.8927,False,0.831,2.5,squad,gte-large
What does AFC stand for?,American Football Conference," AFC stands for American Football Conference, as mentioned in the provided context.",baseline,0.9651,False,0.789,False,-1.0,4.6,squad,gte-large
What does AFC stand for?,American Football Conference, AFC stands for American Football Conference.,hcpc_v1,0.982,False,0.7858,False,-1.0,1.54,squad,gte-large
What does AFC stand for?,American Football Conference," AFC stands for American Football Conference, as mentioned in the provided context.",hcpc_v2,0.9651,False,0.789,False,0.8057,4.2,squad,gte-large
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",baseline,0.8567,False,0.8827,False,-1.0,4.34,squad,gte-large
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",hcpc_v1,0.8567,False,0.8827,False,-1.0,0.89,squad,gte-large
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",hcpc_v2,0.8567,False,0.8827,False,0.8746,1.14,squad,gte-large
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.8901,False,-1.0,4.65,squad,gte-large
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v1,0.9247,False,0.9066,False,-1.0,1.05,squad,gte-large
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.8901,False,0.8682,2.46,squad,gte-large
What venue did Super Bowl 50 take place in?,Levi's Stadium," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",baseline,0.9533,False,0.8915,False,-1.0,3.21,squad,gte-large
What venue did Super Bowl 50 take place in?,Levi's Stadium," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",hcpc_v1,0.9533,False,0.8915,False,-1.0,1.22,squad,gte-large
What venue did Super Bowl 50 take place in?,Levi's Stadium," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9533,False,0.8915,False,0.858,2.1,squad,gte-large
What city did Super Bowl 50 take place in?,Santa Clara, The Super Bowl 50 took place in San Francisco.,baseline,0.6946,False,0.8966,False,-1.0,3.25,squad,gte-large
What city did Super Bowl 50 take place in?,Santa Clara, The Super Bowl 50 took place in San Francisco.,hcpc_v1,0.6946,False,0.8966,False,-1.0,0.64,squad,gte-large
What city did Super Bowl 50 take place in?,Santa Clara, The Super Bowl 50 took place in San Francisco.,hcpc_v2,0.6946,False,0.8966,False,0.8568,0.82,squad,gte-large
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used.,baseline,0.5143,False,0.8784,False,-1.0,5.24,squad,gte-large
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used.,hcpc_v1,0.5143,False,0.8784,False,-1.0,1.23,squad,gte-large
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used.,hcpc_v2,0.5143,False,0.8784,False,0.8617,1.37,squad,gte-large
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,baseline,0.6644,False,0.8843,False,-1.0,4.64,squad,gte-large
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,hcpc_v1,0.6644,False,0.8946,False,-1.0,1.64,squad,gte-large
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,hcpc_v2,0.6644,False,0.8843,False,0.8393,2.89,squad,gte-large
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Denver Broncos made their second Super Bowl appearance in three years, having reached Super Bowl XLVIII and Super Bowl 50. However, it does not specify the year they secured a Super Bowl title for the third time.",baseline,0.6705,False,0.8909,False,-1.0,7.84,squad,gte-large
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Denver Broncos made their second Super Bowl appearance in three years, but it does not specify the year they won their third Super Bowl title.",hcpc_v1,0.5585,False,0.8842,False,-1.0,3.38,squad,gte-large
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Denver Broncos made their second Super Bowl appearance in three years, and their third overall, but it does not specify the year they secured a Super Bowl title for the third time.",hcpc_v2,0.5607,False,0.8909,False,0.8873,4.46,squad,gte-large
What city did Super Bowl 50 take place in?,Santa Clara, The Super Bowl 50 took place in San Francisco.,baseline,0.6946,False,0.8966,False,-1.0,4.85,squad,gte-large
What city did Super Bowl 50 take place in?,Santa Clara," San Francisco Bay Area at Santa Clara, California",hcpc_v1,0.8506,False,0.8966,False,-1.0,0.48,squad,gte-large
What city did Super Bowl 50 take place in?,Santa Clara, The Super Bowl 50 took place in San Francisco.,hcpc_v2,0.6946,False,0.8966,False,0.8568,0.73,squad,gte-large
What stadium did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.6918,False,0.8888,False,-1.0,3.61,squad,gte-large
What stadium did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v1,0.6918,False,0.8888,False,-1.0,0.97,squad,gte-large
What stadium did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.6918,False,0.8888,False,0.8243,1.23,squad,gte-large
What was the final score of Super Bowl 50? ,24–10," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",baseline,0.8695,False,0.884,False,-1.0,5.19,squad,gte-large
What was the final score of Super Bowl 50? ,24–10," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",hcpc_v1,0.8695,False,0.8989,False,-1.0,3.41,squad,gte-large
What was the final score of Super Bowl 50? ,24–10," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",hcpc_v2,0.8695,False,0.884,False,0.8682,4.57,squad,gte-large
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",baseline,0.945,False,0.8853,False,-1.0,3.38,squad,gte-large
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",hcpc_v1,0.945,False,0.8894,False,-1.0,1.46,squad,gte-large
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",hcpc_v2,0.945,False,0.8853,False,0.8471,2.38,squad,gte-large
What year was Super Bowl 50?,2015," The provided context states that Super Bowl 50 was played on February 7, 2016.",baseline,0.9731,False,0.8945,False,-1.0,2.99,squad,gte-large
What year was Super Bowl 50?,2015," The provided context states that Super Bowl 50 was played on February 7, 2016.",hcpc_v1,0.9731,False,0.8945,False,-1.0,1.59,squad,gte-large
What year was Super Bowl 50?,2015," The provided context states that Super Bowl 50 was played on February 7, 2016.",hcpc_v2,0.9731,False,0.8945,False,0.8348,1.63,squad,gte-large
What team was the AFC champion?,Denver Broncos, The AFC champion was the Denver Broncos.,baseline,0.7995,False,0.8643,False,-1.0,3.95,squad,gte-large
What team was the AFC champion?,Denver Broncos, The AFC champion was the Denver Broncos.,hcpc_v1,0.7995,False,0.8643,False,-1.0,0.51,squad,gte-large
What team was the AFC champion?,Denver Broncos, The AFC champion was the Denver Broncos.,hcpc_v2,0.7995,False,0.8643,False,0.855,0.69,squad,gte-large
What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,baseline,0.806,False,0.8629,False,-1.0,4.79,squad,gte-large
What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,hcpc_v1,0.806,False,0.8629,False,-1.0,0.57,squad,gte-large
What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,hcpc_v2,0.806,False,0.8629,False,0.8484,0.74,squad,gte-large
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.8901,False,-1.0,4.96,squad,gte-large
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v1,0.9247,False,0.9066,False,-1.0,1.22,squad,gte-large
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.8901,False,0.8682,2.6,squad,gte-large
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,baseline,0.6757,False,0.8857,False,-1.0,4.91,squad,gte-large
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,hcpc_v1,0.6757,False,0.8942,False,-1.0,2.31,squad,gte-large
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,hcpc_v2,0.6757,False,0.8857,False,0.8393,3.08,squad,gte-large
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.8897,False,-1.0,3.1,squad,gte-large
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v1,0.9247,False,0.9013,False,-1.0,1.25,squad,gte-large
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.8897,False,0.8682,2.42,squad,gte-large
Where was Super Bowl 50 held?,"Santa Clara, California."," Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.9333,False,0.8907,False,-1.0,3.95,squad,gte-large
Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v1,0.9393,False,0.8907,False,-1.0,2.5,squad,gte-large
Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.9393,False,0.8907,False,0.8348,2.36,squad,gte-large
The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game, as mentioned in the provided context, is Super Bowl 50.",baseline,0.6706,False,0.8761,False,-1.0,5.64,squad,gte-large
The name of the NFL championship game is?,Super Bowl," The NFL championship game is referred to as Super Bowl 50, not Super Bowl L, in the provided context.",hcpc_v1,0.7141,False,0.8672,False,-1.0,2.42,squad,gte-large
The name of the NFL championship game is?,Super Bowl, Super Bowl 50,hcpc_v2,0.6293,False,0.8761,False,0.8425,3.93,squad,gte-large
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Broncos won the AFC playoffs in 2015.,baseline,0.8737,False,0.8632,False,-1.0,5.38,squad,gte-large
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Broncos won the AFC playoffs in 2015.,hcpc_v1,0.8737,False,0.8721,False,-1.0,3.39,squad,gte-large
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Broncos won the AFC playoffs in 2015.,hcpc_v2,0.8737,False,0.8632,False,0.8927,4.6,squad,gte-large
