question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,embedder
What city did Super Bowl 50 take place in?,Santa Clara," San Francisco Bay Area (specifically at Levi's Stadium in Santa Clara, California)",hcpc_v1,0.743,False,0.6769,False,-1.0,2.79,squad,bge-large
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.9567,False,0.6793,True,0.6826,4.55,squad,bge-large
What stadium did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in Santa Clara, California.",baseline,0.793,False,0.6709,False,-1.0,4.06,squad,bge-large
What stadium did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in Santa Clara, California",hcpc_v1,0.793,False,0.6551,False,-1.0,2.37,squad,bge-large
What stadium did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in Santa Clara, California.",hcpc_v2,0.793,False,0.6709,False,0.6826,3.9,squad,bge-large
What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10 in favor of the Denver Broncos.,baseline,0.7805,False,0.6907,False,-1.0,3.72,squad,bge-large
What was the final score of Super Bowl 50? ,24–10," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",hcpc_v1,0.8695,False,0.6962,False,-1.0,4.68,squad,bge-large
What was the final score of Super Bowl 50? ,24–10," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",hcpc_v2,0.8695,False,0.6907,False,0.5889,7.62,squad,bge-large
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",baseline,0.945,False,0.6589,False,-1.0,4.92,squad,bge-large
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",hcpc_v1,0.945,False,0.6439,False,-1.0,4.49,squad,bge-large
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",hcpc_v2,0.945,False,0.6589,False,0.6148,3.69,squad,bge-large
What year was Super Bowl 50?,2015, The year Super Bowl 50 was held was 2016.,baseline,0.7558,False,0.6807,False,-1.0,3.56,squad,bge-large
What year was Super Bowl 50?,2015, The year Super Bowl 50 was held was 2016.,hcpc_v1,0.7558,False,0.698,False,-1.0,1.7,squad,bge-large
What year was Super Bowl 50?,2015," The year Super Bowl 50 was held is February 7, 2016.",hcpc_v2,0.8318,False,0.6807,False,0.5982,3.91,squad,bge-large
What team was the AFC champion?,Denver Broncos, The AFC champion was the Denver Broncos.,baseline,0.7995,False,0.6577,False,-1.0,4.03,squad,bge-large
What team was the AFC champion?,Denver Broncos, The AFC champion was the Denver Broncos.,hcpc_v1,0.7995,False,0.6732,False,-1.0,2.46,squad,bge-large
What team was the AFC champion?,Denver Broncos, The AFC champion was the Denver Broncos.,hcpc_v2,0.7995,False,0.6577,False,0.7013,5.57,squad,bge-large
What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,baseline,0.806,False,0.6697,False,-1.0,3.6,squad,bge-large
What team was the NFC champion?,Carolina Panthers," The NFC champion, as mentioned in the provided context, is the Carolina Panthers.",hcpc_v1,0.9576,False,0.6612,False,-1.0,2.56,squad,bge-large
What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,hcpc_v2,0.806,False,0.6697,False,0.6453,5.01,squad,bge-large
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.7095,False,-1.0,3.02,squad,bge-large
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v1,0.9247,False,0.705,False,-1.0,1.7,squad,bge-large
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.7095,False,0.5889,2.71,squad,bge-large
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,baseline,0.6757,False,0.6551,False,-1.0,4.64,squad,bge-large
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,hcpc_v1,0.6757,False,0.6826,False,-1.0,2.32,squad,bge-large
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,hcpc_v2,0.6757,False,0.6503,True,0.6618,4.92,squad,bge-large
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.7018,False,-1.0,3.61,squad,bge-large
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v1,0.9247,False,0.7,False,-1.0,1.55,squad,bge-large
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.7015,True,0.7088,3.42,squad,bge-large
Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",baseline,0.9471,False,0.6719,False,-1.0,5.13,squad,bge-large
Where was Super Bowl 50 held?,"Santa Clara, California."," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v1,0.6918,False,0.6751,False,-1.0,2.75,squad,bge-large
Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9471,False,0.6719,False,0.6826,4.47,squad,bge-large
The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game, as mentioned in the provided context, is Super Bowl 50.",baseline,0.6706,False,0.6654,False,-1.0,4.53,squad,bge-large
The name of the NFL championship game is?,Super Bowl, Super Bowl 50,hcpc_v1,0.6293,False,0.6661,False,-1.0,2.09,squad,bge-large
The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game, as mentioned in the provided context, is Super Bowl 50.",hcpc_v2,0.6706,False,0.6654,True,0.6577,5.91,squad,bge-large
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos won the AFC playoff in 2015.,baseline,0.8691,False,0.6359,False,-1.0,4.28,squad,bge-large
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos won the AFC playoff in 2015.,hcpc_v1,0.8691,False,0.6279,False,-1.0,2.7,squad,bge-large
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos won the AFC playoff in 2015.,hcpc_v2,0.8691,False,0.6351,True,0.7013,5.84,squad,bge-large
