question,ground_truth,answer,condition,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,embedder
What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",hcpc_v2,0.8967,False,0.3746,True,0.5722,2.56,squad,minilm
What is the AFC short for?,American Football Conference," The provided context does not explicitly state what AFC stands for. However, it can be inferred that AFC refers to the American Football Conference as it is mentioned multiple times in the context.",baseline,0.5977,False,0.4121,False,-1.0,3.85,squad,minilm
What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, it refers to the American Football Conference.",hcpc_v1,0.654,False,0.4702,False,-1.0,1.83,squad,minilm
What is the AFC short for?,American Football Conference," The context does not provide information about what AFC stands for. However, it is commonly known that AFC stands for American Football Conference.",hcpc_v2,0.697,False,0.4121,True,0.4753,3.19,squad,minilm
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives. However, it doesn't explicitly state that this was the official theme of the game.",baseline,0.5429,False,0.558,False,-1.0,4.66,squad,minilm
What was the theme of Super Bowl 50?,"""golden anniversary""", I cannot find this information in the provided context. The context does not mention any specific theme for Super Bowl 50.,hcpc_v1,0.7504,False,0.5742,False,-1.0,2.04,squad,minilm
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not specify a particular theme for Super Bowl 50, but it mentions that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",hcpc_v2,0.5107,False,0.558,False,0.4567,3.96,squad,minilm
What does AFC stand for?,American Football Conference," The context does not provide a direct definition for what AFC stands for. However, given the context of the National Football League (NFL) and the discussion about the American Football Conference (AFC), it can be inferred that AFC stands for ""American Football Conference.""",baseline,0.7821,False,0.3787,False,-1.0,5.22,squad,minilm
What does AFC stand for?,American Football Conference," The context does not explicitly state what AFC stands for. However, in the context of American football, AFC typically stands for ""American Football Conference.""",hcpc_v1,0.7339,False,0.4448,False,-1.0,2.36,squad,minilm
What does AFC stand for?,American Football Conference, AFC stands for American Football Conference.,hcpc_v2,0.982,False,0.3787,True,0.4753,2.62,squad,minilm
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",baseline,0.8567,False,0.6413,False,-1.0,3.61,squad,minilm
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",hcpc_v1,0.8567,False,0.6329,False,-1.0,1.61,squad,minilm
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",hcpc_v2,0.8567,False,0.6413,False,0.5722,3.64,squad,minilm
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6268,False,-1.0,3.82,squad,minilm
Who won Super Bowl 50?,Denver Broncos," The context does not specify who won Super Bowl 50, but it implies that the team that took an early lead and never trailed (the Broncos) might have been the winner since they had a significant advantage over the Panthers. However, without explicit confirmation of the final score or outcome, I cannot definitively say who won Super Bowl 50 based on the provided context.",hcpc_v1,0.7061,False,0.5921,False,-1.0,4.76,squad,minilm
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6246,True,0.5701,3.98,squad,minilm
What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",baseline,0.6918,False,0.6489,False,-1.0,4.45,squad,minilm
What venue did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context only mentions that the San Francisco Bay Area last hosted a Super Bowl in 1985 (Super Bowl XIX), but it does not specify where Super Bowl 50 took place.",hcpc_v1,0.5995,False,0.6224,False,-1.0,4.14,squad,minilm
What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.6918,False,0.653,True,0.6083,4.8,squad,minilm
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",baseline,0.9421,False,0.6392,False,-1.0,4.91,squad,minilm
What city did Super Bowl 50 take place in?,Santa Clara, San Francisco Bay Area,hcpc_v1,0.4784,True,0.6284,False,-1.0,1.85,squad,minilm
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",hcpc_v2,0.9421,False,0.6431,True,0.6083,5.03,squad,minilm
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used.,baseline,0.5143,False,0.5327,False,-1.0,5.28,squad,minilm
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, I cannot find this information in the provided context. The context does not mention or imply anything about what Super Bowl 50 would have been called if Roman numerals had been used instead of Arabic numerals.,hcpc_v1,0.569,False,0.6741,False,-1.0,3.77,squad,minilm
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L, Super Bowl 50 would have been called Super Bowl L if Roman numerals were used.,hcpc_v2,0.5328,False,0.5327,True,0.5184,5.01,squad,minilm
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,baseline,0.6644,False,0.6341,False,-1.0,4.64,squad,minilm
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,hcpc_v1,0.6644,False,0.6279,False,-1.0,2.31,squad,minilm
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,hcpc_v2,0.6644,False,0.6341,False,0.4842,4.45,squad,minilm
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it implies that the event happened after their AFC Championship Game victory in 2015 (Super Bowl 50) and before their second Super Bowl appearance in 1995. Therefore, the third Super Bowl win for the Broncos occurred between 1995 and 2015. To determine the exact year, additional context or information would be needed.",baseline,0.6582,False,0.6795,False,-1.0,9.36,squad,minilm
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Denver Broncos won the AFC Championship Game and secured home-field advantage throughout the AFC playoffs, but it does not specify the year they won Super Bowl 50 or if it was their third title.",hcpc_v1,0.4847,True,0.6972,False,-1.0,4.64,squad,minilm
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it implies that the event happened after their AFC Championship Game victory in 2015 (Super Bowl 50) and before their second Super Bowl appearance in 1995. Therefore, to find the specific year, one would need additional context or information about the timeline of events for the Denver Broncos.",hcpc_v2,0.7221,False,0.6795,False,0.6115,7.87,squad,minilm
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",baseline,0.9421,False,0.6392,False,-1.0,5.31,squad,minilm
What city did Super Bowl 50 take place in?,Santa Clara, San Francisco Bay Area,hcpc_v1,0.4784,True,0.6284,False,-1.0,1.82,squad,minilm
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",hcpc_v2,0.9421,False,0.6431,True,0.6083,5.11,squad,minilm
What stadium did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,baseline,0.5799,False,0.6693,False,-1.0,2.05,squad,minilm
What stadium did Super Bowl 50 take place in?,Levi's Stadium," I cannot find this information in the provided context. The context does mention that Super Bowl 50 was held in the San Francisco Bay Area, but it doesn't specify the exact stadium where it took place.",hcpc_v1,0.5687,False,0.6331,False,-1.0,4.12,squad,minilm
What stadium did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,hcpc_v2,0.5799,False,0.6693,False,0.6083,4.86,squad,minilm
What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10 (Denver Broncos vs Carolina Panthers).,baseline,0.8873,False,0.584,False,-1.0,3.28,squad,minilm
What was the final score of Super Bowl 50? ,24–10, I cannot find this information in the provided context. The context only mentions that the Broncos won Super Bowl 50 but does not provide the final score.,hcpc_v1,0.5817,False,0.562,False,-1.0,3.16,squad,minilm
What was the final score of Super Bowl 50? ,24–10," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",hcpc_v2,0.8695,False,0.584,True,0.5147,6.02,squad,minilm
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",baseline,0.945,False,0.625,False,-1.0,3.29,squad,minilm
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 1, 2016.",hcpc_v1,0.9364,False,0.6258,False,-1.0,2.44,squad,minilm
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",hcpc_v2,0.945,False,0.625,True,0.5722,4.31,squad,minilm
What year was Super Bowl 50?,2015, The Super Bowl 50 was played in the year 2016.,baseline,0.7056,False,0.6133,False,-1.0,2.67,squad,minilm
What year was Super Bowl 50?,2015," The provided context does not specify the exact year of Super Bowl 50, but since we know it was held in 2015, we can infer that Super Bowl 50 took place in the year 2015.",hcpc_v1,0.9387,False,0.6094,False,-1.0,4.44,squad,minilm
What year was Super Bowl 50?,2015," The provided context states that Super Bowl 50 was played on February 7, 2016.",hcpc_v2,0.9731,False,0.6133,False,0.5294,4.38,squad,minilm
What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,baseline,0.6101,False,0.5751,False,-1.0,4.29,squad,minilm
What team was the AFC champion?,Denver Broncos, The American Football Conference (AFC) champion was the Denver Broncos.,hcpc_v1,0.773,False,0.6233,False,-1.0,1.82,squad,minilm
What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,hcpc_v2,0.6101,False,0.5751,False,0.5132,3.99,squad,minilm
What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,baseline,0.806,False,0.6039,False,-1.0,4.54,squad,minilm
What team was the NFC champion?,Carolina Panthers," The NFC champion, as mentioned in the provided context, is the Carolina Panthers.",hcpc_v1,0.9576,False,0.6636,False,-1.0,2.3,squad,minilm
What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,hcpc_v2,0.806,False,0.6039,False,0.552,4.81,squad,minilm
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6268,False,-1.0,4.63,squad,minilm
Who won Super Bowl 50?,Denver Broncos," The context does not specify who won Super Bowl 50, but it implies that the team that took an early lead and never trailed (the Broncos) might have been the winning team. However, without further information, I cannot confirm this.",hcpc_v1,0.7306,False,0.5921,False,-1.0,4.36,squad,minilm
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6246,True,0.5701,4.6,squad,minilm
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,baseline,0.6757,False,0.6236,False,-1.0,3.25,squad,minilm
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,hcpc_v1,0.6757,False,0.6186,False,-1.0,2.78,squad,minilm
Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,hcpc_v2,0.6757,False,0.6236,True,0.4842,4.7,squad,minilm
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6228,False,-1.0,2.0,squad,minilm
Which team won Super Bowl 50.,Denver Broncos, The Broncos won Super Bowl 50.,hcpc_v1,0.8937,False,0.6155,False,-1.0,1.77,squad,minilm
Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6228,False,0.5701,4.54,squad,minilm
Where was Super Bowl 50 held?,"Santa Clara, California."," Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",baseline,0.9411,False,0.6592,False,-1.0,3.81,squad,minilm
Where was Super Bowl 50 held?,"Santa Clara, California."," The provided context does not specify the exact location where Super Bowl 50 was held, but it states that it was the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985. However, it also mentions that Super Bowl XIX was held at Stanford Stadium in Stanford, California, so it's reasonable to infer that Super Bowl 50 might have been held there as well, but without additional context, I cannot confirm this with certainty.",hcpc_v1,0.4741,True,0.6366,False,-1.0,8.65,squad,minilm
Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9471,False,0.6592,False,0.6083,5.76,squad,minilm
The name of the NFL championship game is?,Super Bowl, Super Bowl 50,baseline,0.6293,False,0.5081,False,-1.0,3.82,squad,minilm
The name of the NFL championship game is?,Super Bowl," I cannot find the name of the NFL championship game in the provided context. However, it is typically referred to as the Super Bowl.",hcpc_v1,0.6756,False,0.5113,False,-1.0,3.38,squad,minilm
The name of the NFL championship game is?,Super Bowl, Super Bowl 50,hcpc_v2,0.6293,False,0.5081,True,0.5192,5.34,squad,minilm
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos,baseline,0.6985,False,0.5456,False,-1.0,4.31,squad,minilm
What 2015 NFL team one the AFC playoff?,Denver Broncos," The provided context does not specify which 2015 NFL team won the AFC Championship Game and advanced to Super Bowl 50. However, it is implied that the team in question is the Denver Broncos, as they defeated the New England Patriots in the AFC Championship Game and earned home-field advantage throughout the AFC playoffs.",hcpc_v1,0.8494,False,0.5624,False,-1.0,6.65,squad,minilm
What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos,hcpc_v2,0.6985,False,0.5456,False,0.5132,4.42,squad,minilm
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,baseline,0.7354,False,0.6729,False,-1.0,4.74,squad,bge-large
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v1,0.7354,False,0.679,False,-1.0,2.08,squad,bge-large
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos, The Denver Broncos represented the AFC at Super Bowl 50.,hcpc_v2,0.7354,False,0.6729,False,0.7499,3.86,squad,bge-large
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The Carolina Panthers represented the NFC at Super Bowl 50.,baseline,0.813,False,0.6709,False,-1.0,1.1,squad,bge-large
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v1,0.8891,False,0.6788,False,-1.0,2.46,squad,bge-large
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers, The NFL team that represented the NFC at Super Bowl 50 was the Carolina Panthers.,hcpc_v2,0.8891,False,0.6709,False,0.7499,4.18,squad,bge-large
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",baseline,0.9533,False,0.6757,False,-1.0,3.71,squad,bge-large
Where did Super Bowl 50 take place?,"Santa Clara, California"," The provided context states that Super Bowl 50 was played at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v1,0.9926,False,0.6624,False,-1.0,2.87,squad,bge-large
Where did Super Bowl 50 take place?,"Santa Clara, California"," The Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",hcpc_v2,0.9533,False,0.6757,False,0.5832,3.69,squad,bge-large
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.6916,False,-1.0,3.2,squad,bge-large
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v1,0.9247,False,0.6867,False,-1.0,1.5,squad,bge-large
Which NFL team won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.6916,False,0.7088,2.65,squad,bge-large
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,baseline,1.0,False,0.6558,False,-1.0,3.11,squad,bge-large
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold,hcpc_v1,1.0,False,0.6497,False,-1.0,1.75,squad,bge-large
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold, Gold was used to emphasize the 50th anniversary of the Super Bowl.,hcpc_v2,0.6905,False,0.6566,True,0.7113,5.61,squad,bge-large
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not explicitly state a specific theme for Super Bowl 50 other than it being emphasized as the ""golden anniversary."" However, since the league temporarily suspended the tradition of naming each Super Bowl game with Roman numerals and used Arabic numerals to highlight the 50th edition, one could infer that the theme might have been centered around celebrating the golden anniversary.",baseline,0.4436,True,0.6611,False,-1.0,8.34,squad,bge-large
What was the theme of Super Bowl 50?,"""golden anniversary""", I cannot find this information in the provided context. The context does not mention the theme of Super Bowl 50.,hcpc_v1,0.6498,False,0.677,False,-1.0,2.65,squad,bge-large
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50, but it does state that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",hcpc_v2,0.5463,False,0.6611,False,0.5982,6.86,squad,bge-large
What day was the game played on?,"February 7, 2016"," The Super Bowl 50 game was played on February 7, 2016.",baseline,0.9327,False,0.6242,False,-1.0,3.5,squad,bge-large
What day was the game played on?,"February 7, 2016"," The game was played on February 7, 2016.",hcpc_v1,0.8967,False,0.6408,False,-1.0,2.93,squad,bge-large
What day was the game played on?,"February 7, 2016"," The Super Bowl 50 game was played on February 7, 2016.",hcpc_v2,0.9327,False,0.6242,True,0.7229,4.98,squad,bge-large
What is the AFC short for?,American Football Conference, The context does not provide information about what AFC stands for.,baseline,0.4877,True,0.4541,False,-1.0,4.27,squad,bge-large
What is the AFC short for?,American Football Conference, I cannot find this information in the provided context. The context does not mention or imply what AFC stands for.,hcpc_v1,0.5641,False,0.4337,False,-1.0,3.34,squad,bge-large
What is the AFC short for?,American Football Conference, The context does not provide information about what AFC stands for.,hcpc_v2,0.4877,True,0.4551,True,0.7122,5.89,squad,bge-large
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50 other than it emphasizing the ""golden anniversary"" with various gold-themed initiatives.",baseline,0.7926,False,0.6611,False,-1.0,5.27,squad,bge-large
What was the theme of Super Bowl 50?,"""golden anniversary""", I cannot find this information in the provided context. The context does not mention the theme of Super Bowl 50.,hcpc_v1,0.6498,False,0.677,False,-1.0,2.91,squad,bge-large
What was the theme of Super Bowl 50?,"""golden anniversary"""," The provided context does not mention a specific theme for Super Bowl 50, but it does state that the league emphasized the ""golden anniversary"" with various gold-themed initiatives.",hcpc_v2,0.5463,False,0.6611,False,0.5982,7.2,squad,bge-large
What does AFC stand for?,American Football Conference," The context provided does not mention what AFC stands for. However, in American football, AFC typically stands for American Football Conference.",baseline,0.765,False,0.4644,False,-1.0,5.1,squad,bge-large
What does AFC stand for?,American Football Conference," I cannot find this information in the provided context. The context only discusses Super Bowl 50, but it does not mention the AFC or NFL divisions.",hcpc_v1,0.523,False,0.4526,False,-1.0,3.83,squad,bge-large
What does AFC stand for?,American Football Conference," The context provided does not mention what AFC stands for. However, in American football, AFC typically stands for the American Football Conference.",hcpc_v2,0.7698,False,0.465,True,0.7122,6.65,squad,bge-large
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",baseline,0.8567,False,0.7011,False,-1.0,5.28,squad,bge-large
What day was the Super Bowl played on?,"February 7, 2016"," The provided context does not specify the exact day when Super Bowl 50 was played. However, we know it was held on February 1, 2016, as that is the date when the media day (Super Bowl Opening Night) took place.",hcpc_v1,0.6737,False,0.6695,False,-1.0,7.23,squad,bge-large
What day was the Super Bowl played on?,"February 7, 2016"," The Super Bowl was played on February 7, 2016.",hcpc_v2,0.8567,False,0.7011,False,0.7229,4.84,squad,bge-large
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,baseline,0.9247,False,0.7095,False,-1.0,4.97,squad,bge-large
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v1,0.9247,False,0.705,False,-1.0,1.87,squad,bge-large
Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,hcpc_v2,0.9247,False,0.7095,False,0.5889,2.7,squad,bge-large
What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in Santa Clara, California",baseline,0.793,False,0.6739,False,-1.0,5.16,squad,bge-large
What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",hcpc_v1,0.6918,False,0.654,False,-1.0,4.2,squad,bge-large
What venue did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in Santa Clara, California",hcpc_v2,0.793,False,0.6742,True,0.6826,5.49,squad,bge-large
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in San Francisco Bay Area at Santa Clara, California.",baseline,0.9567,False,0.6786,False,-1.0,4.64,squad,bge-large
What city did Super Bowl 50 take place in?,Santa Clara," San Francisco Bay Area (specifically at Levi's Stadium in Santa Clara, California)",hcpc_v1,0.743,False,0.6769,False,-1.0,4.07,squad,bge-large
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in San Francisco Bay Area at Santa Clara, California.",hcpc_v2,0.9567,False,0.6793,True,0.6826,4.86,squad,bge-large
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Super Bowl 50 would have been called ""Super Bowl L"" if Roman numerals were used.",baseline,0.5623,False,0.6691,False,-1.0,7.03,squad,bge-large
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," I cannot find this information in the provided context. The context only states that Roman numerals were temporarily suspended and the game was named Super Bowl 50, not what it would have been called if they had used Roman numerals.",hcpc_v1,0.6531,False,0.7092,False,-1.0,5.54,squad,bge-large
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Super Bowl 50 would have been called ""Super Bowl L"" if Roman numerals were used.",hcpc_v2,0.5623,False,0.6691,True,0.6086,4.83,squad,bge-large
Super Bowl 50 decided the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was determined in Super Bowl 50.,baseline,0.713,False,0.6667,False,-1.0,7.06,squad,bge-large
Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,hcpc_v1,0.6644,False,0.6736,False,-1.0,2.85,squad,bge-large
Super Bowl 50 decided the NFL champion for what season?,2015, The NFL champion for the 2015 season was determined in Super Bowl 50.,hcpc_v2,0.7168,False,0.6667,True,0.6086,4.4,squad,bge-large
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The Denver Broncos secured a Super Bowl title for the third time in 2016, as stated in the provided context about Super Bowl 50.",baseline,0.7915,False,0.6894,False,-1.0,7.83,squad,bge-large
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The context does not specify the exact year, but it implies that the event happened after Super Bowl XLIX (which was held in 2015), so the year could be either 2016 or any subsequent year where the Broncos won a Super Bowl. However, without additional context, I cannot definitively say which specific year it was.",hcpc_v1,0.5792,False,0.7168,False,-1.0,7.15,squad,bge-large
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The Denver Broncos secured a Super Bowl title for the third time in 2016, as stated in the provided context about Super Bowl 50.",hcpc_v2,0.7915,False,0.6894,False,0.7499,6.81,squad,bge-large
What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in San Francisco Bay Area at Santa Clara, California.",baseline,0.9567,False,0.6786,False,-1.0,5.98,squad,bge-large
