dataset,chunking_strategy,strategy_type,chunk_size_param,top_k,question,ground_truth,answer,faithfulness_score,is_hallucination,nli_label,latency_s,ret_mean_similarity,ret_max_similarity,ret_min_similarity,ret_relevance_spread,ret_n_docs,ret_chroma_mean_score
squad,fixed_1024,fixed,1024,3,What stadium did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.6918,False,faithful,1.36,0.6708,0.6974,0.6576,0.0398,3,0.3975
squad,fixed_1024,fixed,1024,3,What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10.,0.7851,False,faithful,2.22,0.6058,0.6261,0.5652,0.0609,3,0.2663
squad,fixed_1024,fixed,1024,3,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",0.945,False,faithful,2.3,0.6365,0.6393,0.6307,0.0086,3,0.3352
squad,fixed_1024,fixed,1024,3,What year was Super Bowl 50?,2015," The Super Bowl 50 was played on February 7, 2016.",0.9074,False,faithful,2.28,0.6426,0.6696,0.5885,0.0811,3,0.3495
squad,fixed_1024,fixed,1024,3,What team was the AFC champion?,Denver Broncos, The Broncos were the AFC champion.,0.6102,False,faithful,2.97,0.5884,0.5895,0.5861,0.0033,3,0.1662
squad,fixed_1024,fixed,1024,3,What team was the NFC champion?,Carolina Panthers, The Panthers were the NFC champion.,0.665,False,faithful,4.01,0.6256,0.6302,0.6164,0.0138,3,0.2374
squad,fixed_1024,fixed,1024,3,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,4.62,0.6567,0.681,0.6081,0.0729,3,0.3361
squad,fixed_1024,fixed,1024,3,Super Bowl 50 determined the NFL champion for what season?,2015, The National Football League (NFL) champion for the 2015 season was determined in Super Bowl 50.,0.713,False,faithful,2.97,0.6675,0.6929,0.6167,0.0762,3,0.3513
squad,fixed_1024,fixed,1024,3,Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,faithful,1.04,0.6749,0.7186,0.5875,0.1311,3,0.3739
squad,fixed_1024,fixed,1024,3,Where was Super Bowl 50 held?,"Santa Clara, California."," The Super Bowl 50 was held at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.9393,False,faithful,2.7,0.6831,0.6858,0.6778,0.0079,3,0.3964
squad,fixed_1024,fixed,1024,3,The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game, as mentioned in the provided context, is not explicitly stated. However, it can be inferred that the game referred to in the context is Super Bowl 50.",0.5601,False,faithful,3.75,0.52,0.5245,0.5111,0.0134,3,0.106
squad,fixed_1024,fixed,1024,3,What 2015 NFL team one the AFC playoff?,Denver Broncos, The Broncos,0.7276,False,faithful,3.92,0.5456,0.5523,0.5322,0.0201,3,0.0899
