source_row,question,ground_truth,condition,answer,context,faithfulness_score,is_hallucination,mean_retrieval_similarity,refined,ccs,latency_s,dataset,seed,model,backend
280,What area in modern-day Canada received Huguenot immigrants?,Quebec,hcpc_v1," I cannot find this information in the provided context. The context only mentions migrations to various European countries and Virginia, USA, but not any specific area in modern-day Canada.",". Most are concentrated in Alsace in northeast France and the Cévennes mountain region in the south, who still regard themselves as Huguenots to this day.[citation needed] A diaspora of French Australians still considers itself Huguenot, even after

---

The bulk of Huguenot émigrés relocated to Protestant European nations such as England, Wales, Scotland, Denmark, Sweden, Switzerland, the Dutch Republic, the Electorate of Brandenburg and Electorate of the Palatinate in the Holy Roman Empire, the Duchy of

---

In 1700 several hundred French Huguenots migrated from England to the colony of Virginia, where the English Crown had promised them land grants in Lower Norfolk County",0.7443,False,0.5427,False,-1.0,1.341,squad,41,mistral,ollama
281,What area in modern-day Canada received Huguenot immigrants?,Quebec,hcpc_v2," I cannot find this information in the provided context. The context only mentions that Huguenots immigrated to several English colonies of North America, but it does not specify any particular area in Canada.","Approximately one million Protestants in modern France represent some 2% of its population. Most are concentrated in Alsace in northeast France and the Cévennes mountain region in the south, who still regard themselves as Huguenots to this day.[citation needed] A diaspora of French Australians still considers itself Huguenot, even after centuries of exile. Long integrated into Australian society, it is encouraged by the Huguenot Society of Australia to embrace and conserve its cultural heritage, aided by the Society's genealogical research services.

---

The bulk of Huguenot émigrés relocated to Protestant European nations such as England, Wales, Scotland, Denmark, Sweden, Switzerland, the Dutch Republic, the Electorate of Brandenburg and Electorate of the Palatinate in the Holy Roman Empire, the Duchy of Prussia, the Channel Islands, and Ireland. They also spread beyond Europe to the Dutch Cape Colony in South Africa, the Dutch East Indies, the Caribbean, and several of the English colonies of North America, and Quebec, where they were accepted and allowed to worship freely.

---

In 1700 several hundred French Huguenots migrated from England to the colony of Virginia, where the English Crown had promised them land grants in Lower Norfolk County . When they arrived, colonial authorities offered them instead land 20 miles above the falls of the James River, at the abandoned Monacan village known as Manakin Town, now in Powhatan County. Some settlers landed in present-day Chesterfield County . On 12 May 1705, the Virginia General Assembly passed an act to naturalise the 148 Huguenots still resident at Manakintown . Of the original 390 settlers in the isolated settlement, many had died; others lived outside town on farms in the English style; and others moved to different areas. Gradually they intermarried with their English neighbors . Through the 18th and 19th centuries, descendants of the French migrated west into the Piedmont, and across the Appalachian Mountains into the West of what became Kentucky, Tennessee, Missouri, and other states",0.6711,False,0.5781,True,0.4705,1.782,squad,41,mistral,ollama
402,Who presented the Edict of Worms declaring Luther to be an outlaw?,Emperor,baseline, The Emperor presented the Edict of Worms declaring Luther to be an outlaw.,"Over the next five days, private conferences were held to determine Luther's fate. The Emperor presented the final draft of the Edict of Worms on 25 May 1521, declaring Luther an outlaw, banning his literature, and requiring his arrest: ""We want him to be apprehended and punished as a notorious heretic."" It also made it a crime for anyone in Germany to give Luther food or shelter. It permitted anyone to kill Luther without legal consequence.

---

The enforcement of the ban on the 95 Theses fell to the secular authorities. On 18 April 1521, Luther appeared as ordered before the Diet of Worms. This was a general assembly of the estates of the Holy Roman Empire that took place in Worms, a town on the Rhine. It was conducted from 28 January to 25 May 1521, with Emperor Charles V presiding. Prince Frederick III, Elector of Saxony, obtained a safe conduct for Luther to and from the meeting.

---

Martin Luther (/ˈluːθər/ or /ˈluːðər/; German: [ˈmaɐ̯tiːn ˈlʊtɐ] ( listen); 10 November 1483 – 18 February 1546) was a German professor of theology, composer, priest, former monk and a seminal figure in the Protestant Reformation. Luther came to reject several teachings and practices of the Late Medieval Catholic Church. He strongly disputed the claim that freedom from God's punishment for sin could be purchased with money. He proposed an academic discussion of the power and usefulness of indulgences in his Ninety-Five Theses of 1517. His refusal to retract all of his writings at the demand of Pope Leo X in 1520 and the Holy Roman Emperor Charles V at the Diet of Worms in 1521 resulted in his excommunication by the Pope and condemnation as an outlaw by the Emperor.",0.4035,True,0.6735,False,-1.0,1.111,squad,41,mistral,ollama
403,Who presented the Edict of Worms declaring Luther to be an outlaw?,Emperor,hcpc_v1, The Emperor presented the Edict of Worms declaring Luther to be an outlaw.,"Over the next five days, private conferences were held to determine Luther's fate. The Emperor presented the final draft of the Edict of Worms on 25 May 1521, declaring Luther an outlaw, banning his literature, and requiring his arrest: ""We want him to be apprehended and punished as a notorious heretic."" It also made it a crime for anyone in Germany to give Luther food or shelter. It permitted anyone to kill Luther without legal consequence.

---

The enforcement of the ban on the 95 Theses fell to the secular authorities. On 18 April 1521, Luther appeared as ordered before the Diet of Worms

---

. His refusal to retract all of his writings at the demand of Pope Leo X in 1520 and the Holy Roman Emperor Charles V at the Diet of Worms in 1521 resulted in his excommunication by the Pope and condemnation as an outlaw by the Emperor.",0.4035,True,0.6966,False,-1.0,0.732,squad,41,mistral,ollama
404,Who presented the Edict of Worms declaring Luther to be an outlaw?,Emperor,hcpc_v2, The Emperor presented the Edict of Worms declaring Luther to be an outlaw.,"Over the next five days, private conferences were held to determine Luther's fate. The Emperor presented the final draft of the Edict of Worms on 25 May 1521, declaring Luther an outlaw, banning his literature, and requiring his arrest: ""We want him to be apprehended and punished as a notorious heretic."" It also made it a crime for anyone in Germany to give Luther food or shelter. It permitted anyone to kill Luther without legal consequence.

---

The enforcement of the ban on the 95 Theses fell to the secular authorities. On 18 April 1521, Luther appeared as ordered before the Diet of Worms. This was a general assembly of the estates of the Holy Roman Empire that took place in Worms, a town on the Rhine. It was conducted from 28 January to 25 May 1521, with Emperor Charles V presiding. Prince Frederick III, Elector of Saxony, obtained a safe conduct for Luther to and from the meeting.

---

Martin Luther (/ˈluːθər/ or /ˈluːðər/; German: [ˈmaɐ̯tiːn ˈlʊtɐ] ( listen); 10 November 1483 – 18 February 1546) was a German professor of theology, composer, priest, former monk and a seminal figure in the Protestant Reformation . Luther came to reject several teachings and practices of the Late Medieval Catholic Church. He strongly disputed the claim that freedom from God's punishment for sin could be purchased with money . He proposed an academic discussion of the power and usefulness of indulgences in his Ninety-Five Theses of 1517 . His refusal to retract all of his writings at the demand of Pope Leo X in 1520 and the Holy Roman Emperor Charles V at the Diet of Worms in 1521 resulted in his excommunication by the Pope and condemnation as an outlaw by the Emperor.",0.4035,True,0.6818,True,0.5596,0.985,squad,41,mistral,ollama
510,"The term ""southern"" California usually refers to how many of the southern-most counties of the state?",ten,baseline," The term ""southern"" California usually refers to ten of the southern-most counties of the state, according to the provided context.","Southern California, often abbreviated SoCal, is a geographic and cultural region that generally comprises California's southernmost 10 counties. The region is traditionally described as ""eight counties"", based on demographics and economic ties: Imperial, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, and Ventura. The more extensive 10-county definition, including Kern and San Luis Obispo counties, is also used based on historical political divisions. Southern California is a major economic center for the state of California and the United States.

---

""Southern California"" is not a formal geographic designation, and definitions of what constitutes southern California vary. Geographically, California's north-south midway point lies at exactly 37° 9' 58.23"" latitude, around 11 miles (18 km) south of San Jose; however, this does not coincide with popular use of the term. When the state is divided into two areas (northern and southern California), the term ""southern California"" usually refers to the ten southern-most counties of the state. This definition coincides neatly with the county lines at 35° 47′ 28″ north latitude, which form the northern borders of San Luis Obispo, Kern, and San Bernardino counties. Another definition for southern California uses Point Conception and the Tehachapi Mountains as the northern boundary.

---

Southern California consists of one of the more varied collections of geologic, topographic, and natural ecosystem landscapes in a diversity outnumbering other major regions in the state and country. The region spans from Pacific Ocean islands, shorelines, beaches, and coastal plains, through the Transverse and Peninsular Ranges with their peaks, into the large and small interior valleys, to the vast deserts of California.",0.7674,False,0.7258,False,-1.0,1.408,squad,41,mistral,ollama
511,"The term ""southern"" California usually refers to how many of the southern-most counties of the state?",ten,hcpc_v1," The term ""Southern California"" usually refers to ten of the southern-most counties of the state.","Southern California, often abbreviated SoCal, is a geographic and cultural region that generally comprises California's southernmost 10 counties. The region is traditionally described as ""eight counties"", based on demographics and economic ties: Imperial, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, and Ventura. The more extensive 10-county definition, including Kern and San Luis Obispo counties, is also used based on historical political divisions. Southern California is a major economic center for the state of California and the United States.

---

. When the state is divided into two areas (northern and southern California), the term ""southern California"" usually refers to the ten southern-most counties of the state

---

Southern California consists of one of the more varied collections of geologic, topographic, and natural ecosystem landscapes in a diversity outnumbering other major regions in the state and country",0.7909,False,0.773,False,-1.0,0.865,squad,41,mistral,ollama
512,"The term ""southern"" California usually refers to how many of the southern-most counties of the state?",ten,hcpc_v2," The term ""southern"" California usually refers to ten of the southern-most counties of the state, according to the provided context.","Southern California, often abbreviated SoCal, is a geographic and cultural region that generally comprises California's southernmost 10 counties. The region is traditionally described as ""eight counties"", based on demographics and economic ties: Imperial, Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, and Ventura. The more extensive 10-county definition, including Kern and San Luis Obispo counties, is also used based on historical political divisions. Southern California is a major economic center for the state of California and the United States.

---

""Southern California"" is not a formal geographic designation, and definitions of what constitutes southern California vary. Geographically, California's north-south midway point lies at exactly 37° 9' 58.23"" latitude, around 11 miles (18 km) south of San Jose; however, this does not coincide with popular use of the term. When the state is divided into two areas (northern and southern California), the term ""southern California"" usually refers to the ten southern-most counties of the state. This definition coincides neatly with the county lines at 35° 47′ 28″ north latitude, which form the northern borders of San Luis Obispo, Kern, and San Bernardino counties. Another definition for southern California uses Point Conception and the Tehachapi Mountains as the northern boundary.

---

Southern California consists of one of the more varied collections of geologic, topographic, and natural ecosystem landscapes in a diversity outnumbering other major regions in the state and country . The region spans from Pacific Ocean islands, shorelines, beaches, and coastal plains, through the Transverse and Peninsular Ranges with their peaks, into the large and small interior valleys, to the vast deserts of California.",0.7674,False,0.7258,True,0.6894,1.244,squad,41,mistral,ollama
534,Where was France's Huguenot population largely centered?,the southern and central parts of France,baseline," The context mentions that most Protestants in modern France are concentrated in Alsace in northeast France and the Cévennes mountain region in the south, who still regard themselves as Huguenots to this day.","Approximately one million Protestants in modern France represent some 2% of its population. Most are concentrated in Alsace in northeast France and the Cévennes mountain region in the south, who still regard themselves as Huguenots to this day.[citation needed] A diaspora of French Australians still considers itself Huguenot, even after centuries of exile. Long integrated into Australian society, it is encouraged by the Huguenot Society of Australia to embrace and conserve its cultural heritage, aided by the Society's genealogical research services.

---

After the revocation of the Edict of Nantes, the Dutch Republic received the largest group of Huguenot refugees, an estimated total of 75,000 to 100,000 people. Amongst them were 200 clergy. Many came from the region of the Cévennes, for instance, the village of Fraissinet-de-Lozère. This was a huge influx as the entire population of the Dutch Republic amounted to ca. 2 million at that time. Around 1700, it is estimated that nearly 25% of the Amsterdam population was Huguenot.[citation needed] In 1705, Amsterdam and the area of West Frisia were the first areas to provide full citizens rights to Huguenot immigrants, followed by the Dutch Republic in 1715. Huguenots intermarried with Dutch from the outset.

---

The exodus of Huguenots from France created a brain drain, as many Huguenots had occupied important places in society. The kingdom did not fully recover for years. The French crown's refusal to allow non-Catholics to settle in New France may help to explain that colony's slow rate of population growth compared to that of the neighbouring British colonies, which opened settlement to religious dissenters. By the time of the French and Indian War (the North American front of the Seven Years' War), a sizeable population of Huguenot descent lived in the British colonies, and many participated in the British defeat of New France in 1759-60.",0.5783,False,0.6667,False,-1.0,1.87,squad,41,mistral,ollama
535,Where was France's Huguenot population largely centered?,the southern and central parts of France,hcpc_v1, The provided context suggests that most of France's Huguenot population was concentrated in Alsace in northeast France and the Cévennes mountain region in the south.,". Most are concentrated in Alsace in northeast France and the Cévennes mountain region in the south, who still regard themselves as Huguenots to this day.[citation needed] A diaspora of French Australians still considers itself Huguenot, even after

---

. Around 1700, it is estimated that nearly 25% of the Amsterdam population was Huguenot.[citation needed] In 1705, Amsterdam and the area of West Frisia were the first areas to provide full citizens rights to Huguenot immigrants, followed by the Dutch

---

The exodus of Huguenots from France created a brain drain, as many Huguenots had occupied important places in society. The kingdom did not fully recover for years",0.8435,False,0.6559,False,-1.0,1.314,squad,41,mistral,ollama
536,Where was France's Huguenot population largely centered?,the southern and central parts of France,hcpc_v2," The context mentions that most Protestants in modern France are concentrated in Alsace in northeast France and the Cévennes mountain region in the south, who still regard themselves as Huguenots to this day.","Approximately one million Protestants in modern France represent some 2% of its population. Most are concentrated in Alsace in northeast France and the Cévennes mountain region in the south, who still regard themselves as Huguenots to this day.[citation needed] A diaspora of French Australians still considers itself Huguenot, even after centuries of exile. Long integrated into Australian society, it is encouraged by the Huguenot Society of Australia to embrace and conserve its cultural heritage, aided by the Society's genealogical research services.

---

After the revocation of the Edict of Nantes, the Dutch Republic received the largest group of Huguenot refugees, an estimated total of 75,000 to 100,000 people. Amongst them were 200 clergy. Many came from the region of the Cévennes, for instance, the village of Fraissinet-de-Lozère. This was a huge influx as the entire population of the Dutch Republic amounted to ca. 2 million at that time. Around 1700, it is estimated that nearly 25% of the Amsterdam population was Huguenot.[citation needed] In 1705, Amsterdam and the area of West Frisia were the first areas to provide full citizens rights to Huguenot immigrants, followed by the Dutch Republic in 1715. Huguenots intermarried with Dutch from the outset.

---

The exodus of Huguenots from France created a brain drain, as many Huguenots had occupied important places in society. The kingdom did not fully recover for years. The French crown's refusal to allow non-Catholics to settle in New France may help to explain that colony's slow rate of population growth compared to that of the neighbouring British colonies, which opened settlement to religious dissenters. By the time of the French and Indian War (the North American front of the Seven Years' War), a sizeable population of Huguenot descent lived in the British colonies, and many participated in the British defeat of New France in 1759-60.",0.5783,False,0.6667,False,0.5723,1.871,squad,41,mistral,ollama
564,What did Paul Rose say Luther added to German thought?,hysterical and demonizing mentality,baseline, I cannot find this information in the provided context about what Paul Rose said Luther added to German thought.,"A piece of paper was later found on which Luther had written his last statement. The statement was in Latin, apart from ""We are beggars,"" which was in German.

---

Luther's translation used the variant of German spoken at the Saxon chancellery, intelligible to both northern and southern Germans. He intended his vigorous, direct language to make the Bible accessible to everyday Germans, ""for we are removing impediments and difficulties so that other people may read it without hindrance.""

---

. Hans J. Hillerbrand agreed that to focus on Luther was to adopt an essentially ahistorical perspective of Nazi antisemitism that ignored other contributory factors in German history. Similarly, Roland Bainton, noted church historian and Luther biographer, wrote ""One could wish that Luther had died before ever [On the Jews and Their Lies] was written. His position was entirely religious and in no respect racial.""",0.4952,True,0.6235,False,-1.0,0.891,squad,41,mistral,ollama
565,What did Paul Rose say Luther added to German thought?,hysterical and demonizing mentality,hcpc_v1, I cannot find this information in the provided context. The context does not mention any statements by Paul Rose regarding Luther's contributions to German thought.,"A piece of paper was later found on which Luther had written his last statement. The statement was in Latin, apart from ""We are beggars,"" which was in German.

---

Luther's translation used the variant of German spoken at the Saxon chancellery, intelligible to both northern and southern Germans

---

. Similarly, Roland Bainton, noted church historian and Luther biographer, wrote ""One could wish that Luther had died before ever [On the Jews and Their Lies] was written. His position was entirely religious and in no respect racial.""",0.541,False,0.5928,False,-1.0,1.019,squad,41,mistral,ollama
566,What did Paul Rose say Luther added to German thought?,hysterical and demonizing mentality,hcpc_v2, I cannot find this information in the provided context about what Paul Rose said Luther added to German thought.,"A piece of paper was later found on which Luther had written his last statement. The statement was in Latin, apart from ""We are beggars,"" which was in German.

---

Luther's translation used the variant of German spoken at the Saxon chancellery, intelligible to both northern and southern Germans. He intended his vigorous, direct language to make the Bible accessible to everyday Germans, ""for we are removing impediments and difficulties so that other people may read it without hindrance.""

---

. Hans J. Hillerbrand agreed that to focus on Luther was to adopt an essentially ahistorical perspective of Nazi antisemitism that ignored other contributory factors in German history . Similarly, Roland Bainton, noted church historian and Luther biographer, wrote ""One could wish that Luther had died before ever [On the Jews and Their Lies] was written. His position was entirely religious and in no respect racial.""",0.4952,True,0.6235,True,0.5069,0.806,squad,41,mistral,ollama
